* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 6, 2024 12:16:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7HZ FIVE
* Measurement: R 7HZ FIVE
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 82.230 167.4647
0.368865 82.226 167.4494
0.371538 82.220 167.4266
0.374230 82.212 167.3979
0.376942 82.203 167.3649
0.379673 82.194 167.3288
0.382424 82.184 167.2902
0.385196 82.174 167.2497
0.387987 82.163 167.2074
0.390798 82.153 167.1635
0.393630 82.142 167.1181
0.396483 82.132 167.0712
0.399356 82.121 167.0228
0.402250 82.110 166.9729
0.405165 82.099 166.9215
0.408101 82.088 166.8686
0.411058 82.077 166.8141
0.414037 82.066 166.7582
0.417037 82.055 166.7006
0.420059 82.044 166.6415
0.423103 82.032 166.5808
0.426169 82.021 166.5185
0.429257 82.009 166.4546
0.432368 81.998 166.3891
0.435501 81.986 166.3219
0.438656 81.974 166.2531
0.441835 81.962 166.1826
0.445037 81.950 166.1105
0.448262 81.938 166.0367
0.451510 81.926 165.9611
0.454782 81.914 165.8839
0.458077 81.902 165.8049
0.461397 81.889 165.7242
0.464740 81.877 165.6417
0.468108 81.864 165.5575
0.471500 81.852 165.4715
0.474917 81.839 165.3838
0.478358 81.826 165.2943
0.481825 81.813 165.2029
0.485316 81.800 165.1098
0.488833 81.787 165.0149
0.492375 81.774 164.9182
0.495943 81.760 164.8196
0.499537 81.747 164.7192
0.503157 81.733 164.6170
0.506803 81.720 164.5130
0.510475 81.706 164.4071
0.514175 81.692 164.2994
0.517900 81.678 164.1898
0.521653 81.664 164.0784
0.525434 81.650 163.9652
0.529241 81.636 163.8501
0.533076 81.622 163.7332
0.536939 81.607 163.6144
0.540830 81.593 163.4938
0.544749 81.578 163.3714
0.548696 81.563 163.2471
0.552673 81.548 163.1211
0.556677 81.533 162.9932
0.560711 81.518 162.8636
0.564774 81.503 162.7321
0.568867 81.488 162.5989
0.572989 81.473 162.4639
0.577141 81.457 162.3272
0.581324 81.441 162.1888
0.585536 81.426 162.0487
0.589779 81.410 161.9069
0.594053 81.394 161.7634
0.598358 81.378 161.6183
0.602694 81.362 161.4715
0.607061 81.345 161.3232
0.611460 81.329 161.1734
0.615891 81.312 161.0220
0.620354 81.296 160.8692
0.624849 81.279 160.7149
0.629377 81.262 160.5593
0.633938 81.245 160.4022
0.638532 81.228 160.2439
0.643159 81.211 160.0843
0.647819 81.193 159.9235
0.652514 81.176 159.7616
0.657242 81.158 159.5986
0.662005 81.140 159.4345
0.666802 81.122 159.2695
0.671634 81.104 159.1036
0.676501 81.086 158.9368
0.681403 81.068 158.7694
0.686341 81.049 158.6012
0.691314 81.031 158.4325
0.696324 81.012 158.2633
0.701370 80.993 158.0936
0.706452 80.973 157.9235
0.711571 80.954 157.7530
0.716728 80.933 157.5821
0.721921 80.912 157.4105
0.727153 80.890 157.2381
0.732422 80.866 157.0642
0.737729 80.840 156.8884
0.743075 80.813 156.7101
0.748460 80.784 156.5287
0.753883 80.755 156.3439
0.759346 80.724 156.1553
0.764849 80.693 155.9628
0.770391 80.662 155.7662
0.775974 80.630 155.5655
0.781597 80.597 155.3606
0.787261 80.565 155.1514
0.792966 80.531 154.9380
0.798712 80.498 154.7202
0.804500 80.464 154.4981
0.810329 80.429 154.2716
0.816201 80.394 154.0407
0.822116 80.359 153.8054
0.828073 80.322 153.5656
0.834074 80.286 153.3214
0.840118 80.249 153.0728
0.846206 80.211 152.8196
0.852338 80.172 152.5619
0.858514 80.133 152.2998
0.864735 80.093 152.0332
0.871001 80.053 151.7620
0.877313 80.011 151.4865
0.883670 79.969 151.2064
0.890074 79.926 150.9219
0.896524 79.882 150.6329
0.903020 79.838 150.3396
0.909564 79.792 150.0419
0.916155 79.746 149.7398
0.922794 79.698 149.4335
0.929481 79.649 149.1230
0.936216 79.600 148.8083
0.943000 79.549 148.4895
0.949834 79.497 148.1667
0.956717 79.444 147.8400
0.963649 79.389 147.5095
0.970632 79.334 147.1752
0.977666 79.277 146.8374
0.984750 79.218 146.4961
0.991886 79.158 146.1515
0.999074 79.097 145.8037
1.006314 79.034 145.4529
1.013606 78.969 145.0994
1.020951 78.903 144.7432
1.028349 78.835 144.3847
1.035801 78.766 144.0240
1.043307 78.694 143.6614
1.050867 78.620 143.2971
1.058482 78.545 142.9314
1.066152 78.467 142.5645
1.073878 78.388 142.1963
1.081660 78.306 141.8270
1.089498 78.221 141.4562
1.097393 78.135 141.0835
1.105345 78.045 140.7081
1.113355 77.954 140.3292
1.121423 77.859 139.9459
1.129549 77.762 139.5575
1.137734 77.662 139.1634
1.145979 77.560 138.7629
1.154283 77.455 138.3557
1.162647 77.347 137.9413
1.171072 77.236 137.5194
1.179558 77.123 137.0895
1.188106 77.007 136.6511
1.196715 76.888 136.2040
1.205387 76.767 135.7475
1.214122 76.644 135.2813
1.222920 76.518 134.8048
1.231782 76.390 134.3175
1.240708 76.259 133.8188
1.249699 76.126 133.3083
1.258754 75.990 132.7851
1.267876 75.853 132.2487
1.277063 75.713 131.6984
1.286318 75.571 131.1334
1.295639 75.428 130.5529
1.305027 75.282 129.9562
1.314484 75.134 129.3423
1.324009 74.985 128.7103
1.333604 74.834 128.0593
1.343268 74.681 127.3881
1.353002 74.527 126.6956
1.362806 74.371 125.9807
1.372681 74.214 125.2422
1.382628 74.056 124.4786
1.392647 73.897 123.6885
1.402739 73.736 122.8705
1.412904 73.574 122.0227
1.423142 73.412 121.1433
1.433455 73.247 120.2301
1.443843 73.081 119.2804
1.454305 72.912 118.2911
1.464844 72.739 117.2581
1.475459 72.561 116.1769
1.486150 72.376 115.0418
1.496920 72.182 113.8472
1.507767 71.980 112.5868
1.518693 71.770 111.2541
1.529698 71.550 109.8421
1.540783 71.323 108.3433
1.551948 71.089 106.7495
1.563194 70.849 105.0520
1.574521 70.603 103.2412
1.585931 70.354 101.3067
1.597423 70.101 99.2375
1.608999 69.847 97.0218
1.620658 69.593 94.6472
1.632402 69.339 92.1014
1.644232 69.089 89.3717
1.656146 68.842 86.4466
1.668147 68.602 83.3155
1.680235 68.369 79.9708
1.692411 68.146 76.4082
1.704675 67.934 72.6283
1.717028 67.735 68.6381
1.729470 67.552 64.4525
1.742003 67.387 60.0942
1.754626 67.242 55.5946
1.767341 67.120 50.9922
1.780147 67.024 46.3311
1.793047 66.955 41.6572
1.806040 66.917 37.0157
1.819128 66.912 32.4469
1.832310 66.941 27.9849
1.845587 67.007 23.6565
1.858961 67.109 19.4826
1.872432 67.248 15.4790
1.886001 67.422 11.6577
1.899667 67.630 8.0262
1.913433 67.870 4.5880
1.927299 68.138 1.3428
1.941265 68.434 -1.7128
1.955332 68.753 -4.5848
1.969501 69.093 -7.2810
1.983773 69.451 -9.8105
1.998148 69.824 -12.1832
2.012627 70.209 -14.4089
2.027212 70.602 -16.4976
2.041902 71.000 -18.4591
2.056698 71.400 -20.3027
2.071602 71.799 -22.0370
2.086614 72.192 -23.6706
2.101734 72.577 -25.2110
2.116964 72.951 -26.6659
2.132304 73.311 -28.0424
2.147756 73.654 -29.3475
2.163320 73.979 -30.5883
2.178996 74.286 -31.7724
2.194786 74.576 -32.9074
2.210690 74.850 -34.0010
2.226710 75.111 -35.0598
2.242845 75.362 -36.0892
2.259098 75.603 -37.0928
2.275468 75.837 -38.0726
2.291957 76.063 -39.0300
2.308566 76.284 -39.9655
2.325295 76.498 -40.8794
2.342145 76.707 -41.7714
2.359117 76.910 -42.6415
2.376212 77.109 -43.4895
2.393431 77.303 -44.3150
2.410775 77.493 -45.1179
2.428244 77.679 -45.8978
2.445840 77.862 -46.6547
2.463564 78.041 -47.3884
2.481416 78.217 -48.0990
2.499397 78.390 -48.7870
2.517509 78.561 -49.4534
2.535752 78.728 -50.0996
2.554127 78.893 -50.7281
2.572635 79.054 -51.3417
2.591277 79.210 -51.9438
2.610055 79.362 -52.5370
2.628968 79.509 -53.1230
2.648019 79.650 -53.7027
2.667208 79.787 -54.2763
2.686535 79.919 -54.8433
2.706003 80.047 -55.4029
2.725612 80.170 -55.9542
2.745363 80.289 -56.4961
2.765257 80.405 -57.0274
2.785295 80.518 -57.5469
2.805478 80.629 -58.0534
2.825808 80.737 -58.5458
2.846285 80.843 -59.0233
2.866910 80.947 -59.4850
2.887685 81.050 -59.9309
2.908611 81.152 -60.3614
2.929688 81.252 -60.7775
2.950917 81.349 -61.1809
2.972301 81.444 -61.5734
2.993839 81.537 -61.9562
3.015534 81.626 -62.3303
3.037386 81.712 -62.6959
3.059396 81.796 -63.0530
3.081565 81.877 -63.4011
3.103896 81.955 -63.7395
3.126388 82.032 -64.0675
3.149043 82.107 -64.3840
3.171862 82.181 -64.6883
3.194847 82.254 -64.9792
3.217998 82.326 -65.2559
3.241317 82.397 -65.5175
3.264805 82.468 -65.7635
3.288463 82.539 -65.9935
3.312293 82.609 -66.2077
3.336295 82.678 -66.4064
3.360471 82.746 -66.5904
3.384822 82.812 -66.7605
3.409350 82.878 -66.9175
3.434056 82.942 -67.0623
3.458940 83.006 -67.1958
3.484005 83.069 -67.3189
3.509252 83.133 -67.4322
3.534681 83.196 -67.5365
3.560295 83.260 -67.6324
3.586094 83.324 -67.7202
3.612081 83.389 -67.8000
3.638255 83.455 -67.8717
3.664620 83.523 -67.9348
3.691175 83.591 -67.9886
3.717923 83.660 -68.0330
3.744864 83.730 -68.0680
3.772001 83.800 -68.0946
3.799335 83.872 -68.1141
3.826866 83.944 -68.1281
3.854597 84.017 -68.1385
3.882529 84.091 -68.1471
3.910664 84.165 -68.1559
3.939002 84.241 -68.1664
3.967546 84.318 -68.1799
3.996296 84.397 -68.1969
4.025255 84.476 -68.2175
4.054423 84.557 -68.2412
4.083804 84.640 -68.2674
4.113396 84.724 -68.2961
4.143204 84.809 -68.3276
4.173227 84.895 -68.3628
4.203468 84.982 -68.4031
4.233928 85.070 -68.4500
4.264609 85.158 -68.5053
4.295512 85.246 -68.5704
4.326639 85.335 -68.6468
4.357992 85.424 -68.7352
4.389572 85.513 -68.8363
4.421380 85.602 -68.9499
4.453419 85.691 -69.0755
4.485691 85.780 -69.2128
4.518196 85.870 -69.3610
4.550936 85.959 -69.5200
4.583914 86.048 -69.6893
4.617131 86.136 -69.8690
4.650589 86.223 -70.0589
4.684289 86.310 -70.2593
4.718233 86.395 -70.4703
4.752424 86.479 -70.6923
4.786862 86.561 -70.9255
4.821549 86.642 -71.1698
4.856488 86.722 -71.4247
4.891680 86.801 -71.6895
4.927127 86.878 -71.9628
4.962831 86.953 -72.2434
4.998794 87.027 -72.5299
5.035017 87.099 -72.8211
5.071503 87.170 -73.1163
5.108253 87.239 -73.4150
5.145270 87.306 -73.7173
5.182555 87.371 -74.0234
5.220110 87.434 -74.3332
5.257937 87.495 -74.6462
5.296038 87.555 -74.9612
5.334415 87.613 -75.2770
5.373071 87.669 -75.5921
5.412006 87.724 -75.9052
5.451224 87.778 -76.2151
5.490725 87.831 -76.5213
5.530514 87.882 -76.8236
5.570590 87.932 -77.1223
5.610957 87.981 -77.4173
5.651616 88.028 -77.7087
5.692570 88.075 -77.9961
5.733821 88.121 -78.2791
5.775370 88.167 -78.5572
5.817221 88.213 -78.8298
5.859375 88.259 -79.0966
5.901834 88.305 -79.3574
5.944602 88.351 -79.6127
5.987679 88.397 -79.8628
6.031068 88.443 -80.1088
6.074771 88.490 -80.3515
6.118792 88.537 -80.5918
6.163131 88.585 -80.8305
6.207792 88.634 -81.0681
6.252776 88.684 -81.3048
6.298086 88.735 -81.5411
6.343725 88.788 -81.7774
6.389694 88.841 -82.0148
6.435996 88.895 -82.2546
6.482634 88.951 -82.4981
6.529610 89.007 -82.7468
6.576926 89.064 -83.0014
6.624585 89.122 -83.2626
6.672590 89.182 -83.5305
6.720942 89.242 -83.8056
6.769645 89.303 -84.0882
