* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Sep 11, 2024 11:46:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Binary Dynaquattro R
* Measurement: R Binary Dynaquattro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	80.147	-179.4020
0.368865	80.151	-179.4111
0.371538	80.157	-179.4245
0.374230	80.164	-179.4411
0.376942	80.172	-179.4599
0.379673	80.181	-179.4802
0.382424	80.191	-179.5015
0.385196	80.200	-179.5235
0.387987	80.210	-179.5460
0.390798	80.220	-179.5690
0.393630	80.230	-179.5924
0.396483	80.240	-179.6162
0.399356	80.250	-179.6403
0.402250	80.260	-179.6648
0.405165	80.270	-179.6897
0.408101	80.281	-179.7149
0.411058	80.291	-179.7406
0.414037	80.302	-179.7666
0.417037	80.312	-179.7931
0.420059	80.323	-179.8199
0.423103	80.334	-179.8472
0.426169	80.345	-179.8749
0.429257	80.355	-179.9031
0.432368	80.366	-179.9317
0.435501	80.377	-179.9608
0.438656	80.389	-179.9903
0.441835	80.400	179.9796
0.445037	80.411	179.9491
0.448262	80.422	179.9180
0.451510	80.434	179.8865
0.454782	80.445	179.8544
0.458077	80.457	179.8218
0.461397	80.469	179.7886
0.464740	80.481	179.7548
0.468108	80.492	179.7205
0.471500	80.504	179.6856
0.474917	80.516	179.6501
0.478358	80.529	179.6139
0.481825	80.541	179.5771
0.485316	80.553	179.5397
0.488833	80.566	179.5016
0.492375	80.578	179.4629
0.495943	80.591	179.4234
0.499537	80.603	179.3832
0.503157	80.616	179.3423
0.506803	80.629	179.3007
0.510475	80.642	179.2584
0.514175	80.655	179.2152
0.517900	80.668	179.1712
0.521653	80.681	179.1265
0.525434	80.695	179.0809
0.529241	80.708	179.0344
0.533076	80.722	178.9871
0.536939	80.735	178.9389
0.540830	80.749	178.8898
0.544749	80.763	178.8397
0.548696	80.777	178.7887
0.552673	80.791	178.7368
0.556677	80.805	178.6838
0.560711	80.819	178.6298
0.564774	80.833	178.5748
0.568867	80.848	178.5187
0.572989	80.862	178.4615
0.577141	80.877	178.4031
0.581324	80.892	178.3437
0.585536	80.907	178.2831
0.589779	80.922	178.2213
0.594053	80.937	178.1582
0.598358	80.952	178.0938
0.602694	80.967	178.0283
0.607061	80.982	177.9613
0.611460	80.998	177.8930
0.615891	81.014	177.8234
0.620354	81.029	177.7523
0.624849	81.045	177.6797
0.629377	81.061	177.6057
0.633938	81.077	177.5302
0.638532	81.093	177.4531
0.643159	81.110	177.3744
0.647819	81.126	177.2941
0.652514	81.143	177.2120
0.657242	81.159	177.1283
0.662005	81.176	177.0428
0.666802	81.193	176.9555
0.671634	81.210	176.8664
0.676501	81.227	176.7753
0.681403	81.245	176.6823
0.686341	81.262	176.5873
0.691314	81.280	176.4903
0.696324	81.297	176.3912
0.701370	81.315	176.2899
0.706452	81.333	176.1864
0.711571	81.351	176.0806
0.716728	81.369	175.9725
0.721921	81.387	175.8621
0.727153	81.405	175.7493
0.732422	81.424	175.6340
0.737729	81.442	175.5163
0.743075	81.460	175.3961
0.748460	81.479	175.2734
0.753883	81.497	175.1482
0.759346	81.515	175.0205
0.764849	81.534	174.8904
0.770391	81.553	174.7578
0.775974	81.572	174.6227
0.781597	81.591	174.4852
0.787261	81.610	174.3452
0.792966	81.630	174.2028
0.798712	81.649	174.0579
0.804500	81.669	173.9106
0.810329	81.689	173.7609
0.816201	81.709	173.6087
0.822116	81.729	173.4542
0.828073	81.749	173.2972
0.834074	81.769	173.1379
0.840118	81.790	172.9763
0.846206	81.810	172.8122
0.852338	81.831	172.6458
0.858514	81.852	172.4770
0.864735	81.873	172.3059
0.871001	81.894	172.1325
0.877313	81.915	171.9568
0.883670	81.936	171.7788
0.890074	81.958	171.5985
0.896524	81.979	171.4159
0.903020	82.001	171.2310
0.909564	82.022	171.0439
0.916155	82.044	170.8546
0.922794	82.066	170.6630
0.929481	82.087	170.4692
0.936216	82.109	170.2731
0.943000	82.131	170.0749
0.949834	82.153	169.8744
0.956717	82.175	169.6718
0.963649	82.197	169.4669
0.970632	82.220	169.2598
0.977666	82.242	169.0505
0.984750	82.264	168.8391
0.991886	82.286	168.6254
0.999074	82.308	168.4095
1.006314	82.330	168.1915
1.013606	82.352	167.9712
1.020951	82.375	167.7487
1.028349	82.397	167.5240
1.035801	82.419	167.2970
1.043307	82.441	167.0678
1.050867	82.462	166.8362
1.058482	82.484	166.6023
1.066152	82.506	166.3660
1.073878	82.528	166.1270
1.081660	82.549	165.8854
1.089498	82.571	165.6408
1.097393	82.592	165.3928
1.105345	82.613	165.1412
1.113355	82.634	164.8854
1.121423	82.656	164.6253
1.129549	82.677	164.3606
1.137734	82.698	164.0911
1.145979	82.719	163.8170
1.154283	82.739	163.5381
1.162647	82.760	163.2545
1.171072	82.781	162.9663
1.179558	82.802	162.6736
1.188106	82.822	162.3765
1.196715	82.843	162.0751
1.205387	82.863	161.7696
1.214122	82.884	161.4599
1.222920	82.904	161.1463
1.231782	82.924	160.8289
1.240708	82.945	160.5079
1.249699	82.965	160.1832
1.258754	82.985	159.8552
1.267876	83.005	159.5240
1.277063	83.024	159.1896
1.286318	83.044	158.8524
1.295639	83.064	158.5123
1.305027	83.083	158.1697
1.314484	83.103	157.8247
1.324009	83.122	157.4774
1.333604	83.141	157.1282
1.343268	83.161	156.7770
1.353002	83.180	156.4243
1.362806	83.199	156.0701
1.372681	83.217	155.7147
1.382628	83.236	155.3582
1.392647	83.255	155.0009
1.402739	83.273	154.6430
1.412904	83.291	154.2846
1.423142	83.310	153.9258
1.433455	83.328	153.5668
1.443843	83.346	153.2072
1.454305	83.363	152.8470
1.464844	83.381	152.4855
1.475459	83.398	152.1222
1.486150	83.415	151.7565
1.496920	83.432	151.3877
1.507767	83.449	151.0156
1.518693	83.465	150.6400
1.529698	83.481	150.2606
1.540783	83.497	149.8777
1.551948	83.512	149.4911
1.563194	83.528	149.1011
1.574521	83.543	148.7077
1.585931	83.557	148.3110
1.597423	83.572	147.9113
1.608999	83.586	147.5087
1.620658	83.600	147.1033
1.632402	83.614	146.6954
1.644232	83.628	146.2852
1.656146	83.641	145.8727
1.668147	83.654	145.4584
1.680235	83.668	145.0424
1.692411	83.681	144.6249
1.704675	83.693	144.2062
1.717028	83.706	143.7866
1.729470	83.719	143.3663
1.742003	83.731	142.9455
1.754626	83.744	142.5246
1.767341	83.756	142.1037
1.780147	83.769	141.6831
1.793047	83.781	141.2629
1.806040	83.793	140.8430
1.819128	83.806	140.4232
1.832310	83.818	140.0031
1.845587	83.830	139.5823
1.858961	83.841	139.1601
1.872432	83.852	138.7361
1.886001	83.864	138.3100
1.899667	83.874	137.8816
1.913433	83.885	137.4509
1.927299	83.895	137.0179
1.941265	83.905	136.5828
1.955332	83.914	136.1457
1.969501	83.924	135.7069
1.983773	83.933	135.2665
1.998148	83.942	134.8250
2.012627	83.952	134.3824
2.027212	83.961	133.9392
2.041902	83.970	133.4957
2.056698	83.979	133.0523
2.071602	83.989	132.6093
2.086614	83.999	132.1673
2.101734	84.008	131.7266
2.116964	84.019	131.2876
2.132304	84.029	130.8509
2.147756	84.040	130.4168
2.163320	84.051	129.9858
2.178996	84.063	129.5580
2.194786	84.075	129.1338
2.210690	84.087	128.7129
2.226710	84.099	128.2952
2.242845	84.112	127.8806
2.259098	84.125	127.4688
2.275468	84.137	127.0596
2.291957	84.150	126.6527
2.308566	84.163	126.2480
2.325295	84.177	125.8453
2.342145	84.190	125.4445
2.359117	84.204	125.0453
2.376212	84.219	124.6478
2.393431	84.234	124.2518
2.410775	84.249	123.8572
2.428244	84.266	123.4640
2.445840	84.283	123.0721
2.463564	84.301	122.6815
2.481416	84.319	122.2924
2.499397	84.339	121.9049
2.517509	84.360	121.5193
2.535752	84.382	121.1359
2.554127	84.405	120.7554
2.572635	84.430	120.3784
2.591277	84.455	120.0055
2.610055	84.482	119.6373
2.628968	84.509	119.2737
2.648019	84.538	118.9147
2.667208	84.568	118.5599
2.686535	84.598	118.2087
2.706003	84.630	117.8603
2.725612	84.663	117.5141
2.745363	84.697	117.1691
2.765257	84.733	116.8247
2.785295	84.769	116.4799
2.805478	84.807	116.1339
2.825808	84.846	115.7860
2.846285	84.886	115.4356
2.866910	84.928	115.0821
2.887685	84.971	114.7254
2.908611	85.016	114.3656
2.929688	85.062	114.0034
2.950917	85.110	113.6395
2.972301	85.160	113.2749
2.993839	85.211	112.9102
3.015534	85.264	112.5455
3.037386	85.319	112.1807
3.059396	85.375	111.8152
3.081565	85.433	111.4485
3.103896	85.492	111.0797
3.126388	85.553	110.7078
3.149043	85.614	110.3321
3.171862	85.677	109.9514
3.194847	85.741	109.5650
3.217998	85.806	109.1720
3.241317	85.871	108.7718
3.264805	85.938	108.3640
3.288463	86.005	107.9487
3.312293	86.074	107.5262
3.336295	86.143	107.0972
3.360471	86.214	106.6621
3.384822	86.286	106.2215
3.409350	86.360	105.7757
3.434056	86.434	105.3248
3.458940	86.509	104.8688
3.484005	86.585	104.4075
3.509252	86.662	103.9407
3.534681	86.739	103.4680
3.560295	86.816	102.9893
3.586094	86.893	102.5038
3.612081	86.970	102.0113
3.638255	87.047	101.5112
3.664620	87.124	101.0033
3.691175	87.201	100.4871
3.717923	87.278	99.9630
3.744864	87.355	99.4312
3.772001	87.432	98.8923
3.799335	87.509	98.3473
3.826866	87.586	97.7969
3.854597	87.663	97.2422
3.882529	87.739	96.6839
3.910664	87.815	96.1228
3.939002	87.890	95.5593
3.967546	87.965	94.9937
3.996296	88.038	94.4260
4.025255	88.111	93.8556
4.054423	88.183	93.2819
4.083804	88.254	92.7045
4.113396	88.325	92.1232
4.143204	88.394	91.5385
4.173227	88.463	90.9513
4.203468	88.530	90.3628
4.233928	88.597	89.7743
4.264609	88.663	89.1872
4.295512	88.728	88.6028
4.326639	88.792	88.0218
4.357992	88.855	87.4448
4.389572	88.918	86.8717
4.421380	88.979	86.3021
4.453419	89.039	85.7353
4.485691	89.097	85.1711
4.518196	89.155	84.6096
4.550936	89.212	84.0514
4.583914	89.268	83.4973
4.617131	89.323	82.9485
4.650589	89.377	82.4062
4.684289	89.431	81.8713
4.718233	89.484	81.3448
4.752424	89.537	80.8268
4.786862	89.589	80.3175
4.821549	89.641	79.8166
4.856488	89.692	79.3236
4.891680	89.742	78.8382
4.927127	89.792	78.3604
4.962831	89.842	77.8901
4.998794	89.891	77.4275
5.035017	89.941	76.9728
5.071503	89.990	76.5264
5.108253	90.040	76.0886
5.145270	90.090	75.6595
5.182555	90.141	75.2391
5.220110	90.192	74.8271
5.257937	90.243	74.4229
5.296038	90.294	74.0258
5.334415	90.346	73.6347
5.373071	90.398	73.2489
5.412006	90.451	72.8676
5.451224	90.504	72.4904
5.490725	90.558	72.1169
5.530514	90.613	71.7471
5.570590	90.669	71.3810
5.610957	90.725	71.0180
5.651616	90.782	70.6576
5.692570	90.840	70.2987
5.733821	90.898	69.9403
5.775370	90.956	69.5813
5.817221	91.015	69.2209
5.859375	91.074	68.8585
5.901834	91.134	68.4940
5.944602	91.194	68.1271
5.987679	91.254	67.7580
6.031068	91.314	67.3864
6.074771	91.374	67.0120
6.118792	91.434	66.6345
6.163131	91.493	66.2533
6.207792	91.552	65.8682
6.252776	91.611	65.4789
6.298086	91.669	65.0854
6.343725	91.726	64.6880
6.389694	91.783	64.2871
6.435996	91.838	63.8833
6.482634	91.893	63.4771
6.529610	91.947	63.0690
6.576926	91.999	62.6592
6.624585	92.051	62.2479
6.672590	92.101	61.8351
6.720942	92.150	61.4214
6.769645	92.197	61.0072
