* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 27, 2023 1:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ PR2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.224	-172.6035
20.600000	75.185	-172.9945
20.900000	75.099	-173.6233
21.200001	75.007	-174.0334
21.400000	74.950	-174.1927
21.799999	74.852	-174.3623
22.000000	74.815	-174.4324
22.400000	74.760	-174.6301
22.700001	74.731	-174.8656
23.000000	74.705	-175.1850
23.299999	74.681	-175.5673
23.600000	74.659	-175.9957
24.000000	74.636	-176.6288
24.299999	74.624	-177.1613
24.700001	74.611	-177.9688
25.000000	74.595	-178.6396
25.400000	74.557	-179.5583
25.799999	74.498	179.6231
26.200001	74.432	179.0147
26.500000	74.392	178.6937
26.900000	74.363	178.3506
27.200001	74.356	178.0584
27.600000	74.353	177.5353
28.000000	74.330	176.8951
28.500000	74.258	176.1786
29.000000	74.166	175.8106
29.500000	74.104	175.7186
30.000000	74.088	175.5628
30.400000	74.083	175.2439
30.700001	74.071	174.9118
31.100000	74.036	174.4495
31.500000	73.989	174.0480
32.000000	73.935	173.6320
32.500000	73.897	173.1768
33.000000	73.862	172.5874
33.500000	73.813	171.9347
34.000000	73.755	171.3522
34.500000	73.706	170.8686
35.000000	73.673	170.3975
35.500000	73.648	169.8530
36.000000	73.613	169.2538
36.500000	73.562	168.6919
37.000000	73.503	168.2472
37.500000	73.447	167.9258
38.200001	73.382	167.5859
38.700001	73.345	167.3475
39.500000	73.286	166.9091
40.000000	73.246	166.6116
40.599998	73.194	166.2515
41.200001	73.139	165.8865
41.799999	73.082	165.5098
42.500000	73.012	165.0752
43.099998	72.954	164.7277
43.700001	72.900	164.3896
44.400002	72.841	163.9836
45.000000	72.791	163.6331
45.500000	72.748	163.3516
46.200001	72.689	162.9829
46.799999	72.639	162.6937
47.500000	72.584	162.3695
48.200001	72.532	162.0206
48.700001	72.491	161.7518
49.400002	72.424	161.3863
50.000000	72.362	161.1259
50.799999	72.286	160.8629
51.500000	72.237	160.6090
52.200001	72.190	160.2273
53.000000	72.112	159.7553
53.799999	72.024	159.4848
54.500000	71.969	159.3433
55.200001	71.929	159.1262
56.000000	71.876	158.8116
57.000000	71.799	158.4699
58.000000	71.721	158.2032
59.000000	71.650	157.9782
60.000000	71.582	157.6939
60.799999	71.522	157.4532
61.500000	71.466	157.2617
62.200001	71.411	157.0866
63.000000	71.350	156.9011
64.000000	71.277	156.6635
65.000000	71.203	156.4282
66.000000	71.130	156.2177
67.000000	71.058	156.0166
68.000000	70.987	155.8343
69.000000	70.916	155.6478
70.000000	70.839	155.4847
71.000000	70.764	155.3972
72.000000	70.703	155.3158
73.000000	70.649	155.1441
74.000000	70.585	154.9225
75.000000	70.513	154.7352
76.199997	70.427	154.5920
77.500000	70.351	154.4925
78.800003	70.277	154.2842
80.000000	70.196	154.1433
81.199997	70.115	154.0156
82.500000	70.016	153.9373
83.800003	69.930	153.8793
85.000000	69.847	153.7346
86.199997	69.759	153.6672
87.500000	69.689	153.6378
88.500000	69.645	153.5452
90.000000	69.572	153.4167
91.199997	69.516	153.3598
92.500000	69.451	153.3130
93.800003	69.378	153.2651
95.000000	69.298	153.3003
96.199997	69.231	153.4216
97.500000	69.175	153.4799
98.800003	69.122	153.4909
100.000000	69.078	153.4084
101.500000	68.988	153.1848
103.000000	68.862	153.1807
104.400002	68.756	153.2581
106.000000	68.639	153.3052
107.500000	68.553	153.3604
109.000000	68.490	153.3694
110.599998	68.425	153.5335
112.000000	68.380	154.0091
113.800003	68.365	154.6563
115.000000	68.329	154.8057
117.199997	68.179	154.8218
118.000000	68.117	154.7698
120.599998	67.960	154.5026
122.000000	67.918	154.6181
124.099998	67.941	155.0715
125.000000	67.950	155.2053
126.500000	67.933	155.3922
128.000000	67.882	155.4757
131.500000	67.743	156.0099
132.000000	67.740	156.1035
134.000000	67.739	156.4062
136.000000	67.703	156.4433
138.000000	67.599	156.4535
140.000000	67.515	156.5386
143.000000	67.474	156.5574
145.000000	67.445	156.5593
147.500000	67.380	156.6917
150.000000	67.307	156.7533
152.500000	67.240	156.8324
155.000000	67.176	156.9270
157.500000	67.111	157.0025
160.000000	67.047	157.1159
162.500000	66.984	157.3392
165.000000	66.899	157.5976
167.500000	66.810	157.8204
170.000000	66.740	157.9515
172.500000	66.683	158.0793
175.000000	66.627	158.2820
177.500000	66.575	158.4620
180.000000	66.524	158.5966
182.500000	66.467	158.8022
185.000000	66.410	159.0974
187.500000	66.357	159.3394
190.000000	66.302	159.4996
192.500000	66.248	159.6792
195.000000	66.196	159.8962
197.500000	66.148	160.1340
200.000000	66.103	160.3766
203.000000	66.046	160.6498
206.000000	65.983	160.8614
209.000000	65.924	161.0692
212.000000	65.876	161.3763
214.000000	65.848	161.5972
218.000000	65.781	161.9761
220.000000	65.743	162.1764
224.000000	65.671	162.6606
227.000000	65.628	163.0135
230.000000	65.588	163.2969
233.000000	65.544	163.5883
236.000000	65.497	163.9174
240.000000	65.443	164.3428
243.000000	65.415	164.5930
247.000000	65.374	164.8767
250.000000	65.340	165.0658
254.000000	65.289	165.3465
258.000000	65.239	165.7592
262.000000	65.195	166.1344
265.000000	65.160	166.3636
269.000000	65.116	166.7034
272.000000	65.085	166.9804
276.000000	65.046	167.3576
280.000000	65.005	167.7505
285.000000	64.954	168.2102
290.000000	64.901	168.6199
295.000000	64.851	169.0086
300.000000	64.818	169.3946
304.000000	64.786	169.7326
307.000000	64.759	170.0219
311.000000	64.724	170.4296
315.000000	64.693	170.8113
320.000000	64.659	171.2562
325.000000	64.627	171.6706
330.000000	64.587	172.0836
335.000000	64.547	172.5226
340.000000	64.515	172.9753
345.000000	64.491	173.4078
350.000000	64.464	173.8563
355.000000	64.437	174.2925
360.000000	64.406	174.7016
365.000000	64.376	175.1252
370.000000	64.350	175.5432
375.000000	64.326	175.9786
382.000000	64.306	176.5692
387.000000	64.284	176.9622
395.000000	64.239	177.5916
400.000000	64.215	177.9921
406.000000	64.194	178.4554
412.000000	64.174	178.8760
418.000000	64.155	179.3177
425.000000	64.130	179.9029
