* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Aug 10, 2024 7:27:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: DaVinci 18ohm
* Measurement: L DaVinci 18ohm
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 80.728 167.1976
0.368865 80.721 167.1843
0.371538 80.710 167.1643
0.374230 80.698 167.1392
0.376942 80.683 167.1102
0.379673 80.668 167.0783
0.382424 80.652 167.0441
0.385196 80.635 167.0079
0.387987 80.618 166.9701
0.390798 80.601 166.9306
0.393630 80.584 166.8896
0.396483 80.566 166.8472
0.399356 80.549 166.8032
0.402250 80.531 166.7576
0.405165 80.513 166.7106
0.408101 80.495 166.6620
0.411058 80.477 166.6119
0.414037 80.459 166.5602
0.417037 80.440 166.5070
0.420059 80.422 166.4521
0.423103 80.403 166.3957
0.426169 80.384 166.3376
0.429257 80.365 166.2779
0.432368 80.346 166.2166
0.435501 80.327 166.1536
0.438656 80.308 166.0889
0.441835 80.288 166.0226
0.445037 80.269 165.9546
0.448262 80.249 165.8848
0.451510 80.229 165.8134
0.454782 80.209 165.7402
0.458077 80.189 165.6653
0.461397 80.169 165.5886
0.464740 80.148 165.5102
0.468108 80.128 165.4300
0.471500 80.107 165.3481
0.474917 80.086 165.2644
0.478358 80.065 165.1788
0.481825 80.044 165.0915
0.485316 80.022 165.0024
0.488833 80.001 164.9115
0.492375 79.979 164.8187
0.495943 79.957 164.7242
0.499537 79.935 164.6278
0.503157 79.913 164.5296
0.506803 79.891 164.4296
0.510475 79.868 164.3278
0.514175 79.845 164.2241
0.517900 79.823 164.1186
0.521653 79.800 164.0113
0.525434 79.777 163.9022
0.529241 79.753 163.7913
0.533076 79.730 163.6786
0.536939 79.706 163.5641
0.540830 79.682 163.4478
0.544749 79.658 163.3297
0.548696 79.634 163.2099
0.552673 79.610 163.0883
0.556677 79.585 162.9650
0.560711 79.561 162.8400
0.564774 79.536 162.7133
0.568867 79.511 162.5849
0.572989 79.485 162.4549
0.577141 79.460 162.3232
0.581324 79.434 162.1900
0.585536 79.408 162.0552
0.589779 79.383 161.9189
0.594053 79.356 161.7811
0.598358 79.330 161.6419
0.602694 79.303 161.5013
0.607061 79.277 161.3593
0.611460 79.250 161.2160
0.615891 79.223 161.0715
0.620354 79.195 160.9257
0.624849 79.168 160.7789
0.629377 79.140 160.6310
0.633938 79.112 160.4820
0.638532 79.084 160.3322
0.643159 79.056 160.1815
0.647819 79.027 160.0301
0.652514 78.998 159.8780
0.657242 78.969 159.7253
0.662005 78.940 159.5722
0.666802 78.911 159.4187
0.671634 78.881 159.2650
0.676501 78.851 159.1111
0.681403 78.821 158.9572
0.686341 78.791 158.8035
0.691314 78.761 158.6500
0.696324 78.730 158.4969
0.701370 78.699 158.3444
0.706452 78.667 158.1924
0.711571 78.634 158.0412
0.716728 78.601 157.8905
0.721921 78.566 157.7403
0.727153 78.529 157.5903
0.732422 78.489 157.4398
0.737729 78.446 157.2882
0.743075 78.402 157.1348
0.748460 78.356 156.9789
0.753883 78.309 156.8199
0.759346 78.263 156.6576
0.764849 78.217 156.4916
0.770391 78.171 156.3219
0.775974 78.127 156.1483
0.781597 78.083 155.9707
0.787261 78.040 155.7890
0.792966 77.997 155.6033
0.798712 77.955 155.4134
0.804500 77.914 155.2193
0.810329 77.872 155.0209
0.816201 77.831 154.8183
0.822116 77.790 154.6114
0.828073 77.748 154.4001
0.834074 77.706 154.1844
0.840118 77.664 153.9644
0.846206 77.621 153.7398
0.852338 77.576 153.5108
0.858514 77.531 153.2774
0.864735 77.485 153.0394
0.871001 77.437 152.7968
0.877313 77.387 152.5498
0.883670 77.335 152.2982
0.890074 77.281 152.0421
0.896524 77.224 151.7815
0.903020 77.165 151.5164
0.909564 77.102 151.2468
0.916155 77.037 150.9727
0.922794 76.968 150.6943
0.929481 76.895 150.4116
0.936216 76.817 150.1246
0.943000 76.736 149.8335
0.949834 76.649 149.5383
0.956717 76.558 149.2392
0.963649 76.460 148.9362
0.970632 76.357 148.6296
0.977666 76.248 148.3195
0.984750 76.132 148.0062
0.991886 76.009 147.6899
0.999074 75.879 147.3708
1.006314 75.741 147.0493
1.013606 75.594 146.7256
1.020951 75.439 146.4002
1.028349 75.275 146.0735
1.035801 75.100 145.7459
1.043307 74.916 145.4180
1.050867 74.720 145.0903
1.058482 74.514 144.7633
1.066152 74.295 144.4376
1.073878 74.062 144.1136
1.081660 73.815 143.7917
1.089498 73.552 143.4718
1.097393 73.270 143.1537
1.105345 72.967 142.8366
1.113355 72.640 142.5196
1.121423 72.286 142.2015
1.129549 71.905 141.8816
1.137734 71.495 141.5589
1.145979 71.056 141.2327
1.154283 70.590 140.9024
1.162647 70.096 140.5672
1.171072 69.576 140.2265
1.179558 69.031 139.8795
1.188106 68.461 139.5255
1.196715 67.870 139.1633
1.205387 67.258 138.7921
1.214122 66.626 138.4105
1.222920 65.978 138.0171
1.231782 65.313 137.6102
1.240708 64.636 137.1879
1.249699 63.947 136.7478
1.258754 63.249 136.2871
1.267876 62.544 135.8024
1.277063 61.835 135.2894
1.286318 61.125 134.7429
1.295639 60.416 134.1565
1.305027 59.711 133.5218
1.314484 59.014 132.8282
1.324009 58.328 132.0614
1.333604 57.657 131.2025
1.343268 57.005 130.2253
1.353002 56.375 129.0929
1.362806 55.773 127.7512
1.372681 55.203 126.1179
1.382628 54.671 124.0622
1.392647 54.181 121.3631
1.402739 53.741 117.6199
1.412904 53.356 112.0392
1.423142 53.033 102.8842
1.433455 52.779 86.1390
1.443843 52.601 55.4816
1.454305 52.504 19.0291
1.464844 52.494 -4.1525
1.475459 52.574 -16.4405
1.486150 52.746 -23.5385
1.496920 53.007 -28.1037
1.507767 53.356 -31.2988
1.518693 53.789 -33.6820
1.529698 54.301 -35.5484
1.540783 54.886 -37.0668
1.551948 55.539 -38.3407
1.563194 56.253 -39.4365
1.574521 57.022 -40.3989
1.585931 57.839 -41.2592
1.597423 58.699 -42.0396
1.608999 59.595 -42.7567
1.620658 60.520 -43.4229
1.632402 61.467 -44.0477
1.644232 62.430 -44.6386
1.656146 63.403 -45.2016
1.668147 64.379 -45.7415
1.680235 65.351 -46.2620
1.692411 66.313 -46.7666
1.704675 67.259 -47.2578
1.717028 68.183 -47.7381
1.729470 69.079 -48.2093
1.742003 69.940 -48.6733
1.754626 70.762 -49.1315
1.767341 71.540 -49.5852
1.780147 72.269 -50.0359
1.793047 72.946 -50.4847
1.806040 73.571 -50.9327
1.819128 74.145 -51.3812
1.832310 74.669 -51.8312
1.845587 75.148 -52.2835
1.858961 75.587 -52.7387
1.872432 75.991 -53.1968
1.886001 76.363 -53.6577
1.899667 76.705 -54.1207
1.913433 77.019 -54.5854
1.927299 77.307 -55.0511
1.941265 77.571 -55.5172
1.955332 77.813 -55.9830
1.969501 78.034 -56.4480
1.983773 78.237 -56.9118
1.998148 78.422 -57.3739
2.012627 78.593 -57.8340
2.027212 78.750 -58.2916
2.041902 78.898 -58.7467
2.056698 79.037 -59.1988
2.071602 79.170 -59.6479
2.086614 79.300 -60.0937
2.101734 79.430 -60.5364
2.116964 79.562 -60.9758
2.132304 79.698 -61.4123
2.147756 79.840 -61.8460
2.163320 79.989 -62.2778
2.178996 80.145 -62.7084
2.194786 80.308 -63.1391
2.210690 80.475 -63.5712
2.226710 80.644 -64.0061
2.242845 80.811 -64.4446
2.259098 80.976 -64.8869
2.275468 81.138 -65.3329
2.291957 81.295 -65.7823
2.308566 81.449 -66.2345
2.325295 81.598 -66.6887
2.342145 81.743 -67.1443
2.359117 81.884 -67.6004
2.376212 82.022 -68.0565
2.393431 82.157 -68.5117
2.410775 82.288 -68.9655
2.428244 82.418 -69.4171
2.445840 82.545 -69.8661
2.463564 82.671 -70.3119
2.481416 82.795 -70.7543
2.499397 82.918 -71.1930
2.517509 83.040 -71.6281
2.535752 83.161 -72.0602
2.554127 83.281 -72.4901
2.572635 83.400 -72.9190
2.591277 83.517 -73.3482
2.610055 83.632 -73.7789
2.628968 83.744 -74.2116
2.648019 83.854 -74.6466
2.667208 83.961 -75.0837
2.686535 84.065 -75.5224
2.706003 84.167 -75.9621
2.725612 84.267 -76.4020
2.745363 84.364 -76.8416
2.765257 84.460 -77.2799
2.785295 84.553 -77.7161
2.805478 84.645 -78.1496
2.825808 84.736 -78.5797
2.846285 84.825 -79.0057
2.866910 84.913 -79.4274
2.887685 85.000 -79.8446
2.908611 85.086 -80.2577
2.929688 85.170 -80.6673
2.950917 85.253 -81.0744
2.972301 85.334 -81.4802
2.993839 85.414 -81.8853
3.015534 85.491 -82.2901
3.037386 85.567 -82.6946
3.059396 85.640 -83.0986
3.081565 85.712 -83.5015
3.103896 85.782 -83.9028
3.126388 85.851 -84.3017
3.149043 85.919 -84.6976
3.171862 85.985 -85.0897
3.194847 86.050 -85.4772
3.217998 86.114 -85.8597
3.241317 86.178 -86.2366
3.264805 86.240 -86.6078
3.288463 86.302 -86.9732
3.312293 86.362 -87.3335
3.336295 86.422 -87.6890
3.360471 86.480 -88.0404
3.384822 86.537 -88.3882
3.409350 86.593 -88.7327
3.434056 86.647 -89.0740
3.458940 86.700 -89.4122
3.484005 86.753 -89.7472
3.509252 86.804 -90.0788
3.534681 86.855 -90.4069
3.560295 86.905 -90.7314
3.586094 86.955 -91.0519
3.612081 87.004 -91.3684
3.638255 87.053 -91.6807
3.664620 87.102 -91.9886
3.691175 87.150 -92.2922
3.717923 87.198 -92.5917
3.744864 87.245 -92.8873
3.772001 87.292 -93.1793
3.799335 87.338 -93.4680
3.826866 87.384 -93.7539
3.854597 87.429 -94.0374
3.882529 87.474 -94.3187
3.910664 87.518 -94.5982
3.939002 87.563 -94.8762
3.967546 87.607 -95.1528
3.996296 87.652 -95.4280
4.025255 87.697 -95.7019
4.054423 87.741 -95.9742
4.083804 87.786 -96.2449
4.113396 87.831 -96.5141
4.143204 87.875 -96.7820
4.173227 87.920 -97.0492
4.203468 87.964 -97.3160
4.233928 88.008 -97.5833
4.264609 88.053 -97.8517
4.295512 88.097 -98.1217
4.326639 88.141 -98.3940
4.357992 88.185 -98.6688
4.389572 88.230 -98.9464
4.421380 88.274 -99.2268
4.453419 88.318 -99.5100
4.485691 88.362 -99.7958
4.518196 88.406 -100.0843
4.550936 88.451 -100.3756
4.583914 88.494 -100.6700
4.617131 88.538 -100.9677
4.650589 88.581 -101.2690
4.684289 88.624 -101.5743
4.718233 88.667 -101.8839
4.752424 88.709 -102.1980
4.786862 88.751 -102.5168
4.821549 88.793 -102.8405
4.856488 88.834 -103.1688
4.891680 88.874 -103.5016
4.927127 88.914 -103.8386
4.962831 88.954 -104.1795
4.998794 88.993 -104.5240
5.035017 89.031 -104.8719
5.071503 89.068 -105.2232
5.108253 89.105 -105.5778
5.145270 89.141 -105.9359
5.182555 89.176 -106.2976
5.220110 89.210 -106.6629
5.257937 89.244 -107.0316
5.296038 89.277 -107.4031
5.334415 89.309 -107.7768
5.373071 89.340 -108.1522
5.412006 89.370 -108.5285
5.451224 89.400 -108.9054
5.490725 89.429 -109.2828
5.530514 89.457 -109.6605
5.570590 89.484 -110.0387
5.610957 89.510 -110.4173
5.651616 89.536 -110.7961
5.692570 89.561 -111.1746
5.733821 89.585 -111.5523
5.775370 89.609 -111.9287
5.817221 89.633 -112.3033
5.859375 89.656 -112.6759
5.901834 89.679 -113.0464
5.944602 89.701 -113.4147
5.987679 89.723 -113.7812
6.031068 89.745 -114.1457
6.074771 89.767 -114.5084
6.118792 89.789 -114.8693
6.163131 89.811 -115.2284
6.207792 89.833 -115.5855
6.252776 89.855 -115.9407
6.298086 89.878 -116.2940
6.343725 89.900 -116.6455
6.389694 89.924 -116.9958
6.435996 89.947 -117.3452
6.482634 89.971 -117.6942
6.529610 89.995 -118.0433
6.576926 90.020 -118.3926
6.624585 90.046 -118.7425
