* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Oct 1, 2024 12:03:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ELISE AUDIO x Kinera Dark Phoenix
* Measurement: L Oct 1
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	89.018	160.8597
0.368865	89.012	160.8397
0.371538	89.003	160.8096
0.374230	88.992	160.7719
0.376942	88.979	160.7285
0.379673	88.966	160.6807
0.382424	88.952	160.6296
0.385196	88.937	160.5756
0.387987	88.923	160.5192
0.390798	88.908	160.4605
0.393630	88.893	160.3996
0.396483	88.878	160.3365
0.399356	88.862	160.2712
0.402250	88.847	160.2038
0.405165	88.832	160.1342
0.408101	88.816	160.0623
0.411058	88.800	159.9883
0.414037	88.784	159.9119
0.417037	88.768	159.8333
0.420059	88.752	159.7524
0.423103	88.736	159.6692
0.426169	88.720	159.5837
0.429257	88.703	159.4958
0.432368	88.687	159.4055
0.435501	88.670	159.3129
0.438656	88.653	159.2178
0.441835	88.636	159.1203
0.445037	88.619	159.0203
0.448262	88.602	158.9178
0.451510	88.585	158.8129
0.454782	88.567	158.7054
0.458077	88.550	158.5954
0.461397	88.532	158.4829
0.464740	88.514	158.3678
0.468108	88.496	158.2502
0.471500	88.478	158.1300
0.474917	88.460	158.0071
0.478358	88.442	157.8817
0.481825	88.423	157.7536
0.485316	88.405	157.6228
0.488833	88.386	157.4895
0.492375	88.367	157.3534
0.495943	88.348	157.2147
0.499537	88.329	157.0734
0.503157	88.310	156.9293
0.506803	88.290	156.7826
0.510475	88.271	156.6332
0.514175	88.251	156.4811
0.517900	88.231	156.3263
0.521653	88.211	156.1688
0.525434	88.191	156.0087
0.529241	88.171	155.8458
0.533076	88.151	155.6803
0.536939	88.130	155.5122
0.540830	88.109	155.3414
0.544749	88.088	155.1679
0.548696	88.067	154.9919
0.552673	88.046	154.8132
0.556677	88.025	154.6319
0.560711	88.003	154.4481
0.564774	87.982	154.2618
0.568867	87.960	154.0729
0.572989	87.938	153.8816
0.577141	87.916	153.6879
0.581324	87.894	153.4917
0.585536	87.871	153.2932
0.589779	87.849	153.0924
0.594053	87.826	152.8893
0.598358	87.803	152.6840
0.602694	87.780	152.4766
0.607061	87.757	152.2671
0.611460	87.733	152.0556
0.615891	87.710	151.8421
0.620354	87.686	151.6268
0.624849	87.662	151.4096
0.629377	87.638	151.1908
0.633938	87.614	150.9704
0.638532	87.589	150.7484
0.643159	87.565	150.5251
0.647819	87.540	150.3005
0.652514	87.515	150.0747
0.657242	87.490	149.8479
0.662005	87.464	149.6202
0.666802	87.439	149.3917
0.671634	87.413	149.1626
0.676501	87.387	148.9331
0.681403	87.361	148.7032
0.686341	87.335	148.4733
0.691314	87.308	148.2433
0.696324	87.281	148.0137
0.701370	87.254	147.7843
0.706452	87.227	147.5555
0.711571	87.199	147.3273
0.716728	87.170	147.0996
0.721921	87.140	146.8723
0.727153	87.108	146.6448
0.732422	87.074	146.4167
0.737729	87.038	146.1869
0.743075	87.000	145.9546
0.748460	86.960	145.7190
0.753883	86.919	145.4794
0.759346	86.877	145.2354
0.764849	86.834	144.9868
0.770391	86.790	144.7332
0.775974	86.746	144.4745
0.781597	86.701	144.2107
0.787261	86.656	143.9416
0.792966	86.610	143.6672
