* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Dec 20, 2023 11:50:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Edifier X3
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 92.539 158.6519
0.368865 92.484 158.6409
0.371538 92.404 158.6239
0.374230 92.313 158.6032
0.376942 92.219 158.5795
0.379673 92.122 158.5532
0.382424 92.024 158.5244
0.385196 91.926 158.4930
0.387987 91.827 158.4591
0.390798 91.727 158.4227
0.393630 91.626 158.3836
0.396483 91.525 158.3419
0.399356 91.422 158.2976
0.402250 91.320 158.2505
0.405165 91.216 158.2007
0.408101 91.112 158.1480
0.411058 91.006 158.0926
0.414037 90.901 158.0343
0.417037 90.794 157.9730
0.420059 90.686 157.9088
0.423103 90.578 157.8417
0.426169 90.469 157.7714
0.429257 90.359 157.6981
0.432367 90.249 157.6217
0.435501 90.138 157.5421
0.438656 90.025 157.4593
0.441835 89.912 157.3732
0.445037 89.799 157.2838
0.448262 89.684 157.1910
0.451510 89.568 157.0948
0.454782 89.452 156.9951
0.458077 89.335 156.8918
0.461397 89.217 156.7850
0.464740 89.098 156.6746
0.468108 88.978 156.5605
0.471500 88.858 156.4426
0.474917 88.736 156.3209
0.478358 88.614 156.1953
0.481825 88.491 156.0658
0.485316 88.367 155.9323
0.488833 88.242 155.7948
0.492375 88.116 155.6531
0.495943 87.989 155.5072
0.499537 87.861 155.3571
0.503157 87.733 155.2027
0.506803 87.603 155.0438
0.510475 87.472 154.8805
0.514174 87.341 154.7127
0.517900 87.208 154.5403
0.521653 87.075 154.3631
0.525433 86.941 154.1813
0.529241 86.805 153.9946
0.533076 86.669 153.8030
0.536939 86.532 153.6064
0.540830 86.393 153.4048
0.544749 86.254 153.1980
0.548696 86.114 152.9861
0.552673 85.973 152.7688
0.556677 85.830 152.5462
0.560711 85.687 152.3182
0.564774 85.542 152.0847
0.568867 85.397 151.8456
0.572989 85.250 151.6008
0.577141 85.103 151.3503
0.581324 84.954 151.0940
0.585536 84.804 150.8319
0.589779 84.654 150.5638
0.594053 84.502 150.2897
0.598358 84.349 150.0096
0.602694 84.195 149.7234
0.607061 84.039 149.4311
0.611460 83.883 149.1326
0.615891 83.726 148.8279
0.620354 83.567 148.5170
0.624849 83.407 148.1999
0.629377 83.246 147.8766
0.633938 83.084 147.5471
0.638532 82.921 147.2114
0.643159 82.756 146.8697
0.647819 82.591 146.5220
0.652514 82.424 146.1684
0.657242 82.256 145.8091
0.662005 82.087 145.4444
0.666802 81.916 145.0743
0.671634 81.744 144.6992
0.676501 81.571 144.3196
0.681403 81.397 143.9359
0.686341 81.222 143.5485
0.691314 81.045 143.1583
0.696324 80.867 142.7659
0.701369 80.688 142.3725
0.706452 80.507 141.9792
0.711571 80.326 141.5874
0.716727 80.145 141.1987
0.721921 79.968 140.8143
0.727153 79.806 140.4338
0.732422 79.682 140.0519
0.737729 79.622 139.6552
0.743075 79.607 139.2254
0.748460 79.620 138.7453
0.753883 79.649 138.1975
0.759346 79.691 137.5603
0.764849 79.745 136.8036
0.770391 79.810 135.8822
0.775974 79.886 134.7254
0.781597 79.973 133.2143
0.787261 80.071 131.1346
0.792965 80.180 128.0587
0.798712 80.299 123.0049
0.804499 80.429 113.2345
0.810329 80.569 89.2765
0.816201 80.720 35.6878
0.822116 80.880 -1.6053
0.828073 81.050 -15.7878
0.834073 81.230 -22.4353
0.840118 81.419 -26.2432
0.846205 81.618 -28.7254
0.852337 81.825 -30.4912
0.858514 82.041 -31.8288
0.864735 82.266 -32.8914
0.871001 82.498 -33.7677
0.877313 82.739 -34.5126
0.883670 82.987 -35.1619
0.890074 83.242 -35.7397
0.896523 83.504 -36.2632
0.903020 83.773 -36.7448
0.909564 84.047 -37.1935
0.916155 84.328 -37.6165
0.922793 84.613 -38.0192
0.929480 84.903 -38.4058
0.936216 85.198 -38.7798
0.943000 85.496 -39.1439
0.949833 85.798 -39.5006
0.956716 86.102 -39.8518
0.963649 86.408 -40.1990
0.970632 86.716 -40.5438
0.977666 87.025 -40.8874
0.984750 87.333 -41.2309
0.991886 87.642 -41.5753
0.999074 87.949 -41.9214
1.006313 88.255 -42.2701
1.013605 88.558 -42.6221
1.020950 88.857 -42.9782
1.028349 89.152 -43.3390
1.035801 89.442 -43.7052
1.043306 89.726 -44.0774
1.050867 90.002 -44.4561
1.058482 90.271 -44.8421
1.066152 90.531 -45.2358
1.073878 90.781 -45.6379
1.081659 91.021 -46.0490
1.089498 91.250 -46.4697
1.097393 91.468 -46.9007
1.105345 91.679 -47.3423
1.113355 91.886 -47.7946
1.121422 92.091 -48.2568
1.129549 92.294 -48.7277
1.137734 92.495 -49.2063
1.145978 92.696 -49.6915
1.154283 92.895 -50.1821
1.162647 93.093 -50.6773
1.171072 93.290 -51.1762
1.179558 93.485 -51.6778
1.188106 93.679 -52.1815
1.196715 93.872 -52.6864
1.205387 94.063 -53.1921
1.214122 94.253 -53.6978
1.222920 94.442 -54.2030
1.231781 94.629 -54.7072
1.240708 94.815 -55.2100
1.249698 95.000 -55.7109
1.258754 95.183 -56.2094
1.267875 95.364 -56.7054
1.277063 95.544 -57.1984
1.286317 95.723 -57.6882
1.295638 95.900 -58.1745
1.305027 96.076 -58.6571
1.314484 96.250 -59.1358
1.324009 96.423 -59.6104
1.333603 96.594 -60.0807
1.343267 96.764 -60.5467
1.353001 96.933 -61.0081
1.362805 97.099 -61.4650
1.372681 97.265 -61.9172
1.382628 97.429 -62.3647
1.392647 97.591 -62.8074
1.402739 97.752 -63.2454
1.412904 97.911 -63.6785
1.423142 98.069 -64.1068
1.433455 98.226 -64.5305
1.443842 98.380 -64.9498
1.454305 98.534 -65.3656
1.464843 98.685 -65.7797
1.475458 98.833 -66.1955
1.486150 98.978 -66.6161
1.496919 99.120 -67.0427
1.507766 99.258 -67.4756
1.518692 99.392 -67.9144
1.529697 99.523 -68.3585
1.540782 99.650 -68.8074
1.551947 99.774 -69.2606
1.563193 99.895 -69.7174
1.574521 100.012 -70.1774
1.585931 100.127 -70.6400
1.597423 100.238 -71.1046
1.608998 100.346 -71.5709
1.620658 100.452 -72.0384
1.632402 100.555 -72.5065
1.644231 100.656 -72.9747
1.656146 100.755 -73.4428
1.668147 100.851 -73.9102
1.680235 100.945 -74.3765
1.692410 101.038 -74.8413
1.704674 101.129 -75.3042
1.717027 101.219 -75.7648
1.729469 101.307 -76.2228
1.742002 101.395 -76.6777
1.754625 101.481 -77.1293
1.767340 101.568 -77.5772
1.780147 101.654 -78.0211
1.793046 101.739 -78.4608
1.806040 101.826 -78.8963
1.819127 101.912 -79.3284
1.832309 101.998 -79.7594
1.845587 102.083 -80.1934
1.858961 102.166 -80.6339
1.872431 102.247 -81.0823
1.886000 102.326 -81.5386
1.899666 102.402 -82.0023
1.913432 102.476 -82.4726
1.927298 102.548 -82.9485
1.941264 102.617 -83.4291
1.955331 102.685 -83.9135
1.969500 102.750 -84.4007
1.983772 102.813 -84.8898
1.998147 102.874 -85.3797
2.012626 102.934 -85.8693
2.027211 102.991 -86.3578
2.041901 103.047 -86.8440
2.056697 103.102 -87.3268
2.071601 103.154 -87.8051
2.086613 103.206 -88.2779
2.101733 103.256 -88.7439
2.116963 103.305 -89.2021
2.132303 103.353 -89.6512
2.147755 103.400 -90.0901
2.163318 103.447 -90.5180
2.178995 103.492 -90.9345
2.194785 103.537 -91.3409
2.210689 103.580 -91.7408
2.226709 103.621 -92.1387
2.242844 103.660 -92.5369
2.259097 103.697 -92.9361
2.275467 103.731 -93.3361
2.291956 103.763 -93.7365
2.308565 103.793 -94.1366
2.325294 103.821 -94.5355
2.342144 103.847 -94.9325
2.359116 103.872 -95.3268
2.376211 103.894 -95.7172
2.393430 103.915 -96.1030
2.410774 103.935 -96.4829
2.428243 103.953 -96.8558
2.445839 103.971 -97.2206
2.463562 103.987 -97.5759
2.481415 104.002 -97.9204
2.499396 104.017 -98.2527
2.517508 104.031 -98.5715
2.535750 104.045 -98.8754
2.554126 104.059 -99.1639
2.572634 104.071 -99.4375
2.591276 104.082 -99.6982
2.610054 104.091 -99.9475
2.628967 104.099 -100.1863
2.648018 104.104 -100.4149
2.667206 104.107 -100.6336
2.686534 104.109 -100.8423
2.706002 104.110 -101.0412
2.725610 104.109 -101.2301
2.745361 104.108 -101.4090
2.765255 104.105 -101.5780
2.785294 104.103 -101.7367
2.805477 104.100 -101.8851
2.825807 104.098 -102.0231
2.846284 104.096 -102.1504
2.866909 104.094 -102.2667
2.887684 104.094 -102.3718
2.908609 104.095 -102.4648
2.929686 104.096 -102.5443
2.950916 104.099 -102.6083
2.972299 104.101 -102.6550
2.993838 104.103 -102.6839
3.015532 104.106 -102.6957
3.037384 104.108 -102.6916
3.059394 104.110 -102.6728
3.081564 104.112 -102.6408
3.103894 104.116 -102.5972
3.126386 104.119 -102.5435
3.149041 104.124 -102.4814
3.171861 104.130 -102.4127
3.194845 104.137 -102.3392
3.217996 104.146 -102.2628
3.241315 104.156 -102.1852
3.264803 104.169 -102.1075
3.288461 104.183 -102.0294
3.312291 104.200 -101.9480
3.336293 104.220 -101.8590
3.360469 104.241 -101.7606
3.384820 104.265 -101.6531
3.409348 104.290 -101.5380
3.434054 104.318 -101.4175
3.458938 104.347 -101.2938
3.484003 104.377 -101.1693
3.509250 104.409 -101.0465
3.534679 104.441 -100.9280
3.560293 104.475 -100.8163
3.586092 104.509 -100.7140
3.612079 104.543 -100.6234
3.638253 104.578 -100.5463
3.664618 104.613 -100.4832
3.691173 104.650 -100.4322
3.717921 104.688 -100.3913
3.744862 104.728 -100.3591
3.771999 104.769 -100.3352
3.799332 104.812 -100.3196
3.826864 104.855 -100.3121
3.854595 104.898 -100.3127
3.882527 104.941 -100.3217
3.910661 104.983 -100.3389
3.938999 105.025 -100.3645
3.967543 105.064 -100.3988
3.996294 105.102 -100.4422
4.025252 105.138 -100.4961
4.054421 105.172 -100.5622
4.083801 105.205 -100.6422
4.113394 105.237 -100.7357
4.143201 105.268 -100.8411
4.173225 105.297 -100.9561
4.203466 105.325 -101.0783
4.233926 105.351 -101.2050
4.264606 105.376 -101.3335
4.295509 105.398 -101.4612
4.326636 105.418 -101.5856
4.357989 105.435 -101.7050
4.389569 105.450 -101.8196
4.421378 105.461 -101.9321
4.453417 105.469 -102.0462
4.485688 105.474 -102.1629
4.518193 105.477 -102.2806
4.550934 105.476 -102.3968
4.583912 105.474 -102.5082
4.617129 105.469 -102.6114
4.650587 105.463 -102.7027
4.684287 105.455 -102.7785
4.718231 105.446 -102.8356
4.752421 105.435 -102.8717
4.786859 105.422 -102.8873
4.821547 105.407 -102.8841
4.856485 105.390 -102.8635
4.891677 105.370 -102.8256
4.927125 105.348 -102.7700
4.962829 105.326 -102.6961
4.998791 105.304 -102.6033
5.035015 105.282 -102.4906
5.071500 105.263 -102.3570
5.108251 105.245 -102.2011
5.145267 105.229 -102.0202
5.182552 105.215 -101.8119
5.220107 105.201 -101.5761
5.257934 105.189 -101.3150
5.296035 105.177 -101.0325
5.334412 105.169 -100.7329
5.373067 105.162 -100.4211
5.412003 105.160 -100.1018
5.451221 105.161 -99.7786
5.490722 105.167 -99.4526
5.530510 105.178 -99.1206
5.570587 105.194 -98.7791
5.610953 105.214 -98.4291
5.651613 105.239 -98.0750
5.692567 105.266 -97.7227
5.733818 105.297 -97.3787
5.775367 105.331 -97.0495
5.817218 105.367 -96.7404
5.859372 105.405 -96.4543
5.901831 105.447 -96.1900
5.944598 105.493 -95.9450
5.987675 105.542 -95.7184
6.031065 105.593 -95.5110
6.074768 105.646 -95.3239
6.118788 105.699 -95.1587
6.163127 105.751 -95.0172
6.207788 105.801 -94.9011
6.252772 105.850 -94.8123
6.298082 105.899 -94.7517
6.343721 105.946 -94.7175
6.389690 105.993 -94.7060
