* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Dec 20, 2023 11:51:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Edifier X3
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.829 -54.0999
0.368865 79.877 -54.0877
0.371538 79.945 -54.0690
0.374230 80.022 -54.0460
0.376942 80.102 -54.0199
0.379673 80.183 -53.9911
0.382424 80.266 -53.9596
0.385196 80.349 -53.9258
0.387987 80.432 -53.8896
0.390798 80.516 -53.8512
0.393630 80.601 -53.8106
0.396483 80.687 -53.7679
0.399356 80.773 -53.7232
0.402250 80.859 -53.6766
0.405165 80.947 -53.6282
0.408101 81.035 -53.5781
0.411058 81.123 -53.5263
0.414037 81.213 -53.4731
0.417037 81.302 -53.4184
0.420059 81.393 -53.3624
0.423103 81.484 -53.3052
0.426169 81.576 -53.2468
0.429257 81.669 -53.1875
0.432367 81.762 -53.1272
0.435501 81.856 -53.0662
0.438656 81.950 -53.0044
0.441835 82.045 -52.9420
0.445037 82.141 -52.8792
0.448262 82.238 -52.8159
0.451510 82.335 -52.7523
0.454782 82.433 -52.6886
0.458077 82.532 -52.6248
0.461397 82.631 -52.5610
0.464740 82.732 -52.4973
0.468108 82.833 -52.4338
0.471500 82.934 -52.3707
0.474917 83.037 -52.3080
0.478358 83.140 -52.2458
0.481825 83.244 -52.1842
0.485316 83.348 -52.1234
0.488833 83.454 -52.0633
0.492375 83.560 -52.0042
0.495943 83.667 -51.9461
0.499537 83.774 -51.8891
0.503157 83.883 -51.8332
0.506803 83.992 -51.7787
0.510475 84.102 -51.7255
0.514174 84.213 -51.6738
0.517900 84.324 -51.6236
0.521653 84.437 -51.5751
0.525433 84.550 -51.5283
0.529241 84.664 -51.4833
0.533076 84.779 -51.4401
0.536939 84.895 -51.3990
0.540830 85.011 -51.3598
0.544749 85.129 -51.3228
0.548696 85.247 -51.2881
0.552673 85.366 -51.2555
0.556677 85.486 -51.2254
0.560711 85.607 -51.1977
0.564774 85.729 -51.1725
0.568867 85.852 -51.1499
0.572989 85.975 -51.1299
0.577141 86.099 -51.1126
0.581324 86.225 -51.0982
0.585536 86.351 -51.0866
0.589779 86.478 -51.0780
0.594053 86.606 -51.0724
0.598358 86.735 -51.0698
0.602694 86.865 -51.0704
0.607061 86.996 -51.0742
0.611460 87.128 -51.0813
0.615891 87.261 -51.0917
0.620354 87.394 -51.1056
0.624849 87.529 -51.1229
0.629377 87.665 -51.1438
0.633938 87.801 -51.1683
0.638532 87.939 -51.1965
0.643159 88.078 -51.2285
0.647819 88.217 -51.2642
0.652514 88.358 -51.3039
0.657242 88.500 -51.3475
0.662005 88.642 -51.3952
0.666802 88.786 -51.4470
0.671634 88.931 -51.5029
0.676501 89.077 -51.5631
0.681403 89.224 -51.6276
0.686341 89.372 -51.6965
0.691314 89.521 -51.7698
0.696324 89.671 -51.8477
0.701369 89.822 -51.9303
0.706452 89.974 -52.0175
0.711571 90.127 -52.1095
0.716727 90.281 -52.2063
0.721921 90.435 -52.3079
0.727153 90.586 -52.4140
0.732422 90.731 -52.5239
0.737729 90.865 -52.6362
0.743075 90.991 -52.7495
0.748460 91.114 -52.8632
0.753883 91.235 -52.9769
0.759346 91.355 -53.0906
0.764849 91.475 -53.2043
0.770391 91.593 -53.3180
0.775974 91.711 -53.4317
0.781597 91.829 -53.5457
0.787261 91.946 -53.6598
0.792965 92.062 -53.7741
0.798712 92.177 -53.8888
0.804499 92.292 -54.0038
0.810329 92.406 -54.1193
0.816201 92.519 -54.2353
0.822116 92.632 -54.3519
0.828073 92.744 -54.4691
0.834073 92.856 -54.5870
0.840118 92.966 -54.7057
0.846205 93.077 -54.8253
0.852337 93.186 -54.9458
0.858514 93.295 -55.0673
0.864735 93.404 -55.1899
0.871001 93.512 -55.3137
0.877313 93.619 -55.4387
0.883670 93.726 -55.5651
0.890074 93.832 -55.6929
0.896523 93.938 -55.8222
0.903020 94.043 -55.9531
0.909564 94.148 -56.0857
0.916155 94.252 -56.2201
0.922793 94.356 -56.3564
0.929480 94.459 -56.4947
0.936216 94.563 -56.6350
0.943000 94.665 -56.7776
0.949833 94.768 -56.9224
0.956716 94.870 -57.0696
0.963649 94.972 -57.2193
0.970632 95.074 -57.3717
0.977666 95.176 -57.5268
0.984750 95.277 -57.6848
0.991886 95.379 -57.8457
0.999074 95.480 -58.0098
1.006313 95.582 -58.1771
1.013605 95.684 -58.3478
1.020950 95.785 -58.5220
1.028349 95.887 -58.6999
1.035801 95.989 -58.8816
1.043306 96.092 -59.0673
1.050867 96.194 -59.2571
1.058482 96.298 -59.4512
1.066152 96.401 -59.6498
1.073878 96.505 -59.8530
1.081659 96.610 -60.0611
1.089498 96.715 -60.2741
1.097393 96.821 -60.4921
1.105345 96.927 -60.7151
1.113355 97.033 -60.9427
1.121422 97.138 -61.1748
1.129549 97.242 -61.4111
1.137734 97.345 -61.6515
1.145978 97.448 -61.8956
1.154283 97.550 -62.1434
1.162647 97.652 -62.3946
1.171072 97.752 -62.6491
1.179558 97.852 -62.9067
1.188106 97.952 -63.1671
1.196715 98.050 -63.4304
1.205387 98.148 -63.6962
1.214122 98.245 -63.9645
1.222920 98.342 -64.2350
1.231781 98.438 -64.5077
1.240708 98.533 -64.7823
1.249698 98.628 -65.0588
1.258754 98.722 -65.3371
1.267875 98.815 -65.6169
1.277063 98.908 -65.8982
1.286317 99.001 -66.1809
1.295638 99.093 -66.4648
1.305027 99.184 -66.7498
1.314484 99.275 -67.0359
1.324009 99.366 -67.3230
1.333603 99.456 -67.6109
1.343267 99.545 -67.8996
1.353001 99.635 -68.1890
1.362805 99.724 -68.4790
1.372681 99.813 -68.7696
1.382628 99.901 -69.0607
1.392647 99.989 -69.3523
1.402739 100.077 -69.6442
1.412904 100.166 -69.9366
1.423142 100.253 -70.2292
1.433455 100.341 -70.5222
1.443842 100.429 -70.8156
1.454305 100.517 -71.1097
1.464843 100.605 -71.4050
1.475458 100.692 -71.7029
1.486150 100.779 -72.0042
1.496919 100.865 -72.3096
1.507766 100.950 -72.6189
1.518692 101.034 -72.9321
1.529697 101.117 -73.2490
1.540782 101.199 -73.5692
1.551947 101.280 -73.8925
1.563193 101.361 -74.2188
1.574521 101.441 -74.5476
1.585931 101.519 -74.8789
1.597423 101.597 -75.2123
1.608998 101.675 -75.5477
1.620658 101.751 -75.8848
1.632402 101.827 -76.2234
1.644231 101.901 -76.5632
1.656146 101.975 -76.9041
1.668147 102.049 -77.2459
1.680235 102.121 -77.5883
1.692410 102.193 -77.9311
1.704674 102.265 -78.2741
1.717027 102.335 -78.6172
1.729469 102.405 -78.9602
1.742002 102.475 -79.3028
1.754625 102.544 -79.6449
1.767340 102.613 -79.9863
1.780147 102.681 -80.3269
1.793046 102.748 -80.6666
1.806040 102.815 -81.0053
1.819127 102.882 -81.3435
1.832309 102.948 -81.6824
1.845587 103.014 -82.0239
1.858961 103.078 -82.3699
1.872431 103.142 -82.7210
1.886000 103.204 -83.0772
1.899666 103.265 -83.4383
1.913432 103.325 -83.8036
1.927298 103.384 -84.1728
1.941264 103.441 -84.5452
1.955331 103.498 -84.9204
1.969500 103.554 -85.2979
1.983772 103.608 -85.6770
1.998147 103.662 -86.0572
2.012626 103.714 -86.4380
2.027211 103.766 -86.8187
2.041901 103.817 -87.1988
2.056697 103.866 -87.5776
2.071601 103.915 -87.9546
2.086613 103.963 -88.3291
2.101733 104.011 -88.7006
2.116963 104.057 -89.0683
2.132303 104.103 -89.4315
2.147755 104.148 -89.7898
2.163318 104.193 -90.1426
2.178995 104.237 -90.4899
2.194785 104.280 -90.8323
2.210689 104.322 -91.1720
2.226709 104.364 -91.5116
2.242844 104.403 -91.8525
2.259097 104.442 -92.1950
2.275467 104.479 -92.5388
2.291956 104.514 -92.8836
2.308565 104.549 -93.2290
2.325294 104.582 -93.5743
2.342144 104.614 -93.9191
2.359116 104.645 -94.2626
2.376211 104.674 -94.6044
2.393430 104.703 -94.9437
2.410774 104.731 -95.2799
2.428243 104.758 -95.6123
2.445839 104.784 -95.9401
2.463562 104.809 -96.2625
2.481415 104.833 -96.5786
2.499396 104.857 -96.8878
2.517508 104.881 -97.1891
2.535750 104.904 -97.4819
2.554126 104.926 -97.7661
2.572634 104.948 -98.0424
2.591276 104.969 -98.3124
2.610054 104.988 -98.5774
2.628967 105.006 -98.8379
2.648018 105.023 -99.0939
2.667206 105.038 -99.3455
2.686534 105.052 -99.5923
2.706002 105.065 -99.8343
2.725610 105.078 -100.0711
2.745361 105.089 -100.3025
2.765255 105.100 -100.5281
2.785294 105.110 -100.7477
2.805477 105.120 -100.9608
2.825807 105.129 -101.1671
2.846284 105.138 -101.3662
2.866909 105.147 -101.5576
2.887684 105.157 -101.7407
2.908609 105.166 -101.9151
2.929686 105.175 -102.0804
2.950916 105.184 -102.2360
2.972299 105.193 -102.3818
2.993838 105.201 -102.5180
3.015532 105.208 -102.6448
3.037384 105.214 -102.7626
3.059394 105.220 -102.8717
3.081564 105.226 -102.9725
3.103894 105.232 -103.0654
3.126386 105.237 -103.1507
3.149041 105.242 -103.2290
3.171861 105.248 -103.3005
3.194845 105.254 -103.3657
3.217996 105.260 -103.4247
3.241315 105.268 -103.4772
3.264803 105.276 -103.5213
3.288461 105.284 -103.5527
3.312291 105.294 -103.5664
3.336293 105.304 -103.5664
3.360469 105.315 -103.5600
3.384820 105.326 -103.5514
3.409348 105.337 -103.5421
3.434054 105.349 -103.5326
3.458938 105.362 -103.5228
3.484003 105.375 -103.5123
3.509250 105.388 -103.5007
3.534679 105.402 -103.4876
3.560293 105.417 -103.4728
3.586092 105.432 -103.4557
3.612079 105.448 -103.4359
3.638253 105.465 -103.4133
3.664618 105.483 -103.3874
3.691173 105.501 -103.3582
3.717921 105.521 -103.3255
3.744862 105.541 -103.2895
3.771999 105.563 -103.2508
3.799332 105.585 -103.2099
3.826864 105.608 -103.1675
3.854595 105.632 -103.1246
3.882527 105.655 -103.0817
3.910661 105.680 -103.0398
3.938999 105.704 -102.9997
3.967543 105.728 -102.9622
3.996294 105.753 -102.9280
4.025252 105.777 -102.8974
4.054421 105.801 -102.8704
4.083801 105.826 -102.8464
4.113394 105.851 -102.8250
4.143201 105.876 -102.8059
4.173225 105.902 -102.7887
4.203466 105.927 -102.7732
4.233926 105.953 -102.7590
4.264606 105.978 -102.7459
4.295509 106.003 -102.7336
4.326636 106.027 -102.7217
4.357989 106.050 -102.7104
4.389569 106.073 -102.6997
4.421378 106.095 -102.6904
4.453417 106.116 -102.6833
4.485688 106.137 -102.6781
4.518193 106.157 -102.6745
4.550934 106.177 -102.6714
4.583912 106.196 -102.6680
4.617129 106.214 -102.6630
4.650587 106.232 -102.6555
4.684287 106.249 -102.6444
4.718231 106.266 -102.6288
4.752421 106.282 -102.6083
4.786859 106.298 -102.5831
4.821547 106.312 -102.5541
4.856485 106.326 -102.5217
4.891677 106.339 -102.4857
4.927125 106.352 -102.4457
4.962829 106.364 -102.4013
4.998791 106.375 -102.3519
5.035015 106.387 -102.2968
5.071500 106.399 -102.2356
5.108251 106.411 -102.1677
5.145267 106.424 -102.0924
5.182552 106.436 -102.0096
5.220107 106.448 -101.9194
5.257934 106.460 -101.8224
5.296035 106.472 -101.7193
5.334412 106.485 -101.6110
5.373067 106.498 -101.4983
5.412003 106.511 -101.3820
5.451221 106.526 -101.2627
5.490722 106.541 -101.1404
5.530510 106.557 -101.0141
5.570587 106.575 -100.8831
5.610953 106.593 -100.7476
5.651613 106.611 -100.6087
5.692567 106.631 -100.4679
5.733818 106.651 -100.3267
5.775367 106.672 -100.1867
5.817218 106.693 -100.0494
5.859372 106.716 -99.9152
5.901831 106.739 -99.7837
5.944598 106.763 -99.6541
5.987675 106.787 -99.5265
6.031065 106.813 -99.4010
6.074768 106.838 -99.2785
