* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Sep 13, 2024 12:26:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: FIIO FD15 Red
* Measurement: L FIIO FD15 Red
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	77.971	-172.3918
0.368865	77.974	-172.4001
0.371538	77.978	-172.4125
0.374230	77.983	-172.4279
0.376942	77.988	-172.4453
0.379673	77.994	-172.4641
0.382424	78.000	-172.4837
0.385196	78.006	-172.5041
0.387987	78.012	-172.5249
0.390798	78.019	-172.5462
0.393630	78.025	-172.5679
0.396483	78.032	-172.5899
0.399356	78.038	-172.6122
0.402250	78.045	-172.6349
0.405165	78.051	-172.6580
0.408101	78.058	-172.6814
0.411058	78.065	-172.7051
0.414037	78.072	-172.7293
0.417037	78.079	-172.7538
0.420059	78.085	-172.7787
0.423103	78.092	-172.8041
0.426169	78.099	-172.8298
0.429257	78.106	-172.8560
0.432368	78.114	-172.8826
0.435501	78.121	-172.9096
0.438656	78.128	-172.9370
0.441835	78.135	-172.9650
0.445037	78.142	-172.9934
0.448262	78.150	-173.0223
0.451510	78.157	-173.0516
0.454782	78.165	-173.0815
0.458077	78.172	-173.1119
0.461397	78.180	-173.1428
0.464740	78.187	-173.1743
0.468108	78.195	-173.2063
0.471500	78.203	-173.2389
0.474917	78.211	-173.2721
0.478358	78.219	-173.3058
0.481825	78.226	-173.3402
0.485316	78.234	-173.3752
0.488833	78.243	-173.4108
0.492375	78.251	-173.4471
0.495943	78.259	-173.4841
0.499537	78.267	-173.5218
0.503157	78.275	-173.5601
0.506803	78.284	-173.5992
0.510475	78.292	-173.6391
0.514175	78.300	-173.6797
0.517900	78.309	-173.7210
0.521653	78.317	-173.7632
0.525434	78.326	-173.8062
0.529241	78.335	-173.8501
0.533076	78.344	-173.8948
0.536939	78.352	-173.9404
0.540830	78.361	-173.9869
0.544749	78.370	-174.0343
0.548696	78.379	-174.0828
0.552673	78.388	-174.1322
0.556677	78.397	-174.1826
0.560711	78.407	-174.2340
0.564774	78.416	-174.2866
0.568867	78.425	-174.3402
0.572989	78.435	-174.3950
0.577141	78.444	-174.4509
0.581324	78.454	-174.5080
0.585536	78.463	-174.5663
0.589779	78.473	-174.6260
0.594053	78.483	-174.6869
0.598358	78.493	-174.7491
0.602694	78.503	-174.8128
0.607061	78.513	-174.8778
0.611460	78.523	-174.9443
0.615891	78.533	-175.0123
0.620354	78.543	-175.0819
0.624849	78.553	-175.1531
0.629377	78.563	-175.2259
0.633938	78.574	-175.3004
0.638532	78.584	-175.3766
0.643159	78.595	-175.4547
0.647819	78.606	-175.5346
0.652514	78.616	-175.6165
0.657242	78.627	-175.7003
0.662005	78.638	-175.7862
0.666802	78.649	-175.8742
0.671634	78.660	-175.9643
0.676501	78.671	-176.0568
0.681403	78.682	-176.1515
0.686341	78.694	-176.2487
0.691314	78.705	-176.3484
0.696324	78.716	-176.4507
0.701370	78.727	-176.5557
0.706452	78.739	-176.6635
0.711571	78.750	-176.7742
0.716728	78.760	-176.8881
0.721921	78.770	-177.0052
0.727153	78.778	-177.1258
0.732422	78.785	-177.2501
0.737729	78.791	-177.3785
0.743075	78.794	-177.5112
0.748460	78.797	-177.6483
0.753883	78.798	-177.7901
0.759346	78.799	-177.9366
0.764849	78.799	-178.0879
0.770391	78.799	-178.2440
0.775974	78.799	-178.4049
0.781597	78.799	-178.5706
0.787261	78.798	-178.7411
0.792966	78.797	-178.9164
0.798712	78.796	-179.0965
0.804500	78.794	-179.2813
0.810329	78.792	-179.4708
0.816201	78.790	-179.6650
0.822116	78.788	-179.8638
0.828073	78.785	179.9327
0.834074	78.782	179.7247
0.840118	78.778	179.5121
0.846206	78.774	179.2949
0.852338	78.770	179.0733
0.858514	78.765	178.8473
0.864735	78.760	178.6168
0.871001	78.754	178.3820
0.877313	78.747	178.1429
0.883670	78.740	177.8994
0.890074	78.733	177.6518
0.896524	78.724	177.4000
0.903020	78.715	177.1441
0.909564	78.705	176.8841
0.916155	78.695	176.6201
0.922794	78.683	176.3521
0.929481	78.671	176.0801
0.936216	78.658	175.8044
0.943000	78.644	175.5247
0.949834	78.629	175.2414
0.956717	78.613	174.9543
0.963649	78.596	174.6635
0.970632	78.578	174.3692
0.977666	78.559	174.0712
0.984750	78.538	173.7698
0.991886	78.517	173.4649
0.999074	78.494	173.1566
1.006314	78.469	172.8448
1.013606	78.443	172.5298
1.020951	78.416	172.2114
1.028349	78.387	171.8898
1.035801	78.357	171.5648
1.043307	78.325	171.2366
1.050867	78.291	170.9050
1.058482	78.256	170.5699
1.066152	78.219	170.2312
1.073878	78.179	169.8883
1.081660	78.138	169.5406
1.089498	78.095	169.1870
1.097393	78.049	168.8260
1.105345	78.001	168.4559
1.113355	77.951	168.0746
1.121423	77.899	167.6807
