* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Dec 15, 2023 12:06:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Fir Audio Neon 4
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.502 -6.7445
0.368865 62.521 -6.7014
0.371538 62.548 -6.6389
0.374230 62.578 -6.5677
0.376942 62.610 -6.4924
0.379673 62.643 -6.4148
0.382424 62.675 -6.3354
0.385196 62.708 -6.2545
0.387987 62.741 -6.1720
0.390798 62.775 -6.0879
0.393630 62.809 -6.0022
0.396483 62.842 -5.9150
0.399356 62.877 -5.8262
0.402250 62.911 -5.7357
0.405165 62.946 -5.6437
0.408101 62.981 -5.5500
0.411058 63.016 -5.4546
0.414037 63.051 -5.3577
0.417037 63.087 -5.2590
0.420059 63.123 -5.1587
0.423103 63.159 -5.0568
0.426169 63.196 -4.9531
0.429257 63.233 -4.8478
0.432367 63.270 -4.7408
0.435501 63.307 -4.6322
0.438656 63.344 -4.5218
0.441835 63.382 -4.4098
0.445037 63.420 -4.2960
0.448262 63.459 -4.1806
0.451510 63.497 -4.0635
0.454782 63.536 -3.9448
0.458077 63.575 -3.8243
0.461397 63.615 -3.7022
0.464740 63.655 -3.5785
0.468108 63.695 -3.4531
0.471500 63.735 -3.3261
0.474917 63.776 -3.1975
0.478358 63.817 -3.0672
0.481825 63.858 -2.9354
0.485316 63.900 -2.8020
0.488833 63.941 -2.6671
0.492375 63.984 -2.5307
0.495943 64.026 -2.3928
0.499537 64.069 -2.2534
0.503157 64.112 -2.1126
0.506803 64.155 -1.9704
0.510475 64.199 -1.8269
0.514174 64.243 -1.6820
0.517900 64.287 -1.5358
0.521653 64.332 -1.3884
0.525433 64.377 -1.2398
0.529241 64.422 -1.0901
0.533076 64.468 -0.9392
0.536939 64.514 -0.7873
0.540830 64.560 -0.6344
0.544749 64.607 -0.4806
0.548696 64.654 -0.3260
0.552673 64.701 -0.1705
0.556677 64.749 -0.0143
0.560711 64.797 0.1426
0.564774 64.845 0.3001
0.568867 64.894 0.4581
0.572989 64.943 0.6165
0.577141 64.992 0.7753
0.581324 65.042 0.9343
0.585536 65.092 1.0936
0.589779 65.143 1.2529
0.594053 65.194 1.4123
0.598358 65.245 1.5715
0.602694 65.297 1.7306
0.607061 65.348 1.8894
0.611460 65.401 2.0478
0.615891 65.454 2.2057
0.620354 65.507 2.3630
0.624849 65.560 2.5196
0.629377 65.614 2.6754
0.633938 65.668 2.8303
0.638532 65.723 2.9841
0.643159 65.778 3.1368
0.647819 65.834 3.2882
0.652514 65.889 3.4383
0.657242 65.946 3.5869
0.662005 66.002 3.7338
0.666802 66.059 3.8791
0.671634 66.117 4.0225
0.676501 66.175 4.1639
0.681403 66.233 4.3033
0.686341 66.292 4.4405
0.691314 66.351 4.5754
0.696324 66.411 4.7079
0.701369 66.471 4.8379
0.706452 66.531 4.9652
0.711571 66.592 5.0899
0.716727 66.654 5.2117
0.721921 66.717 5.3308
0.727153 66.782 5.4477
0.732422 66.851 5.5632
0.737729 66.927 5.6793
0.743075 67.008 5.7980
0.748460 67.092 5.9199
0.753883 67.178 6.0452
0.759346 67.267 6.1737
0.764849 67.357 6.3051
0.770391 67.449 6.4390
0.775974 67.542 6.5751
0.781597 67.638 6.7129
0.787261 67.735 6.8521
0.792965 67.833 6.9923
0.798712 67.934 7.1332
0.804499 68.036 7.2744
0.810329 68.140 7.4155
0.816201 68.246 7.5561
0.822116 68.353 7.6960
0.828073 68.462 7.8347
0.834073 68.573 7.9719
0.840118 68.685 8.1072
0.846205 68.798 8.2403
0.852337 68.914 8.3709
0.858514 69.030 8.4986
0.864735 69.149 8.6231
0.871001 69.269 8.7441
0.877313 69.390 8.8612
0.883670 69.512 8.9741
0.890074 69.636 9.0826
0.896523 69.762 9.1863
0.903020 69.889 9.2849
0.909564 70.016 9.3781
0.916155 70.146 9.4657
0.922793 70.276 9.5474
0.929480 70.407 9.6229
0.936216 70.540 9.6919
0.943000 70.673 9.7542
0.949833 70.808 9.8095
0.956716 70.943 9.8576
0.963649 71.079 9.8982
0.970632 71.216 9.9311
0.977666 71.354 9.9562
0.984750 71.492 9.9731
0.991886 71.631 9.9816
0.999074 71.771 9.9817
1.006313 71.910 9.9729
1.013605 72.050 9.9553
1.020950 72.191 9.9285
1.028349 72.331 9.8924
1.035801 72.472 9.8469
1.043306 72.612 9.7917
1.050867 72.752 9.7268
1.058482 72.892 9.6519
1.066152 73.032 9.5670
1.073878 73.171 9.4720
1.081659 73.310 9.3669
1.089498 73.448 9.2525
1.097393 73.586 9.1300
1.105345 73.723 9.0027
1.113355 73.861 8.8737
1.121422 74.000 8.7448
1.129549 74.139 8.6166
1.137734 74.279 8.4889
1.145978 74.419 8.3615
1.154283 74.560 8.2341
1.162647 74.702 8.1064
1.171072 74.845 7.9779
1.179558 74.988 7.8484
1.188106 75.132 7.7176
1.196715 75.277 7.5850
1.205387 75.422 7.4503
1.214122 75.567 7.3133
1.222920 75.713 7.1736
1.231781 75.860 7.0310
1.240708 76.007 6.8850
1.249698 76.155 6.7354
1.258754 76.303 6.5818
1.267875 76.451 6.4241
1.277063 76.600 6.2619
1.286317 76.750 6.0949
1.295638 76.899 5.9228
1.305027 77.049 5.7454
1.314484 77.199 5.5623
1.324009 77.349 5.3733
1.333603 77.500 5.1781
1.343267 77.650 4.9764
1.353001 77.801 4.7679
1.362805 77.952 4.5525
1.372681 78.103 4.3297
1.382628 78.254 4.0993
1.392647 78.404 3.8611
1.402739 78.555 3.6147
1.412904 78.705 3.3599
1.423142 78.855 3.0965
1.433455 79.005 2.8241
1.443842 79.155 2.5428
1.454305 79.304 2.2528
1.464843 79.453 1.9554
1.475458 79.602 1.6529
1.486150 79.750 1.3476
1.496919 79.898 1.0409
1.507766 80.045 0.7330
1.518692 80.193 0.4239
1.529697 80.339 0.1136
1.540782 80.486 -0.1982
1.551947 80.632 -0.5117
1.563193 80.778 -0.8271
1.574521 80.924 -1.1447
1.585931 81.069 -1.4647
1.597423 81.214 -1.7873
1.608998 81.359 -2.1127
1.620658 81.503 -2.4414
1.632402 81.647 -2.7734
1.644231 81.791 -3.1092
1.656146 81.934 -3.4489
1.668147 82.077 -3.7929
1.680235 82.220 -4.1414
1.692410 82.363 -4.4948
1.704674 82.505 -4.8533
1.717027 82.647 -5.2173
1.729469 82.789 -5.5870
1.742002 82.930 -5.9629
1.754625 83.072 -6.3452
1.767340 83.213 -6.7343
1.780147 83.354 -7.1306
1.793046 83.495 -7.5343
1.806040 83.635 -7.9458
1.819127 83.776 -8.3651
1.832309 83.916 -8.7922
1.845587 84.055 -9.2262
1.858961 84.194 -9.6662
1.872431 84.332 -10.1115
1.886000 84.470 -10.5615
1.899666 84.606 -11.0158
1.913432 84.742 -11.4740
1.927298 84.877 -11.9357
1.941264 85.012 -12.4007
1.955331 85.145 -12.8687
1.969500 85.278 -13.3394
1.983772 85.411 -13.8126
1.998147 85.542 -14.2883
2.012626 85.673 -14.7661
2.027211 85.804 -15.2461
2.041901 85.933 -15.7281
2.056697 86.062 -16.2121
2.071601 86.191 -16.6981
2.086613 86.319 -17.1861
2.101733 86.447 -17.6762
2.116963 86.574 -18.1684
2.132303 86.701 -18.6628
2.147755 86.827 -19.1596
2.163318 86.953 -19.6591
2.178995 87.079 -20.1617
2.194785 87.204 -20.6680
2.210689 87.328 -21.1792
2.226709 87.452 -21.6962
2.242844 87.574 -22.2191
2.259097 87.696 -22.7476
2.275467 87.816 -23.2810
2.291956 87.936 -23.8188
2.308565 88.054 -24.3602
2.325294 88.172 -24.9047
2.342144 88.288 -25.4516
2.359116 88.404 -26.0004
2.376211 88.519 -26.5507
2.393430 88.633 -27.1018
2.410774 88.746 -27.6534
2.428243 88.858 -28.2050
2.445839 88.970 -28.7562
2.463562 89.081 -29.3068
2.481415 89.191 -29.8563
2.499396 89.301 -30.4046
2.517508 89.410 -30.9514
2.535750 89.519 -31.4970
2.554126 89.627 -32.0420
2.572634 89.734 -32.5880
2.591276 89.840 -33.1375
2.610054 89.945 -33.6917
2.628967 90.049 -34.2508
2.648018 90.152 -34.8141
2.667206 90.254 -35.3809
2.686534 90.354 -35.9505
2.706002 90.453 -36.5220
2.725610 90.552 -37.0946
2.745361 90.649 -37.6675
2.765255 90.745 -38.2398
2.785294 90.841 -38.8109
2.805477 90.936 -39.3799
2.825807 91.030 -39.9460
2.846284 91.123 -40.5087
2.866909 91.216 -41.0672
2.887684 91.308 -41.6211
2.908609 91.400 -42.1703
2.929686 91.491 -42.7158
2.950916 91.581 -43.2601
2.972299 91.670 -43.8052
2.993838 91.758 -44.3522
3.015532 91.844 -44.9009
3.037384 91.930 -45.4510
3.059394 92.014 -46.0015
3.081564 92.097 -46.5520
3.103894 92.180 -47.1014
3.126386 92.261 -47.6491
3.149041 92.342 -48.1942
3.171861 92.422 -48.7358
3.194845 92.502 -49.2733
3.217996 92.581 -49.8056
3.241315 92.660 -50.3321
3.264803 92.738 -50.8523
3.288461 92.816 -51.3664
3.312291 92.894 -51.8753
3.336293 92.970 -52.3812
3.360469 93.046 -52.8850
3.384820 93.121 -53.3871
3.409348 93.195 -53.8874
3.434054 93.268 -54.3857
3.458938 93.341 -54.8815
3.484003 93.413 -55.3746
3.509250 93.484 -55.8645
3.534679 93.556 -56.3506
3.560293 93.626 -56.8326
3.586092 93.697 -57.3100
3.612079 93.768 -57.7823
3.638253 93.839 -58.2491
3.664618 93.910 -58.7104
3.691173 93.981 -59.1666
3.717921 94.051 -59.6183
3.744862 94.121 -60.0660
3.771999 94.191 -60.5101
3.799332 94.260 -60.9509
3.826864 94.329 -61.3886
3.854595 94.398 -61.8233
3.882527 94.467 -62.2554
3.910661 94.535 -62.6850
3.938999 94.604 -63.1121
3.967543 94.673 -63.5370
3.996294 94.743 -63.9595
4.025252 94.813 -64.3795
4.054421 94.883 -64.7967
4.083801 94.953 -65.2106
4.113394 95.023 -65.6214
4.143201 95.094 -66.0295
4.173225 95.164 -66.4353
4.203466 95.235 -66.8395
4.233926 95.305 -67.2427
4.264606 95.376 -67.6453
4.295509 95.447 -68.0480
4.326636 95.518 -68.4514
4.357989 95.589 -68.8558
4.389569 95.661 -69.2614
4.421378 95.732 -69.6678
4.453417 95.804 -70.0745
4.485688 95.876 -70.4813
4.518193 95.948 -70.8883
4.550934 96.021 -71.2957
4.583912 96.093 -71.7039
4.617129 96.165 -72.1131
4.650587 96.237 -72.5238
4.684287 96.309 -72.9363
4.718231 96.381 -73.3511
4.752421 96.453 -73.7684
4.786859 96.524 -74.1886
4.821547 96.595 -74.6116
4.856485 96.666 -75.0373
4.891677 96.737 -75.4653
4.927125 96.808 -75.8953
4.962829 96.878 -76.3269
4.998791 96.948 -76.7598
5.035015 97.017 -77.1938
5.071500 97.086 -77.6286
5.108251 97.154 -78.0644
5.145267 97.222 -78.5018
5.182552 97.288 -78.9416
5.220107 97.355 -79.3840
5.257934 97.420 -79.8286
5.296035 97.485 -80.2746
5.334412 97.550 -80.7212
5.373067 97.613 -81.1674
5.412003 97.676 -81.6124
5.451221 97.739 -82.0557
5.490722 97.800 -82.4972
5.530510 97.861 -82.9377
5.570587 97.921 -83.3781
5.610953 97.980 -83.8186
5.651613 98.039 -84.2586
5.692567 98.096 -84.6974
5.733818 98.153 -85.1342
5.775367 98.210 -85.5680
5.817218 98.266 -85.9981
5.859372 98.322 -86.4242
5.901831 98.377 -86.8469
5.944598 98.431 -87.2666
5.987675 98.485 -87.6838
6.031065 98.539 -88.0983
6.074768 98.592 -88.5100
6.118788 98.644 -88.9186
6.163127 98.697 -89.3238
6.207788 98.749 -89.7252
6.252772 98.802 -90.1228
6.298082 98.854 -90.5166
6.343721 98.906 -90.9069
6.389690 98.958 -91.2941
6.435992 99.009 -91.6788
6.482630 99.061 -92.0613
