* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Sep 4, 2024 12:51:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HZSOUND Luna L
* Measurement: L HZSOUND Luna
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	83.610	158.5953
0.368865	83.604	158.5723
0.371538	83.595	158.5379
0.374230	83.584	158.4947
0.376942	83.572	158.4449
0.379673	83.559	158.3901
0.382424	83.545	158.3315
0.385196	83.530	158.2697
0.387987	83.516	158.2052
0.390798	83.501	158.1380
0.393630	83.487	158.0683
0.396483	83.472	157.9961
0.399356	83.457	157.9214
0.402250	83.441	157.8443
0.405165	83.426	157.7647
0.408101	83.411	157.6825
0.411058	83.395	157.5978
0.414037	83.380	157.5106
0.417037	83.364	157.4208
0.420059	83.348	157.3283
0.423103	83.332	157.2332
0.426169	83.316	157.1355
0.429257	83.300	157.0351
0.432368	83.283	156.9319
0.435501	83.267	156.8260
0.438656	83.250	156.7174
0.441835	83.234	156.6060
0.445037	83.217	156.4917
0.448262	83.200	156.3747
0.451510	83.183	156.2548
0.454782	83.166	156.1320
0.458077	83.149	156.0064
0.461397	83.131	155.8778
0.464740	83.114	155.7463
0.468108	83.096	155.6118
0.471500	83.078	155.4744
0.474917	83.060	155.3340
0.478358	83.042	155.1906
0.481825	83.024	155.0442
0.485316	83.006	154.8947
0.488833	82.987	154.7422
0.492375	82.969	154.5867
0.495943	82.950	154.4281
0.499537	82.931	154.2664
0.503157	82.912	154.1016
0.506803	82.893	153.9338
0.510475	82.874	153.7628
0.514175	82.854	153.5888
0.517900	82.835	153.4116
0.521653	82.815	153.2313
0.525434	82.795	153.0480
0.529241	82.775	152.8615
0.533076	82.755	152.6720
0.536939	82.735	152.4793
0.540830	82.715	152.2836
0.544749	82.694	152.0848
0.548696	82.673	151.8830
0.552673	82.652	151.6782
0.556677	82.631	151.4703
0.560711	82.610	151.2595
