* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Sep 4, 2024 12:52:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HZSOUND Luna R
* Measurement: R HZSOUND Luna
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	83.728	158.1293
0.368865	83.722	158.1059
0.371538	83.713	158.0708
0.374230	83.702	158.0267
0.376942	83.689	157.9759
0.379673	83.676	157.9201
0.382424	83.662	157.8603
0.385196	83.647	157.7973
0.387987	83.633	157.7314
0.390798	83.618	157.6628
0.393630	83.603	157.5917
0.396483	83.588	157.5180
0.399356	83.573	157.4418
0.402250	83.557	157.3631
0.405165	83.542	157.2818
0.408101	83.526	157.1979
0.411058	83.511	157.1115
0.414037	83.495	157.0224
0.417037	83.479	156.9306
0.420059	83.463	156.8362
0.423103	83.447	156.7391
0.426169	83.431	156.6393
0.429257	83.414	156.5367
0.432368	83.398	156.4314
0.435501	83.381	156.3232
0.438656	83.365	156.2122
0.441835	83.348	156.0984
0.445037	83.331	155.9817
0.448262	83.314	155.8621
0.451510	83.297	155.7395
0.454782	83.279	155.6141
0.458077	83.262	155.4857
0.461397	83.244	155.3543
0.464740	83.226	155.2199
0.468108	83.209	155.0824
0.471500	83.191	154.9420
0.474917	83.173	154.7984
0.478358	83.154	154.6519
0.481825	83.136	154.5022
0.485316	83.118	154.3494
0.488833	83.099	154.1935
0.492375	83.080	154.0344
0.495943	83.061	153.8723
0.499537	83.042	153.7069
0.503157	83.023	153.5384
0.506803	83.004	153.3668
0.510475	82.984	153.1920
0.514175	82.965	153.0140
0.517900	82.945	152.8328
0.521653	82.925	152.6484
0.525434	82.905	152.4609
0.529241	82.885	152.2702
0.533076	82.865	152.0763
0.536939	82.844	151.8792
0.540830	82.824	151.6791
0.544749	82.803	151.4757
0.548696	82.782	151.2693
0.552673	82.761	151.0597
0.556677	82.740	150.8471
0.560711	82.718	150.6314
0.564774	82.697	150.4127
0.568867	82.675	150.1910
0.572989	82.653	149.9663
0.577141	82.631	149.7386
0.581324	82.609	149.5081
0.585536	82.587	149.2748
0.589779	82.564	149.0387
0.594053	82.542	148.7998
0.598358	82.519	148.5582
0.602694	82.496	148.3141
0.607061	82.473	148.0674
0.611460	82.450	147.8182
0.615891	82.426	147.5666
0.620354	82.402	147.3127
0.624849	82.379	147.0565
0.629377	82.355	146.7983
0.633938	82.331	146.5380
0.638532	82.306	146.2758
0.643159	82.282	146.0118
0.647819	82.257	145.7461
0.652514	82.232	145.4789
0.657242	82.207	145.2103
0.662005	82.182	144.9404
0.666802	82.157	144.6694
0.671634	82.131	144.3974
0.676501	82.105	144.1247
0.681403	82.079	143.8513
0.686341	82.053	143.5776
0.691314	82.027	143.3036
0.696324	82.000	143.0296
0.701370	81.973	142.7557
0.706452	81.946	142.4820
0.711571	81.918	142.2086
0.716728	81.889	141.9355
0.721921	81.859	141.6624
0.727153	81.828	141.3889
0.732422	81.794	141.1140
0.737729	81.759	140.8369
0.743075	81.721	140.5564
0.748460	81.681	140.2716
0.753883	81.640	139.9817
0.759346	81.598	139.6863
0.764849	81.555	139.3850
0.770391	81.511	139.0774
0.775974	81.467	138.7635
0.781597	81.422	138.4431
0.787261	81.376	138.1161
0.792966	81.330	137.7823
0.798712	81.283	137.4418
0.804500	81.235	137.0943
0.810329	81.187	136.7399
0.816201	81.138	136.3785
0.822116	81.088	136.0099
0.828073	81.038	135.6342
0.834074	80.986	135.2512
0.840118	80.934	134.8609
0.846206	80.881	134.4633
0.852338	80.828	134.0583
0.858514	80.773	133.6458
0.864735	80.717	133.2259
0.871001	80.661	132.7985
0.877313	80.603	132.3637
0.883670	80.545	131.9213
0.890074	80.485	131.4715
0.896524	80.425	131.0142
0.903020	80.363	130.5495
0.909564	80.300	130.0773
0.916155	80.236	129.5979
0.922794	80.171	129.1113
0.929481	80.104	128.6174
0.936216	80.037	128.1166
0.943000	79.967	127.6089
0.949834	79.897	127.0945
0.956717	79.825	126.5735
0.963649	79.752	126.0462
0.970632	79.677	125.5128
0.977666	79.600	124.9735
0.984750	79.522	124.4287
0.991886	79.442	123.8787
0.999074	79.361	123.3238
1.006314	79.278	122.7645
1.013606	79.193	122.2011
1.020951	79.106	121.6342
1.028349	79.017	121.0643
1.035801	78.926	120.4919
1.043307	78.833	119.9176
1.050867	78.738	119.3421
1.058482	78.641	118.7659
1.066152	78.541	118.1896
1.073878	78.439	117.6138
1.081660	78.334	117.0386
1.089498	78.227	116.4642
1.097393	78.116	115.8901
1.105345	78.002	115.3156
1.113355	77.884	114.7395
1.121423	77.763	114.1607
1.129549	77.637	113.5781
1.137734	77.506	112.9906
1.145979	77.372	112.3974
1.154283	77.233	111.7976
1.162647	77.091	111.1904
1.171072	76.944	110.5749
1.179558	76.793	109.9502
1.188106	76.639	109.3156
1.196715	76.481	108.6700
1.205387	76.320	108.0124
1.214122	76.156	107.3419
1.222920	75.989	106.6573
1.231782	75.818	105.9575
1.240708	75.645	105.2413
1.249699	75.470	104.5072
1.258754	75.293	103.7540
1.267876	75.113	102.9802
1.277063	74.932	102.1842
1.286318	74.750	101.3645
1.295639	74.566	100.5192
1.305027	74.382	99.6466
1.314484	74.197	98.7448
1.324009	74.011	97.8118
1.333604	73.826	96.8456
1.343268	73.641	95.8440
1.353002	73.457	94.8048
1.362806	73.274	93.7259
1.372681	73.093	92.6049
1.382628	72.914	91.4398
1.392647	72.737	90.2281
1.402739	72.562	88.9680
1.412904	72.391	87.6573
1.423142	72.223	86.2941
1.433455	72.059	84.8767
1.443843	71.898	83.4031
1.454305	71.741	81.8712
1.464844	71.586	80.2784
1.475459	71.434	78.6210
1.486150	71.282	76.8945
1.496920	71.130	75.0933
1.507767	70.978	73.2114
1.518693	70.826	71.2420
1.529698	70.673	69.1784
1.540783	70.519	67.0134
1.551948	70.366	64.7398
1.563194	70.213	62.3508
1.574521	70.061	59.8398
1.585931	69.911	57.2010
1.597423	69.762	54.4295
1.608999	69.615	51.5220
1.620658	69.472	48.4772
1.632402	69.332	45.2966
1.644232	69.197	41.9844
1.656146	69.066	38.5487
1.668147	68.941	35.0015
1.680235	68.822	31.3590
1.692411	68.711	27.6413
1.704675	68.607	23.8722
1.717028	68.512	20.0779
1.729470	68.427	16.2866
1.742003	68.352	12.5265
1.754626	68.288	8.8247
1.767341	68.237	5.2058
1.780147	68.200	1.6905
1.793047	68.177	-1.7056
1.806040	68.171	-4.9724
1.819128	68.182	-8.1064
1.832310	68.212	-11.1098
1.845587	68.263	-13.9898
1.858961	68.334	-16.7554
1.872432	68.427	-19.4156
1.886001	68.541	-21.9778
1.899667	68.675	-24.4475
1.913433	68.828	-26.8289
1.927299	69.000	-29.1250
1.941265	69.187	-31.3379
1.955332	69.390	-33.4692
1.969501	69.605	-35.5203
1.983773	69.832	-37.4922
1.998148	70.067	-39.3858
2.012627	70.310	-41.2017
2.027212	70.559	-42.9406
2.041902	70.810	-44.6030
2.056698	71.062	-46.1894
2.071602	71.313	-47.7001
2.086614	71.561	-49.1357
2.101734	71.803	-50.4966
2.116964	72.037	-51.7835
2.132304	72.262	-52.9977
2.147756	72.475	-54.1412
2.163320	72.676	-55.2169
2.178996	72.864	-56.2296
2.194786	73.039	-57.1857
2.210690	73.202	-58.0928
2.226710	73.356	-58.9592
2.242845	73.500	-59.7917
2.259098	73.637	-60.5954
2.275468	73.767	-61.3738
2.291957	73.891	-62.1288
2.308566	74.009	-62.8614
2.325295	74.123	-63.5716
2.342145	74.232	-64.2593
2.359117	74.337	-64.9236
2.376212	74.437	-65.5634
2.393431	74.535	-66.1775
2.410775	74.629	-66.7644
2.428244	74.721	-67.3224
2.445840	74.810	-67.8497
2.463564	74.898	-68.3444
2.481416	74.984	-68.8047
2.499397	75.069	-69.2289
2.517509	75.152	-69.6156
2.535752	75.235	-69.9639
2.554127	75.316	-70.2740
2.572635	75.395	-70.5467
2.591277	75.471	-70.7837
2.610055	75.544	-70.9870
2.628968	75.614	-71.1586
2.648019	75.680	-71.3004
2.667208	75.743	-71.4141
2.686535	75.804	-71.5010
2.706003	75.862	-71.5624
2.725612	75.918	-71.5994
2.745363	75.972	-71.6130
2.765257	76.026	-71.6044
2.785295	76.080	-71.5744
2.805478	76.135	-71.5240
2.825808	76.191	-71.4538
2.846285	76.249	-71.3646
2.866910	76.309	-71.2567
2.887685	76.373	-71.1300
2.908611	76.439	-70.9837
2.929688	76.509	-70.8166
2.950917	76.581	-70.6271
2.972301	76.656	-70.4143
2.993839	76.733	-70.1779
3.015534	76.812	-69.9190
3.037386	76.893	-69.6397
3.059396	76.976	-69.3429
3.081565	77.061	-69.0318
3.103896	77.148	-68.7103
3.126388	77.237	-68.3821
3.149043	77.328	-68.0511
3.171862	77.422	-67.7212
3.194847	77.518	-67.3958
3.217998	77.617	-67.0777
3.241317	77.720	-66.7692
3.264805	77.825	-66.4710
3.288463	77.934	-66.1829
3.312293	78.047	-65.9031
3.336295	78.163	-65.6298
3.360471	78.284	-65.3620
3.384822	78.408	-65.0998
3.409350	78.535	-64.8444
3.434056	78.665	-64.5981
3.458940	78.798	-64.3638
3.484005	78.932	-64.1444
3.509252	79.068	-63.9432
3.534681	79.205	-63.7631
3.560295	79.342	-63.6069
3.586094	79.478	-63.4770
3.612081	79.615	-63.3749
3.638255	79.750	-63.3015
3.664620	79.886	-63.2565
3.691175	80.020	-63.2389
3.717923	80.155	-63.2470
3.744864	80.289	-63.2789
3.772001	80.424	-63.3329
3.799335	80.558	-63.4076
3.826866	80.691	-63.5017
