* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 5, 2023 5:54:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Hidizs MS5 Treble TK2 L
* Measurement: Hidizs MS5 Treble L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.209	-172.6885
20.299999	100.223	-172.9968
20.600000	100.237	-173.3057
20.900000	100.252	-173.6182
21.200001	100.266	-173.9326
21.400000	100.275	-174.1393
21.799999	100.292	-174.5399
22.000000	100.301	-174.7334
22.400000	100.320	-175.1127
22.700001	100.336	-175.4006
23.000000	100.350	-175.6968
23.299999	100.362	-175.9942
23.600000	100.371	-176.2802
24.000000	100.379	-176.6256
24.299999	100.387	-176.8568
24.700001	100.401	-177.1499
25.000000	100.415	-177.3808
25.400000	100.431	-177.7184
25.799999	100.441	-178.0700
26.200001	100.446	-178.3945
26.500000	100.450	-178.6094
26.900000	100.460	-178.8777
27.200001	100.471	-179.0941
27.600000	100.487	-179.4303
28.000000	100.496	-179.8072
28.500000	100.495	179.7460
29.000000	100.492	179.3864
29.500000	100.501	179.0551
30.000000	100.514	178.6553
30.400000	100.517	178.2950
30.700001	100.513	178.0394
31.100000	100.504	177.7598
31.500000	100.502	177.5405
32.000000	100.512	177.2574
32.500000	100.526	176.8729
33.000000	100.525	176.4350
33.500000	100.508	176.0763
34.000000	100.497	175.8376
34.500000	100.504	175.6032
35.000000	100.519	175.2549
35.500000	100.520	174.8154
36.000000	100.502	174.4205
36.500000	100.483	174.1520
37.000000	100.480	173.9485
37.500000	100.493	173.6827
38.200001	100.506	173.1235
38.700001	100.495	172.6971
39.500000	100.462	172.2334
40.000000	100.455	172.0600
40.599998	100.468	171.8217
