* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 12, 2024 11:54:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Juzear Butterfly 61T
* Measurement: L Juzear Butterfly 61T
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 101.372 -45.4622
0.368865 101.374 -45.5138
0.371538 101.376 -45.5911
0.374230 101.379 -45.6879
0.376942 101.383 -45.7992
0.379673 101.386 -45.9211
0.382424 101.390 -46.0512
0.385196 101.394 -46.1879
0.387987 101.397 -46.3304
0.390798 101.401 -46.4782
0.393630 101.405 -46.6311
0.396483 101.409 -46.7889
0.399356 101.413 -46.9516
0.402250 101.417 -47.1192
0.405165 101.421 -47.2917
0.408101 101.426 -47.4692
0.411058 101.430 -47.6517
0.414037 101.434 -47.8392
0.417037 101.438 -48.0317
0.420059 101.442 -48.2293
0.423103 101.447 -48.4320
0.426169 101.451 -48.6398
0.429257 101.455 -48.8528
0.432368 101.459 -49.0709
0.435501 101.464 -49.2942
0.438656 101.468 -49.5228
0.441835 101.473 -49.7565
0.445037 101.477 -49.9955
0.448262 101.482 -50.2398
0.451510 101.486 -50.4893
0.454782 101.491 -50.7441
0.458077 101.495 -51.0041
0.461397 101.500 -51.2695
0.464740 101.505 -51.5401
0.468108 101.509 -51.8159
0.471500 101.514 -52.0970
0.474917 101.519 -52.3834
0.478358 101.524 -52.6750
0.481825 101.529 -52.9718
0.485316 101.533 -53.2738
0.488833 101.538 -53.5810
0.492375 101.543 -53.8934
0.495943 101.548 -54.2108
0.499537 101.553 -54.5333
0.503157 101.558 -54.8609
0.506803 101.563 -55.1935
0.510475 101.569 -55.5310
0.514175 101.574 -55.8734
0.517900 101.579 -56.2206
0.521653 101.584 -56.5726
0.525434 101.589 -56.9293
0.529241 101.595 -57.2907
0.533076 101.600 -57.6567
0.536939 101.606 -58.0271
0.540830 101.611 -58.4020
0.544749 101.616 -58.7812
0.548696 101.622 -59.1646
0.552673 101.628 -59.5521
0.556677 101.633 -59.9437
0.560711 101.639 -60.3393
0.564774 101.644 -60.7387
0.568867 101.650 -61.1417
0.572989 101.656 -61.5484
0.577141 101.662 -61.9585
0.581324 101.668 -62.3721
0.585536 101.673 -62.7888
0.589779 101.679 -63.2086
0.594053 101.685 -63.6313
0.598358 101.691 -64.0568
0.602694 101.697 -64.4850
0.607061 101.703 -64.9157
0.611460 101.710 -65.3488
0.615891 101.716 -65.7840
0.620354 101.722 -66.2213
0.624849 101.728 -66.6605
0.629377 101.735 -67.1014
0.633938 101.741 -67.5438
0.638532 101.747 -67.9876
0.643159 101.754 -68.4325
0.647819 101.760 -68.8785
0.652514 101.767 -69.3254
0.657242 101.774 -69.7729
0.662005 101.780 -70.2209
0.666802 101.787 -70.6692
0.671634 101.794 -71.1176
0.676501 101.800 -71.5660
0.681403 101.807 -72.0141
0.686341 101.814 -72.4618
0.691314 101.821 -72.9089
0.696324 101.828 -73.3553
0.701370 101.835 -73.8009
0.706452 101.842 -74.2455
0.711571 101.849 -74.6892
0.716728 101.856 -75.1323
0.721921 101.862 -75.5752
0.727153 101.869 -76.0186
0.732422 101.875 -76.4635
0.737729 101.880 -76.9114
0.743075 101.885 -77.3634
0.748460 101.890 -77.8207
0.753883 101.894 -78.2841
0.759346 101.898 -78.7541
0.764849 101.902 -79.2310
0.770391 101.906 -79.7148
0.775974 101.911 -80.2057
0.781597 101.915 -80.7034
0.787261 101.919 -81.2080
0.792966 101.922 -81.7194
0.798712 101.926 -82.2373
0.804500 101.930 -82.7617
0.810329 101.934 -83.2924
0.816201 101.938 -83.8293
0.822116 101.941 -84.3721
0.828073 101.945 -84.9206
0.834074 101.949 -85.4747
0.840118 101.952 -86.0342
0.846206 101.955 -86.5988
0.852338 101.959 -87.1683
0.858514 101.962 -87.7424
0.864735 101.965 -88.3209
0.871001 101.968 -88.9035
0.877313 101.971 -89.4901
0.883670 101.973 -90.0801
0.890074 101.976 -90.6735
0.896524 101.978 -91.2699
0.903020 101.980 -91.8689
0.909564 101.982 -92.4703
0.916155 101.984 -93.0738
0.922794 101.986 -93.6789
0.929481 101.987 -94.2854
0.936216 101.988 -94.8929
0.943000 101.989 -95.5011
0.949834 101.989 -96.1095
0.956717 101.990 -96.7179
0.963649 101.990 -97.3259
0.970632 101.989 -97.9330
0.977666 101.989 -98.5389
0.984750 101.988 -99.1433
0.991886 101.987 -99.7457
0.999074 101.985 -100.3456
1.006314 101.983 -100.9429
1.013606 101.980 -101.5369
1.020951 101.977 -102.1274
1.028349 101.974 -102.7140
1.035801 101.970 -103.2962
1.043307 101.966 -103.8737
1.050867 101.961 -104.4461
1.058482 101.956 -105.0131
1.066152 101.950 -105.5747
1.073878 101.944 -106.1308
1.081660 101.937 -106.6816
1.089498 101.929 -107.2278
1.097393 101.921 -107.7704
1.105345 101.912 -108.3109
1.113355 101.903 -108.8509
1.121423 101.894 -109.3918
1.129549 101.884 -109.9347
1.137734 101.873 -110.4804
1.145979 101.862 -111.0297
1.154283 101.851 -111.5827
1.162647 101.839 -112.1400
1.171072 101.827 -112.7015
1.179558 101.814 -113.2676
1.188106 101.801 -113.8382
1.196715 101.787 -114.4135
1.205387 101.772 -114.9934
1.214122 101.757 -115.5781
1.222920 101.741 -116.1674
1.231782 101.725 -116.7614
1.240708 101.708 -117.3599
1.249699 101.690 -117.9628
1.258754 101.672 -118.5699
1.267876 101.653 -119.1811
1.277063 101.633 -119.7961
1.286318 101.612 -120.4145
1.295639 101.591 -121.0361
1.305027 101.568 -121.6604
1.314484 101.545 -122.2870
1.324009 101.521 -122.9152
1.333604 101.496 -123.5447
1.343268 101.470 -124.1746
1.353002 101.443 -124.8043
1.362806 101.415 -125.4329
1.372681 101.386 -126.0595
1.382628 101.356 -126.6833
1.392647 101.325 -127.3032
1.402739 101.293 -127.9181
1.412904 101.259 -128.5270
1.423142 101.225 -129.1289
1.433455 101.189 -129.7230
1.443843 101.152 -130.3087
1.454305 101.113 -130.8858
1.464844 101.073 -131.4550
1.475459 101.032 -132.0172
1.486150 100.989 -132.5736
1.496920 100.945 -133.1254
1.507767 100.899 -133.6738
1.518693 100.852 -134.2191
1.529698 100.804 -134.7621
1.540783 100.754 -135.3028
1.551948 100.703 -135.8414
1.563194 100.650 -136.3779
1.574521 100.595 -136.9123
1.585931 100.540 -137.4444
1.597423 100.482 -137.9740
1.608999 100.423 -138.5009
1.620658 100.363 -139.0248
1.632402 100.301 -139.5455
1.644232 100.238 -140.0625
1.656146 100.173 -140.5754
1.668147 100.106 -141.0836
1.680235 100.038 -141.5867
1.692411 99.969 -142.0839
1.704675 99.897 -142.5745
1.717028 99.825 -143.0578
1.729470 99.751 -143.5328
1.742003 99.675 -143.9985
1.754626 99.598 -144.4539
1.767341 99.519 -144.8979
1.780147 99.438 -145.3291
1.793047 99.356 -145.7462
1.806040 99.271 -146.1480
1.819128 99.185 -146.5331
1.832310 99.096 -146.9004
1.845587 99.003 -147.2488
1.858961 98.908 -147.5777
1.872432 98.809 -147.8865
1.886001 98.706 -148.1749
1.899667 98.600 -148.4425
1.913433 98.490 -148.6891
1.927299 98.377 -148.9143
1.941265 98.261 -149.1180
1.955332 98.143 -149.2996
1.969501 98.022 -149.4588
1.983773 97.900 -149.5951
1.998148 97.777 -149.7080
2.012627 97.652 -149.7969
2.027212 97.528 -149.8612
2.041902 97.403 -149.9003
2.056698 97.279 -149.9134
2.071602 97.157 -149.9000
2.086614 97.036 -149.8592
2.101734 96.918 -149.7902
2.116964 96.802 -149.6921
2.132304 96.690 -149.5638
2.147756 96.582 -149.4034
2.163320 96.478 -149.2087
2.178996 96.377 -148.9762
2.194786 96.281 -148.7014
2.210690 96.188 -148.3786
2.226710 96.099 -148.0022
2.242845 96.011 -147.5678
2.259098 95.925 -147.0723
2.275468 95.842 -146.5145
2.291957 95.760 -145.8947
2.308566 95.682 -145.2144
2.325295 95.606 -144.4762
2.342145 95.533 -143.6838
2.359117 95.464 -142.8418
2.376212 95.400 -141.9554
2.393431 95.341 -141.0311
2.410775 95.287 -140.0757
2.428244 95.240 -139.0970
2.445840 95.200 -138.1034
2.463564 95.168 -137.1033
2.481416 95.144 -136.1055
2.499397 95.130 -135.1177
2.517509 95.126 -134.1468
2.535752 95.133 -133.1974
2.554127 95.152 -132.2715
2.572635 95.184 -131.3685
2.591277 95.230 -130.4863
2.610055 95.289 -129.6236
2.628968 95.362 -128.7804
2.648019 95.447 -127.9588
2.667208 95.544 -127.1624
2.686535 95.652 -126.3955
2.706003 95.770 -125.6625
2.725612 95.896 -124.9681
2.745363 96.028 -124.3162
2.765257 96.166 -123.7107
2.785295 96.308 -123.1548
2.805478 96.452 -122.6511
2.825808 96.596 -122.2021
2.846285 96.740 -121.8096
2.866910 96.882 -121.4749
2.887685 97.021 -121.1990
2.908611 97.158 -120.9820
2.929688 97.293 -120.8237
2.950917 97.426 -120.7225
2.972301 97.558 -120.6764
2.993839 97.691 -120.6826
3.015534 97.823 -120.7377
3.037386 97.957 -120.8381
3.059396 98.090 -120.9800
3.081565 98.224 -121.1598
3.103896 98.356 -121.3738
3.126388 98.488 -121.6184
3.149043 98.617 -121.8907
3.171862 98.743 -122.1877
3.194847 98.866 -122.5072
3.217998 98.985 -122.8477
3.241317 99.100 -123.2088
3.264805 99.209 -123.5910
3.288463 99.313 -123.9961
3.312293 99.412 -124.4270
3.336295 99.506 -124.8860
3.360471 99.595 -125.3743
3.384822 99.679 -125.8911
3.409350 99.758 -126.4340
3.434056 99.833 -126.9994
3.458940 99.903 -127.5828
3.484005 99.969 -128.1793
3.509252 100.031 -128.7841
3.534681 100.088 -129.3925
3.560295 100.141 -130.0003
3.586094 100.190 -130.6042
3.612081 100.235 -131.2025
3.638255 100.275 -131.7951
3.664620 100.310 -132.3839
3.691175 100.341 -132.9723
3.717923 100.367 -133.5636
3.744864 100.387 -134.1597
3.772001 100.402 -134.7608
3.799335 100.413 -135.3655
3.826866 100.419 -135.9707
3.854597 100.420 -136.5726
3.882529 100.418 -137.1665
3.910664 100.412 -137.7478
3.939002 100.402 -138.3116
3.967546 100.390 -138.8538
3.996296 100.374 -139.3716
4.025255 100.354 -139.8633
4.054423 100.331 -140.3294
4.083804 100.305 -140.7710
4.113396 100.274 -141.1896
4.143204 100.240 -141.5861
4.173227 100.202 -141.9608
4.203468 100.162 -142.3132
4.233928 100.120 -142.6423
4.264609 100.077 -142.9464
4.295512 100.033 -143.2235
4.326639 99.990 -143.4710
4.357992 99.948 -143.6864
4.389572 99.906 -143.8671
4.421380 99.865 -144.0108
4.453419 99.825 -144.1165
4.485691 99.785 -144.1846
4.518196 99.746 -144.2169
4.550936 99.709 -144.2165
4.583914 99.674 -144.1873
4.617131 99.642 -144.1336
4.650589 99.613 -144.0596
4.684289 99.589 -143.9689
4.718233 99.570 -143.8639
4.752424 99.557 -143.7455
4.786862 99.550 -143.6134
4.821549 99.549 -143.4671
4.856488 99.554 -143.3079
4.891680 99.564 -143.1388
4.927127 99.580 -142.9651
4.962831 99.600 -142.7934
4.998794 99.626 -142.6307
5.035017 99.655 -142.4841
5.071503 99.689 -142.3593
5.108253 99.727 -142.2604
5.145270 99.769 -142.1893
5.182555 99.816 -142.1462
5.220110 99.866 -142.1308
5.257937 99.921 -142.1429
5.296038 99.978 -142.1830
5.334415 100.036 -142.2524
5.373071 100.096 -142.3527
5.412006 100.155 -142.4856
5.451224 100.214 -142.6530
5.490725 100.271 -142.8563
5.530514 100.326 -143.0961
5.570590 100.379 -143.3716
5.610957 100.431 -143.6806
5.651616 100.480 -144.0196
5.692570 100.527 -144.3844
5.733821 100.570 -144.7711
5.775370 100.610 -145.1760
5.817221 100.644 -145.5970
5.859375 100.675 -146.0330
5.901834 100.700 -146.4837
5.944602 100.719 -146.9487
5.987679 100.734 -147.4258
6.031068 100.744 -147.9111
