* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2023 1:16:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Dec 20
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 95.979 -19.8147
0.368865 95.975 -19.8345
0.371538 95.970 -19.8640
0.374230 95.964 -19.9011
0.376942 95.956 -19.9438
0.379673 95.949 -19.9907
0.382424 95.941 -20.0408
0.385196 95.932 -20.0935
0.387987 95.924 -20.1486
0.390798 95.915 -20.2059
0.393630 95.907 -20.2652
0.396483 95.898 -20.3265
0.399356 95.889 -20.3899
0.402250 95.881 -20.4553
0.405165 95.872 -20.5227
0.408101 95.863 -20.5922
0.411058 95.854 -20.6638
0.414037 95.845 -20.7374
0.417037 95.835 -20.8131
0.420059 95.826 -20.8910
0.423103 95.817 -20.9710
0.426169 95.808 -21.0531
0.429257 95.798 -21.1374
0.432367 95.789 -21.2239
0.435501 95.779 -21.3126
0.438656 95.769 -21.4035
0.441835 95.760 -21.4966
0.445037 95.750 -21.5919
0.448262 95.740 -21.6895
0.451510 95.730 -21.7894
0.454782 95.720 -21.8915
0.458077 95.710 -21.9959
0.461397 95.700 -22.1026
0.464740 95.690 -22.2116
0.468108 95.680 -22.3229
0.471500 95.669 -22.4365
0.474917 95.659 -22.5525
0.478358 95.648 -22.6707
0.481825 95.638 -22.7914
0.485316 95.627 -22.9143
0.488833 95.616 -23.0396
0.492375 95.606 -23.1672
0.495943 95.595 -23.2971
0.499537 95.584 -23.4294
0.503157 95.573 -23.5640
0.506803 95.562 -23.7010
0.510475 95.550 -23.8402
0.514174 95.539 -23.9818
0.517900 95.528 -24.1257
0.521653 95.516 -24.2718
0.525433 95.505 -24.4203
0.529241 95.493 -24.5710
0.533076 95.482 -24.7239
0.536939 95.470 -24.8791
0.540830 95.458 -25.0365
0.544749 95.446 -25.1960
0.548696 95.434 -25.3578
0.552673 95.422 -25.5216
0.556677 95.410 -25.6875
0.560711 95.397 -25.8555
0.564774 95.385 -26.0255
0.568867 95.372 -26.1975
0.572989 95.360 -26.3714
0.577141 95.347 -26.5472
0.581324 95.334 -26.7249
0.585536 95.322 -26.9043
0.589779 95.309 -27.0855
0.594053 95.296 -27.2683
0.598358 95.282 -27.4528
0.602694 95.269 -27.6388
0.607061 95.256 -27.8262
0.611460 95.242 -28.0150
0.615891 95.229 -28.2052
0.620354 95.215 -28.3965
0.624849 95.202 -28.5890
0.629377 95.188 -28.7825
0.633938 95.174 -28.9769
0.638532 95.160 -29.1721
0.643159 95.146 -29.3681
0.647819 95.132 -29.5646
0.652514 95.117 -29.7616
0.657242 95.103 -29.9590
0.662005 95.088 -30.1565
0.666802 95.074 -30.3541
0.671634 95.059 -30.5515
0.676501 95.044 -30.7488
0.681403 95.029 -30.9456
0.686341 95.014 -31.1418
0.691314 94.999 -31.3372
0.696324 94.984 -31.5317
0.701369 94.968 -31.7252
0.706452 94.952 -31.9174
0.711571 94.937 -32.1083
0.716727 94.920 -32.2979
0.721921 94.904 -32.4863
0.727153 94.886 -32.6737
0.732422 94.868 -32.8607
0.737729 94.849 -33.0479
0.743075 94.830 -33.2358
0.748460 94.809 -33.4252
0.753883 94.788 -33.6164
0.759346 94.766 -33.8098
0.764849 94.744 -34.0054
0.770391 94.721 -34.2034
0.775974 94.698 -34.4039
0.781597 94.674 -34.6069
0.787261 94.650 -34.8124
0.792965 94.626 -35.0204
0.798712 94.601 -35.2308
0.804499 94.576 -35.4437
0.810329 94.550 -35.6590
0.816201 94.524 -35.8766
0.822116 94.497 -36.0967
0.828073 94.470 -36.3190
0.834073 94.443 -36.5436
0.840118 94.416 -36.7705
0.846205 94.388 -36.9994
0.852337 94.359 -37.2305
0.858514 94.330 -37.4636
0.864735 94.301 -37.6987
0.871001 94.272 -37.9356
0.877313 94.242 -38.1743
0.883670 94.212 -38.4146
0.890074 94.181 -38.6566
0.896523 94.151 -38.8999
0.903020 94.119 -39.1446
0.909564 94.088 -39.3905
0.916155 94.056 -39.6374
0.922793 94.024 -39.8853
0.929480 93.992 -40.1338
0.936216 93.959 -40.3829
0.943000 93.927 -40.6323
0.949833 93.893 -40.8819
0.956716 93.860 -41.1314
0.963649 93.827 -41.3805
0.970632 93.793 -41.6291
0.977666 93.759 -41.8769
0.984750 93.725 -42.1236
0.991886 93.690 -42.3689
0.999074 93.656 -42.6125
1.006313 93.621 -42.8540
1.013605 93.587 -43.0932
1.020950 93.552 -43.3295
1.028349 93.517 -43.5627
1.035801 93.482 -43.7924
1.043306 93.447 -44.0180
1.050867 93.412 -44.2392
1.058482 93.377 -44.4555
1.066152 93.342 -44.6663
1.073878 93.307 -44.8712
1.081659 93.272 -45.0698
1.089498 93.237 -45.2614
1.097393 93.202 -45.4458
1.105345 93.166 -45.6224
1.113355 93.130 -45.7911
1.121422 93.094 -45.9517
1.129549 93.057 -46.1041
1.137734 93.019 -46.2482
1.145978 92.981 -46.3840
1.154283 92.942 -46.5116
1.162647 92.903 -46.6311
1.171072 92.863 -46.7425
1.179558 92.823 -46.8459
1.188106 92.782 -46.9415
1.196715 92.741 -47.0293
1.205387 92.699 -47.1094
1.214122 92.657 -47.1821
1.222920 92.615 -47.2474
1.231781 92.573 -47.3056
1.240708 92.531 -47.3569
1.249698 92.488 -47.4014
1.258754 92.446 -47.4393
1.267875 92.403 -47.4711
1.277063 92.361 -47.4968
1.286317 92.319 -47.5169
1.295638 92.277 -47.5316
1.305027 92.236 -47.5413
1.314484 92.195 -47.5464
1.324009 92.154 -47.5474
1.333603 92.114 -47.5446
1.343267 92.075 -47.5386
1.353001 92.037 -47.5298
1.362805 91.999 -47.5189
1.372681 91.963 -47.5065
1.382628 91.928 -47.4930
1.392647 91.893 -47.4793
1.402739 91.861 -47.4658
1.412904 91.829 -47.4531
1.423142 91.799 -47.4417
1.433455 91.771 -47.4317
1.443842 91.744 -47.4228
1.454305 91.719 -47.4145
1.464843 91.696 -47.4052
1.475458 91.674 -47.3933
1.486150 91.654 -47.3769
1.496919 91.635 -47.3544
1.507766 91.618 -47.3248
1.518692 91.602 -47.2876
1.529697 91.587 -47.2427
1.540782 91.573 -47.1903
1.551947 91.561 -47.1307
1.563193 91.550 -47.0646
1.574521 91.541 -46.9923
1.585931 91.533 -46.9148
1.597423 91.527 -46.8327
1.608998 91.522 -46.7468
1.620658 91.518 -46.6580
1.632402 91.516 -46.5671
1.644231 91.515 -46.4751
1.656146 91.517 -46.3830
1.668147 91.519 -46.2918
1.680235 91.524 -46.2025
1.692410 91.530 -46.1163
1.704674 91.537 -46.0343
1.717027 91.547 -45.9575
1.729469 91.558 -45.8873
1.742002 91.571 -45.8247
1.754625 91.586 -45.7709
1.767340 91.603 -45.7269
1.780147 91.622 -45.6936
1.793046 91.643 -45.6714
1.806040 91.666 -45.6604
1.819127 91.691 -45.6601
1.832309 91.719 -45.6691
1.845587 91.750 -45.6858
1.858961 91.783 -45.7085
1.872431 91.820 -45.7357
1.886000 91.860 -45.7668
1.899666 91.903 -45.8018
1.913432 91.950 -45.8409
1.927298 91.999 -45.8848
1.941264 92.051 -45.9341
1.955331 92.105 -45.9900
1.969500 92.162 -46.0532
1.983772 92.222 -46.1249
1.998147 92.283 -46.2062
2.012626 92.347 -46.2981
2.027211 92.412 -46.4017
2.041901 92.479 -46.5182
2.056697 92.547 -46.6487
2.071601 92.616 -46.7943
2.086613 92.686 -46.9561
2.101733 92.757 -47.1354
2.116963 92.828 -47.3333
2.132303 92.899 -47.5508
2.147755 92.971 -47.7888
2.163318 93.042 -48.0479
2.178995 93.113 -48.3286
2.194785 93.185 -48.6308
2.210689 93.257 -48.9538
2.226709 93.329 -49.2968
2.242844 93.403 -49.6586
2.259097 93.478 -50.0383
2.275467 93.554 -50.4349
2.291956 93.631 -50.8475
2.308565 93.709 -51.2755
2.325294 93.788 -51.7181
2.342144 93.869 -52.1747
2.359116 93.949 -52.6449
2.376211 94.031 -53.1282
2.393430 94.112 -53.6241
2.410774 94.194 -54.1325
2.428243 94.276 -54.6532
2.445839 94.358 -55.1859
2.463562 94.439 -55.7308
2.481415 94.520 -56.2881
2.499396 94.599 -56.8582
2.517508 94.678 -57.4418
2.535750 94.756 -58.0399
2.554126 94.833 -58.6536
2.572634 94.909 -59.2845
2.591276 94.985 -59.9335
2.610054 95.059 -60.6014
2.628967 95.133 -61.2879
2.648018 95.206 -61.9922
2.667206 95.279 -62.7130
2.686534 95.351 -63.4487
2.706002 95.423 -64.1975
2.725610 95.494 -64.9577
2.745361 95.564 -65.7273
2.765255 95.633 -66.5046
2.785294 95.701 -67.2879
2.805477 95.769 -68.0758
2.825807 95.835 -68.8669
2.846284 95.901 -69.6604
2.866909 95.965 -70.4559
2.887684 96.028 -71.2536
2.908609 96.090 -72.0546
2.929686 96.150 -72.8607
2.950916 96.209 -73.6744
2.972299 96.267 -74.4978
2.993838 96.323 -75.3323
3.015532 96.378 -76.1782
3.037384 96.432 -77.0348
3.059394 96.484 -77.9009
3.081564 96.535 -78.7746
3.103894 96.585 -79.6539
3.126386 96.633 -80.5365
3.149041 96.680 -81.4201
3.171861 96.725 -82.3026
3.194845 96.770 -83.1818
3.217996 96.813 -84.0564
3.241315 96.854 -84.9252
3.264803 96.894 -85.7884
3.288461 96.933 -86.6468
3.312291 96.971 -87.5025
3.336293 97.006 -88.3578
3.360469 97.040 -89.2145
3.384820 97.073 -90.0735
3.409348 97.103 -90.9347
3.434054 97.133 -91.7971
3.458938 97.160 -92.6590
3.484003 97.186 -93.5185
3.509250 97.211 -94.3731
3.534679 97.235 -95.2204
3.560293 97.258 -96.0580
3.586092 97.280 -96.8837
3.612079 97.300 -97.6959
3.638253 97.320 -98.4938
3.664618 97.338 -99.2774
3.691173 97.356 -100.0478
3.717921 97.372 -100.8065
3.744862 97.387 -101.5546
3.771999 97.400 -102.2930
3.799332 97.412 -103.0218
3.826864 97.424 -103.7409
3.854595 97.435 -104.4495
3.882527 97.445 -105.1465
3.910661 97.455 -105.8307
3.938999 97.464 -106.5007
3.967543 97.474 -107.1551
3.996294 97.485 -107.7924
4.025252 97.495 -108.4118
4.054421 97.506 -109.0126
4.083801 97.516 -109.5948
4.113394 97.527 -110.1590
4.143201 97.538 -110.7059
4.173225 97.549 -111.2368
4.203466 97.560 -111.7525
4.233926 97.572 -112.2543
4.264606 97.585 -112.7431
4.295509 97.600 -113.2195
4.326636 97.616 -113.6839
4.357989 97.633 -114.1361
4.389569 97.652 -114.5755
4.421378 97.673 -115.0014
4.453417 97.696 -115.4130
4.485688 97.721 -115.8105
4.518193 97.747 -116.1949
4.550934 97.775 -116.5677
4.583912 97.805 -116.9312
4.617129 97.836 -117.2879
4.650587 97.869 -117.6400
4.684287 97.904 -117.9897
4.718231 97.941 -118.3383
4.752421 97.979 -118.6865
4.786859 98.020 -119.0342
4.821547 98.062 -119.3810
4.856485 98.107 -119.7264
4.891677 98.153 -120.0710
4.927125 98.201 -120.4155
4.962829 98.250 -120.7613
4.998791 98.300 -121.1100
5.035015 98.350 -121.4632
5.071500 98.401 -121.8223
5.108251 98.453 -122.1884
5.145267 98.504 -122.5620
5.182552 98.556 -122.9431
5.220107 98.609 -123.3312
5.257934 98.661 -123.7256
5.296035 98.713 -124.1255
5.334412 98.765 -124.5301
5.373067 98.817 -124.9390
5.412003 98.867 -125.3517
5.451221 98.916 -125.7683
5.490722 98.964 -126.1890
5.530510 99.010 -126.6138
5.570587 99.055 -127.0427
5.610953 99.098 -127.4750
5.651613 99.140 -127.9093
5.692567 99.180 -128.3439
5.733818 99.218 -128.7769
5.775367 99.255 -129.2065
5.817218 99.290 -129.6314
5.859372 99.323 -130.0509
5.901831 99.355 -130.4647
5.944598 99.384 -130.8728
5.987675 99.411 -131.2746
6.031065 99.437 -131.6694
6.074768 99.462 -132.0560
