* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 5, 2024 12:02:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: kz xtra
* Measurement: L KZ Xtra
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 80.038 165.2428
0.368865 80.033 165.2254
0.371538 80.026 165.1993
0.374230 80.018 165.1667
0.376942 80.008 165.1291
0.379673 79.998 165.0879
0.382424 79.987 165.0440
0.385196 79.976 164.9977
0.387987 79.965 164.9494
0.390798 79.953 164.8993
0.393630 79.942 164.8474
0.396483 79.930 164.7938
0.399356 79.918 164.7385
0.402250 79.906 164.6814
0.405165 79.894 164.6226
0.408101 79.882 164.5620
0.411058 79.870 164.4997
0.414037 79.858 164.4355
0.417037 79.846 164.3696
0.420059 79.834 164.3018
0.423103 79.821 164.2322
0.426169 79.809 164.1607
0.429257 79.796 164.0874
0.432368 79.783 164.0122
0.435501 79.770 163.9350
0.438656 79.758 163.8560
0.441835 79.745 163.7750
0.445037 79.731 163.6921
0.448262 79.718 163.6072
0.451510 79.705 163.5203
0.454782 79.692 163.4314
0.458077 79.678 163.3406
0.461397 79.664 163.2477
0.464740 79.651 163.1528
0.468108 79.637 163.0558
0.471500 79.623 162.9568
0.474917 79.609 162.8557
0.478358 79.595 162.7525
0.481825 79.581 162.6472
0.485316 79.567 162.5399
0.488833 79.552 162.4304
0.492375 79.538 162.3188
0.495943 79.523 162.2051
0.499537 79.508 162.0892
0.503157 79.494 161.9713
0.506803 79.479 161.8511
0.510475 79.464 161.7289
0.514175 79.449 161.6044
0.517900 79.433 161.4779
0.521653 79.418 161.3492
0.525434 79.403 161.2183
0.529241 79.387 161.0853
0.533076 79.371 160.9501
0.536939 79.356 160.8127
0.540830 79.340 160.6733
0.544749 79.324 160.5316
0.548696 79.307 160.3879
0.552673 79.291 160.2421
0.556677 79.275 160.0941
0.560711 79.258 159.9440
0.564774 79.242 159.7918
0.568867 79.225 159.6376
0.572989 79.208 159.4813
0.577141 79.191 159.3230
0.581324 79.174 159.1626
0.585536 79.157 159.0003
0.589779 79.139 158.8360
0.594053 79.122 158.6698
0.598358 79.104 158.5017
0.602694 79.087 158.3317
0.607061 79.069 158.1598
0.611460 79.051 157.9862
0.615891 79.033 157.8108
0.620354 79.014 157.6337
0.624849 78.996 157.4549
0.629377 78.977 157.2745
0.633938 78.959 157.0925
0.638532 78.940 156.9090
0.643159 78.921 156.7241
0.647819 78.902 156.5378
0.652514 78.883 156.3502
0.657242 78.863 156.1613
0.662005 78.844 155.9713
0.666802 78.824 155.7802
0.671634 78.805 155.5881
0.676501 78.785 155.3951
0.681403 78.765 155.2012
0.686341 78.744 155.0067
0.691314 78.724 154.8115
0.696324 78.703 154.6158
0.701370 78.683 154.4196
0.706452 78.662 154.2231
0.711571 78.640 154.0262
0.716728 78.618 153.8288
0.721921 78.595 153.6308
0.727153 78.570 153.4319
0.732422 78.544 153.2315
0.737729 78.517 153.0290
0.743075 78.487 152.8237
0.748460 78.456 152.6149
0.753883 78.424 152.4023
0.759346 78.391 152.1854
0.764849 78.358 151.9641
0.770391 78.324 151.7382
0.775974 78.289 151.5076
0.781597 78.254 151.2723
0.787261 78.219 151.0321
0.792966 78.183 150.7870
0.798712 78.146 150.5370
0.804500 78.109 150.2819
0.810329 78.071 150.0219
0.816201 78.033 149.7568
0.822116 77.994 149.4866
0.828073 77.955 149.2113
0.834074 77.915 148.9308
0.840118 77.874 148.6452
0.846206 77.833 148.3544
0.852338 77.791 148.0583
0.858514 77.749 147.7570
0.864735 77.705 147.4504
0.871001 77.661 147.1386
0.877313 77.617 146.8215
0.883670 77.571 146.4992
0.890074 77.524 146.1716
0.896524 77.477 145.8388
0.903020 77.429 145.5007
0.909564 77.380 145.1575
0.916155 77.330 144.8091
0.922794 77.279 144.4556
0.929481 77.227 144.0971
0.936216 77.174 143.7335
0.943000 77.120 143.3650
0.949834 77.064 142.9917
0.956717 77.008 142.6136
0.963649 76.950 142.2308
0.970632 76.892 141.8435
0.977666 76.831 141.4517
0.984750 76.770 141.0557
0.991886 76.707 140.6556
0.999074 76.643 140.2515
1.006314 76.578 139.8437
1.013606 76.511 139.4323
1.020951 76.442 139.0175
1.028349 76.372 138.5997
1.035801 76.300 138.1791
1.043307 76.227 137.7558
1.050867 76.152 137.3303
1.058482 76.075 136.9027
1.066152 75.996 136.4734
1.073878 75.915 136.0423
1.081660 75.833 135.6096
1.089498 75.748 135.1749
1.097393 75.660 134.7379
1.105345 75.570 134.2978
1.113355 75.477 133.8537
1.121423 75.382 133.4046
1.129549 75.283 132.9498
1.137734 75.182 132.4886
1.145979 75.077 132.0203
1.154283 74.969 131.5443
1.162647 74.859 131.0603
1.171072 74.745 130.5675
1.179558 74.629 130.0656
1.188106 74.510 129.5538
1.196715 74.388 129.0318
1.205387 74.264 128.4989
1.214122 74.138 127.9545
1.222920 74.009 127.3979
1.231782 73.877 126.8283
1.240708 73.744 126.2452
1.249699 73.608 125.6477
1.258754 73.471 125.0350
1.267876 73.332 124.4063
1.277063 73.191 123.7606
1.286318 73.049 123.0970
1.295639 72.905 122.4145
1.305027 72.761 121.7120
1.314484 72.615 120.9884
1.324009 72.469 120.2426
1.333604 72.321 119.4732
1.343268 72.174 118.6791
1.353002 72.026 117.8588
1.362806 71.878 117.0110
1.372681 71.731 116.1342
1.382628 71.583 115.2268
1.392647 71.437 114.2873
1.402739 71.291 113.3139
1.412904 71.146 112.3048
1.423142 71.002 111.2582
1.433455 70.860 110.1719
1.443843 70.718 109.0435
1.454305 70.576 107.8703
1.464844 70.434 106.6487
1.475459 70.290 105.3747
1.486150 70.143 104.0440
1.496920 69.993 102.6514
1.507767 69.840 101.1922
1.518693 69.682 99.6610
1.529698 69.520 98.0528
1.540783 69.355 96.3621
1.551948 69.187 94.5833
1.563194 69.016 92.7112
1.574521 68.844 90.7399
1.585931 68.671 88.6642
1.597423 68.497 86.4789
1.608999 68.324 84.1792
1.620658 68.152 81.7609
1.632402 67.983 79.2210
1.644232 67.817 76.5574
1.656146 67.655 73.7699
1.668147 67.498 70.8600
1.680235 67.348 67.8316
1.692411 67.206 64.6911
1.704675 67.072 61.4477
1.717028 66.948 58.1135
1.729470 66.836 54.7034
1.742003 66.736 51.2345
1.754626 66.651 47.7261
1.767341 66.581 44.1982
1.780147 66.529 40.6715
1.793047 66.495 37.1652
1.806040 66.483 33.6970
1.819128 66.492 30.2813
1.832310 66.525 26.9297
1.845587 66.582 23.6503
1.858961 66.664 20.4499
1.872432 66.772 17.3341
1.886001 66.904 14.3085
1.899667 67.060 11.3780
1.913433 67.238 8.5469
1.927299 67.437 5.8185
1.941265 67.654 3.1949
1.955332 67.889 0.6773
1.969501 68.140 -1.7342
1.983773 68.404 -4.0407
1.998148 68.679 -6.2437
2.012627 68.963 -8.3455
2.027212 69.255 -10.3490
2.041902 69.551 -12.2573
2.056698 69.849 -14.0738
2.071602 70.148 -15.8020
2.086614 70.444 -17.4458
2.101734 70.736 -19.0089
2.116964 71.020 -20.4952
2.132304 71.296 -21.9088
2.147756 71.562 -23.2543
2.163320 71.816 -24.5367
2.178996 72.058 -25.7614
2.194786 72.289 -26.9350
2.210690 72.511 -28.0641
2.226710 72.724 -29.1548
2.242845 72.931 -30.2122
2.259098 73.133 -31.2401
2.275468 73.331 -32.2408
2.291957 73.526 -33.2158
2.308566 73.716 -34.1660
2.325295 73.904 -35.0917
2.342145 74.089 -35.9931
2.359117 74.271 -36.8702
2.376212 74.450 -37.7228
2.393431 74.626 -38.5508
2.410775 74.799 -39.3538
2.428244 74.970 -40.1317
2.445840 75.138 -40.8841
2.463564 75.303 -41.6109
2.481416 75.465 -42.3120
2.499397 75.625 -42.9875
2.517509 75.782 -43.6383
2.535752 75.937 -44.2652
2.554127 76.088 -44.8703
2.572635 76.235 -45.4559
2.591277 76.379 -46.0248
2.610055 76.518 -46.5795
2.628968 76.654 -47.1217
2.648019 76.785 -47.6526
2.667208 76.912 -48.1726
2.686535 77.036 -48.6818
2.706003 77.156 -49.1800
2.725612 77.272 -49.6668
2.745363 77.386 -50.1417
2.765257 77.497 -50.6038
2.785295 77.606 -51.0527
2.805478 77.713 -51.4874
2.825808 77.818 -51.9074
2.846285 77.922 -52.3119
2.866910 78.025 -52.7005
2.887685 78.127 -53.0730
2.908611 78.228 -53.4295
2.929688 78.328 -53.7706
2.950917 78.427 -54.0973
2.972301 78.523 -54.4108
2.993839 78.618 -54.7119
3.015534 78.710 -55.0015
3.037386 78.800 -55.2801
3.059396 78.888 -55.5479
3.081565 78.975 -55.8050
3.103896 79.060 -56.0514
3.126388 79.143 -56.2869
3.149043 79.226 -56.5114
3.171862 79.308 -56.7245
3.194847 79.390 -56.9260
3.217998 79.472 -57.1155
3.241317 79.553 -57.2926
3.264805 79.635 -57.4569
3.288463 79.717 -57.6080
3.312293 79.800 -57.7457
3.336295 79.882 -57.8700
3.360471 79.963 -57.9812
3.384822 80.045 -58.0800
3.409350 80.126 -58.1674
3.434056 80.207 -58.2445
3.458940 80.287 -58.3126
3.484005 80.368 -58.3731
3.509252 80.449 -58.4271
3.534681 80.530 -58.4761
3.560295 80.612 -58.5210
3.586094 80.695 -58.5629
3.612081 80.778 -58.6021
3.638255 80.863 -58.6390
3.664620 80.948 -58.6730
3.691175 81.035 -58.7037
3.717923 81.123 -58.7306
3.744864 81.211 -58.7537
3.772001 81.301 -58.7735
3.799335 81.391 -58.7910
3.826866 81.482 -58.8074
3.854597 81.573 -58.8243
3.882529 81.666 -58.8431
3.910664 81.758 -58.8654
3.939002 81.852 -58.8925
3.967546 81.945 -58.9253
3.996296 82.040 -58.9644
4.025255 82.135 -59.0100
4.054423 82.231 -59.0616
4.083804 82.327 -59.1188
4.113396 82.424 -59.1812
4.143204 82.522 -59.2490
4.173227 82.620 -59.3223
4.203468 82.718 -59.4020
4.233928 82.816 -59.4885
4.264609 82.914 -59.5829
4.295512 83.012 -59.6860
4.326639 83.110 -59.7983
4.357992 83.207 -59.9206
4.389572 83.303 -60.0531
4.421380 83.399 -60.1959
4.453419 83.494 -60.3486
4.485691 83.589 -60.5109
4.518196 83.683 -60.6820
4.550936 83.776 -60.8614
4.583914 83.869 -61.0484
4.617131 83.961 -61.2424
4.650589 84.051 -61.4429
4.684289 84.141 -61.6497
4.718233 84.229 -61.8625
4.752424 84.315 -62.0815
4.786862 84.401 -62.3069
4.821549 84.484 -62.5387
4.856488 84.567 -62.7765
4.891680 84.648 -63.0199
4.927127 84.727 -63.2679
4.962831 84.805 -63.5192
4.998794 84.882 -63.7728
5.035017 84.957 -64.0275
5.071503 85.031 -64.2826
5.108253 85.104 -64.5376
5.145270 85.175 -64.7925
5.182555 85.245 -65.0474
5.220110 85.313 -65.3024
5.257937 85.380 -65.5571
5.296038 85.446 -65.8111
5.334415 85.511 -66.0637
5.373071 85.574 -66.3139
5.412006 85.637 -66.5609
5.451224 85.699 -66.8040
5.490725 85.761 -67.0429
5.530514 85.821 -67.2774
5.570590 85.882 -67.5077
5.610957 85.941 -67.7340
5.651616 86.000 -67.9566
5.692570 86.059 -68.1756
5.733821 86.118 -68.3913
5.775370 86.177 -68.6037
5.817221 86.236 -68.8126
5.859375 86.296 -69.0182
5.901834 86.355 -69.2204
5.944602 86.416 -69.4194
5.987679 86.476 -69.6159
6.031068 86.538 -69.8107
6.074771 86.599 -70.0047
6.118792 86.662 -70.1989
6.163131 86.725 -70.3942
6.207792 86.789 -70.5912
6.252776 86.854 -70.7903
6.298086 86.919 -70.9915
6.343725 86.986 -71.1954
6.389694 87.053 -71.4026
6.435996 87.121 -71.6138
6.482634 87.189 -71.8299
6.529610 87.258 -72.0518
6.576926 87.328 -72.2801
6.624585 87.398 -72.5151
6.672590 87.468 -72.7570
6.720942 87.539 -73.0056
6.769645 87.610 -73.2610
