* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 18, 2024 12:03:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L KZ ZS10 Pro 2 0000
* Measurement: L KZ ZS10 Pro 2 0000
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.502 158.3322
0.368865 83.496 158.3092
0.371538 83.486 158.2747
0.374230 83.474 158.2313
0.376942 83.461 158.1813
0.379673 83.447 158.1263
0.382424 83.431 158.0674
0.385196 83.416 158.0053
0.387987 83.400 157.9403
0.390798 83.384 157.8727
0.393630 83.368 157.8025
0.396483 83.352 157.7298
0.399356 83.336 157.6545
0.402250 83.319 157.5768
0.405165 83.303 157.4964
0.408101 83.286 157.4136
0.411058 83.269 157.3281
0.414037 83.252 157.2400
0.417037 83.235 157.1492
0.420059 83.218 157.0558
0.423103 83.201 156.9597
0.426169 83.183 156.8609
0.429257 83.166 156.7593
0.432368 83.148 156.6550
0.435501 83.130 156.5478
0.438656 83.112 156.4378
0.441835 83.094 156.3250
0.445037 83.076 156.2093
0.448262 83.057 156.0907
0.451510 83.039 155.9692
0.454782 83.020 155.8447
0.458077 83.002 155.7173
0.461397 82.983 155.5869
0.464740 82.964 155.4535
0.468108 82.944 155.3171
0.471500 82.925 155.1776
0.474917 82.906 155.0350
0.478358 82.886 154.8894
0.481825 82.866 154.7407
0.485316 82.847 154.5889
0.488833 82.827 154.4339
0.492375 82.806 154.2758
0.495943 82.786 154.1146
0.499537 82.766 153.9502
0.503157 82.745 153.7826
0.506803 82.724 153.6118
0.510475 82.703 153.4379
0.514175 82.682 153.2607
0.517900 82.661 153.0804
0.521653 82.640 152.8969
0.525434 82.618 152.7101
0.529241 82.597 152.5202
0.533076 82.575 152.3271
0.536939 82.553 152.1308
0.540830 82.531 151.9313
0.544749 82.508 151.7287
0.548696 82.486 151.5229
0.552673 82.463 151.3140
0.556677 82.440 151.1019
0.560711 82.417 150.8868
0.564774 82.394 150.6687
0.568867 82.371 150.4474
0.572989 82.348 150.2232
0.577141 82.324 149.9961
0.581324 82.300 149.7660
0.585536 82.276 149.5330
0.589779 82.252 149.2972
0.594053 82.228 149.0586
0.598358 82.203 148.8173
0.602694 82.178 148.5733
0.607061 82.154 148.3268
0.611460 82.129 148.0777
0.615891 82.103 147.8262
0.620354 82.078 147.5724
0.624849 82.052 147.3163
0.629377 82.027 147.0580
0.633938 82.001 146.7976
0.638532 81.975 146.5353
0.643159 81.948 146.2711
0.647819 81.922 146.0052
0.652514 81.895 145.7378
0.657242 81.868 145.4689
0.662005 81.841 145.1987
0.666802 81.814 144.9273
0.671634 81.786 144.6550
0.676501 81.758 144.3818
0.681403 81.731 144.1081
0.686341 81.702 143.8338
0.691314 81.674 143.5594
0.696324 81.645 143.2849
0.701370 81.616 143.0105
0.706452 81.587 142.7363
0.711571 81.557 142.4624
0.716728 81.526 142.1888
0.721921 81.494 141.9151
0.727153 81.460 141.6410
0.732422 81.423 141.3655
0.737729 81.385 141.0876
0.743075 81.343 140.8063
0.748460 81.300 140.5205
0.753883 81.255 140.2294
0.759346 81.209 139.9326
0.764849 81.162 139.6296
0.770391 81.114 139.3201
0.775974 81.066 139.0040
0.781597 81.016 138.6810
0.787261 80.966 138.3512
0.792966 80.916 138.0143
0.798712 80.864 137.6702
0.804500 80.812 137.3188
0.810329 80.759 136.9601
0.816201 80.706 136.5940
0.822116 80.651 136.2202
0.828073 80.596 135.8389
0.834074 80.540 135.4498
0.840118 80.483 135.0529
0.846206 80.425 134.6481
0.852338 80.366 134.2354
0.858514 80.306 133.8147
0.864735 80.245 133.3858
0.871001 80.183 132.9489
0.877313 80.120 132.5038
0.883670 80.056 132.0504
0.890074 79.990 131.5889
0.896524 79.924 131.1191
0.903020 79.856 130.6410
0.909564 79.787 130.1547
0.916155 79.716 129.6603
0.922794 79.644 129.1576
0.929481 79.571 128.6469
0.936216 79.496 128.1282
0.943000 79.419 127.6015
0.949834 79.341 127.0670
0.956717 79.262 126.5249
0.963649 79.180 125.9754
0.970632 79.097 125.4185
0.977666 79.012 124.8546
0.984750 78.925 124.2839
0.991886 78.836 123.7067
0.999074 78.745 123.1234
1.006314 78.652 122.5343
1.013606 78.557 121.9398
1.020951 78.460 121.3403
1.028349 78.360 120.7364
1.035801 78.258 120.1286
1.043307 78.154 119.5175
1.050867 78.047 118.9036
1.058482 77.937 118.2876
1.066152 77.825 117.6701
1.073878 77.709 117.0514
1.081660 77.591 116.4318
1.089498 77.468 115.8112
1.097393 77.341 115.1891
1.105345 77.209 114.5645
1.113355 77.072 113.9359
1.121423 76.928 113.3021
1.129549 76.778 112.6615
1.137734 76.622 112.0129
1.145979 76.459 111.3550
1.154283 76.290 110.6867
1.162647 76.114 110.0067
1.171072 75.933 109.3139
1.179558 75.746 108.6070
1.188106 75.553 107.8848
1.196715 75.356 107.1457
1.205387 75.153 106.3884
1.214122 74.947 105.6111
1.222920 74.736 104.8121
1.231782 74.522 103.9897
1.240708 74.305 103.1417
1.249699 74.086 102.2662
1.258754 73.864 101.3606
1.267876 73.641 100.4226
1.277063 73.416 99.4494
1.286318 73.192 98.4384
1.295639 72.967 97.3863
1.305027 72.743 96.2899
1.314484 72.520 95.1457
1.324009 72.299 93.9501
1.333604 72.081 92.6991
1.343268 71.867 91.3886
1.353002 71.656 90.0143
1.362806 71.451 88.5717
1.372681 71.252 87.0564
1.382628 71.059 85.4637
1.392647 70.874 83.7890
1.402739 70.697 82.0280
1.412904 70.530 80.1764
1.423142 70.373 78.2302
1.433455 70.228 76.1855
1.443843 70.094 74.0388
1.454305 69.972 71.7858
1.464844 69.862 69.4217
1.475459 69.764 66.9406
1.486150 69.677 64.3355
1.496920 69.602 61.5992
1.507767 69.536 58.7252
1.518693 69.481 55.7082
1.529698 69.435 52.5449
1.540783 69.398 49.2350
1.551948 69.371 45.7811
1.563194 69.352 42.1901
1.574521 69.343 38.4730
1.585931 69.341 34.6456
1.597423 69.349 30.7282
1.608999 69.364 26.7453
1.620658 69.387 22.7247
1.632402 69.418 18.6964
1.644232 69.457 14.6913
1.656146 69.502 10.7395
1.668147 69.554 6.8687
1.680235 69.613 3.1037
1.692411 69.678 -0.5353
1.704675 69.749 -4.0323
1.717028 69.826 -7.3761
1.729470 69.907 -10.5599
1.742003 69.994 -13.5806
1.754626 70.085 -16.4388
1.767341 70.180 -19.1376
1.780147 70.279 -21.6830
1.793047 70.384 -24.0829
1.806040 70.493 -26.3476
1.819128 70.607 -28.4892
1.832310 70.729 -30.5213
1.845587 70.860 -32.4579
1.858961 71.001 -34.3122
1.872432 71.153 -36.0947
1.886001 71.316 -37.8136
1.899667 71.490 -39.4745
1.913433 71.676 -41.0815
1.927299 71.871 -42.6373
1.941265 72.076 -44.1441
1.955332 72.288 -45.6031
1.969501 72.508 -47.0154
1.983773 72.734 -48.3817
1.998148 72.965 -49.7027
2.012627 73.199 -50.9785
2.027212 73.436 -52.2095
2.041902 73.673 -53.3957
2.056698 73.910 -54.5372
2.071602 74.144 -55.6339
2.086614 74.376 -56.6859
2.101734 74.602 -57.6931
2.116964 74.822 -58.6557
2.132304 75.035 -59.5741
2.147756 75.239 -60.4494
2.163320 75.433 -61.2834
2.178996 75.617 -62.0791
2.194786 75.791 -62.8406
2.210690 75.956 -63.5731
2.226710 76.111 -64.2820
2.242845 76.259 -64.9716
2.259098 76.400 -65.6453
2.275468 76.534 -66.3050
2.291957 76.662 -66.9518
2.308566 76.785 -67.5860
2.325295 76.902 -68.2075
2.342145 77.015 -68.8158
2.359117 77.124 -69.4101
2.376212 77.229 -69.9896
2.393431 77.330 -70.5533
2.410775 77.428 -71.1000
2.428244 77.524 -71.6285
2.445840 77.618 -72.1375
2.463564 77.710 -72.6258
2.481416 77.802 -73.0921
2.499397 77.892 -73.5352
2.517509 77.982 -73.9545
2.535752 78.071 -74.3494
2.554127 78.160 -74.7202
2.572635 78.247 -75.0678
2.591277 78.333 -75.3938
2.610055 78.416 -75.6996
2.628968 78.497 -75.9870
2.648019 78.575 -76.2574
2.667208 78.651 -76.5119
2.686535 78.724 -76.7515
2.706003 78.795 -76.9770
2.725612 78.865 -77.1892
2.745363 78.933 -77.3887
2.765257 79.000 -77.5760
2.785295 79.066 -77.7516
2.805478 79.132 -77.9159
2.825808 79.198 -78.0691
2.846285 79.265 -78.2115
2.866910 79.333 -78.3430
2.887685 79.402 -78.4633
2.908611 79.472 -78.5719
2.929688 79.543 -78.6680
2.950917 79.615 -78.7507
2.972301 79.688 -78.8194
2.993839 79.761 -78.8743
3.015534 79.835 -78.9157
3.037386 79.909 -78.9450
3.059396 79.983 -78.9637
3.081565 80.058 -78.9735
3.103896 80.133 -78.9765
3.126388 80.209 -78.9746
3.149043 80.286 -78.9699
3.171862 80.364 -78.9642
3.194847 80.443 -78.9595
3.217998 80.523 -78.9570
3.241317 80.604 -78.9579
3.264805 80.688 -78.9623
3.288463 80.772 -78.9699
3.312293 80.859 -78.9796
3.336295 80.947 -78.9901
3.360471 81.037 -79.0006
3.384822 81.129 -79.0114
3.409350 81.222 -79.0231
3.434056 81.316 -79.0373
3.458940 81.412 -79.0557
3.484005 81.508 -79.0806
3.509252 81.605 -79.1139
3.534681 81.702 -79.1581
3.560295 81.800 -79.2150
3.586094 81.897 -79.2864
3.612081 81.995 -79.3738
3.638255 82.092 -79.4779
3.664620 82.189 -79.5988
3.691175 82.286 -79.7360
3.717923 82.384 -79.8885
3.744864 82.481 -80.0553
3.772001 82.578 -80.2356
3.799335 82.675 -80.4287
3.826866 82.772 -80.6340
3.854597 82.869 -80.8512
3.882529 82.964 -81.0800
3.910664 83.058 -81.3205
3.939002 83.151 -81.5726
3.967546 83.242 -81.8365
3.996296 83.332 -82.1129
4.025255 83.419 -82.4020
4.054423 83.505 -82.7045
4.083804 83.589 -83.0205
4.113396 83.671 -83.3496
4.143204 83.751 -83.6910
4.173227 83.830 -84.0434
4.203468 83.906 -84.4053
4.233928 83.981 -84.7750
4.264609 84.053 -85.1511
4.295512 84.124 -85.5322
4.326639 84.192 -85.9175
4.357992 84.258 -86.3066
4.389572 84.321 -86.6997
4.421380 84.382 -87.0977
4.453419 84.440 -87.5010
4.485691 84.496 -87.9100
4.518196 84.549 -88.3240
4.550936 84.600 -88.7417
4.583914 84.649 -89.1616
4.617131 84.695 -89.5817
4.650589 84.740 -90.0000
4.684289 84.783 -90.4148
4.718233 84.823 -90.8250
4.752424 84.862 -91.2299
4.786862 84.899 -91.6298
4.821549 84.934 -92.0251
4.856488 84.968 -92.4162
4.891680 84.999 -92.8034
4.927127 85.028 -93.1864
4.962831 85.057 -93.5646
4.998794 85.084 -93.9373
5.035017 85.110 -94.3034
5.071503 85.136 -94.6622
5.108253 85.162 -95.0130
5.145270 85.187 -95.3552
5.182555 85.211 -95.6890
5.220110 85.235 -96.0149
5.257937 85.259 -96.3335
5.296038 85.283 -96.6458
5.334415 85.307 -96.9529
5.373071 85.331 -97.2558
5.412006 85.356 -97.5550
5.451224 85.381 -97.8512
5.490725 85.408 -98.1444
5.530514 85.435 -98.4347
5.570590 85.464 -98.7222
5.610957 85.493 -99.0077
5.651616 85.524 -99.2924
5.692570 85.555 -99.5778
5.733821 85.588 -99.8657
5.775370 85.622 -100.1577
5.817221 85.656 -100.4554
5.859375 85.692 -100.7594
5.901834 85.729 -101.0702
5.944602 85.767 -101.3879
5.987679 85.806 -101.7128
6.031068 85.846 -102.0454
6.074771 85.886 -102.3866
6.118792 85.927 -102.7372
6.163131 85.969 -103.0984
6.207792 86.010 -103.4707
6.252776 86.052 -103.8547
6.298086 86.093 -104.2503
6.343725 86.134 -104.6572
6.389694 86.176 -105.0746
6.435996 86.216 -105.5018
6.482634 86.257 -105.9380
6.529610 86.296 -106.3827
6.576926 86.335 -106.8354
6.624585 86.372 -107.2960
6.672590 86.409 -107.7641
