* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: Apr 16, 2024 5:25:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L KZ ZS10 PRO 2 0001 18
* Measurement: L KZ ZS10 PRO 2 0001 18
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 86.192 157.1565
0.368865 86.186 157.1330
0.371538 86.177 157.0976
0.374230 86.166 157.0532
0.376942 86.154 157.0020
0.379673 86.141 156.9458
0.382424 86.127 156.8855
0.385196 86.112 156.8219
0.387987 86.098 156.7554
0.390798 86.083 156.6861
0.393630 86.068 156.6142
0.396483 86.053 156.5397
0.399356 86.038 156.4626
0.402250 86.023 156.3830
0.405165 86.008 156.3007
0.408101 85.992 156.2158
0.411058 85.977 156.1282
0.414037 85.961 156.0380
0.417037 85.945 155.9450
0.420059 85.929 155.8493
0.423103 85.913 155.7509
0.426169 85.897 155.6496
0.429257 85.881 155.5456
0.432368 85.864 155.4387
0.435501 85.848 155.3289
0.438656 85.831 155.2163
0.441835 85.814 155.1008
0.445037 85.798 154.9823
0.448262 85.781 154.8609
0.451510 85.763 154.7365
0.454782 85.746 154.6091
0.458077 85.729 154.4787
0.461397 85.711 154.3452
0.464740 85.694 154.2088
0.468108 85.676 154.0692
0.471500 85.658 153.9265
0.474917 85.640 153.7808
0.478358 85.622 153.6319
0.481825 85.604 153.4799
0.485316 85.585 153.3248
0.488833 85.567 153.1664
0.492375 85.548 153.0050
0.495943 85.530 152.8403
0.499537 85.511 152.6725
0.503157 85.492 152.5014
0.506803 85.472 152.3272
0.510475 85.453 152.1498
0.514175 85.433 151.9691
0.517900 85.414 151.7853
0.521653 85.394 151.5983
0.525434 85.374 151.4081
0.529241 85.354 151.2147
0.533076 85.334 151.0182
0.536939 85.314 150.8185
0.540830 85.293 150.6156
0.544749 85.272 150.4097
0.548696 85.252 150.2006
0.552673 85.231 149.9884
0.556677 85.210 149.7733
0.560711 85.188 149.5551
0.564774 85.167 149.3338
0.568867 85.145 149.1097
0.572989 85.124 148.8827
0.577141 85.102 148.6528
0.581324 85.080 148.4201
0.585536 85.058 148.1846
0.589779 85.035 147.9465
0.594053 85.013 147.7057
0.598358 84.990 147.4624
0.602694 84.967 147.2165
0.607061 84.944 146.9683
0.611460 84.921 146.7178
0.615891 84.898 146.4650
0.620354 84.874 146.2101
0.624849 84.851 145.9532
0.629377 84.827 145.6944
0.633938 84.803 145.4338
0.638532 84.779 145.1716
0.643159 84.754 144.9077
0.647819 84.730 144.6426
0.652514 84.705 144.3761
0.657242 84.680 144.1086
0.662005 84.655 143.8402
0.666802 84.630 143.5710
0.671634 84.604 143.3013
0.676501 84.579 143.0312
0.681403 84.553 142.7610
0.686341 84.527 142.4908
0.691314 84.501 142.2209
0.696324 84.474 141.9514
0.701370 84.447 141.6826
0.706452 84.420 141.4147
0.711571 84.392 141.1477
0.716728 84.364 140.8816
0.721921 84.334 140.6161
0.727153 84.303 140.3508
0.732422 84.270 140.0849
0.737729 84.234 139.8173
0.743075 84.197 139.5470
0.748460 84.158 139.2730
0.753883 84.117 138.9947
0.759346 84.075 138.7113
0.764849 84.033 138.4227
0.770391 83.990 138.1285
0.775974 83.947 137.8286
0.781597 83.902 137.5229
0.787261 83.858 137.2113
0.792966 83.813 136.8937
0.798712 83.767 136.5700
0.804500 83.720 136.2402
0.810329 83.673 135.9043
0.816201 83.626 135.5620
0.822116 83.577 135.2136
0.828073 83.529 134.8588
0.834074 83.479 134.4977
0.840118 83.428 134.1303
0.846206 83.377 133.7564
0.852338 83.325 133.3762
0.858514 83.272 132.9896
0.864735 83.218 132.5966
0.871001 83.163 132.1973
0.877313 83.107 131.7916
0.883670 83.050 131.3797
0.890074 82.992 130.9615
0.896524 82.933 130.5371
0.903020 82.873 130.1067
0.909564 82.811 129.6703
0.916155 82.749 129.2280
0.922794 82.685 128.7800
0.929481 82.619 128.3264
0.936216 82.552 127.8675
0.943000 82.484 127.4034
0.949834 82.414 126.9343
0.956717 82.343 126.4606
0.963649 82.270 125.9824
0.970632 82.195 125.5002
0.977666 82.118 125.0143
0.984750 82.040 124.5251
0.991886 81.959 124.0329
0.999074 81.877 123.5384
1.006314 81.793 123.0419
1.013606 81.706 122.5441
1.020951 81.617 122.0455
1.028349 81.526 121.5469
1.035801 81.433 121.0489
1.043307 81.337 120.5522
1.050867 81.239 120.0577
1.058482 81.138 119.5662
1.066152 81.034 119.0784
1.073878 80.928 118.5952
1.081660 80.820 118.1170
1.089498 80.709 117.6443
1.097393 80.597 117.1771
1.105345 80.483 116.7149
1.113355 80.368 116.2573
1.121423 80.252 115.8036
1.129549 80.136 115.3530
1.137734 80.019 114.9049
1.145979 79.902 114.4590
1.154283 79.785 114.0147
1.162647 79.667 113.5717
1.171072 79.548 113.1295
1.179558 79.428 112.6878
1.188106 79.306 112.2462
1.196715 79.183 111.8044
1.205387 79.058 111.3618
1.214122 78.930 110.9181
1.222920 78.800 110.4729
1.231782 78.667 110.0257
1.240708 78.530 109.5760
1.249699 78.390 109.1234
1.258754 78.246 108.6672
1.267876 78.097 108.2070
1.277063 77.943 107.7421
1.286318 77.784 107.2720
1.295639 77.619 106.7961
1.305027 77.448 106.3135
1.314484 77.271 105.8238
1.324009 77.086 105.3261
1.333604 76.894 104.8197
1.343268 76.693 104.3038
1.353002 76.484 103.7777
1.362806 76.266 103.2404
1.372681 76.037 102.6913
1.382628 75.799 102.1293
1.392647 75.549 101.5539
1.402739 75.287 100.9643
1.412904 75.013 100.3599
1.423142 74.726 99.7403
1.433455 74.423 99.1055
1.443843 74.104 98.4559
1.454305 73.767 97.7925
1.464844 73.407 97.1166
1.475459 73.022 96.4303
1.486150 72.608 95.7350
1.496920 72.163 95.0319
1.507767 71.685 94.3212
1.518693 71.174 93.6023
1.529698 70.631 92.8740
1.540783 70.056 92.1345
1.551948 69.452 91.3811
1.563194 68.820 90.6109
1.574521 68.163 89.8200
1.585931 67.484 89.0037
1.597423 66.786 88.1561
1.608999 66.072 87.2700
1.620658 65.345 86.3361
1.632402 64.609 85.3428
1.644232 63.868 84.2746
1.656146 63.126 83.1114
1.668147 62.388 81.8256
1.680235 61.658 80.3791
1.692411 60.943 78.7177
1.704675 60.247 76.7613
1.717028 59.576 74.3877
1.729470 58.939 71.4009
1.742003 58.341 67.4700
1.754626 57.791 62.0013
1.767341 57.298 53.8626
1.780147 56.870 40.8560
1.793047 56.518 19.5473
1.806040 56.251 -9.8872
1.819128 56.077 -36.5978
1.832310 56.004 -54.0648
1.845587 56.037 -64.9030
1.858961 56.176 -72.1059
1.872432 56.419 -77.3034
1.886001 56.762 -81.3200
1.899667 57.196 -84.5903
1.913433 57.713 -87.3578
1.927299 58.305 -89.7668
1.941265 58.960 -91.9076
1.955332 59.670 -93.8395
1.969501 60.424 -95.6027
1.983773 61.213 -97.2256
1.998148 62.027 -98.7287
2.012627 62.856 -100.1272
2.027212 63.693 -101.4327
2.041902 64.527 -102.6539
2.056698 65.350 -103.7977
2.071602 66.154 -104.8697
2.086614 66.931 -105.8743
2.101734 67.672 -106.8156
2.116964 68.372 -107.6975
2.132304 69.023 -108.5241
2.147756 69.621 -109.3008
2.163320 70.163 -110.0348
2.178996 70.648 -110.7358
2.194786 71.077 -111.4161
2.210690 71.455 -112.0896
2.226710 71.786 -112.7695
2.242845 72.076 -113.4654
2.259098 72.329 -114.1828
2.275468 72.548 -114.9232
2.291957 72.735 -115.6853
2.308566 72.895 -116.4663
2.325295 73.027 -117.2620
2.342145 73.135 -118.0676
2.359117 73.221 -118.8781
2.376212 73.287 -119.6881
2.393431 73.335 -120.4919
2.410775 73.367 -121.2840
2.428244 73.387 -122.0586
2.445840 73.397 -122.8101
2.463564 73.399 -123.5328
2.481416 73.396 -124.2219
2.499397 73.390 -124.8732
2.517509 73.384 -125.4844
2.535752 73.377 -126.0555
2.554127 73.369 -126.5897
2.572635 73.360 -127.0933
2.591277 73.346 -127.5745
2.610055 73.326 -128.0411
2.628968 73.297 -128.4987
2.648019 73.258 -128.9505
2.667208 73.210 -129.3972
2.686535 73.151 -129.8375
2.706003 73.083 -130.2688
2.725612 73.005 -130.6870
2.745363 72.918 -131.0874
2.765257 72.823 -131.4640
2.785295 72.720 -131.8100
2.805478 72.611 -132.1177
2.825808 72.495 -132.3787
2.846285 72.374 -132.5838
2.866910 72.247 -132.7236
2.887685 72.115 -132.7892
2.908611 71.976 -132.7720
2.929688 71.830 -132.6651
2.950917 71.673 -132.4631
2.972301 71.504 -132.1617
2.993839 71.322 -131.7570
3.015534 71.129 -131.2449
3.037386 70.924 -130.6211
3.059396 70.711 -129.8806
3.081565 70.492 -129.0187
3.103896 70.272 -128.0305
3.126388 70.054 -126.9122
3.149043 69.843 -125.6608
3.171862 69.643 -124.2749
3.194847 69.460 -122.7549
3.217998 69.299 -121.1025
3.241317 69.163 -119.3209
3.264805 69.057 -117.4131
3.288463 68.985 -115.3814
3.312293 68.946 -113.2278
3.336295 68.941 -110.9566
3.360471 68.968 -108.5796
3.384822 69.026 -106.1178
3.409350 69.111 -103.6013
3.434056 69.221 -101.0670
3.458940 69.353 -98.5551
3.484005 69.503 -96.1063
3.509252 69.668 -93.7583
3.534681 69.846 -91.5442
3.560295 70.033 -89.4903
3.586094 70.229 -87.6154
3.612081 70.431 -85.9306
3.638255 70.641 -84.4384
3.664620 70.858 -83.1346
3.691175 71.085 -82.0089
3.717923 71.322 -81.0483
3.744864 71.569 -80.2392
3.772001 71.826 -79.5682
3.799335 72.090 -79.0229
3.826866 72.358 -78.5920
3.854597 72.627 -78.2647
3.882529 72.894 -78.0318
3.910664 73.154 -77.8851
3.939002 73.404 -77.8182
3.967546 73.643 -77.8264
3.996296 73.867 -77.9073
4.025255 74.077 -78.0598
4.054423 74.272 -78.2837
4.083804 74.454 -78.5776
4.113396 74.622 -78.9376
4.143204 74.778 -79.3570
4.173227 74.923 -79.8270
4.203468 75.056 -80.3377
4.233928 75.179 -80.8790
4.264609 75.292 -81.4417
4.295512 75.394 -82.0178
4.326639 75.487 -82.6021
4.357992 75.569 -83.1923
4.389572 75.640 -83.7899
4.421380 75.701 -84.3987
4.453419 75.750 -85.0229
4.485691 75.789 -85.6645
4.518196 75.815 -86.3217
4.550936 75.832 -86.9896
4.583914 75.837 -87.6605
4.617131 75.833 -88.3252
4.650589 75.820 -88.9741
4.684289 75.798 -89.5984
4.718233 75.767 -90.1912
4.752424 75.727 -90.7488
4.786862 75.678 -91.2706
4.821549 75.620 -91.7583
4.856488 75.552 -92.2135
4.891680 75.476 -92.6367
4.927127 75.392 -93.0262
4.962831 75.301 -93.3782
4.998794 75.205 -93.6875
5.035017 75.106 -93.9476
5.071503 75.003 -94.1516
5.108253 74.899 -94.2924
5.145270 74.792 -94.3645
5.182555 74.684 -94.3642
5.220110 74.574 -94.2909
5.257937 74.463 -94.1466
5.296038 74.353 -93.9361
5.334415 74.246 -93.6657
5.373071 74.144 -93.3423
5.412006 74.050 -92.9724
5.451224 73.965 -92.5613
5.490725 73.891 -92.1120
5.530514 73.830 -91.6262
5.570590 73.780 -91.1069
5.610957 73.743 -90.5610
5.651616 73.716 -90.0005
5.692570 73.701 -89.4411
5.733821 73.697 -88.9006
5.775370 73.703 -88.3961
5.817221 73.720 -87.9423
5.859375 73.747 -87.5494
5.901834 73.786 -87.2228
5.944602 73.834 -86.9652
5.987679 73.892 -86.7787
6.031068 73.957 -86.6662
6.074771 74.027 -86.6316
6.118792 74.100 -86.6792
6.163131 74.173 -86.8134
6.207792 74.245 -87.0377
6.252776 74.315 -87.3536
6.298086 74.382 -87.7598
6.343725 74.447 -88.2516
6.389694 74.508 -88.8215
6.435996 74.565 -89.4613
6.482634 74.616 -90.1629
6.529610 74.661 -90.9200
6.576926 74.698 -91.7291
6.624585 74.727 -92.5887
6.672590 74.748 -93.4974
