* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 30, 2023 1:20:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZSN Pro 2 L
* Measurement: L Dec 30
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.573 -32.0604
0.368865 72.567 -32.1103
0.371538 72.557 -32.1848
0.374230 72.545 -32.2783
0.376942 72.531 -32.3859
0.379673 72.517 -32.5038
0.382424 72.502 -32.6297
0.385196 72.486 -32.7621
0.387987 72.470 -32.9003
0.390798 72.454 -33.0437
0.393630 72.438 -33.1923
0.396483 72.421 -33.3458
0.399356 72.405 -33.5044
0.402250 72.388 -33.6680
0.405165 72.371 -33.8367
0.408101 72.354 -34.0106
0.411058 72.337 -34.1897
0.414037 72.320 -34.3742
0.417037 72.303 -34.5641
0.420059 72.286 -34.7595
0.423103 72.268 -34.9605
0.426169 72.250 -35.1671
0.429257 72.233 -35.3795
0.432367 72.215 -35.5977
0.435501 72.197 -35.8218
0.438656 72.179 -36.0518
0.441835 72.160 -36.2880
0.445037 72.142 -36.5304
0.448262 72.123 -36.7790
0.451510 72.105 -37.0339
0.454782 72.086 -37.2953
0.458077 72.067 -37.5633
0.461397 72.048 -37.8378
0.464740 72.028 -38.1190
0.468108 72.009 -38.4071
0.471500 71.990 -38.7020
0.474917 71.970 -39.0040
0.478358 71.950 -39.3130
0.481825 71.930 -39.6291
0.485316 71.910 -39.9526
0.488833 71.890 -40.2834
0.492375 71.869 -40.6216
0.495943 71.849 -40.9674
0.499537 71.828 -41.3208
0.503157 71.807 -41.6819
0.506803 71.786 -42.0509
0.510475 71.765 -42.4277
0.514174 71.744 -42.8125
0.517900 71.723 -43.2055
0.521653 71.701 -43.6066
0.525433 71.679 -44.0159
0.529241 71.657 -44.4336
0.533076 71.635 -44.8598
0.536939 71.613 -45.2944
0.540830 71.591 -45.7376
0.544749 71.568 -46.1895
0.548696 71.545 -46.6502
0.552673 71.522 -47.1197
0.556677 71.499 -47.5981
0.560711 71.476 -48.0855
0.564774 71.453 -48.5819
0.568867 71.429 -49.0875
0.572989 71.406 -49.6022
0.577141 71.382 -50.1261
0.581324 71.358 -50.6594
0.585536 71.333 -51.2020
0.589779 71.309 -51.7540
0.594053 71.284 -52.3155
0.598358 71.260 -52.8865
0.602694 71.235 -53.4670
0.607061 71.209 -54.0572
0.611460 71.184 -54.6569
0.615891 71.159 -55.2663
0.620354 71.133 -55.8855
0.624849 71.107 -56.5143
0.629377 71.081 -57.1529
0.633938 71.055 -57.8012
0.638532 71.028 -58.4593
0.643159 71.002 -59.1272
0.647819 70.975 -59.8049
0.652514 70.948 -60.4924
0.657242 70.921 -61.1897
0.662005 70.893 -61.8969
0.666802 70.866 -62.6139
0.671634 70.838 -63.3407
0.676501 70.810 -64.0773
0.681403 70.782 -64.8238
0.686341 70.753 -65.5801
0.691314 70.725 -66.3463
0.696324 70.696 -67.1224
0.701369 70.668 -67.9086
0.706452 70.640 -68.7048
0.711571 70.613 -69.5116
0.716727 70.586 -70.3291
0.721921 70.563 -71.1583
0.727153 70.542 -72.0000
0.732422 70.527 -72.8556
0.737729 70.516 -73.7268
0.743075 70.511 -74.6152
0.748460 70.509 -75.5220
0.753883 70.512 -76.4481
0.759346 70.516 -77.3941
0.764849 70.523 -78.3603
0.770391 70.532 -79.3467
0.775974 70.542 -80.3532
0.781597 70.554 -81.3795
0.787261 70.567 -82.4254
0.792965 70.582 -83.4904
0.798712 70.597 -84.5741
0.804499 70.615 -85.6760
0.810329 70.633 -86.7954
0.816201 70.653 -87.9317
0.822116 70.675 -89.0842
0.828073 70.698 -90.2521
0.834073 70.722 -91.4346
0.840118 70.748 -92.6307
0.846205 70.775 -93.8395
0.852337 70.803 -95.0600
0.858514 70.833 -96.2912
0.864735 70.865 -97.5321
0.871001 70.898 -98.7814
0.877313 70.932 -100.0381
0.883670 70.968 -101.3010
0.890074 71.005 -102.5689
0.896523 71.044 -103.8408
0.903020 71.084 -105.1153
0.909564 71.126 -106.3914
0.916155 71.169 -107.6679
0.922793 71.214 -108.9437
0.929480 71.260 -110.2178
0.936216 71.308 -111.4890
0.943000 71.357 -112.7564
0.949833 71.408 -114.0189
0.956716 71.460 -115.2758
0.963649 71.514 -116.5261
0.970632 71.569 -117.7691
0.977666 71.626 -119.0041
0.984750 71.684 -120.2304
0.991886 71.743 -121.4474
0.999074 71.804 -122.6546
1.006313 71.867 -123.8515
1.013605 71.930 -125.0379
1.020950 71.996 -126.2133
1.028349 72.062 -127.3775
1.035801 72.130 -128.5305
1.043306 72.200 -129.6720
1.050867 72.271 -130.8022
1.058482 72.343 -131.9210
1.066152 72.416 -133.0288
1.073878 72.492 -134.1257
1.081659 72.568 -135.2124
1.089498 72.647 -136.2896
1.097393 72.728 -137.3580
1.105345 72.811 -138.4186
1.113355 72.897 -139.4723
1.121422 72.986 -140.5195
1.129549 73.078 -141.5605
1.137734 73.174 -142.5954
1.145978 73.273 -143.6241
1.154283 73.375 -144.6464
1.162647 73.480 -145.6618
1.171072 73.589 -146.6700
1.179558 73.700 -147.6707
1.188106 73.815 -148.6636
1.196715 73.933 -149.6482
1.205387 74.053 -150.6242
1.214122 74.177 -151.5914
1.222920 74.302 -152.5494
1.231781 74.431 -153.4978
1.240708 74.561 -154.4365
1.249698 74.694 -155.3652
1.258754 74.829 -156.2836
1.267875 74.966 -157.1914
1.277063 75.105 -158.0886
1.286317 75.245 -158.9748
1.295638 75.386 -159.8499
1.305027 75.529 -160.7138
1.314484 75.673 -161.5663
1.324009 75.818 -162.4073
1.333603 75.963 -163.2366
1.343267 76.109 -164.0542
1.353001 76.255 -164.8600
1.362805 76.400 -165.6540
1.372681 76.546 -166.4359
1.382628 76.691 -167.2060
1.392647 76.835 -167.9641
1.402739 76.978 -168.7102
1.412904 77.120 -169.4445
1.423142 77.261 -170.1670
1.433455 77.400 -170.8779
1.443842 77.537 -171.5776
1.454305 77.673 -172.2665
1.464843 77.807 -172.9452
1.475458 77.940 -173.6145
1.486150 78.072 -174.2749
1.496919 78.203 -174.9273
1.507766 78.335 -175.5719
1.518692 78.466 -176.2094
1.529697 78.596 -176.8398
1.540782 78.727 -177.4634
1.551947 78.857 -178.0806
1.563193 78.988 -178.6913
1.574521 79.118 -179.2959
1.585931 79.248 -179.8944
1.597423 79.379 179.5129
1.608998 79.508 178.9259
1.620658 79.638 178.3445
1.632402 79.768 177.7684
1.644231 79.898 177.1975
1.656146 80.027 176.6317
1.668147 80.156 176.0707
1.680235 80.285 175.5145
1.692410 80.414 174.9627
1.704674 80.543 174.4154
1.717027 80.671 173.8722
1.729469 80.800 173.3331
1.742002 80.928 172.7979
1.754625 81.056 172.2663
1.767340 81.183 171.7382
1.780147 81.311 171.2135
1.793046 81.438 170.6918
1.806040 81.564 170.1731
1.819127 81.691 169.6569
1.832309 81.816 169.1431
1.845587 81.942 168.6314
1.858961 82.066 168.1216
1.872431 82.190 167.6136
1.886000 82.314 167.1073
1.899666 82.436 166.6028
1.913432 82.558 166.1002
1.927298 82.680 165.5995
1.941264 82.800 165.1009
1.955331 82.920 164.6044
1.969500 83.040 164.1101
1.983772 83.159 163.6183
1.998147 83.277 163.1288
2.012626 83.395 162.6420
2.027211 83.513 162.1579
2.041901 83.630 161.6765
2.056697 83.747 161.1979
2.071601 83.863 160.7222
2.086613 83.980 160.2496
2.101733 84.096 159.7799
2.116963 84.212 159.3133
2.132303 84.328 158.8499
2.147755 84.444 158.3894
2.163318 84.560 157.9320
2.178995 84.676 157.4774
2.194785 84.791 157.0255
2.210689 84.906 156.5760
2.226709 85.021 156.1287
2.242844 85.136 155.6832
2.259097 85.250 155.2396
2.275467 85.363 154.7975
2.291956 85.476 154.3571
2.308565 85.588 153.9182
2.325294 85.700 153.4808
2.342144 85.812 153.0448
2.359116 85.922 152.6103
2.376211 86.033 152.1772
2.393430 86.143 151.7456
2.410774 86.253 151.3153
2.428243 86.363 150.8864
2.445839 86.472 150.4589
2.463562 86.581 150.0327
2.481415 86.690 149.6077
2.499396 86.800 149.1841
2.517508 86.909 148.7617
2.535750 87.018 148.3405
2.554126 87.126 147.9204
2.572634 87.235 147.5016
2.591276 87.344 147.0837
2.610054 87.452 146.6670
2.628967 87.560 146.2512
2.648018 87.667 145.8362
2.667206 87.774 145.4219
2.686534 87.881 145.0082
2.706002 87.987 144.5950
2.725610 88.093 144.1821
2.745361 88.199 143.7693
2.765255 88.304 143.3565
2.785294 88.410 142.9435
2.805477 88.515 142.5303
2.825807 88.619 142.1165
2.846284 88.724 141.7021
2.866909 88.829 141.2870
2.887684 88.933 140.8710
2.908609 89.037 140.4540
2.929686 89.142 140.0361
2.950916 89.246 139.6171
2.972299 89.349 139.1972
2.993838 89.453 138.7764
3.015532 89.556 138.3546
3.037384 89.659 137.9319
3.059394 89.761 137.5083
3.081564 89.863 137.0837
3.103894 89.965 136.6581
3.126386 90.066 136.2314
3.149041 90.168 135.8035
3.171861 90.269 135.3744
3.194845 90.369 134.9439
3.217996 90.469 134.5120
3.241315 90.569 134.0784
3.264803 90.669 133.6430
3.288461 90.769 133.2058
3.312291 90.868 132.7666
3.336293 90.966 132.3254
3.360469 91.065 131.8821
3.384820 91.162 131.4367
3.409348 91.260 130.9894
3.434054 91.357 130.5401
3.458938 91.453 130.0891
3.484003 91.549 129.6361
3.509250 91.645 129.1815
3.534679 91.740 128.7250
3.560293 91.834 128.2667
3.586092 91.928 127.8065
3.612079 92.022 127.3442
3.638253 92.115 126.8795
3.664618 92.207 126.4122
3.691173 92.299 125.9420
3.717921 92.390 125.4687
3.744862 92.480 124.9924
3.771999 92.570 124.5132
3.799332 92.659 124.0314
3.826864 92.747 123.5475
3.854595 92.835 123.0619
3.882527 92.921 122.5749
3.910661 93.008 122.0869
3.938999 93.093 121.5981
3.967543 93.177 121.1087
3.996294 93.261 120.6186
4.025252 93.344 120.1273
4.054421 93.426 119.6346
4.083801 93.507 119.1402
4.113394 93.588 118.6438
4.143201 93.667 118.1456
4.173225 93.745 117.6460
4.203466 93.823 117.1455
4.233926 93.899 116.6448
4.264606 93.975 116.1446
4.295509 94.050 115.6452
4.326636 94.124 115.1471
4.357989 94.197 114.6504
4.389569 94.269 114.1550
4.421378 94.340 113.6604
4.453417 94.410 113.1664
4.485688 94.479 112.6728
4.518193 94.548 112.1796
4.550934 94.615 111.6873
4.583912 94.681 111.1965
4.617129 94.747 110.7078
4.650587 94.812 110.2219
4.684287 94.876 109.7395
4.718231 94.939 109.2609
4.752421 95.001 108.7862
4.786859 95.063 108.3152
4.821547 95.124 107.8478
4.856485 95.185 107.3837
4.891677 95.244 106.9228
4.927125 95.303 106.4653
4.962829 95.362 106.0114
4.998791 95.420 105.5615
5.035015 95.477 105.1160
5.071500 95.535 104.6753
5.108251 95.592 104.2395
5.145267 95.649 103.8089
5.182552 95.705 103.3832
5.220107 95.762 102.9623
5.257934 95.818 102.5458
5.296035 95.874 102.1335
5.334412 95.931 101.7250
5.373067 95.987 101.3202
5.412003 96.043 100.9189
5.451221 96.100 100.5209
5.490722 96.158 100.1264
5.530510 96.215 99.7354
5.570587 96.273 99.3477
5.610953 96.332 98.9629
5.651613 96.390 98.5804
5.692567 96.450 98.1996
5.733818 96.509 97.8198
5.775367 96.570 97.4401
5.817218 96.630 97.0601
5.859372 96.692 96.6795
5.901831 96.754 96.2982
5.944598 96.817 95.9160
5.987675 96.880 95.5326
6.031065 96.944 95.1473
6.074768 97.009 94.7596
6.118788 97.073 94.3684
6.163127 97.139 93.9732
6.207788 97.204 93.5733
6.252772 97.270 93.1686
6.298082 97.336 92.7588
6.343721 97.403 92.3440
6.389690 97.469 91.9240
6.435992 97.536 91.4985
6.482630 97.603 91.0675
6.529606 97.669 90.6305
6.576922 97.735 90.1873
6.624581 97.801 89.7378
