* Measurement data measured by REW V5.30.9
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: Mar 31, 2024 1:03:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kinera Celest Pandamon 2.0 L
* Measurement: L Kinera Celest Pandamon 2.
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.516 170.0232
0.368865 78.510 170.0115
0.371538 78.501 169.9939
0.374230 78.490 169.9718
0.376942 78.478 169.9463
0.379673 78.464 169.9183
0.382424 78.450 169.8884
0.385196 78.436 169.8568
0.387987 78.421 169.8238
0.390798 78.407 169.7895
0.393630 78.392 169.7539
0.396483 78.376 169.7171
0.399356 78.361 169.6790
0.402250 78.346 169.6396
0.405165 78.331 169.5991
0.408101 78.315 169.5572
0.411058 78.299 169.5141
0.414037 78.284 169.4696
0.417037 78.268 169.4239
0.420059 78.252 169.3768
0.423103 78.236 169.3285
0.426169 78.219 169.2788
0.429257 78.203 169.2277
0.432367 78.187 169.1753
0.435501 78.170 169.1215
0.438656 78.153 169.0664
0.441835 78.137 169.0098
0.445037 78.120 168.9519
0.448262 78.103 168.8925
0.451510 78.085 168.8317
0.454782 78.068 168.7695
0.458077 78.051 168.7059
0.461397 78.033 168.6408
0.464740 78.015 168.5742
0.468108 77.997 168.5062
0.471500 77.980 168.4367
0.474917 77.961 168.3658
0.478358 77.943 168.2933
0.481825 77.925 168.2194
0.485316 77.906 168.1440
0.488833 77.888 168.0670
0.492375 77.869 167.9886
0.495943 77.850 167.9086
0.499537 77.831 167.8271
0.503157 77.812 167.7441
0.506803 77.793 167.6596
0.510475 77.773 167.5735
0.514174 77.754 167.4860
0.517900 77.734 167.3969
0.521653 77.714 167.3062
0.525433 77.694 167.2141
0.529241 77.674 167.1204
0.533076 77.654 167.0252
0.536939 77.633 166.9284
0.540830 77.613 166.8302
0.544749 77.592 166.7305
0.548696 77.571 166.6292
0.552673 77.550 166.5265
0.556677 77.529 166.4223
0.560711 77.507 166.3166
0.564774 77.486 166.2094
0.568867 77.464 166.1008
0.572989 77.443 165.9908
0.577141 77.421 165.8793
0.581324 77.398 165.7664
0.585536 77.376 165.6522
0.589779 77.354 165.5366
0.594053 77.331 165.4197
0.598358 77.308 165.3014
0.602694 77.285 165.1819
0.607061 77.262 165.0611
0.611460 77.239 164.9391
0.615891 77.215 164.8159
0.620354 77.192 164.6915
0.624849 77.168 164.5661
0.629377 77.144 164.4395
0.633938 77.120 164.3120
0.638532 77.096 164.1834
0.643159 77.071 164.0539
0.647819 77.047 163.9236
0.652514 77.022 163.7924
0.657242 76.997 163.6604
0.662005 76.972 163.5278
0.666802 76.946 163.3945
0.671634 76.921 163.2607
0.676501 76.895 163.1264
0.681403 76.869 162.9917
0.686341 76.843 162.8566
0.691314 76.816 162.7214
0.696324 76.790 162.5859
0.701369 76.763 162.4504
0.706452 76.735 162.3149
0.711571 76.707 162.1793
0.716727 76.678 162.0437
0.721921 76.647 161.9078
0.727153 76.615 161.7713
0.732422 76.580 161.6339
0.737729 76.542 161.4948
0.743075 76.502 161.3535
0.748460 76.461 161.2095
0.753883 76.418 161.0623
0.759346 76.375 160.9117
0.764849 76.332 160.7574
0.770391 76.289 160.5992
0.775974 76.246 160.4372
0.781597 76.203 160.2711
0.787261 76.161 160.1011
0.792965 76.118 159.9269
0.798712 76.076 159.7486
0.804499 76.033 159.5660
0.810329 75.991 159.3793
0.816201 75.948 159.1882
0.822116 75.905 158.9929
0.828073 75.861 158.7932
0.834073 75.817 158.5891
0.840118 75.772 158.3805
0.846205 75.726 158.1675
0.852337 75.679 157.9500
0.858514 75.632 157.7280
0.864735 75.583 157.5014
0.871001 75.533 157.2702
0.877313 75.481 157.0344
0.883670 75.428 156.7940
0.890074 75.372 156.5489
0.896523 75.315 156.2992
0.903020 75.256 156.0448
0.909564 75.195 155.7858
0.916155 75.131 155.5221
0.922793 75.064 155.2538
0.929480 74.995 154.9808
0.936216 74.922 154.7032
0.943000 74.847 154.4210
0.949833 74.767 154.1343
0.956716 74.684 153.8431
0.963649 74.598 153.5475
0.970632 74.507 153.2475
0.977666 74.411 152.9432
0.984750 74.311 152.6348
0.991886 74.206 152.3223
0.999074 74.096 152.0058
1.006313 73.980 151.6856
1.013605 73.858 151.3617
1.020950 73.731 151.0344
1.028349 73.597 150.7038
1.035801 73.456 150.3703
1.043306 73.308 150.0339
1.050867 73.153 149.6950
1.058482 72.989 149.3539
1.066152 72.818 149.0105
1.073878 72.637 148.6651
1.081659 72.446 148.3173
1.089498 72.243 147.9669
1.097393 72.027 147.6129
1.105345 71.796 147.2540
1.113355 71.548 146.8888
1.121422 71.281 146.5157
1.129549 70.994 146.1333
1.137734 70.687 145.7402
1.145978 70.360 145.3353
1.154283 70.012 144.9173
1.162647 69.646 144.4849
1.171072 69.260 144.0370
1.179558 68.858 143.5719
1.188106 68.438 143.0882
1.196715 68.003 142.5842
1.205387 67.554 142.0577
1.214122 67.091 141.5066
1.222920 66.617 140.9282
1.231781 66.133 140.3197
1.240708 65.639 139.6777
1.249698 65.139 138.9982
1.258754 64.632 138.2768
1.267875 64.122 137.5081
1.277063 63.610 136.6858
1.286317 63.098 135.8025
1.295638 62.588 134.8494
1.305027 62.082 133.8160
1.314484 61.582 132.6892
1.324009 61.091 131.4534
1.333603 60.612 130.0891
1.343267 60.147 128.5723
1.353001 59.700 126.8727
1.362805 59.273 124.9516
1.372681 58.869 122.7599
1.382628 58.492 120.2333
1.392647 58.147 117.2889
1.402739 57.836 113.8171
1.412904 57.563 109.6754
1.423142 57.334 104.6806
1.433455 57.152 98.6074
1.443842 57.021 91.2060
1.454305 56.945 82.2657
1.464843 56.927 71.7533
1.475458 56.968 60.0018
1.486150 57.070 47.7885
1.496919 57.231 36.0958
1.507766 57.450 25.6853
1.518692 57.725 16.8698
1.529697 58.053 9.5992
1.540782 58.432 3.6522
1.551947 58.857 -1.2266
1.563193 59.326 -5.2650
1.574521 59.834 -8.6475
1.585931 60.379 -11.5163
1.597423 60.955 -13.9806
1.608998 61.560 -16.1231
1.620658 62.188 -18.0071
1.632402 62.837 -19.6814
1.644231 63.501 -21.1842
1.656146 64.177 -22.5454
1.668147 64.860 -23.7887
1.680235 65.545 -24.9334
1.692410 66.228 -25.9949
1.704674 66.905 -26.9860
1.717027 67.572 -27.9172
1.729469 68.223 -28.7973
1.742002 68.854 -29.6337
1.754625 69.462 -30.4328
1.767340 70.043 -31.1998
1.780147 70.593 -31.9395
1.793046 71.111 -32.6559
1.806040 71.595 -33.3526
1.819127 72.046 -34.0325
1.832309 72.466 -34.6984
1.845587 72.859 -35.3520
1.858961 73.228 -35.9951
1.872431 73.577 -36.6285
1.886000 73.908 -37.2528
1.899666 74.223 -37.8682
1.913432 74.522 -38.4749
1.927298 74.808 -39.0731
1.941264 75.081 -39.6628
1.955331 75.342 -40.2441
1.969500 75.592 -40.8170
1.983772 75.832 -41.3818
1.998147 76.062 -41.9386
2.012626 76.284 -42.4875
2.027211 76.498 -43.0287
2.041901 76.705 -43.5624
2.056697 76.908 -44.0889
2.071601 77.106 -44.6084
2.086613 77.300 -45.1212
2.101733 77.493 -45.6277
2.116963 77.685 -46.1281
2.132303 77.877 -46.6232
2.147755 78.069 -47.1134
2.163318 78.262 -47.5997
2.178995 78.457 -48.0833
2.194785 78.651 -48.5653
2.210689 78.845 -49.0473
2.226709 79.035 -49.5304
2.242844 79.223 -50.0155
2.259097 79.406 -50.5027
2.275467 79.584 -50.9920
2.291956 79.757 -51.4829
2.308565 79.925 -51.9749
2.325294 80.088 -52.4671
2.342144 80.247 -52.9590
2.359116 80.402 -53.4497
2.376211 80.553 -53.9387
2.393430 80.700 -54.4252
2.410774 80.844 -54.9087
2.428243 80.986 -55.3885
2.445839 81.126 -55.8643
2.463562 81.263 -56.3356
2.481415 81.399 -56.8022
2.499396 81.534 -57.2640
2.517508 81.668 -57.7212
2.535750 81.801 -58.1744
2.554126 81.933 -58.6246
2.572634 82.063 -59.0732
2.591276 82.192 -59.5217
2.610054 82.318 -59.9711
2.628967 82.441 -60.4221
2.648018 82.561 -60.8747
2.667206 82.679 -61.3288
2.686534 82.794 -61.7838
2.706002 82.906 -62.2389
2.725610 83.016 -62.6933
2.745361 83.123 -63.1462
2.765255 83.228 -63.5966
2.785294 83.331 -64.0437
2.805477 83.432 -64.4866
2.825807 83.532 -64.9245
2.846284 83.630 -65.3569
2.866909 83.727 -65.7834
2.887684 83.823 -66.2038
2.908609 83.918 -66.6185
2.929686 84.011 -67.0283
2.950916 84.103 -67.4343
2.972299 84.193 -67.8378
2.993838 84.280 -68.2394
3.015532 84.366 -68.6396
3.037384 84.450 -69.0385
3.059394 84.531 -69.4357
3.081564 84.611 -69.8306
3.103894 84.689 -70.2226
3.126386 84.766 -70.6109
3.149041 84.841 -70.9947
3.171861 84.915 -71.3731
3.194845 84.987 -71.7454
3.217996 85.059 -72.1109
3.241315 85.130 -72.4691
3.264803 85.201 -72.8195
3.288461 85.270 -73.1625
3.312291 85.339 -73.4982
3.336293 85.406 -73.8273
3.360469 85.473 -74.1505
3.384820 85.537 -74.4682
3.409348 85.601 -74.7809
3.434054 85.664 -75.0887
3.458938 85.725 -75.3918
3.484003 85.785 -75.6902
3.509250 85.845 -75.9838
3.534679 85.905 -76.2726
3.560293 85.964 -76.5562
3.586092 86.022 -76.8347
3.612079 86.081 -77.1077
3.638253 86.140 -77.3751
3.664618 86.198 -77.6366
3.691173 86.257 -77.8921
3.717921 86.315 -78.1418
3.744862 86.373 -78.3858
3.771999 86.430 -78.6247
3.799332 86.488 -78.8591
3.826864 86.545 -79.0895
3.854595 86.602 -79.3166
3.882527 86.659 -79.5413
3.910661 86.716 -79.7640
3.938999 86.774 -79.9853
3.967543 86.832 -80.2055
3.996294 86.890 -80.4248
4.025252 86.949 -80.6431
4.054421 87.008 -80.8602
4.083801 87.068 -81.0757
4.113394 87.128 -81.2898
4.143201 87.188 -81.5028
4.173225 87.249 -81.7154
4.203466 87.310 -81.9284
4.233926 87.371 -82.1429
4.264606 87.433 -82.3597
4.295509 87.494 -82.5799
4.326636 87.556 -82.8042
4.357989 87.619 -83.0332
4.389569 87.681 -83.2672
4.421378 87.744 -83.5061
4.453417 87.807 -83.7497
4.485688 87.870 -83.9979
4.518193 87.934 -84.2507
4.550934 87.997 -84.5082
4.583912 88.061 -84.7706
4.617129 88.124 -85.0385
4.650587 88.188 -85.3121
4.684287 88.251 -85.5920
4.718231 88.313 -85.8786
4.752421 88.375 -86.1722
4.786859 88.437 -86.4730
4.821547 88.498 -86.7810
4.856485 88.559 -87.0959
4.891677 88.620 -87.4175
4.927125 88.679 -87.7452
4.962829 88.739 -88.0786
4.998791 88.797 -88.4172
5.035015 88.855 -88.7607
5.071500 88.912 -89.1090
5.108251 88.967 -89.4619
5.145267 89.022 -89.8198
5.182552 89.076 -90.1826
5.220107 89.129 -90.5504
5.257934 89.181 -90.9227
5.296035 89.232 -91.2989
5.334412 89.282 -91.6780
5.373067 89.330 -92.0592
5.412003 89.378 -92.4418
5.451221 89.426 -92.8251
5.490722 89.472 -93.2088
5.530510 89.517 -93.5930
5.570587 89.561 -93.9777
5.610953 89.604 -94.3629
5.651613 89.646 -94.7483
5.692567 89.688 -95.1332
5.733818 89.728 -95.5172
5.775367 89.769 -95.8994
5.817218 89.809 -96.2794
5.859372 89.848 -96.6568
5.901831 89.887 -97.0315
5.944598 89.925 -97.4036
5.987675 89.964 -97.7733
6.031065 90.002 -98.1407
6.074768 90.040 -98.5059
6.118788 90.077 -98.8691
6.163127 90.116 -99.2301
6.207788 90.154 -99.5891
6.252772 90.192 -99.9458
6.298082 90.231 -100.3006
6.343721 90.271 -100.6535
6.389690 90.310 -101.0052
6.435992 90.351 -101.3562
6.482630 90.391 -101.7072
6.529606 90.432 -102.0586
6.576922 90.474 -102.4110
6.624581 90.516 -102.7644
