* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Aug 9, 2024 12:01:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kinera Celest Wyvern Qing
* Measurement: L Kinera Celest Wyvern Qing
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.380 -61.0042
0.368865 87.384 -61.0685
0.371538 87.389 -61.1649
0.374230 87.396 -61.2858
0.376942 87.405 -61.4250
0.379673 87.413 -61.5777
0.382424 87.422 -61.7408
0.385196 87.431 -61.9124
0.387987 87.441 -62.0916
0.390798 87.450 -62.2777
0.393630 87.460 -62.4703
0.396483 87.470 -62.6694
0.399356 87.479 -62.8749
0.402250 87.489 -63.0867
0.405165 87.499 -63.3050
0.408101 87.509 -63.5296
0.411058 87.519 -63.7607
0.414037 87.529 -63.9983
0.417037 87.539 -64.2423
0.420059 87.550 -64.4929
0.423103 87.560 -64.7499
0.426169 87.570 -65.0135
0.429257 87.581 -65.2837
0.432368 87.591 -65.5604
0.435501 87.602 -65.8437
0.438656 87.613 -66.1335
0.441835 87.624 -66.4299
0.445037 87.635 -66.7328
0.448262 87.645 -67.0423
0.451510 87.657 -67.3582
0.454782 87.668 -67.6807
0.458077 87.679 -68.0097
0.461397 87.690 -68.3451
0.464740 87.701 -68.6869
0.468108 87.713 -69.0351
0.471500 87.724 -69.3896
0.474917 87.736 -69.7504
0.478358 87.748 -70.1174
0.481825 87.760 -70.4905
0.485316 87.771 -70.8698
0.488833 87.783 -71.2550
0.492375 87.795 -71.6462
0.495943 87.808 -72.0433
0.499537 87.820 -72.4461
0.503157 87.832 -72.8546
0.506803 87.844 -73.2686
0.510475 87.857 -73.6882
0.514175 87.869 -74.1130
0.517900 87.882 -74.5431
0.521653 87.895 -74.9783
0.525434 87.908 -75.4185
0.529241 87.921 -75.8636
0.533076 87.934 -76.3133
0.536939 87.947 -76.7676
0.540830 87.960 -77.2263
0.544749 87.973 -77.6893
0.548696 87.987 -78.1563
0.552673 88.000 -78.6273
0.556677 88.014 -79.1021
0.560711 88.028 -79.5804
0.564774 88.041 -80.0621
0.568867 88.055 -80.5471
0.572989 88.069 -81.0351
0.577141 88.083 -81.5259
0.581324 88.098 -82.0195
0.585536 88.112 -82.5154
0.589779 88.126 -83.0137
0.594053 88.141 -83.5141
0.598358 88.156 -84.0163
0.602694 88.170 -84.5202
0.607061 88.185 -85.0256
0.611460 88.200 -85.5323
0.615891 88.215 -86.0400
0.620354 88.230 -86.5487
0.624849 88.246 -87.0580
0.629377 88.261 -87.5678
0.633938 88.277 -88.0779
0.638532 88.292 -88.5881
0.643159 88.308 -89.0981
0.647819 88.324 -89.6079
0.652514 88.340 -90.1172
0.657242 88.356 -90.6258
0.662005 88.372 -91.1335
0.666802 88.388 -91.6403
0.671634 88.405 -92.1458
0.676501 88.421 -92.6499
0.681403 88.438 -93.1525
0.686341 88.455 -93.6535
0.691314 88.471 -94.1526
0.696324 88.488 -94.6498
0.701370 88.505 -95.1451
0.706452 88.522 -95.6384
0.711571 88.539 -96.1299
0.716728 88.555 -96.6200
0.721921 88.571 -97.1094
0.727153 88.585 -97.5992
0.732422 88.598 -98.0907
0.737729 88.610 -98.5858
0.743075 88.620 -99.0863
0.748460 88.628 -99.5935
0.753883 88.636 -100.1086
0.759346 88.644 -100.6322
0.764849 88.651 -101.1646
0.770391 88.657 -101.7060
0.775974 88.664 -102.2564
0.781597 88.670 -102.8157
0.787261 88.676 -103.3838
0.792966 88.682 -103.9605
0.798712 88.688 -104.5456
0.804500 88.693 -105.1389
0.810329 88.698 -105.7403
0.816201 88.703 -106.3495
0.822116 88.708 -106.9661
0.828073 88.712 -107.5901
0.834074 88.716 -108.2210
0.840118 88.720 -108.8586
0.846206 88.723 -109.5025
0.852338 88.726 -110.1526
0.858514 88.729 -110.8083
0.864735 88.731 -111.4695
0.871001 88.733 -112.1357
0.877313 88.734 -112.8065
0.883670 88.735 -113.4816
0.890074 88.735 -114.1605
0.896524 88.735 -114.8430
0.903020 88.734 -115.5285
0.909564 88.732 -116.2167
0.916155 88.730 -116.9071
0.922794 88.727 -117.5992
0.929481 88.723 -118.2927
0.936216 88.719 -118.9871
0.943000 88.714 -119.6819
0.949834 88.708 -120.3767
0.956717 88.701 -121.0709
0.963649 88.693 -121.7643
0.970632 88.684 -122.4561
0.977666 88.675 -123.1461
0.984750 88.664 -123.8336
0.991886 88.652 -124.5183
0.999074 88.639 -125.1997
1.006314 88.625 -125.8773
1.013606 88.610 -126.5505
1.020951 88.593 -127.2191
1.028349 88.575 -127.8824
1.035801 88.556 -128.5401
1.043307 88.535 -129.1917
1.050867 88.513 -129.8369
1.058482 88.490 -130.4755
1.066152 88.464 -131.1075
1.073878 88.438 -131.7331
1.081660 88.410 -132.3531
1.089498 88.380 -132.9691
1.097393 88.349 -133.5831
1.105345 88.318 -134.1980
1.113355 88.285 -134.8171
1.121423 88.252 -135.4431
1.129549 88.218 -136.0782
1.137734 88.184 -136.7241
1.145979 88.150 -137.3821
1.154283 88.114 -138.0531
1.162647 88.078 -138.7376
1.171072 88.041 -139.4362
1.179558 88.003 -140.1493
1.188106 87.965 -140.8773
1.196715 87.924 -141.6204
1.205387 87.883 -142.3790
1.214122 87.840 -143.1531
1.222920 87.795 -143.9430
1.231782 87.749 -144.7488
1.240708 87.700 -145.5705
1.249699 87.649 -146.4080
1.258754 87.596 -147.2613
1.267876 87.540 -148.1302
1.277063 87.482 -149.0143
1.286318 87.420 -149.9133
1.295639 87.355 -150.8266
1.305027 87.287 -151.7536
1.314484 87.215 -152.6936
1.324009 87.140 -153.6455
1.333604 87.060 -154.6082
1.343268 86.975 -155.5805
1.353002 86.886 -156.5609
1.362806 86.792 -157.5477
1.372681 86.693 -158.5389
1.382628 86.589 -159.5325
1.392647 86.478 -160.5262
1.402739 86.361 -161.5177
1.412904 86.238 -162.5045
1.423142 86.107 -163.4846
1.433455 85.969 -164.4563
1.443843 85.822 -165.4193
1.454305 85.665 -166.3746
1.464844 85.496 -167.3255
1.475459 85.314 -168.2771
1.486150 85.118 -169.2357
1.496920 84.906 -170.2075
1.507767 84.678 -171.1979
1.518693 84.433 -172.2114
1.529698 84.173 -173.2519
1.540783 83.897 -174.3228
1.551948 83.608 -175.4273
1.563194 83.305 -176.5685
1.574521 82.991 -177.7494
1.585931 82.666 -178.9732
1.597423 82.333 179.7565
1.608999 81.992 178.4362
1.620658 81.646 177.0621
1.632402 81.296 175.6299
1.644232 80.944 174.1352
1.656146 80.591 172.5732
1.668147 80.241 170.9386
1.680235 79.895 169.2259
1.692411 79.556 167.4289
1.704675 79.226 165.5411
1.717028 78.908 163.5552
1.729470 78.604 161.4633
1.742003 78.317 159.2564
1.754626 78.051 156.9243
1.767341 77.808 154.4548
1.780147 77.592 151.8327
1.793047 77.405 149.0377
1.806040 77.251 146.0414
1.819128 77.130 142.8036
1.832310 77.045 139.2665
1.845587 76.994 135.3522
1.858961 76.979 130.9614
1.872432 76.998 125.9778
1.886001 77.048 120.2754
1.899667 77.129 113.7342
1.913433 77.239 106.2694
1.927299 77.377 97.8792
1.941265 77.540 88.6990
1.955332 77.726 79.0309
1.969501 77.934 69.3046
1.983773 78.162 59.9674
1.998148 78.408 51.3630
2.012627 78.669 43.6715
2.027212 78.943 36.9251
2.041902 79.228 31.0599
2.056698 79.522 25.9675
2.071602 79.823 21.5292
2.086614 80.127 17.6331
2.101734 80.434 14.1816
2.116964 80.740 11.0922
2.132304 81.044 8.2960
2.147756 81.345 5.7352
2.163320 81.643 3.3617
2.178996 81.938 1.1342
2.194786 82.232 -0.9816
2.210690 82.529 -3.0135
2.226710 82.829 -4.9818
2.242845 83.137 -6.8987
2.259098 83.452 -8.7705
2.275468 83.775 -10.5994
2.291957 84.105 -12.3851
2.308566 84.442 -14.1267
2.325295 84.785 -15.8229
2.342145 85.131 -17.4725
2.359117 85.480 -19.0753
2.376212 85.829 -20.6311
2.393431 86.178 -22.1404
2.410775 86.524 -23.6042
2.428244 86.865 -25.0240
2.445840 87.200 -26.4016
2.463564 87.528 -27.7394
2.481416 87.845 -29.0408
2.499397 88.152 -30.3096
2.517509 88.446 -31.5513
2.535752 88.727 -32.7723
2.554127 88.994 -33.9810
2.572635 89.248 -35.1857
2.591277 89.488 -36.3948
2.610055 89.716 -37.6134
2.628968 89.932 -38.8441
2.648019 90.137 -40.0861
2.667208 90.333 -41.3369
2.686535 90.518 -42.5924
2.706003 90.695 -43.8484
2.725612 90.864 -45.1002
2.745363 91.026 -46.3430
2.765257 91.180 -47.5726
2.785295 91.329 -48.7850
2.805478 91.473 -49.9769
2.825808 91.612 -51.1455
2.846285 91.747 -52.2889
2.866910 91.879 -53.4070
2.887685 92.008 -54.5009
2.908611 92.134 -55.5742
2.929688 92.256 -56.6328
2.950917 92.374 -57.6836
2.972301 92.488 -58.7333
2.993839 92.597 -59.7866
3.015534 92.700 -60.8458
3.037386 92.797 -61.9107
3.059396 92.889 -62.9793
3.081565 92.975 -64.0486
3.103896 93.056 -65.1146
3.126388 93.132 -66.1730
3.149043 93.204 -67.2194
3.171862 93.271 -68.2492
3.194847 93.335 -69.2584
3.217998 93.395 -70.2435
3.241317 93.451 -71.2026
3.264805 93.504 -72.1351
3.288463 93.553 -73.0432
3.312293 93.598 -73.9305
3.336295 93.639 -74.8022
3.360471 93.675 -75.6626
3.384822 93.706 -76.5140
3.409350 93.732 -77.3576
3.434056 93.754 -78.1924
3.458940 93.772 -79.0161
3.484005 93.786 -79.8259
3.509252 93.796 -80.6177
3.534681 93.804 -81.3875
3.560295 93.809 -82.1304
3.586094 93.812 -82.8423
3.612081 93.813 -83.5194
3.638255 93.812 -84.1590
3.664620 93.809 -84.7598
3.691175 93.803 -85.3222
3.717923 93.794 -85.8477
3.744864 93.783 -86.3383
3.772001 93.768 -86.7958
3.799335 93.752 -87.2217
3.826866 93.734 -87.6171
3.854597 93.715 -87.9825
3.882529 93.696 -88.3184
3.910664 93.678 -88.6241
3.939002 93.662 -88.8992
3.967546 93.648 -89.1420
3.996296 93.637 -89.3506
4.025255 93.630 -89.5226
4.054423 93.625 -89.6553
4.083804 93.623 -89.7476
4.113396 93.625 -89.7997
4.143204 93.629 -89.8142
4.173227 93.636 -89.7953
4.203468 93.646 -89.7487
4.233928 93.661 -89.6805
4.264609 93.680 -89.5973
4.295512 93.705 -89.5052
4.326639 93.735 -89.4091
4.357992 93.772 -89.3121
4.389572 93.816 -89.2155
4.421380 93.866 -89.1184
4.453419 93.925 -89.0200
4.485691 93.989 -88.9207
4.518196 94.061 -88.8231
4.550936 94.138 -88.7317
4.583914 94.220 -88.6525
4.617131 94.307 -88.5920
4.650589 94.397 -88.5568
4.684289 94.490 -88.5524
4.718233 94.586 -88.5834
4.752424 94.684 -88.6517
4.786862 94.785 -88.7578
4.821549 94.888 -88.9003
4.856488 94.994 -89.0773
4.891680 95.102 -89.2869
4.927127 95.211 -89.5280
4.962831 95.321 -89.7999
4.998794 95.430 -90.1025
5.035017 95.538 -90.4360
5.071503 95.644 -90.8013
5.108253 95.746 -91.1991
5.145270 95.846 -91.6302
5.182555 95.943 -92.0944
5.220110 96.037 -92.5900
5.257937 96.128 -93.1138
5.296038 96.215 -93.6617
5.334415 96.299 -94.2289
5.373071 96.379 -94.8109
5.412006 96.455 -95.4042
5.451224 96.526 -96.0067
5.490725 96.592 -96.6177
5.530514 96.654 -97.2375
5.570590 96.710 -97.8665
5.610957 96.761 -98.5032
5.651616 96.808 -99.1450
5.692570 96.850 -99.7875
5.733821 96.888 -100.4257
5.775370 96.922 -101.0546
5.817221 96.952 -101.6706
5.859375 96.978 -102.2714
5.901834 97.000 -102.8565
5.944602 97.018 -103.4260
5.987679 97.032 -103.9796
6.031068 97.044 -104.5164
6.074771 97.053 -105.0344
6.118792 97.060 -105.5310
6.163131 97.066 -106.0037
