* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Sep 26, 2024 12:05:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwi Ears KE4 R
* Measurement: R  Kiwi Ears KE4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	88.453	-65.4651
0.368865	88.459	-65.5464
0.371538	88.467	-65.6681
0.374230	88.478	-65.8208
0.376942	88.489	-65.9962
0.379673	88.502	-66.1885
0.382424	88.515	-66.3936
0.385196	88.528	-66.6093
0.387987	88.542	-66.8341
0.390798	88.556	-67.0672
0.393630	88.570	-67.3083
0.396483	88.584	-67.5572
0.399356	88.598	-67.8138
0.402250	88.612	-68.0781
0.405165	88.626	-68.3502
0.408101	88.641	-68.6300
0.411058	88.655	-68.9177
0.414037	88.670	-69.2131
0.417037	88.685	-69.5164
0.420059	88.700	-69.8276
0.423103	88.715	-70.1467
0.426169	88.730	-70.4737
0.429257	88.745	-70.8087
0.432368	88.760	-71.1517
0.435501	88.776	-71.5026
0.438656	88.791	-71.8614
0.441835	88.807	-72.2283
0.445037	88.823	-72.6031
0.448262	88.839	-72.9858
0.451510	88.855	-73.3764
0.454782	88.871	-73.7749
0.458077	88.887	-74.1813
0.461397	88.903	-74.5955
0.464740	88.920	-75.0175
0.468108	88.936	-75.4472
0.471500	88.953	-75.8846
0.474917	88.970	-76.3296
0.478358	88.987	-76.7821
0.481825	89.004	-77.2420
0.485316	89.021	-77.7093
0.488833	89.038	-78.1839
0.492375	89.056	-78.6657
0.495943	89.073	-79.1545
0.499537	89.091	-79.6502
0.503157	89.109	-80.1528
0.506803	89.127	-80.6621
0.510475	89.145	-81.1780
0.514175	89.163	-81.7003
0.517900	89.181	-82.2289
0.521653	89.200	-82.7636
0.525434	89.219	-83.3043
0.529241	89.237	-83.8508
0.533076	89.256	-84.4029
