* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (2- USB Sound Device        ), no input selected, L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 5, 2024 11:57:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: QCY MeloBuds
* Measurement: L QCY MeloBuds Default
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.195 156.2727
0.368865 83.190 156.2482
0.371538 83.181 156.2114
0.374230 83.170 156.1652
0.376942 83.158 156.1119
0.379673 83.145 156.0533
0.382424 83.132 155.9906
0.385196 83.118 155.9245
0.387987 83.104 155.8553
0.390798 83.090 155.7832
0.393630 83.075 155.7084
0.396483 83.061 155.6310
0.399356 83.046 155.5508
0.402250 83.032 155.4680
0.405165 83.017 155.3824
0.408101 83.002 155.2942
0.411058 82.987 155.2031
0.414037 82.972 155.1093
0.417037 82.956 155.0127
0.420059 82.941 154.9132
0.423103 82.925 154.8109
0.426169 82.910 154.7057
0.429257 82.894 154.5975
0.432368 82.878 154.4864
0.435501 82.862 154.3724
0.438656 82.846 154.2554
0.441835 82.830 154.1353
0.445037 82.814 154.0122
0.448262 82.797 153.8861
0.451510 82.781 153.7569
0.454782 82.764 153.6245
0.458077 82.747 153.4891
0.461397 82.730 153.3505
0.464740 82.713 153.2087
0.468108 82.696 153.0638
0.471500 82.679 152.9156
0.474917 82.662 152.7643
0.478358 82.644 152.6097
0.481825 82.626 152.4518
0.485316 82.609 152.2907
0.488833 82.591 152.1264
0.492375 82.573 151.9587
0.495943 82.555 151.7878
0.499537 82.536 151.6135
0.503157 82.518 151.4360
0.506803 82.499 151.2552
0.510475 82.481 151.0710
0.514175 82.462 150.8836
0.517900 82.443 150.6928
0.521653 82.424 150.4988
0.525434 82.404 150.3014
0.529241 82.385 150.1008
0.533076 82.365 149.8969
0.536939 82.346 149.6897
0.540830 82.326 149.4793
0.544749 82.306 149.2657
0.548696 82.286 149.0488
0.552673 82.266 148.8288
0.556677 82.245 148.6057
0.560711 82.225 148.3794
0.564774 82.204 148.1501
0.568867 82.183 147.9177
0.572989 82.162 147.6824
0.577141 82.141 147.4441
0.581324 82.120 147.2029
0.585536 82.098 146.9589
0.589779 82.077 146.7122
0.594053 82.055 146.4627
0.598358 82.033 146.2106
0.602694 82.011 145.9560
0.607061 81.989 145.6989
0.611460 81.966 145.4395
0.615891 81.944 145.1778
0.620354 81.921 144.9139
0.624849 81.898 144.6479
0.629377 81.875 144.3800
0.633938 81.852 144.1103
0.638532 81.829 143.8389
0.643159 81.805 143.5659
0.647819 81.781 143.2916
0.652514 81.757 143.0160
0.657242 81.733 142.7393
0.662005 81.709 142.4616
0.666802 81.685 142.1833
0.671634 81.660 141.9044
0.676501 81.635 141.6252
0.681403 81.610 141.3459
0.686341 81.585 141.0666
0.691314 81.560 140.7876
0.696324 81.534 140.5092
0.701370 81.508 140.2315
0.706452 81.482 139.9546
0.711571 81.455 139.6788
0.716728 81.428 139.4039
0.721921 81.399 139.1296
0.727153 81.369 138.8556
0.732422 81.337 138.5810
0.737729 81.303 138.3047
0.743075 81.266 138.0257
0.748460 81.229 137.7429
0.753883 81.190 137.4556
0.759346 81.150 137.1633
0.764849 81.109 136.8656
0.770391 81.067 136.5622
0.775974 81.025 136.2531
0.781597 80.983 135.9380
0.787261 80.939 135.6169
0.792966 80.896 135.2898
0.798712 80.851 134.9565
0.804500 80.807 134.6170
0.810329 80.761 134.2712
0.816201 80.715 133.9192
0.822116 80.668 133.5608
0.828073 80.621 133.1962
0.834074 80.573 132.8251
0.840118 80.524 132.4476
0.846206 80.474 132.0638
0.852338 80.424 131.6736
0.858514 80.372 131.2769
0.864735 80.320 130.8740
0.871001 80.267 130.4646
0.877313 80.213 130.0490
0.883670 80.158 129.6272
0.890074 80.102 129.1992
0.896524 80.045 128.7651
0.903020 79.987 128.3251
0.909564 79.928 127.8792
0.916155 79.867 127.4276
0.922794 79.806 126.9704
0.929481 79.743 126.5078
0.936216 79.678 126.0401
0.943000 79.613 125.5674
0.949834 79.546 125.0901
0.956717 79.477 124.6083
0.963649 79.407 124.1225
0.970632 79.336 123.6329
0.977666 79.262 123.1400
0.984750 79.188 122.6441
0.991886 79.111 122.1457
0.999074 79.033 121.6454
1.006314 78.952 121.1436
1.013606 78.870 120.6409
1.020951 78.786 120.1381
1.028349 78.700 119.6357
1.035801 78.611 119.1345
1.043307 78.521 118.6352
1.050867 78.428 118.1387
1.058482 78.333 117.6459
1.066152 78.236 117.1575
1.073878 78.137 116.6743
1.081660 78.036 116.1968
1.089498 77.934 115.7255
1.097393 77.832 115.2604
1.105345 77.730 114.8011
1.113355 77.630 114.3471
1.121423 77.531 113.8975
1.129549 77.436 113.4519
1.137734 77.343 113.0096
1.145979 77.253 112.5702
1.154283 77.166 112.1333
1.162647 77.081 111.6984
1.171072 76.997 111.2654
1.179558 76.915 110.8337
1.188106 76.833 110.4032
1.196715 76.751 109.9735
1.205387 76.669 109.5442
1.214122 76.586 109.1151
1.222920 76.500 108.6858
1.231782 76.412 108.2558
1.240708 76.321 107.8250
1.249699 76.226 107.3928
1.258754 76.126 106.9589
1.267876 76.021 106.5229
1.277063 75.909 106.0845
1.286318 75.789 105.6431
1.295639 75.662 105.1983
1.305027 75.525 104.7498
1.314484 75.379 104.2970
1.324009 75.221 103.8396
1.333604 75.051 103.3771
1.343268 74.868 102.9090
1.353002 74.671 102.4350
1.362806 74.459 101.9547
1.372681 74.231 101.4676
1.382628 73.984 100.9736
1.392647 73.719 100.4722
1.402739 73.434 99.9635
1.412904 73.127 99.4474
1.423142 72.797 98.9243
1.433455 72.442 98.3950
1.443843 72.059 97.8606
1.454305 71.645 97.3229
1.464844 71.195 96.7845
1.475459 70.706 96.2485
1.486150 70.173 95.7177
1.496920 69.593 95.1949
1.507767 68.962 94.6821
1.518693 68.282 94.1811
1.529698 67.551 93.6930
1.540783 66.773 93.2190
1.551948 65.949 92.7601
1.563194 65.081 92.3176
1.574521 64.173 91.8926
1.585931 63.229 91.4866
1.597423 62.252 91.1015
1.608999 61.246 90.7394
1.620658 60.216 90.4028
1.632402 59.167 90.0951
1.644232 58.104 89.8204
1.656146 57.032 89.5836
1.668147 55.958 89.3916
1.680235 54.889 89.2526
1.692411 53.831 89.1777
1.704675 52.793 89.1819
1.717028 51.783 89.2854
1.729470 50.813 89.5164
1.742003 49.893 89.9159
1.754626 49.036 90.5446
1.767341 48.256 91.4978
1.780147 47.568 92.9313
1.793047 46.989 95.1176
1.806040 46.538 98.5675
1.819128 46.229 104.3224
1.832310 46.076 114.6648
1.845587 46.088 134.2899
1.858961 46.265 166.1431
1.872432 46.603 -164.2034
1.886001 47.091 -147.2519
1.899667 47.714 -138.4299
1.913433 48.458 -133.6041
1.927299 49.306 -130.8397
1.941265 50.240 -129.2332
1.955332 51.244 -128.3256
1.969501 52.304 -127.8640
1.983773 53.404 -127.6985
1.998148 54.531 -127.7357
2.012627 55.671 -127.9142
2.027212 56.813 -128.1924
2.041902 57.944 -128.5410
2.056698 59.053 -128.9390
2.071602 60.130 -129.3712
2.086614 61.165 -129.8264
2.101734 62.149 -130.2964
2.116964 63.073 -130.7759
2.132304 63.930 -131.2619
2.147756 64.714 -131.7545
2.163320 65.423 -132.2567
2.178996 66.055 -132.7751
2.194786 66.613 -133.3199
2.210690 67.104 -133.9030
2.226710 67.532 -134.5353
2.242845 67.906 -135.2238
2.259098 68.231 -135.9707
2.275468 68.509 -136.7742
2.291957 68.746 -137.6296
2.308566 68.944 -138.5309
2.325295 69.106 -139.4709
2.342145 69.235 -140.4422
2.359117 69.334 -141.4376
2.376212 69.407 -142.4496
2.393431 69.455 -143.4712
2.410775 69.484 -144.4955
2.428244 69.497 -145.5162
2.445840 69.497 -146.5270
2.463564 69.489 -147.5227
2.481416 69.476 -148.4988
2.499397 69.461 -149.4528
2.517509 69.449 -150.3843
2.535752 69.440 -151.2968
2.554127 69.435 -152.1978
2.572635 69.432 -153.0992
2.591277 69.430 -154.0148
2.610055 69.424 -154.9573
2.628968 69.412 -155.9362
2.648019 69.392 -156.9568
2.667208 69.363 -158.0212
2.686535 69.323 -159.1289
2.706003 69.271 -160.2772
2.725612 69.207 -161.4618
2.745363 69.131 -162.6772
2.765257 69.041 -163.9168
2.785295 68.936 -165.1727
2.805478 68.817 -166.4362
2.825808 68.683 -167.6983
2.846285 68.534 -168.9495
2.866910 68.367 -170.1817
2.887685 68.184 -171.3890
2.908611 67.983 -172.5696
2.929688 67.763 -173.7274
2.950917 67.523 -174.8722
2.972301 67.263 -176.0170
2.993839 66.983 -177.1756
3.015534 66.682 -178.3598
3.037386 66.361 -179.5792
3.059396 66.020 179.1588
3.081565 65.659 177.8489
3.103896 65.281 176.4875
3.126388 64.885 175.0726
3.149043 64.472 173.6042
3.171862 64.043 172.0840
3.194847 63.599 170.5154
3.217998 63.140 168.9037
3.241317 62.664 167.2545
3.264805 62.169 165.5713
3.288463 61.650 163.8520
3.312293 61.102 162.0840
3.336295 60.519 160.2393
3.360471 59.895 158.2719
3.384822 59.231 156.1113
3.409350 58.530 153.6505
3.434056 57.801 150.7186
3.458940 57.055 147.0239
3.484005 56.310 142.0199
3.509252 55.584 134.5682
3.534681 54.904 122.0210
3.560295 54.302 98.3277
3.586094 53.812 59.7481
3.612081 53.475 26.8065
3.638255 53.329 8.7953
3.664620 53.401 -1.4370
3.691175 53.699 -8.1769
3.717923 54.207 -13.1853
3.744864 54.890 -17.2221
3.772001 55.703 -20.6440
3.799335 56.601 -23.6318
3.826866 57.542 -26.2847
3.854597 58.490 -28.6628
3.882529 59.416 -30.8066
3.910664 60.295 -32.7475
3.939002 61.109 -34.5139
3.967546 61.844 -36.1344
3.996296 62.492 -37.6407
4.025255 63.053 -39.0676
4.054423 63.529 -40.4496
4.083804 63.929 -41.8149
4.113396 64.261 -43.1797
4.143204 64.534 -44.5468
4.173227 64.756 -45.9094
4.203468 64.933 -47.2533
4.233928 65.071 -48.5616
4.264609 65.178 -49.8163
4.295512 65.259 -51.0015
4.326639 65.318 -52.1059
4.357992 65.359 -53.1248
4.389572 65.381 -54.0617
4.421380 65.385 -54.9271
4.453419 65.369 -55.7339
4.485691 65.331 -56.4909
4.518196 65.270 -57.1996
4.550936 65.187 -57.8534
4.583914 65.084 -58.4383
4.617131 64.961 -58.9346
4.650589 64.820 -59.3180
4.684289 64.663 -59.5620
4.718233 64.491 -59.6401
4.752424 64.301 -59.5277
4.786862 64.093 -59.2044
4.821549 63.866 -58.6534
4.856488 63.621 -57.8597
4.891680 63.363 -56.8095
4.927127 63.099 -55.4894
4.962831 62.840 -53.8881
4.998794 62.598 -51.9977
5.035017 62.386 -49.8162
5.071503 62.218 -47.3486
5.108253 62.102 -44.6078
5.145270 62.047 -41.6172
5.182555 62.054 -38.4147
5.220110 62.119 -35.0599
5.257937 62.238 -31.6350
5.296038 62.403 -28.2371
5.334415 62.608 -24.9654
5.373071 62.844 -21.9079
5.412006 63.108 -19.1311
5.451224 63.394 -16.6751
5.490725 63.702 -14.5536
5.530514 64.029 -12.7586
5.570590 64.375 -11.2686
5.610957 64.735 -10.0564
5.651616 65.103 -9.0937
5.692570 65.472 -8.3538
5.733821 65.833 -7.8127
5.775370 66.179 -7.4502
5.817221 66.505 -7.2496
5.859375 66.808 -7.1976
5.901834 67.086 -7.2814
5.944602 67.341 -7.4865
5.987679 67.574 -7.7948
6.031068 67.786 -8.1853
6.074771 67.977 -8.6366
6.118792 68.149 -9.1291
6.163131 68.301 -9.6482
6.207792 68.435 -10.1845
6.252776 68.549 -10.7342
6.298086 68.643 -11.2954
6.343725 68.719 -11.8638
6.389694 68.777 -12.4302
6.435996 68.819 -12.9817
6.482634 68.845 -13.5029
6.529610 68.858 -13.9793
6.576926 68.858 -14.3996
6.624585 68.846 -14.7573
6.672590 68.823 -15.0496
6.720942 68.789 -15.2753
6.769645 68.747 -15.4325
6.818700 68.700 -15.5180
6.868111 68.649 -15.5272
