* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 3, 2024 12:56:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: LetShuoer S08 R
* Measurement: R LetShuoer S08
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 82.586 163.1544
0.368865 82.581 163.1356
0.371538 82.572 163.1073
0.374230 82.562 163.0719
0.376942 82.551 163.0310
0.379673 82.539 162.9862
0.382424 82.526 162.9382
0.385196 82.513 162.8878
0.387987 82.500 162.8350
0.390798 82.486 162.7802
0.393630 82.473 162.7234
0.396483 82.459 162.6646
0.399356 82.445 162.6039
0.402250 82.431 162.5412
0.405165 82.417 162.4765
0.408101 82.403 162.4099
0.411058 82.389 162.3412
0.414037 82.375 162.2705
0.417037 82.360 162.1977
0.420059 82.346 162.1229
0.423103 82.331 162.0460
0.426169 82.316 161.9670
0.429257 82.301 161.8859
0.432368 82.286 161.8026
0.435501 82.271 161.7172
0.438656 82.256 161.6296
0.441835 82.241 161.5397
0.445037 82.225 161.4477
0.448262 82.210 161.3535
0.451510 82.194 161.2570
0.454782 82.179 161.1582
0.458077 82.163 161.0571
0.461397 82.147 160.9538
0.464740 82.131 160.8481
0.468108 82.114 160.7402
0.471500 82.098 160.6299
0.474917 82.082 160.5172
0.478358 82.065 160.4022
0.481825 82.048 160.2848
0.485316 82.032 160.1650
0.488833 82.015 160.0428
0.492375 81.998 159.9182
0.495943 81.980 159.7912
0.499537 81.963 159.6618
0.503157 81.946 159.5299
0.506803 81.928 159.3956
0.510475 81.911 159.2589
0.514175 81.893 159.1197
0.517900 81.875 158.9781
0.521653 81.857 158.8340
0.525434 81.839 158.6875
0.529241 81.820 158.5385
0.533076 81.802 158.3872
0.536939 81.783 158.2333
0.540830 81.765 158.0771
0.544749 81.746 157.9184
0.548696 81.727 157.7573
0.552673 81.708 157.5938
0.556677 81.688 157.4279
0.560711 81.669 157.2596
0.564774 81.649 157.0890
0.568867 81.630 156.9161
0.572989 81.610 156.7408
0.577141 81.590 156.5633
0.581324 81.570 156.3835
0.585536 81.549 156.2015
0.589779 81.529 156.0173
0.594053 81.508 155.8309
0.598358 81.488 155.6424
0.602694 81.467 155.4518
0.607061 81.446 155.2592
0.611460 81.425 155.0647
0.615891 81.403 154.8681
0.620354 81.382 154.6698
0.624849 81.360 154.4696
0.629377 81.338 154.2676
0.633938 81.317 154.0640
0.638532 81.294 153.8588
0.643159 81.272 153.6520
0.647819 81.250 153.4438
0.652514 81.227 153.2343
0.657242 81.204 153.0235
0.662005 81.182 152.8116
0.666802 81.158 152.5986
0.671634 81.135 152.3846
0.676501 81.112 152.1698
0.681403 81.088 151.9544
0.686341 81.064 151.7383
0.691314 81.040 151.5218
0.696324 81.016 151.3050
0.701370 80.992 151.0879
0.706452 80.967 150.8708
0.711571 80.941 150.6535
0.716728 80.915 150.4361
0.721921 80.888 150.2183
0.727153 80.859 149.9998
0.732422 80.829 149.7799
0.737729 80.796 149.5579
0.743075 80.761 149.3330
0.748460 80.725 149.1044
0.753883 80.687 148.8716
0.759346 80.648 148.6342
0.764849 80.609 148.3920
0.770391 80.569 148.1446
0.775974 80.528 147.8920
0.781597 80.487 147.6342
0.787261 80.445 147.3709
0.792966 80.403 147.1022
0.798712 80.360 146.8279
0.804500 80.316 146.5480
0.810329 80.272 146.2626
0.816201 80.227 145.9714
0.822116 80.182 145.6744
0.828073 80.136 145.3717
0.834074 80.089 145.0631
0.840118 80.041 144.7486
0.846206 79.993 144.4281
0.852338 79.944 144.1017
0.858514 79.894 143.7693
0.864735 79.843 143.4309
0.871001 79.791 143.0864
0.877313 79.738 142.7359
0.883670 79.685 142.3792
0.890074 79.630 142.0165
0.896524 79.575 141.6478
0.903020 79.518 141.2729
0.909564 79.460 140.8920
0.916155 79.401 140.5050
0.922794 79.341 140.1121
0.929481 79.279 139.7133
0.936216 79.217 139.3086
0.943000 79.153 138.8981
0.949834 79.087 138.4818
0.956717 79.020 138.0600
0.963649 78.952 137.6327
0.970632 78.882 137.2000
0.977666 78.810 136.7621
0.984750 78.737 136.3192
0.991886 78.663 135.8714
0.999074 78.586 135.4190
1.006314 78.508 134.9622
1.013606 78.427 134.5012
1.020951 78.345 134.0364
1.028349 78.261 133.5681
1.035801 78.175 133.0965
1.043307 78.086 132.6220
1.050867 77.996 132.1451
1.058482 77.903 131.6660
1.066152 77.807 131.1851
1.073878 77.709 130.7026
1.081660 77.608 130.2186
1.089498 77.504 129.7329
1.097393 77.396 129.2451
1.105345 77.285 128.7543
1.113355 77.169 128.2596
1.121423 77.049 127.7599
1.129549 76.924 127.2542
1.137734 76.794 126.7417
1.145979 76.660 126.2216
1.154283 76.520 125.6930
1.162647 76.376 125.1554
1.171072 76.227 124.6080
1.179558 76.074 124.0499
1.188106 75.917 123.4805
1.196715 75.756 122.8988
1.205387 75.591 122.3041
1.214122 75.423 121.6953
1.222920 75.251 121.0714
1.231782 75.076 120.4314
1.240708 74.899 119.7742
1.249699 74.720 119.0984
1.258754 74.538 118.4028
1.267876 74.355 117.6861
1.277063 74.170 116.9465
1.286318 73.984 116.1827
1.295639 73.797 115.3928
1.305027 73.610 114.5751
1.314484 73.424 113.7275
1.324009 73.237 112.8479
1.333604 73.052 111.9343
1.343268 72.868 110.9841
1.353002 72.686 109.9949
1.362806 72.506 108.9640
1.372681 72.330 107.8886
1.382628 72.156 106.7657
1.392647 71.987 105.5922
1.402739 71.822 104.3648
1.412904 71.663 103.0801
1.423142 71.509 101.7345
1.433455 71.360 100.3239
1.443843 71.218 98.8442
1.454305 71.081 97.2905
1.464844 70.950 95.6571
1.475459 70.824 93.9374
1.486150 70.700 92.1239
1.496920 70.580 90.2085
1.507767 70.462 88.1827
1.518693 70.347 86.0377
1.529698 70.233 83.7647
1.540783 70.122 81.3552
1.551948 70.013 78.8009
1.563194 69.906 76.0947
1.574521 69.803 73.2305
1.585931 69.704 70.2042
1.597423 69.608 67.0143
1.608999 69.517 63.6624
1.620658 69.430 60.1543
1.632402 69.348 56.5005
1.644232 69.273 52.7164
1.656146 69.203 48.8227
1.668147 69.141 44.8449
1.680235 69.085 40.8126
1.692411 69.038 36.7581
1.704675 68.999 32.7150
1.717028 68.970 28.7160
1.729470 68.950 24.7920
1.742003 68.941 20.9697
1.754626 68.943 17.2713
1.767341 68.958 13.7136
1.780147 68.985 10.3077
1.793047 69.027 7.0594
1.806040 69.085 3.9694
1.819128 69.159 1.0337
1.832310 69.251 -1.7548
1.845587 69.364 -4.4058
1.858961 69.497 -6.9291
1.872432 69.652 -9.3337
1.886001 69.828 -11.6273
1.899667 70.024 -13.8164
1.913433 70.240 -15.9065
1.927299 70.474 -17.9025
1.941265 70.724 -19.8089
1.955332 70.988 -21.6297
1.969501 71.266 -23.3690
1.983773 71.555 -25.0305
1.998148 71.853 -26.6176
2.012627 72.158 -28.1337
2.027212 72.468 -29.5820
2.041902 72.781 -30.9654
2.056698 73.094 -32.2868
2.071602 73.406 -33.5487
2.086614 73.714 -34.7537
2.101734 74.017 -35.9044
2.116964 74.311 -37.0030
2.132304 74.594 -38.0522
2.147756 74.867 -39.0549
2.163320 75.126 -40.0142
2.178996 75.372 -40.9341
2.194786 75.605 -41.8191
2.210690 75.826 -42.6742
2.226710 76.037 -43.5042
2.242845 76.239 -44.3129
2.259098 76.433 -45.1031
2.275468 76.620 -45.8764
2.291957 76.801 -46.6339
2.308566 76.977 -47.3760
2.325295 77.147 -48.1027
2.342145 77.312 -48.8139
2.359117 77.473 -49.5092
2.376212 77.630 -50.1885
2.393431 77.783 -50.8511
2.410775 77.933 -51.4966
2.428244 78.080 -52.1246
2.445840 78.224 -52.7344
2.463564 78.366 -53.3258
2.481416 78.507 -53.8983
2.499397 78.646 -54.4517
2.517509 78.783 -54.9864
2.535752 78.919 -55.5028
2.554127 79.054 -56.0022
2.572635 79.186 -56.4862
2.591277 79.316 -56.9570
2.610055 79.443 -57.4162
2.628968 79.567 -57.8654
2.648019 79.687 -58.3055
2.667208 79.804 -58.7370
2.686535 79.918 -59.1601
2.706003 80.029 -59.5748
2.725612 80.137 -59.9809
2.745363 80.242 -60.3783
2.765257 80.345 -60.7665
2.785295 80.447 -61.1451
2.805478 80.547 -61.5137
2.825808 80.645 -61.8720
2.846285 80.743 -62.2194
2.866910 80.840 -62.5557
2.887685 80.936 -62.8808
2.908611 81.032 -63.1945
2.929688 81.127 -63.4973
2.950917 81.221 -63.7897
2.972301 81.314 -64.0723
2.993839 81.405 -64.3458
3.015534 81.495 -64.6108
3.037386 81.583 -64.8676
3.059396 81.669 -65.1167
3.081565 81.754 -65.3582
3.103896 81.838 -65.5924
3.126388 81.921 -65.8193
3.149043 82.003 -66.0391
3.171862 82.084 -66.2518
3.194847 82.166 -66.4574
3.217998 82.247 -66.6558
3.241317 82.328 -66.8468
3.264805 82.409 -67.0302
3.288463 82.491 -67.2058
3.312293 82.572 -67.3732
3.336295 82.654 -67.5323
3.360471 82.735 -67.6833
3.384822 82.816 -67.8267
3.409350 82.896 -67.9631
3.434056 82.976 -68.0936
3.458940 83.056 -68.2191
3.484005 83.136 -68.3406
3.509252 83.216 -68.4594
3.534681 83.296 -68.5765
3.560295 83.376 -68.6927
3.586094 83.457 -68.8090
3.612081 83.537 -68.9258
3.638255 83.619 -69.0432
3.664620 83.700 -69.1612
3.691175 83.782 -69.2794
3.717923 83.865 -69.3973
3.744864 83.947 -69.5147
3.772001 84.030 -69.6320
3.799335 84.114 -69.7495
3.826866 84.197 -69.8679
3.854597 84.280 -69.9881
3.882529 84.364 -70.1109
3.910664 84.448 -70.2371
3.939002 84.531 -70.3676
3.967546 84.615 -70.5030
3.996296 84.699 -70.6435
4.025255 84.782 -70.7894
4.054423 84.866 -70.9405
4.083804 84.950 -71.0965
4.113396 85.033 -71.2572
4.143204 85.117 -71.4226
4.173227 85.201 -71.5927
4.203468 85.284 -71.7677
4.233928 85.367 -71.9481
4.264609 85.449 -72.1340
4.295512 85.531 -72.3260
4.326639 85.613 -72.5245
4.357992 85.694 -72.7297
4.389572 85.774 -72.9419
4.421380 85.853 -73.1613
4.453419 85.932 -73.3877
4.485691 86.010 -73.6210
4.518196 86.087 -73.8607
4.550936 86.163 -74.1065
4.583914 86.239 -74.3576
4.617131 86.313 -74.6137
4.650589 86.387 -74.8744
4.684289 86.460 -75.1392
4.718233 86.531 -75.4080
4.752424 86.602 -75.6810
4.786862 86.671 -75.9582
4.821549 86.740 -76.2398
4.856488 86.807 -76.5258
4.891680 86.873 -76.8158
4.927127 86.938 -77.1092
4.962831 87.001 -77.4053
4.998794 87.064 -77.7035
5.035017 87.126 -78.0030
5.071503 87.186 -78.3033
5.108253 87.246 -78.6041
5.145270 87.305 -78.9055
5.182555 87.363 -79.2075
5.220110 87.419 -79.5102
5.257937 87.475 -79.8136
5.296038 87.530 -80.1175
5.334415 87.584 -80.4214
5.373071 87.637 -80.7249
5.412006 87.689 -81.0276
5.451224 87.742 -81.3291
5.490725 87.793 -81.6292
5.530514 87.844 -81.9278
5.570590 87.895 -82.2251
5.610957 87.945 -82.5213
5.651616 87.995 -82.8166
5.692570 88.045 -83.1111
5.733821 88.095 -83.4051
5.775370 88.144 -83.6986
5.817221 88.194 -83.9916
5.859375 88.243 -84.2842
5.901834 88.293 -84.5764
5.944602 88.343 -84.8684
5.987679 88.393 -85.1606
6.031068 88.443 -85.4533
6.074771 88.494 -85.7472
6.118792 88.545 -86.0430
6.163131 88.596 -86.3411
6.207792 88.648 -86.6419
6.252776 88.700 -86.9456
6.298086 88.752 -87.2523
6.343725 88.805 -87.5623
6.389694 88.858 -87.8759
6.435996 88.912 -88.1934
6.482634 88.965 -88.5154
6.529610 89.019 -88.8422
6.576926 89.074 -89.1742
6.624585 89.128 -89.5117
6.672590 89.183 -89.8546
6.720942 89.237 -90.2029
