* Measurement data measured by REW V5.30.9
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Mar 17, 2024 1:11:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Letshuoer Cadenza 4 L
* Measurement: L Letshuoer Cadenza 4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 80.052 168.4960
0.368865 80.044 168.4851
0.371538 80.032 168.4687
0.374230 80.018 168.4480
0.376942 80.001 168.4241
0.379673 79.984 168.3977
0.382424 79.965 168.3693
0.385196 79.946 168.3392
0.387987 79.927 168.3076
0.390798 79.908 168.2747
0.393630 79.888 168.2403
0.396483 79.868 168.2046
0.399356 79.848 168.1676
0.402250 79.828 168.1292
0.405165 79.807 168.0894
0.408101 79.787 168.0483
0.411058 79.766 168.0058
0.414037 79.745 167.9619
0.417037 79.724 167.9166
0.420059 79.703 167.8699
0.423103 79.682 167.8218
0.426169 79.661 167.7722
0.429257 79.639 167.7212
0.432367 79.617 167.6687
0.435501 79.595 167.6148
0.438656 79.573 167.5594
0.441835 79.551 167.5025
0.445037 79.529 167.4441
0.448262 79.506 167.3843
0.451510 79.484 167.3229
0.454782 79.461 167.2599
0.458077 79.438 167.1955
0.461397 79.415 167.1295
0.464740 79.391 167.0620
0.468108 79.368 166.9930
0.471500 79.344 166.9224
0.474917 79.320 166.8502
0.478358 79.296 166.7765
0.481825 79.272 166.7013
0.485316 79.248 166.6244
0.488833 79.223 166.5460
0.492375 79.198 166.4661
0.495943 79.173 166.3845
0.499537 79.148 166.3014
0.503157 79.123 166.2168
0.506803 79.098 166.1306
0.510475 79.072 166.0428
0.514174 79.046 165.9534
0.517900 79.020 165.8626
0.521653 78.994 165.7702
0.525433 78.967 165.6762
0.529241 78.941 165.5807
0.533076 78.914 165.4838
0.536939 78.887 165.3853
0.540830 78.860 165.2853
0.544749 78.833 165.1839
0.548696 78.805 165.0811
0.552673 78.777 164.9768
0.556677 78.749 164.8711
0.560711 78.721 164.7640
0.564774 78.693 164.6555
0.568867 78.664 164.5458
0.572989 78.635 164.4347
0.577141 78.606 164.3224
0.581324 78.577 164.2089
0.585536 78.548 164.0941
0.589779 78.518 163.9783
0.594053 78.488 163.8613
0.598358 78.458 163.7433
0.602694 78.428 163.6243
0.607061 78.398 163.5043
0.611460 78.367 163.3834
0.615891 78.336 163.2618
0.620354 78.305 163.1394
0.624849 78.273 163.0163
0.629377 78.242 162.8926
0.633938 78.210 162.7684
0.638532 78.178 162.6437
0.643159 78.146 162.5188
0.647819 78.113 162.3935
0.652514 78.080 162.2682
0.657242 78.047 162.1428
0.662005 78.014 162.0175
0.666802 77.980 161.8925
0.671634 77.947 161.7678
0.676501 77.913 161.6436
0.681403 77.878 161.5200
0.686341 77.844 161.3972
0.691314 77.809 161.2754
0.696324 77.774 161.1547
0.701369 77.738 161.0353
0.706452 77.701 160.9172
0.711571 77.664 160.8006
0.716727 77.624 160.6855
0.721921 77.583 160.5717
0.727153 77.537 160.4589
0.732422 77.487 160.3466
0.737729 77.431 160.2341
0.743075 77.370 160.1208
0.748460 77.304 160.0060
0.753883 77.234 159.8891
0.759346 77.160 159.7699
0.764849 77.084 159.6481
0.770391 77.005 159.5237
0.775974 76.924 159.3965
0.781597 76.841 159.2665
0.787261 76.755 159.1336
0.792965 76.668 158.9979
0.798712 76.578 158.8593
0.804499 76.487 158.7179
0.810329 76.393 158.5735
0.816201 76.297 158.4263
0.822116 76.199 158.2763
0.828073 76.099 158.1234
0.834073 75.997 157.9677
0.840118 75.893 157.8092
0.846205 75.788 157.6479
0.852337 75.680 157.4840
0.858514 75.570 157.3173
0.864735 75.458 157.1480
0.871001 75.345 156.9762
0.877313 75.229 156.8019
0.883670 75.112 156.6252
0.890074 74.993 156.4462
0.896523 74.872 156.2650
0.903020 74.750 156.0817
0.909564 74.626 155.8965
0.916155 74.500 155.7095
0.922793 74.372 155.5210
0.929480 74.243 155.3311
0.936216 74.112 155.1400
0.943000 73.980 154.9481
0.949833 73.847 154.7555
0.956716 73.712 154.5627
0.963649 73.575 154.3699
0.970632 73.438 154.1776
0.977666 73.299 153.9863
0.984750 73.159 153.7964
0.991886 73.018 153.6084
0.999074 72.876 153.4231
1.006313 72.734 153.2410
1.013605 72.590 153.0630
1.020950 72.445 152.8900
1.028349 72.300 152.7229
1.035801 72.155 152.5628
1.043306 72.008 152.4109
1.050867 71.862 152.2684
1.058482 71.715 152.1369
1.066152 71.567 152.0178
1.073878 71.419 151.9127
1.081659 71.269 151.8231
1.089498 71.118 151.7505
1.097393 70.963 151.6962
1.105345 70.805 151.6611
1.113355 70.641 151.6463
1.121422 70.471 151.6530
1.129549 70.294 151.6829
1.137734 70.108 151.7380
1.145978 69.916 151.8212
1.154283 69.715 151.9357
1.162647 69.508 152.0856
1.171072 69.294 152.2759
1.179558 69.073 152.5127
1.188106 68.848 152.8030
1.196715 68.617 153.1560
1.205387 68.382 153.5826
1.214122 68.143 154.0966
1.222920 67.901 154.7153
1.231781 67.658 155.4612
1.240708 67.413 156.3631
1.249698 67.168 157.4592
1.258754 66.924 158.8006
1.267875 66.681 160.4572
1.277063 66.441 162.5263
1.286317 66.205 165.1464
1.295638 65.973 168.5179
1.305027 65.747 172.9339
1.314484 65.529 178.8212
1.324009 65.319 -173.2311
1.333603 65.119 -162.5436
1.343267 64.930 -148.7520
1.353001 64.753 -132.6651
1.362805 64.591 -116.5874
1.372681 64.445 -102.8180
1.382628 64.317 -92.1558
1.392647 64.208 -84.2333
1.402739 64.121 -78.3708
1.412904 64.057 -73.9795
1.423142 64.019 -70.6335
1.433455 64.008 -68.0395
1.443842 64.027 -65.9969
1.454305 64.079 -64.3666
1.464843 64.165 -63.0506
1.475458 64.286 -61.9781
1.486150 64.445 -61.0978
1.496919 64.641 -60.3715
1.507766 64.873 -59.7709
1.518692 65.142 -59.2745
1.529697 65.444 -58.8655
1.540782 65.779 -58.5309
1.551947 66.145 -58.2599
1.563193 66.538 -58.0443
1.574521 66.958 -57.8767
1.585931 67.401 -57.7517
1.597423 67.866 -57.6643
1.608998 68.349 -57.6105
1.620658 68.848 -57.5870
1.632402 69.361 -57.5907
1.644231 69.883 -57.6193
1.656146 70.414 -57.6706
1.668147 70.948 -57.7429
1.680235 71.485 -57.8346
1.692410 72.020 -57.9444
1.704674 72.550 -58.0712
1.717027 73.072 -58.2139
1.729469 73.583 -58.3718
1.742002 74.080 -58.5441
1.754625 74.560 -58.7303
1.767340 75.020 -58.9298
1.780147 75.458 -59.1422
1.793046 75.872 -59.3672
1.806040 76.260 -59.6046
1.819127 76.623 -59.8540
1.832309 76.962 -60.1154
1.845587 77.280 -60.3882
1.858961 77.578 -60.6722
1.872431 77.859 -60.9666
1.886000 78.125 -61.2708
1.899666 78.377 -61.5837
1.913432 78.616 -61.9048
1.927298 78.843 -62.2329
1.941264 79.059 -62.5674
1.955331 79.264 -62.9075
1.969500 79.460 -63.2525
1.983772 79.647 -63.6019
1.998147 79.826 -63.9550
2.012626 79.997 -64.3113
2.027211 80.163 -64.6703
2.041901 80.323 -65.0317
2.056697 80.479 -65.3951
2.071601 80.631 -65.7601
2.086613 80.781 -66.1266
2.101733 80.930 -66.4942
2.116963 81.079 -66.8630
2.132303 81.228 -67.2330
2.147755 81.378 -67.6043
2.163318 81.531 -67.9773
2.178995 81.685 -68.3526
2.194785 81.840 -68.7312
2.210689 81.995 -69.1140
2.226709 82.150 -69.5020
2.242844 82.302 -69.8956
2.259097 82.451 -70.2950
2.275467 82.598 -70.7000
2.291956 82.741 -71.1102
2.308565 82.880 -71.5249
2.325294 83.016 -71.9434
2.342144 83.149 -72.3650
2.359116 83.279 -72.7891
2.376211 83.406 -73.2148
2.393430 83.531 -73.6415
2.410774 83.653 -74.0686
2.428243 83.774 -74.4955
2.445839 83.892 -74.9216
2.463562 84.009 -75.3465
2.481415 84.125 -75.7699
2.499396 84.239 -76.1914
2.517508 84.353 -76.6114
2.535750 84.465 -77.0301
2.554126 84.577 -77.4484
2.572634 84.687 -77.8674
2.591276 84.795 -78.2883
2.610054 84.902 -78.7121
2.628967 85.006 -79.1394
2.648018 85.108 -79.5701
2.667206 85.207 -80.0042
2.686534 85.304 -80.4410
2.706002 85.399 -80.8799
2.725610 85.492 -81.3202
2.745361 85.583 -81.7611
2.765255 85.672 -82.2017
2.785294 85.759 -82.6413
2.805477 85.845 -83.0791
2.825807 85.930 -83.5144
2.846284 86.013 -83.9466
2.866909 86.095 -84.3754
2.887684 86.176 -84.8007
2.908609 86.256 -85.2228
2.929686 86.334 -85.6424
2.950916 86.411 -86.0605
2.972299 86.486 -86.4783
2.993838 86.560 -86.8964
3.015532 86.631 -87.3152
3.037384 86.701 -87.7346
3.059394 86.769 -88.1544
3.081564 86.835 -88.5739
3.103894 86.900 -88.9925
3.126386 86.963 -89.4093
3.149041 87.025 -89.8236
3.171861 87.086 -90.2347
3.194845 87.146 -90.6416
3.217996 87.204 -91.0438
3.241315 87.262 -91.4407
3.264803 87.319 -91.8322
3.288461 87.374 -92.2184
3.312291 87.429 -92.5998
3.336293 87.483 -92.9770
3.360469 87.535 -93.3506
3.384820 87.586 -93.7212
3.409348 87.636 -94.0889
3.434054 87.684 -94.4539
3.458938 87.731 -94.8159
3.484003 87.777 -95.1749
3.509250 87.822 -95.5306
3.534679 87.867 -95.8826
3.560293 87.911 -96.2306
3.586092 87.954 -96.5742
3.612079 87.997 -96.9132
3.638253 88.040 -97.2473
3.664618 88.082 -97.5766
3.691173 88.124 -97.9010
3.717921 88.165 -98.2208
3.744862 88.205 -98.5362
3.771999 88.245 -98.8475
3.799332 88.284 -99.1552
3.826864 88.322 -99.4594
3.854595 88.361 -99.7607
3.882527 88.398 -100.0591
3.910661 88.436 -100.3549
3.938999 88.474 -100.6483
3.967543 88.511 -100.9394
3.996294 88.549 -101.2281
4.025252 88.587 -101.5143
4.054421 88.625 -101.7979
4.083801 88.662 -102.0788
4.113394 88.700 -102.3570
4.143201 88.738 -102.6330
4.173225 88.776 -102.9071
4.203466 88.814 -103.1801
4.233926 88.851 -103.4526
4.264606 88.889 -103.7253
4.295509 88.927 -103.9988
4.326636 88.965 -104.2737
4.357989 89.003 -104.5504
4.389569 89.042 -104.8291
4.421378 89.080 -105.1096
4.453417 89.119 -105.3919
4.485688 89.158 -105.6760
4.518193 89.197 -105.9619
4.550934 89.236 -106.2499
4.583912 89.275 -106.5403
4.617129 89.314 -106.8338
4.650587 89.353 -107.1306
4.684287 89.392 -107.4312
4.718231 89.430 -107.7361
4.752421 89.469 -108.0457
4.786859 89.507 -108.3599
4.821547 89.545 -108.6789
4.856485 89.583 -109.0025
4.891677 89.620 -109.3306
4.927125 89.657 -109.6630
4.962829 89.694 -109.9995
4.998791 89.731 -110.3400
5.035015 89.767 -110.6844
5.071500 89.802 -111.0328
5.108251 89.837 -111.3853
5.145267 89.871 -111.7420
5.182552 89.904 -112.1031
5.220107 89.937 -112.4684
5.257934 89.969 -112.8378
5.296035 90.000 -113.2107
5.334412 90.030 -113.5865
5.373067 90.060 -113.9646
5.412003 90.089 -114.3444
5.451221 90.117 -114.7257
5.490722 90.145 -115.1081
5.530510 90.171 -115.4918
5.570587 90.197 -115.8768
5.610953 90.222 -116.2629
5.651613 90.247 -116.6499
5.692567 90.270 -117.0372
5.733818 90.293 -117.4241
5.775367 90.315 -117.8101
5.817218 90.337 -118.1946
5.859372 90.358 -118.5773
5.901831 90.379 -118.9582
5.944598 90.399 -119.3371
5.987675 90.419 -119.7142
6.031065 90.439 -120.0895
6.074768 90.458 -120.4628
6.118788 90.477 -120.8340
6.163127 90.496 -121.2029
6.207788 90.515 -121.5693
6.252772 90.535 -121.9331
6.298082 90.554 -122.2944
6.343721 90.573 -122.6532
6.389690 90.593 -123.0100
6.435992 90.613 -123.3651
6.482630 90.633 -123.7188
6.529606 90.654 -124.0716
6.576922 90.675 -124.4236
