* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 20, 2024 11:07:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Meze Audio ALBA L
* Measurement: L Meze Audio ALBA
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.942 172.6884
0.368865 79.939 172.6768
0.371538 79.933 172.6596
0.374230 79.927 172.6380
0.376942 79.919 172.6133
0.379673 79.911 172.5862
0.382424 79.903 172.5573
0.385196 79.894 172.5270
0.387987 79.886 172.4955
0.390798 79.877 172.4628
0.393630 79.868 172.4290
0.396483 79.859 172.3942
0.399356 79.850 172.3584
0.402250 79.840 172.3215
0.405165 79.831 172.2835
0.408101 79.822 172.2445
0.411058 79.812 172.2043
0.414037 79.803 172.1631
0.417037 79.793 172.1208
0.420059 79.784 172.0775
0.423103 79.774 172.0329
0.426169 79.764 171.9873
0.429257 79.755 171.9405
0.432368 79.745 171.8926
0.435501 79.735 171.8435
0.438656 79.725 171.7933
0.441835 79.715 171.7418
0.445037 79.705 171.6892
0.448262 79.694 171.6354
0.451510 79.684 171.5804
0.454782 79.674 171.5242
0.458077 79.663 171.4668
0.461397 79.653 171.4081
0.464740 79.642 171.3482
0.468108 79.631 171.2870
0.471500 79.621 171.2246
0.474917 79.610 171.1609
0.478358 79.599 171.0959
0.481825 79.588 171.0297
0.485316 79.577 170.9622
0.488833 79.566 170.8934
0.492375 79.554 170.8233
0.495943 79.543 170.7519
0.499537 79.532 170.6791
0.503157 79.520 170.6051
0.506803 79.509 170.5297
0.510475 79.497 170.4530
0.514175 79.485 170.3750
0.517900 79.473 170.2956
0.521653 79.461 170.2149
0.525434 79.449 170.1328
0.529241 79.437 170.0494
0.533076 79.425 169.9647
0.536939 79.413 169.8786
0.540830 79.401 169.7911
0.544749 79.388 169.7023
0.548696 79.376 169.6121
0.552673 79.363 169.5206
0.556677 79.350 169.4277
0.560711 79.337 169.3334
0.564774 79.325 169.2378
0.568867 79.312 169.1408
0.572989 79.298 169.0425
0.577141 79.285 168.9429
0.581324 79.272 168.8419
0.585536 79.259 168.7395
0.589779 79.245 168.6359
0.594053 79.232 168.5309
0.598358 79.218 168.4246
0.602694 79.204 168.3169
0.607061 79.190 168.2080
0.611460 79.176 168.0978
0.615891 79.162 167.9863
0.620354 79.148 167.8735
0.624849 79.134 167.7595
0.629377 79.119 167.6443
0.633938 79.105 167.5278
0.638532 79.090 167.4101
0.643159 79.076 167.2912
0.647819 79.061 167.1712
0.652514 79.046 167.0500
0.657242 79.031 166.9276
0.662005 79.016 166.8042
0.666802 79.001 166.6797
0.671634 78.985 166.5541
0.676501 78.970 166.4275
0.681403 78.954 166.2999
0.686341 78.939 166.1713
0.691314 78.923 166.0417
0.696324 78.907 165.9113
0.701370 78.891 165.7799
0.706452 78.874 165.6476
0.711571 78.857 165.5144
0.716728 78.839 165.3801
0.721921 78.821 165.2446
0.727153 78.801 165.1077
0.732422 78.779 164.9689
0.737729 78.755 164.8278
0.743075 78.730 164.6839
0.748460 78.703 164.5368
0.753883 78.675 164.3861
0.759346 78.647 164.2318
0.764849 78.618 164.0735
0.770391 78.588 163.9112
0.775974 78.558 163.7448
0.781597 78.528 163.5743
0.787261 78.498 163.3997
0.792966 78.467 163.2208
0.798712 78.436 163.0377
0.804500 78.405 162.8504
0.810329 78.373 162.6587
0.816201 78.341 162.4628
0.822116 78.308 162.2626
0.828073 78.275 162.0580
0.834074 78.241 161.8490
0.840118 78.207 161.6356
0.846206 78.172 161.4179
0.852338 78.136 161.1958
0.858514 78.100 160.9692
0.864735 78.062 160.7382
0.871001 78.024 160.5028
0.877313 77.986 160.2630
0.883670 77.946 160.0187
0.890074 77.905 159.7700
0.896524 77.863 159.5169
0.903020 77.820 159.2593
0.909564 77.776 158.9974
0.916155 77.731 158.7310
0.922794 77.685 158.4604
0.929481 77.637 158.1853
0.936216 77.587 157.9060
0.943000 77.537 157.6224
0.949834 77.484 157.3345
0.956717 77.430 157.0425
0.963649 77.374 156.7463
0.970632 77.317 156.4460
0.977666 77.257 156.1416
0.984750 77.196 155.8334
0.991886 77.132 155.5212
0.999074 77.067 155.2052
1.006314 76.999 154.8855
1.013606 76.929 154.5622
1.020951 76.856 154.2353
1.028349 76.780 153.9051
1.035801 76.702 153.5715
1.043307 76.622 153.2348
1.050867 76.538 152.8949
1.058482 76.451 152.5520
1.066152 76.361 152.2060
1.073878 76.267 151.8569
1.081660 76.169 151.5041
1.089498 76.068 151.1472
1.097393 75.961 150.7850
1.105345 75.849 150.4165
1.113355 75.731 150.0400
1.121423 75.606 149.6542
1.129549 75.474 149.2579
1.137734 75.336 148.8502
1.145979 75.191 148.4301
1.154283 75.038 147.9970
1.162647 74.880 147.5502
1.171072 74.715 147.0890
1.179558 74.544 146.6126
1.188106 74.367 146.1205
1.196715 74.185 145.6119
1.205387 73.998 145.0859
1.214122 73.806 144.5417
1.222920 73.610 143.9784
1.231782 73.410 143.3951
1.240708 73.207 142.7907
1.249699 73.001 142.1640
1.258754 72.793 141.5139
1.267876 72.583 140.8390
1.277063 72.371 140.1379
1.286318 72.159 139.4090
1.295639 71.946 138.6507
1.305027 71.734 137.8612
1.314484 71.524 137.0383
1.324009 71.315 136.1800
1.333604 71.108 135.2838
1.343268 70.905 134.3472
1.353002 70.706 133.3671
1.362806 70.511 132.3403
1.372681 70.323 131.2634
1.382628 70.141 130.1323
1.392647 69.967 128.9426
1.402739 69.801 127.6892
1.412904 69.644 126.3662
1.423142 69.498 124.9668
1.433455 69.362 123.4828
1.443843 69.238 121.9041
1.454305 69.126 120.2183
1.464844 69.024 118.4098
1.475459 68.934 116.4601
1.486150 68.853 114.3478
1.496920 68.781 112.0494
1.507767 68.718 109.5401
1.518693 68.663 106.7937
1.529698 68.616 103.7835
1.540783 68.576 100.4827
1.551948 68.544 96.8659
1.563194 68.521 92.9119
1.574521 68.504 88.6063
1.585931 68.496 83.9463
1.597423 68.496 78.9450
1.608999 68.504 73.6358
1.620658 68.520 68.0751
1.632402 68.544 62.3410
1.644232 68.576 56.5279
1.656146 68.617 50.7384
1.668147 68.667 45.0709
1.680235 68.724 39.6107
1.692411 68.791 34.4223
1.704675 68.866 29.5475
1.717028 68.950 25.0065
1.729470 69.043 20.8018
1.742003 69.145 16.9225
1.754626 69.256 13.3494
1.767341 69.377 10.0581
1.780147 69.507 7.0223
1.793047 69.649 4.2153
1.806040 69.802 1.6114
1.819128 69.968 -0.8134
1.832310 70.150 -3.0806
1.845587 70.348 -5.2087
1.858961 70.565 -7.2132
1.872432 70.800 -9.1065
1.886001 71.055 -10.8986
1.899667 71.329 -12.5979
1.913433 71.620 -14.2115
1.927299 71.928 -15.7458
1.941265 72.250 -17.2067
1.955332 72.586 -18.5994
1.969501 72.933 -19.9288
1.983773 73.289 -21.1996
1.998148 73.652 -22.4160
2.012627 74.022 -23.5820
2.027212 74.394 -24.7012
2.041902 74.768 -25.7772
2.056698 75.141 -26.8131
2.071602 75.510 -27.8121
2.086614 75.874 -28.7769
2.101734 76.231 -29.7103
2.116964 76.578 -30.6150
2.132304 76.913 -31.4938
2.147756 77.235 -32.3493
2.163320 77.542 -33.1846
2.178996 77.835 -34.0028
2.194786 78.112 -34.8073
2.210690 78.376 -35.6013
2.226710 78.628 -36.3876
2.242845 78.868 -37.1680
2.259098 79.098 -37.9434
2.275468 79.320 -38.7139
2.291957 79.533 -39.4791
2.308566 79.738 -40.2382
2.325295 79.936 -40.9907
2.342145 80.128 -41.7354
2.359117 80.314 -42.4718
2.376212 80.494 -43.1989
2.393431 80.669 -43.9162
2.410775 80.839 -44.6229
2.428244 81.006 -45.3187
2.445840 81.170 -46.0030
2.463564 81.331 -46.6757
2.481416 81.490 -47.3366
2.499397 81.648 -47.9862
2.517509 81.804 -48.6251
2.535752 81.959 -49.2547
2.554127 82.112 -49.8768
2.572635 82.264 -50.4940
2.591277 82.413 -51.1087
2.610055 82.558 -51.7228
2.628968 82.700 -52.3374
2.648019 82.838 -52.9528
2.667208 82.972 -53.5685
2.686535 83.102 -54.1836
2.706003 83.228 -54.7970
2.725612 83.350 -55.4072
2.745363 83.470 -56.0130
2.765257 83.586 -56.6129
2.785295 83.700 -57.2055
2.805478 83.811 -57.7895
2.825808 83.920 -58.3638
2.846285 84.027 -58.9274
2.866910 84.133 -59.4796
2.887685 84.236 -60.0206
2.908611 84.338 -60.5509
2.929688 84.438 -61.0719
2.950917 84.536 -61.5856
2.972301 84.632 -62.0938
2.993839 84.724 -62.5981
3.015534 84.814 -63.0991
3.037386 84.901 -63.5968
3.059396 84.985 -64.0908
3.081565 85.066 -64.5803
3.103896 85.146 -65.0640
3.126388 85.223 -65.5409
3.149043 85.298 -66.0094
3.171862 85.371 -66.4682
3.194847 85.444 -66.9160
3.217998 85.515 -67.3517
3.241317 85.584 -67.7743
3.264805 85.653 -68.1834
3.288463 85.721 -68.5789
3.312293 85.788 -68.9616
3.336295 85.853 -69.3324
3.360471 85.916 -69.6924
3.384822 85.977 -70.0423
3.409350 86.037 -70.3827
3.434056 86.096 -70.7140
3.458940 86.153 -71.0361
3.484005 86.209 -71.3492
3.509252 86.264 -71.6530
3.534681 86.319 -71.9472
3.560295 86.373 -72.2314
3.586094 86.428 -72.5053
3.612081 86.482 -72.7682
3.638255 86.538 -73.0198
3.664620 86.593 -73.2595
3.691175 86.648 -73.4871
3.717923 86.704 -73.7026
3.744864 86.760 -73.9064
3.772001 86.815 -74.0995
3.799335 86.871 -74.2829
3.826866 86.926 -74.4578
3.854597 86.982 -74.6256
3.882529 87.039 -74.7875
3.910664 87.096 -74.9449
3.939002 87.155 -75.0987
3.967546 87.214 -75.2496
3.996296 87.275 -75.3979
4.025255 87.337 -75.5433
4.054423 87.401 -75.6854
4.083804 87.465 -75.8236
4.113396 87.531 -75.9581
4.143204 87.599 -76.0895
4.173227 87.667 -76.2190
4.203468 87.736 -76.3484
4.233928 87.807 -76.4796
4.264609 87.878 -76.6143
4.295512 87.950 -76.7545
4.326639 88.023 -76.9017
4.357992 88.097 -77.0568
4.389572 88.172 -77.2202
4.421380 88.247 -77.3918
4.453419 88.324 -77.5712
4.485691 88.402 -77.7580
4.518196 88.480 -77.9522
4.550936 88.559 -78.1541
4.583914 88.638 -78.3642
4.617131 88.718 -78.5834
4.650589 88.797 -78.8123
4.684289 88.876 -79.0519
4.718233 88.955 -79.3029
4.752424 89.033 -79.5657
4.786862 89.111 -79.8407
4.821549 89.188 -80.1276
4.856488 89.265 -80.4259
4.891680 89.341 -80.7350
4.927127 89.416 -81.0539
4.962831 89.490 -81.3818
4.998794 89.564 -81.7179
5.035017 89.636 -82.0616
5.071503 89.707 -82.4126
5.108253 89.776 -82.7708
5.145270 89.844 -83.1364
5.182555 89.910 -83.5097
5.220110 89.975 -83.8903
5.257937 90.038 -84.2776
5.296038 90.099 -84.6703
5.334415 90.159 -85.0669
5.373071 90.218 -85.4659
5.412006 90.274 -85.8659
5.451224 90.330 -86.2660
5.490725 90.384 -86.6656
5.530514 90.436 -87.0647
5.570590 90.486 -87.4634
5.610957 90.535 -87.8617
5.651616 90.583 -88.2589
5.692570 90.629 -88.6541
5.733821 90.675 -89.0464
5.775370 90.719 -89.4345
5.817221 90.763 -89.8175
5.859375 90.806 -90.1949
5.901834 90.848 -90.5664
5.944602 90.890 -90.9322
5.987679 90.931 -91.2926
6.031068 90.972 -91.6480
6.074771 91.012 -91.9985
6.118792 91.053 -92.3443
6.163131 91.094 -92.6854
6.207792 91.135 -93.0218
6.252776 91.177 -93.3535
6.298086 91.220 -93.6807
6.343725 91.263 -94.0039
6.389694 91.307 -94.3240
6.435996 91.351 -94.6422
6.482634 91.397 -94.9595
6.529610 91.443 -95.2771
6.576926 91.490 -95.5957
6.624585 91.539 -95.9158
6.672590 91.588 -96.2377
6.720942 91.639 -96.5619
