* Measurement data measured by REW V5.30.4
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -19.0 dBFS with no timing reference
* Dated: Jan 16, 2024 12:13:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ND ND-001 L
* Measurement: L ND ND-001
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 98.710 -21.2545
0.368865 98.704 -21.2747
0.371538 98.696 -21.3050
0.374230 98.685 -21.3431
0.376942 98.673 -21.3871
0.379673 98.661 -21.4354
0.382424 98.648 -21.4873
0.385196 98.634 -21.5420
0.387987 98.621 -21.5993
0.390798 98.607 -21.6591
0.393630 98.593 -21.7211
0.396483 98.579 -21.7854
0.399356 98.564 -21.8520
0.402250 98.550 -21.9208
0.405165 98.536 -21.9920
0.408101 98.521 -22.0654
0.411058 98.506 -22.1412
0.414037 98.492 -22.2194
0.417037 98.477 -22.2999
0.420059 98.462 -22.3828
0.423103 98.447 -22.4681
0.426169 98.431 -22.5558
0.429257 98.416 -22.6460
0.432367 98.401 -22.7386
0.435501 98.385 -22.8338
0.438656 98.369 -22.9314
0.441835 98.354 -23.0316
0.445037 98.338 -23.1342
0.448262 98.322 -23.2395
0.451510 98.306 -23.3473
0.454782 98.289 -23.4577
0.458077 98.273 -23.5707
0.461397 98.257 -23.6863
0.464740 98.240 -23.8045
0.468108 98.223 -23.9253
0.471500 98.206 -24.0488
0.474917 98.189 -24.1749
0.478358 98.172 -24.3037
0.481825 98.155 -24.4352
0.485316 98.138 -24.5693
0.488833 98.120 -24.7061
0.492375 98.103 -24.8456
0.495943 98.085 -24.9878
0.499537 98.067 -25.1326
0.503157 98.049 -25.2802
0.506803 98.031 -25.4304
0.510475 98.013 -25.5832
0.514174 97.995 -25.7388
0.517900 97.976 -25.8969
0.521653 97.958 -26.0578
0.525433 97.939 -26.2212
0.529241 97.920 -26.3873
0.533076 97.901 -26.5559
0.536939 97.882 -26.7271
0.540830 97.862 -26.9009
0.544749 97.843 -27.0772
0.548696 97.823 -27.2560
0.552673 97.804 -27.4372
0.556677 97.784 -27.6209
0.560711 97.764 -27.8069
0.564774 97.744 -27.9953
0.568867 97.723 -28.1859
0.572989 97.703 -28.3788
0.577141 97.682 -28.5739
0.581324 97.662 -28.7711
0.585536 97.641 -28.9704
0.589779 97.620 -29.1716
0.594053 97.598 -29.3748
0.598358 97.577 -29.5798
0.602694 97.556 -29.7865
0.607061 97.534 -29.9949
0.611460 97.512 -30.2049
0.615891 97.490 -30.4163
0.620354 97.468 -30.6291
0.624849 97.446 -30.8431
0.629377 97.423 -31.0582
0.633938 97.401 -31.2743
0.638532 97.378 -31.4913
0.643159 97.355 -31.7090
0.647819 97.332 -31.9272
0.652514 97.308 -32.1458
0.657242 97.285 -32.3646
0.662005 97.261 -32.5834
0.666802 97.238 -32.8021
0.671634 97.214 -33.0204
0.676501 97.189 -33.2382
0.681403 97.165 -33.4552
0.686341 97.141 -33.6712
0.691314 97.116 -33.8860
0.696324 97.091 -34.0993
0.701369 97.066 -34.3109
0.706452 97.040 -34.5206
0.711571 97.014 -34.7284
0.716727 96.987 -34.9341
0.721921 96.959 -35.1380
0.727153 96.930 -35.3404
0.732422 96.898 -35.5419
0.737729 96.865 -35.7435
0.743075 96.830 -35.9459
0.748460 96.793 -36.1501
0.753883 96.754 -36.3566
0.759346 96.714 -36.5658
0.764849 96.674 -36.7779
0.770391 96.632 -36.9932
0.775974 96.590 -37.2118
0.781597 96.547 -37.4336
0.787261 96.503 -37.6588
0.792965 96.459 -37.8872
0.798712 96.414 -38.1190
0.804499 96.368 -38.3542
0.810329 96.322 -38.5926
0.816201 96.274 -38.8343
0.822116 96.226 -39.0792
0.828073 96.177 -39.3273
0.834073 96.128 -39.5786
0.840118 96.078 -39.8331
0.846205 96.026 -40.0905
0.852337 95.974 -40.3510
0.858514 95.922 -40.6143
0.864735 95.868 -40.8805
0.871001 95.814 -41.1494
0.877313 95.758 -41.4209
0.883670 95.702 -41.6949
0.890074 95.645 -41.9712
0.896523 95.587 -42.2496
0.903020 95.528 -42.5301
0.909564 95.468 -42.8124
0.916155 95.407 -43.0963
0.922793 95.346 -43.3815
0.929480 95.283 -43.6679
0.936216 95.219 -43.9551
0.943000 95.155 -44.2429
0.949833 95.089 -44.5308
0.956716 95.022 -44.8186
0.963649 94.954 -45.1060
0.970632 94.886 -45.3923
0.977666 94.816 -45.6773
0.984750 94.745 -45.9604
0.991886 94.672 -46.2412
0.999074 94.599 -46.5189
1.006313 94.525 -46.7931
1.013605 94.449 -47.0631
1.020950 94.372 -47.3282
1.028349 94.294 -47.5875
1.035801 94.215 -47.8405
1.043306 94.134 -48.0861
1.050867 94.053 -48.3234
1.058482 93.970 -48.5516
1.066152 93.885 -48.7696
1.073878 93.799 -48.9765
1.081659 93.711 -49.1713
1.089498 93.621 -49.3529
1.097393 93.530 -49.5208
1.105345 93.435 -49.6741
1.113355 93.337 -49.8123
1.121422 93.237 -49.9351
1.129549 93.132 -50.0420
1.137734 93.024 -50.1326
1.145978 92.913 -50.2067
1.154283 92.797 -50.2638
1.162647 92.679 -50.3035
1.171072 92.557 -50.3255
1.179558 92.432 -50.3291
1.188106 92.304 -50.3140
1.196715 92.173 -50.2796
1.205387 92.040 -50.2255
1.214122 91.904 -50.1511
1.222920 91.767 -50.0559
1.231781 91.627 -49.9392
1.240708 91.486 -49.8005
1.249698 91.343 -49.6392
1.258754 91.199 -49.4546
1.267875 91.055 -49.2462
1.277063 90.910 -49.0133
1.286317 90.764 -48.7554
1.295638 90.619 -48.4719
1.305027 90.475 -48.1622
1.314484 90.331 -47.8258
1.324009 90.188 -47.4623
1.333603 90.047 -47.0713
1.343267 89.908 -46.6526
1.353001 89.772 -46.2059
1.362805 89.638 -45.7312
1.372681 89.508 -45.2287
1.382628 89.381 -44.6985
1.392647 89.259 -44.1412
1.402739 89.142 -43.5571
1.412904 89.029 -42.9469
1.423142 88.923 -42.3111
1.433455 88.823 -41.6496
1.443842 88.729 -40.9617
1.454305 88.642 -40.2456
1.464843 88.561 -39.4979
1.475458 88.486 -38.7141
1.486150 88.417 -37.8893
1.496919 88.353 -37.0194
1.507766 88.294 -36.1014
1.518692 88.240 -35.1340
1.529697 88.191 -34.1170
1.540782 88.146 -33.0511
1.551947 88.106 -31.9382
1.563193 88.071 -30.7808
1.574521 88.041 -29.5819
1.585931 88.015 -28.3456
1.597423 87.993 -27.0760
1.608998 87.977 -25.7781
1.620658 87.965 -24.4575
1.632402 87.958 -23.1198
1.644231 87.956 -21.7712
1.656146 87.959 -20.4183
1.668147 87.966 -19.0675
1.680235 87.978 -17.7256
1.692410 87.995 -16.3991
1.704674 88.017 -15.0947
1.717027 88.044 -13.8185
1.729469 88.075 -12.5764
1.742002 88.112 -11.3740
1.754625 88.153 -10.2162
1.767340 88.199 -9.1074
1.780147 88.251 -8.0510
1.793046 88.308 -7.0496
1.806040 88.371 -6.1046
1.819127 88.441 -5.2160
1.832309 88.519 -4.3826
1.845587 88.605 -3.6024
1.858961 88.701 -2.8731
1.872431 88.806 -2.1929
1.886000 88.922 -1.5606
1.899666 89.047 -0.9756
1.913432 89.183 -0.4374
1.927298 89.327 0.0544
1.941264 89.479 0.5004
1.955331 89.639 0.9011
1.969500 89.805 1.2574
1.983772 89.978 1.5700
1.998147 90.155 1.8400
2.012626 90.336 2.0683
2.027211 90.520 2.2562
2.041901 90.705 2.4046
2.056697 90.892 2.5146
2.071601 91.078 2.5874
2.086613 91.262 2.6237
2.101733 91.444 2.6245
2.116963 91.622 2.5904
2.132303 91.796 2.5219
2.147755 91.964 2.4192
2.163318 92.125 2.2821
2.178995 92.281 2.1103
2.194785 92.430 1.9030
2.210689 92.573 1.6595
2.226709 92.712 1.3794
2.242844 92.847 1.0633
2.259097 92.978 0.7123
2.275467 93.106 0.3281
2.291956 93.231 -0.0867
2.308565 93.354 -0.5299
2.325294 93.474 -0.9986
2.342144 93.592 -1.4904
2.359116 93.708 -2.0026
2.376211 93.821 -2.5329
2.393430 93.932 -3.0788
2.410774 94.040 -3.6383
2.428243 94.147 -4.2092
2.445839 94.251 -4.7899
2.463562 94.353 -5.3788
2.481415 94.453 -5.9748
2.499396 94.551 -6.5773
2.517508 94.647 -7.1866
2.535750 94.740 -7.8040
2.554126 94.831 -8.4317
2.572634 94.920 -9.0729
2.591276 95.005 -9.7312
2.610054 95.088 -10.4090
2.628967 95.167 -11.1078
2.648018 95.243 -11.8274
2.667206 95.316 -12.5665
2.686534 95.387 -13.3231
2.706002 95.454 -14.0947
2.725610 95.518 -14.8784
2.745361 95.580 -15.6712
2.765255 95.640 -16.4700
2.785294 95.697 -17.2718
2.805477 95.752 -18.0734
2.825807 95.806 -18.8720
2.846284 95.858 -19.6652
2.866909 95.908 -20.4512
2.887684 95.956 -21.2292
2.908609 96.003 -21.9996
2.929686 96.048 -22.7644
2.950916 96.091 -23.5266
2.972299 96.132 -24.2895
2.993838 96.170 -25.0557
3.015532 96.206 -25.8267
3.037384 96.239 -26.6026
3.059394 96.270 -27.3830
3.081564 96.298 -28.1663
3.103894 96.325 -28.9508
3.126386 96.350 -29.7342
3.149041 96.374 -30.5140
3.171861 96.397 -31.2877
3.194845 96.418 -32.0527
3.217996 96.439 -32.8065
3.241315 96.460 -33.5473
3.264803 96.479 -34.2736
3.288461 96.498 -34.9854
3.312291 96.517 -35.6833
3.336293 96.534 -36.3689
3.360469 96.550 -37.0438
3.384820 96.564 -37.7093
3.409348 96.578 -38.3661
3.434054 96.591 -39.0144
3.458938 96.603 -39.6539
3.484003 96.615 -40.2840
3.509250 96.627 -40.9037
3.534679 96.640 -41.5116
3.560293 96.654 -42.1063
3.586092 96.669 -42.6861
3.612079 96.686 -43.2490
3.638253 96.705 -43.7932
3.664618 96.726 -44.3172
3.691173 96.748 -44.8199
3.717921 96.772 -45.3011
3.744862 96.798 -45.7615
3.771999 96.825 -46.2027
3.799332 96.854 -46.6267
3.826864 96.885 -47.0361
3.854595 96.918 -47.4335
3.882527 96.954 -47.8215
3.910661 96.992 -48.2025
3.938999 97.034 -48.5784
3.967543 97.079 -48.9506
3.996294 97.128 -49.3192
4.025252 97.182 -49.6836
4.054421 97.239 -50.0424
4.083801 97.300 -50.3942
4.113394 97.366 -50.7387
4.143201 97.435 -51.0768
4.173225 97.508 -51.4108
4.203466 97.585 -51.7435
4.233926 97.664 -52.0784
4.264606 97.747 -52.4190
4.295509 97.833 -52.7685
4.326636 97.921 -53.1297
4.357989 98.012 -53.5042
4.389569 98.106 -53.8925
4.421378 98.203 -54.2939
4.453417 98.303 -54.7072
4.485688 98.406 -55.1313
4.518193 98.512 -55.5658
4.550934 98.620 -56.0110
4.583912 98.729 -56.4676
4.617129 98.841 -56.9369
4.650587 98.952 -57.4203
4.684287 99.065 -57.9193
4.718231 99.177 -58.4351
4.752421 99.289 -58.9687
4.786859 99.400 -59.5202
4.821547 99.512 -60.0891
4.856485 99.623 -60.6740
4.891677 99.735 -61.2730
4.927125 99.845 -61.8840
4.962829 99.955 -62.5051
4.998791 100.063 -63.1344
5.035015 100.170 -63.7708
5.071500 100.275 -64.4135
5.108251 100.378 -65.0627
5.145267 100.479 -65.7187
5.182552 100.577 -66.3820
5.220107 100.673 -67.0522
5.257934 100.767 -67.7276
5.296035 100.858 -68.4057
5.334412 100.947 -69.0835
5.373067 101.034 -69.7579
5.412003 101.119 -70.4263
5.451221 101.201 -71.0869
5.490722 101.280 -71.7390
5.530510 101.357 -72.3828
5.570587 101.432 -73.0186
5.610953 101.504 -73.6462
5.651613 101.573 -74.2646
5.692567 101.641 -74.8718
5.733818 101.707 -75.4656
5.775367 101.771 -76.0435
5.817218 101.834 -76.6039
5.859372 101.895 -77.1454
5.901831 101.956 -77.6679
5.944598 102.015 -78.1717
5.987675 102.073 -78.6573
6.031065 102.131 -79.1250
6.074768 102.188 -79.5750
6.118788 102.245 -80.0072
