* Measurement data measured by REW V5.30.5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Feb 21, 2024 12:21:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ND X12 011
* Measurement: L ND X12 011
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.369 143.9182
0.368865 71.362 143.8544
0.371538 71.352 143.7589
0.374230 71.340 143.6390
0.376942 71.327 143.5010
0.379673 71.312 143.3496
0.382424 71.297 143.1877
0.385196 71.281 143.0173
0.387987 71.266 142.8394
0.390798 71.249 142.6545
0.393630 71.233 142.4628
0.396483 71.217 142.2645
0.399356 71.200 142.0594
0.402250 71.184 141.8475
0.405165 71.167 141.6288
0.408101 71.150 141.4031
0.411058 71.133 141.1702
0.414037 71.116 140.9301
0.417037 71.099 140.6826
0.420059 71.081 140.4276
0.423103 71.064 140.1649
0.426169 71.046 139.8944
0.429257 71.028 139.6160
0.432367 71.010 139.3296
0.435501 70.992 139.0349
0.438656 70.974 138.7318
0.441835 70.956 138.4201
0.445037 70.937 138.0998
0.448262 70.919 137.7707
0.451510 70.900 137.4325
0.454782 70.881 137.0852
0.458077 70.862 136.7286
0.461397 70.843 136.3625
0.464740 70.824 135.9867
0.468108 70.805 135.6011
0.471500 70.785 135.2055
0.474917 70.765 134.7998
0.478358 70.746 134.3837
0.481825 70.726 133.9572
0.485316 70.705 133.5199
0.488833 70.685 133.0718
0.492375 70.665 132.6127
0.495943 70.644 132.1424
0.499537 70.624 131.6607
0.503157 70.603 131.1674
0.506803 70.582 130.6624
0.510475 70.561 130.1455
0.514174 70.539 129.6165
0.517900 70.518 129.0753
0.521653 70.496 128.5217
0.525433 70.475 127.9554
0.529241 70.453 127.3765
0.533076 70.431 126.7846
0.536939 70.408 126.1796
0.540830 70.386 125.5614
0.544749 70.363 124.9299
0.548696 70.341 124.2848
0.552673 70.318 123.6260
0.556677 70.295 122.9535
0.560711 70.272 122.2670
0.564774 70.248 121.5665
0.568867 70.225 120.8519
0.572989 70.201 120.1230
0.577141 70.177 119.3798
0.581324 70.153 118.6221
0.585536 70.129 117.8500
0.589779 70.104 117.0633
0.594053 70.080 116.2620
0.598358 70.055 115.4461
0.602694 70.030 114.6155
0.607061 70.005 113.7702
0.611460 69.979 112.9102
0.615891 69.954 112.0356
0.620354 69.928 111.1464
0.624849 69.902 110.2426
0.629377 69.876 109.3243
0.633938 69.850 108.3915
0.638532 69.824 107.4444
0.643159 69.797 106.4831
0.647819 69.770 105.5076
0.652514 69.743 104.5182
0.657242 69.716 103.5150
0.662005 69.689 102.4981
0.666802 69.661 101.4677
0.671634 69.633 100.4241
0.676501 69.605 99.3673
0.681403 69.577 98.2977
0.686341 69.549 97.2154
0.691314 69.520 96.1207
0.696324 69.492 95.0137
0.701369 69.464 93.8946
0.706452 69.437 92.7636
0.711571 69.411 91.6206
0.716727 69.388 90.4654
0.721921 69.370 89.2978
0.727153 69.357 88.1172
0.732422 69.353 86.9226
0.737729 69.360 85.7132
0.743075 69.376 84.4881
0.748460 69.400 83.2472
0.753883 69.431 81.9904
0.759346 69.467 80.7185
0.764849 69.509 79.4324
0.770391 69.554 78.1332
0.775974 69.603 76.8223
0.781597 69.656 75.5012
0.787261 69.712 74.1713
0.792965 69.771 72.8343
0.798712 69.834 71.4919
0.804499 69.899 70.1456
0.810329 69.968 68.7970
0.816201 70.041 67.4480
0.822116 70.116 66.1000
0.828073 70.194 64.7546
0.834073 70.275 63.4134
0.840118 70.360 62.0779
0.846205 70.447 60.7494
0.852337 70.537 59.4293
0.858514 70.630 58.1190
0.864735 70.726 56.8195
0.871001 70.824 55.5319
0.877313 70.925 54.2573
0.883670 71.029 52.9965
0.890074 71.135 51.7504
0.896523 71.243 50.5195
0.903020 71.354 49.3047
0.909564 71.467 48.1062
0.916155 71.583 46.9247
0.922793 71.700 45.7603
0.929480 71.819 44.6134
0.936216 71.941 43.4840
0.943000 72.063 42.3723
0.949833 72.188 41.2783
0.956716 72.314 40.2019
0.963649 72.441 39.1430
0.970632 72.570 38.1014
0.977666 72.699 37.0768
0.984750 72.830 36.0691
0.991886 72.961 35.0778
0.999074 73.093 34.1027
1.006313 73.225 33.1432
1.013605 73.357 32.1990
1.020950 73.490 31.2696
1.028349 73.622 30.3545
1.035801 73.754 29.4533
1.043306 73.885 28.5652
1.050867 74.016 27.6899
1.058482 74.146 26.8268
1.066152 74.274 25.9752
1.073878 74.402 25.1344
1.081659 74.529 24.3038
1.089498 74.654 23.4826
1.097393 74.780 22.6702
1.105345 74.905 21.8659
1.113355 75.030 21.0691
1.121422 75.157 20.2795
1.129549 75.284 19.4968
1.137734 75.413 18.7209
1.145978 75.544 17.9519
1.154283 75.675 17.1899
1.162647 75.809 16.4348
1.171072 75.943 15.6868
1.179558 76.080 14.9460
1.188106 76.217 14.2125
1.196715 76.356 13.4863
1.205387 76.496 12.7676
1.214122 76.637 12.0564
1.222920 76.780 11.3527
1.231781 76.923 10.6567
1.240708 77.068 9.9683
1.249698 77.213 9.2876
1.258754 77.359 8.6147
1.267875 77.506 7.9495
1.277063 77.654 7.2921
1.286317 77.802 6.6425
1.295638 77.951 6.0006
1.305027 78.101 5.3665
1.314484 78.250 4.7403
1.324009 78.400 4.1218
1.333603 78.550 3.5110
1.343267 78.699 2.9079
1.353001 78.849 2.3125
1.362805 78.999 1.7248
1.372681 79.148 1.1447
1.382628 79.296 0.5721
1.392647 79.444 0.0071
1.402739 79.591 -0.5506
1.412904 79.737 -1.1009
1.423142 79.883 -1.6439
1.433455 80.027 -2.1798
1.443842 80.170 -2.7089
1.454305 80.311 -3.2313
1.464843 80.452 -3.7475
1.475458 80.591 -4.2578
1.486150 80.729 -4.7625
1.496919 80.866 -5.2621
1.507766 81.003 -5.7568
1.518692 81.138 -6.2470
1.529697 81.273 -6.7328
1.540782 81.407 -7.2143
1.551947 81.540 -7.6919
1.563193 81.672 -8.1657
1.574521 81.804 -8.6358
1.585931 81.934 -9.1024
1.597423 82.065 -9.5657
1.608998 82.194 -10.0259
1.620658 82.323 -10.4830
1.632402 82.452 -10.9374
1.644231 82.580 -11.3891
1.656146 82.707 -11.8383
1.668147 82.834 -12.2852
1.680235 82.961 -12.7299
1.692410 83.087 -13.1727
1.704674 83.213 -13.6136
1.717027 83.339 -14.0529
1.729469 83.464 -14.4906
1.742002 83.590 -14.9271
1.754625 83.715 -15.3623
1.767340 83.840 -15.7966
1.780147 83.966 -16.2300
1.793046 84.091 -16.6628
1.806040 84.216 -17.0949
1.819127 84.341 -17.5267
1.832309 84.466 -17.9582
1.845587 84.591 -18.3894
1.858961 84.715 -18.8204
1.872431 84.838 -19.2511
1.886000 84.961 -19.6816
1.899666 85.083 -20.1116
1.913432 85.205 -20.5411
1.927298 85.325 -20.9701
1.941264 85.445 -21.3985
1.955331 85.565 -21.8261
1.969500 85.684 -22.2529
1.983772 85.802 -22.6788
1.998147 85.919 -23.1038
2.012626 86.036 -23.5278
2.027211 86.153 -23.9507
2.041901 86.269 -24.3726
2.056697 86.385 -24.7933
2.071601 86.501 -25.2129
2.086613 86.616 -25.6314
2.101733 86.732 -26.0487
2.116963 86.847 -26.4648
2.132303 86.962 -26.8798
2.147755 87.077 -27.2938
2.163318 87.191 -27.7067
2.178995 87.306 -28.1188
2.194785 87.421 -28.5302
2.210689 87.535 -28.9411
2.226709 87.649 -29.3516
2.242844 87.762 -29.7619
2.259097 87.875 -30.1720
2.275467 87.987 -30.5820
2.291956 88.099 -30.9918
2.308565 88.210 -31.4015
2.325294 88.321 -31.8110
2.342144 88.431 -32.2202
2.359116 88.541 -32.6292
2.376211 88.650 -33.0379
2.393430 88.759 -33.4463
2.410774 88.867 -33.8544
2.428243 88.975 -34.2621
2.445839 89.083 -34.6695
2.463562 89.191 -35.0766
2.481415 89.298 -35.4833
2.499396 89.405 -35.8899
2.517508 89.512 -36.2962
2.535750 89.619 -36.7025
2.554126 89.726 -37.1088
2.572634 89.832 -37.5153
2.591276 89.938 -37.9221
2.610054 90.043 -38.3294
2.628967 90.148 -38.7372
2.648018 90.253 -39.1454
2.667206 90.357 -39.5542
2.686534 90.460 -39.9635
2.706002 90.563 -40.3732
2.725610 90.666 -40.7833
2.745361 90.768 -41.1938
2.765255 90.870 -41.6047
2.785294 90.971 -42.0158
2.805477 91.072 -42.4273
2.825807 91.173 -42.8392
2.846284 91.273 -43.2514
2.866909 91.373 -43.6640
2.887684 91.473 -44.0772
2.908609 91.572 -44.4912
2.929686 91.671 -44.9060
2.950916 91.770 -45.3220
2.972299 91.868 -45.7393
2.993838 91.966 -46.1579
3.015532 92.063 -46.5778
3.037384 92.160 -46.9990
3.059394 92.256 -47.4213
3.081564 92.352 -47.8446
3.103894 92.447 -48.2686
3.126386 92.541 -48.6932
3.149041 92.636 -49.1183
3.171861 92.729 -49.5436
3.194845 92.823 -49.9691
3.217996 92.916 -50.3947
3.241315 93.008 -50.8204
3.264803 93.100 -51.2462
3.288461 93.192 -51.6725
3.312291 93.283 -52.0993
3.336293 93.374 -52.5271
3.360469 93.464 -52.9558
3.384820 93.554 -53.3858
3.409348 93.643 -53.8167
3.434054 93.731 -54.2486
3.458938 93.819 -54.6813
3.484003 93.907 -55.1145
3.509250 93.994 -55.5481
3.534679 94.080 -55.9819
3.560293 94.166 -56.4157
3.586092 94.251 -56.8494
3.612079 94.336 -57.2831
3.638253 94.421 -57.7168
3.664618 94.505 -58.1507
3.691173 94.588 -58.5852
3.717921 94.671 -59.0204
3.744862 94.753 -59.4565
3.771999 94.835 -59.8935
3.799332 94.916 -60.3312
3.826864 94.996 -60.7693
3.854595 95.076 -61.2077
3.882527 95.156 -61.6460
3.910661 95.235 -62.0840
3.938999 95.313 -62.5215
3.967543 95.391 -62.9583
3.996294 95.469 -63.3943
4.025252 95.546 -63.8297
4.054421 95.623 -64.2647
4.083801 95.699 -64.6995
4.113394 95.775 -65.1343
4.143201 95.850 -65.5691
4.173225 95.924 -66.0039
4.203466 95.998 -66.4387
4.233926 96.072 -66.8732
4.264606 96.145 -67.3074
4.295509 96.218 -67.7411
4.326636 96.290 -68.1741
4.357989 96.362 -68.6066
4.389569 96.434 -69.0383
4.421378 96.505 -69.4696
4.453417 96.576 -69.9006
4.485688 96.647 -70.3313
4.518193 96.717 -70.7619
4.550934 96.787 -71.1925
4.583912 96.856 -71.6230
4.617129 96.926 -72.0535
4.650587 96.994 -72.4839
4.684287 97.063 -72.9141
4.718231 97.131 -73.3443
4.752421 97.199 -73.7744
4.786859 97.267 -74.2045
4.821547 97.335 -74.6347
4.856485 97.402 -75.0651
4.891677 97.469 -75.4959
4.927125 97.535 -75.9271
4.962829 97.602 -76.3589
4.998791 97.668 -76.7913
5.035015 97.734 -77.2245
5.071500 97.800 -77.6586
5.108251 97.865 -78.0936
5.145267 97.930 -78.5296
5.182552 97.995 -78.9669
5.220107 98.060 -79.4053
5.257934 98.124 -79.8450
5.296035 98.188 -80.2860
5.334412 98.252 -80.7283
5.373067 98.315 -81.1721
5.412003 98.378 -81.6174
5.451221 98.441 -82.0642
5.490722 98.503 -82.5128
5.530510 98.565 -82.9633
5.570587 98.627 -83.4156
5.610953 98.688 -83.8698
5.651613 98.748 -84.3258
5.692567 98.808 -84.7834
5.733818 98.868 -85.2426
5.775367 98.927 -85.7032
5.817218 98.986 -86.1651
5.859372 99.044 -86.6285
5.901831 99.102 -87.0934
5.944598 99.159 -87.5599
5.987675 99.215 -88.0278
6.031065 99.271 -88.4969
6.074768 99.326 -88.9669
6.118788 99.380 -89.4375
6.163127 99.434 -89.9084
6.207788 99.487 -90.3795
6.252772 99.540 -90.8508
6.298082 99.592 -91.3223
6.343721 99.643 -91.7938
6.389690 99.693 -92.2653
6.435992 99.743 -92.7363
6.482630 99.792 -93.2064
6.529606 99.841 -93.6753
6.576922 99.889 -94.1428
6.624581 99.936 -94.6088
