* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jun 30, 2024 11:43:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NF Audio NM2+
* Measurement: L NF Audio NM+
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.444 158.6085
0.368865 84.438 158.5859
0.371538 84.429 158.5520
0.374230 84.418 158.5095
0.376942 84.406 158.4605
0.379673 84.393 158.4066
0.382424 84.379 158.3489
0.385196 84.365 158.2881
0.387987 84.350 158.2245
0.390798 84.336 158.1584
0.393630 84.321 158.0897
0.396483 84.306 158.0186
0.399356 84.291 157.9451
0.402250 84.276 157.8690
0.405165 84.261 157.7906
0.408101 84.245 157.7096
0.411058 84.230 157.6262
0.414037 84.214 157.5402
0.417037 84.199 157.4516
0.420059 84.183 157.3605
0.423103 84.167 157.2668
0.426169 84.151 157.1704
0.429257 84.135 157.0714
0.432368 84.119 156.9697
0.435501 84.102 156.8653
0.438656 84.086 156.7581
0.441835 84.069 156.6483
0.445037 84.053 156.5356
0.448262 84.036 156.4202
0.451510 84.019 156.3020
0.454782 84.002 156.1809
0.458077 83.985 156.0570
0.461397 83.967 155.9302
0.464740 83.950 155.8005
0.468108 83.932 155.6679
0.471500 83.915 155.5324
0.474917 83.897 155.3939
0.478358 83.879 155.2525
0.481825 83.861 155.1082
0.485316 83.843 154.9608
0.488833 83.824 154.8105
0.492375 83.806 154.6571
0.495943 83.787 154.5007
0.499537 83.768 154.3414
0.503157 83.750 154.1789
0.506803 83.731 154.0135
0.510475 83.711 153.8450
0.514175 83.692 153.6735
0.517900 83.673 153.4989
0.521653 83.653 153.3213
0.525434 83.633 153.1406
0.529241 83.613 152.9569
0.533076 83.593 152.7702
0.536939 83.573 152.5805
0.540830 83.553 152.3878
0.544749 83.533 152.1920
0.548696 83.512 151.9933
0.552673 83.491 151.7917
0.556677 83.470 151.5871
0.560711 83.449 151.3797
0.564774 83.428 151.1693
0.568867 83.407 150.9561
0.572989 83.385 150.7401
0.577141 83.364 150.5213
0.581324 83.342 150.2999
0.585536 83.320 150.0757
0.589779 83.298 149.8489
0.594053 83.275 149.6195
0.598358 83.253 149.3876
0.602694 83.230 149.1533
0.607061 83.208 148.9165
0.611460 83.185 148.6775
0.615891 83.161 148.4363
0.620354 83.138 148.1929
0.624849 83.115 147.9475
0.629377 83.091 147.7001
0.633938 83.067 147.4509
0.638532 83.043 147.1999
0.643159 83.019 146.9473
0.647819 82.995 146.6932
0.652514 82.970 146.4378
0.657242 82.946 146.1811
0.662005 82.921 145.9233
0.666802 82.896 145.6646
0.671634 82.871 145.4052
0.676501 82.845 145.1452
0.681403 82.820 144.8848
0.686341 82.794 144.6241
0.691314 82.768 144.3634
0.696324 82.742 144.1028
0.701370 82.715 143.8426
0.706452 82.688 143.5828
0.711571 82.661 143.3236
0.716728 82.632 143.0648
0.721921 82.603 142.8063
0.727153 82.572 142.5475
0.732422 82.539 142.2879
0.737729 82.504 142.0263
0.743075 82.467 141.7617
0.748460 82.428 141.4933
0.753883 82.388 141.2204
0.759346 82.347 140.9424
0.764849 82.305 140.6590
0.770391 82.262 140.3700
0.775974 82.218 140.0752
0.781597 82.174 139.7745
0.787261 82.130 139.4678
0.792966 82.085 139.1550
0.798712 82.039 138.8360
0.804500 81.993 138.5108
0.810329 81.946 138.1794
0.816201 81.898 137.8416
0.822116 81.850 137.4973
0.828073 81.801 137.1467
0.834074 81.751 136.7895
0.840118 81.701 136.4258
0.846206 81.649 136.0555
0.852338 81.597 135.6786
0.858514 81.544 135.2952
0.864735 81.490 134.9051
0.871001 81.435 134.5083
0.877313 81.380 134.1050
0.883670 81.323 133.6950
0.890074 81.265 133.2784
0.896524 81.206 132.8553
0.903020 81.146 132.4258
0.909564 81.085 131.9897
0.916155 81.022 131.5474
0.922794 80.958 131.0988
0.929481 80.894 130.6441
0.936216 80.827 130.1833
0.943000 80.759 129.7168
0.949834 80.690 129.2445
0.956717 80.620 128.7668
0.963649 80.548 128.2839
0.970632 80.474 127.7960
0.977666 80.398 127.3034
0.984750 80.321 126.8064
0.991886 80.242 126.3053
0.999074 80.162 125.8006
1.006314 80.079 125.2927
1.013606 79.994 124.7820
1.020951 79.908 124.2689
1.028349 79.819 123.7542
1.035801 79.728 123.2382
1.043307 79.635 122.7217
1.050867 79.540 122.2053
1.058482 79.442 121.6897
1.066152 79.342 121.1754
1.073878 79.239 120.6631
1.081660 79.134 120.1531
1.089498 79.025 119.6457
1.097393 78.914 119.1406
1.105345 78.800 118.6373
1.113355 78.683 118.1350
1.121423 78.563 117.6328
1.129549 78.439 117.1299
1.137734 78.312 116.6256
1.145979 78.182 116.1191
1.154283 78.049 115.6099
1.162647 77.912 115.0973
1.171072 77.772 114.5808
1.179558 77.629 114.0598
1.188106 77.483 113.5335
1.196715 77.334 113.0015
1.205387 77.181 112.4629
1.214122 77.026 111.9172
1.222920 76.868 111.3634
1.231782 76.706 110.8009
1.240708 76.542 110.2287
1.249699 76.375 109.6459
1.258754 76.205 109.0516
1.267876 76.033 108.4447
1.277063 75.858 107.8242
1.286318 75.680 107.1888
1.295639 75.500 106.5375
1.305027 75.317 105.8688
1.314484 75.133 105.1814
1.324009 74.946 104.4738
1.333604 74.756 103.7446
1.343268 74.565 102.9921
1.353002 74.372 102.2147
1.362806 74.178 101.4106
1.372681 73.981 100.5779
1.382628 73.783 99.7150
1.392647 73.584 98.8198
1.402739 73.383 97.8905
1.412904 73.180 96.9253
1.423142 72.977 95.9223
1.433455 72.771 94.8798
1.443843 72.564 93.7962
1.454305 72.353 92.6698
1.464844 72.138 91.4986
1.475459 71.918 90.2804
1.486150 71.689 89.0119
1.496920 71.453 87.6889
1.507767 71.207 86.3060
1.518693 70.951 84.8568
1.529698 70.687 83.3337
1.540783 70.413 81.7283
1.551948 70.132 80.0306
1.563194 69.844 78.2298
1.574521 69.550 76.3133
1.585931 69.252 74.2674
1.597423 68.949 72.0766
1.608999 68.645 69.7239
1.620658 68.340 67.1910
1.632402 68.035 64.4580
1.644232 67.733 61.5044
1.656146 67.434 58.3096
1.668147 67.141 54.8542
1.680235 66.856 51.1219
1.692411 66.580 47.1017
1.704675 66.315 42.7911
1.717028 66.063 38.1993
1.729470 65.827 33.3503
1.742003 65.610 28.2848
1.754626 65.413 23.0602
1.767341 65.239 17.7476
1.780147 65.091 12.4257
1.793047 64.971 7.1729
1.806040 64.883 2.0585
1.819128 64.829 -2.8644
1.832310 64.811 -7.5622
1.845587 64.831 -12.0203
1.858961 64.889 -16.2377
1.872432 64.986 -20.2211
1.886001 65.119 -23.9802
1.899667 65.288 -27.5258
1.913433 65.491 -30.8687
1.927299 65.724 -34.0193
1.941265 65.984 -36.9876
1.955332 66.270 -39.7831
1.969501 66.576 -42.4149
1.983773 66.902 -44.8916
1.998148 67.242 -47.2210
2.012627 67.594 -49.4106
2.027212 67.953 -51.4673
2.041902 68.318 -53.3973
2.056698 68.683 -55.2062
2.071602 69.045 -56.8993
2.086614 69.401 -58.4813
2.101734 69.746 -59.9567
2.116964 70.078 -61.3299
2.132304 70.394 -62.6055
2.147756 70.690 -63.7887
2.163320 70.966 -64.8861
2.178996 71.220 -65.9056
2.194786 71.453 -66.8573
2.210690 71.667 -67.7525
2.226710 71.863 -68.6024
2.242845 72.046 -69.4164
2.259098 72.216 -70.2012
2.275468 72.375 -70.9610
2.291957 72.523 -71.6982
2.308566 72.663 -72.4137
2.325295 72.795 -73.1073
2.342145 72.919 -73.7785
2.359117 73.036 -74.4259
2.376212 73.147 -75.0480
2.393431 73.252 -75.6429
2.410775 73.353 -76.2084
2.428244 73.449 -76.7424
2.445840 73.541 -77.2423
2.463564 73.631 -77.7057
2.481416 73.719 -78.1300
2.499397 73.805 -78.5132
2.517509 73.890 -78.8535
2.535752 73.973 -79.1501
2.554127 74.055 -79.4032
2.572635 74.134 -79.6142
2.591277 74.209 -79.7856
2.610055 74.280 -79.9200
2.628968 74.346 -80.0200
2.648019 74.408 -80.0876
2.667208 74.465 -80.1244
2.686535 74.517 -80.1317
2.706003 74.566 -80.1105
2.725612 74.612 -80.0616
2.745363 74.656 -79.9857
2.765257 74.698 -79.8837
2.785295 74.741 -79.7560
2.805478 74.784 -79.6034
2.825808 74.828 -79.4263
2.846285 74.875 -79.2252
2.866910 74.925 -79.0001
2.887685 74.979 -78.7509
2.908611 75.036 -78.4765
2.929688 75.098 -78.1755
2.950917 75.163 -77.8463
2.972301 75.232 -77.4877
2.993839 75.303 -77.0997
3.015534 75.376 -76.6838
3.037386 75.452 -76.2426
3.059396 75.530 -75.7798
3.081565 75.611 -75.2997
3.103896 75.694 -74.8070
3.126388 75.780 -74.3066
3.149043 75.868 -73.8036
3.171862 75.960 -73.3028
3.194847 76.055 -72.8089
3.217998 76.154 -72.3256
3.241317 76.257 -71.8558
3.264805 76.364 -71.4009
3.288463 76.476 -70.9606
3.312293 76.593 -70.5330
3.336295 76.715 -70.1162
3.360471 76.842 -69.7088
3.384822 76.973 -69.3111
3.409350 77.109 -68.9246
3.434056 77.249 -68.5523
3.458940 77.391 -68.1973
3.484005 77.536 -67.8634
3.509252 77.683 -67.5542
3.534681 77.831 -67.2733
3.560295 77.978 -67.0238
3.586094 78.125 -66.8084
3.612081 78.272 -66.6287
3.638255 78.417 -66.4858
3.664620 78.561 -66.3792
3.691175 78.705 -66.3076
3.717923 78.847 -66.2688
3.744864 78.990 -66.2606
3.772001 79.132 -66.2805
3.799335 79.273 -66.3265
3.826866 79.413 -66.3966
3.854597 79.552 -66.4891
3.882529 79.688 -66.6024
3.910664 79.823 -66.7354
3.939002 79.954 -66.8872
3.967546 80.083 -67.0574
3.996296 80.207 -67.2460
4.025255 80.328 -67.4536
4.054423 80.445 -67.6806
4.083804 80.559 -67.9274
4.113396 80.669 -68.1932
4.143204 80.775 -68.4765
4.173227 80.877 -68.7749
4.203468 80.976 -69.0855
4.233928 81.072 -69.4053
4.264609 81.164 -69.7314
4.295512 81.252 -70.0613
4.326639 81.337 -70.3931
4.357992 81.419 -70.7260
4.389572 81.497 -71.0598
4.421380 81.570 -71.3957
4.453419 81.640 -71.7345
4.485691 81.706 -72.0766
4.518196 81.768 -72.4213
4.550936 81.826 -72.7668
4.583914 81.881 -73.1108
4.617131 81.933 -73.4504
4.650589 81.982 -73.7827
4.684289 82.029 -74.1052
4.718233 82.073 -74.4159
4.752424 82.116 -74.7136
4.786862 82.155 -74.9983
4.821549 82.193 -75.2704
4.856488 82.228 -75.5308
4.891680 82.261 -75.7798
4.927127 82.292 -76.0178
4.962831 82.322 -76.2445
4.998794 82.351 -76.4594
5.035017 82.380 -76.6618
5.071503 82.408 -76.8509
5.108253 82.437 -77.0259
5.145270 82.467 -77.1862
5.182555 82.497 -77.3318
5.220110 82.527 -77.4634
5.257937 82.558 -77.5824
5.296038 82.590 -77.6910
5.334415 82.622 -77.7916
5.373071 82.657 -77.8867
5.412006 82.693 -77.9782
5.451224 82.731 -78.0678
5.490725 82.771 -78.1564
5.530514 82.814 -78.2441
5.570590 82.859 -78.3314
5.610957 82.906 -78.4195
5.651616 82.956 -78.5102
5.692570 83.008 -78.6063
5.733821 83.061 -78.7108
5.775370 83.116 -78.8264
5.817221 83.173 -78.9555
5.859375 83.232 -79.0996
5.901834 83.292 -79.2593
5.944602 83.354 -79.4346
5.987679 83.417 -79.6258
6.031068 83.482 -79.8331
6.074771 83.547 -80.0572
6.118792 83.612 -80.2991
6.163131 83.677 -80.5596
6.207792 83.742 -80.8394
6.252776 83.807 -81.1391
6.298086 83.871 -81.4583
6.343725 83.934 -81.7961
6.389694 83.997 -82.1511
6.435996 84.058 -82.5216
6.482634 84.118 -82.9057
6.529610 84.177 -83.3023
6.576926 84.233 -83.7103
6.624585 84.288 -84.1292
6.672590 84.341 -84.5583
6.720942 84.393 -84.9966
