* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 26, 2024 12:11:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NF Audio RA05
* Measurement: L NF Audio RA05
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.614 174.1211
0.368865 94.610 174.1200
0.371538 94.604 174.1182
0.374230 94.596 174.1161
0.376942 94.588 174.1137
0.379673 94.578 174.1111
0.382424 94.569 174.1084
0.385196 94.559 174.1056
0.387987 94.549 174.1027
0.390798 94.539 174.0998
0.393630 94.529 174.0969
0.396483 94.519 174.0939
0.399356 94.508 174.0909
0.402250 94.498 174.0879
0.405165 94.487 174.0848
0.408101 94.477 174.0817
0.411058 94.466 174.0786
0.414037 94.455 174.0754
0.417037 94.444 174.0722
0.420059 94.433 174.0689
0.423103 94.422 174.0656
0.426169 94.411 174.0623
0.429257 94.400 174.0589
0.432368 94.389 174.0555
0.435501 94.378 174.0521
0.438656 94.366 174.0486
0.441835 94.355 174.0450
0.445037 94.343 174.0414
0.448262 94.331 174.0378
0.451510 94.320 174.0340
0.454782 94.308 174.0303
0.458077 94.296 174.0265
0.461397 94.284 174.0226
0.464740 94.272 174.0187
0.468108 94.260 174.0147
0.471500 94.247 174.0107
0.474917 94.235 174.0066
0.478358 94.223 174.0024
0.481825 94.210 173.9982
0.485316 94.197 173.9939
0.488833 94.185 173.9895
0.492375 94.172 173.9850
0.495943 94.159 173.9805
0.499537 94.146 173.9760
0.503157 94.133 173.9713
0.506803 94.120 173.9665
0.510475 94.107 173.9617
0.514175 94.093 173.9568
0.517900 94.080 173.9518
0.521653 94.066 173.9467
0.525434 94.052 173.9415
0.529241 94.039 173.9362
0.533076 94.025 173.9308
0.536939 94.011 173.9254
0.540830 93.997 173.9198
0.544749 93.983 173.9141
0.548696 93.968 173.9083
0.552673 93.954 173.9024
0.556677 93.940 173.8963
0.560711 93.925 173.8902
0.564774 93.910 173.8839
0.568867 93.896 173.8775
0.572989 93.881 173.8710
0.577141 93.866 173.8643
0.581324 93.851 173.8575
0.585536 93.835 173.8506
0.589779 93.820 173.8435
0.594053 93.804 173.8363
0.598358 93.789 173.8289
0.602694 93.773 173.8213
0.607061 93.757 173.8136
0.611460 93.742 173.8057
0.615891 93.726 173.7977
0.620354 93.709 173.7894
0.624849 93.693 173.7810
0.629377 93.677 173.7724
0.633938 93.660 173.7637
0.638532 93.644 173.7547
0.643159 93.627 173.7455
0.647819 93.610 173.7361
0.652514 93.593 173.7265
0.657242 93.576 173.7166
0.662005 93.559 173.7066
0.666802 93.542 173.6963
0.671634 93.524 173.6858
0.676501 93.507 173.6750
0.681403 93.489 173.6641
0.686341 93.471 173.6529
0.691314 93.453 173.6416
0.696324 93.435 173.6303
0.701370 93.417 173.6192
0.706452 93.398 173.6086
0.711571 93.380 173.5991
0.716728 93.361 173.5918
0.721921 93.342 173.5881
0.727153 93.322 173.5897
0.732422 93.302 173.5984
0.737729 93.282 173.6152
0.743075 93.261 173.6399
0.748460 93.239 173.6712
0.753883 93.217 173.7077
0.759346 93.195 173.7484
0.764849 93.172 173.7924
0.770391 93.148 173.8394
0.775974 93.124 173.8889
0.781597 93.100 173.9409
0.787261 93.075 173.9954
0.792966 93.050 174.0522
0.798712 93.025 174.1115
0.804500 92.999 174.1733
0.810329 92.972 174.2376
0.816201 92.945 174.3046
0.822116 92.918 174.3741
0.828073 92.891 174.4464
0.834074 92.863 174.5214
0.840118 92.835 174.5992
0.846206 92.807 174.6800
0.852338 92.778 174.7637
0.858514 92.749 174.8504
0.864735 92.720 174.9402
0.871001 92.691 175.0332
0.877313 92.661 175.1294
0.883670 92.631 175.2289
0.890074 92.601 175.3317
0.896524 92.571 175.4380
0.903020 92.541 175.5478
0.909564 92.510 175.6611
0.916155 92.480 175.7781
0.922794 92.450 175.8988
0.929481 92.419 176.0233
0.936216 92.389 176.1516
0.943000 92.358 176.2838
0.949834 92.328 176.4200
0.956717 92.298 176.5602
0.963649 92.268 176.7046
0.970632 92.238 176.8531
0.977666 92.208 177.0058
0.984750 92.179 177.1628
0.991886 92.150 177.3241
0.999074 92.121 177.4898
1.006314 92.093 177.6599
1.013606 92.065 177.8345
1.020951 92.038 178.0136
1.028349 92.011 178.1972
1.035801 91.984 178.3854
1.043307 91.959 178.5782
1.050867 91.934 178.7756
1.058482 91.910 178.9777
1.066152 91.886 179.1845
1.073878 91.863 179.3963
1.081660 91.841 179.6132
1.089498 91.820 179.8357
1.097393 91.800 -179.9359
1.105345 91.780 -179.7008
1.113355 91.762 -179.4585
1.121423 91.743 -179.2084
1.129549 91.725 -178.9503
1.137734 91.708 -178.6838
1.145979 91.691 -178.4089
1.154283 91.675 -178.1258
1.162647 91.659 -177.8344
1.171072 91.644 -177.5351
1.179558 91.629 -177.2278
1.188106 91.615 -176.9130
1.196715 91.602 -176.5908
1.205387 91.589 -176.2615
1.214122 91.576 -175.9255
1.222920 91.564 -175.5829
1.231782 91.553 -175.2343
1.240708 91.543 -174.8800
1.249699 91.533 -174.5203
1.258754 91.524 -174.1556
1.267876 91.516 -173.7865
1.277063 91.508 -173.4133
1.286318 91.502 -173.0366
1.295639 91.496 -172.6568
1.305027 91.491 -172.2744
1.314484 91.486 -171.8901
1.324009 91.483 -171.5044
1.333604 91.481 -171.1179
1.343268 91.479 -170.7311
1.353002 91.479 -170.3448
1.362806 91.479 -169.9595
1.372681 91.481 -169.5760
1.382628 91.483 -169.1949
1.392647 91.487 -168.8168
1.402739 91.492 -168.4424
1.412904 91.498 -168.0723
1.423142 91.505 -167.7071
1.433455 91.513 -167.3471
1.443843 91.523 -166.9926
1.454305 91.535 -166.6433
1.464844 91.548 -166.2990
1.475459 91.562 -165.9589
1.486150 91.579 -165.6222
1.496920 91.598 -165.2886
1.507767 91.619 -164.9575
1.518693 91.642 -164.6291
1.529698 91.666 -164.3033
1.540783 91.693 -163.9804
1.551948 91.722 -163.6608
1.563194 91.753 -163.3447
1.574521 91.785 -163.0326
1.585931 91.820 -162.7249
1.597423 91.855 -162.4218
1.608999 91.893 -162.1239
1.620658 91.931 -161.8315
1.632402 91.971 -161.5450
1.644232 92.012 -161.2647
1.656146 92.054 -160.9910
1.668147 92.097 -160.7243
1.680235 92.141 -160.4650
1.692411 92.185 -160.2133
1.704675 92.230 -159.9696
1.717028 92.276 -159.7342
1.729470 92.321 -159.5076
1.742003 92.366 -159.2899
1.754626 92.412 -159.0815
1.767341 92.457 -158.8828
1.780147 92.501 -158.6940
1.793047 92.545 -158.5154
1.806040 92.589 -158.3474
1.819128 92.632 -158.1900
1.832310 92.675 -158.0436
1.845587 92.718 -157.9082
1.858961 92.762 -157.7839
1.872432 92.805 -157.6708
1.886001 92.849 -157.5686
1.899667 92.894 -157.4773
1.913433 92.939 -157.3967
1.927299 92.985 -157.3264
1.941265 93.032 -157.2662
1.955332 93.078 -157.2159
1.969501 93.125 -157.1751
1.983773 93.172 -157.1435
1.998148 93.220 -157.1208
2.012627 93.267 -157.1067
2.027212 93.313 -157.1007
2.041902 93.360 -157.1027
2.056698 93.406 -157.1121
2.071602 93.451 -157.1286
2.086614 93.496 -157.1520
2.101734 93.540 -157.1820
2.116964 93.582 -157.2182
2.132304 93.624 -157.2605
2.147756 93.664 -157.3089
2.163320 93.702 -157.3636
2.178996 93.740 -157.4252
2.194786 93.775 -157.4943
2.210690 93.810 -157.5721
2.226710 93.843 -157.6595
2.242845 93.874 -157.7571
2.259098 93.905 -157.8654
2.275468 93.934 -157.9840
2.291957 93.962 -158.1127
2.308566 93.989 -158.2508
2.325295 94.015 -158.3974
2.342145 94.039 -158.5518
2.359117 94.063 -158.7129
2.376212 94.085 -158.8798
2.393431 94.106 -159.0515
2.410775 94.125 -159.2269
2.428244 94.143 -159.4048
2.445840 94.160 -159.5845
2.463564 94.175 -159.7646
2.481416 94.188 -159.9445
2.499397 94.201 -160.1232
2.517509 94.211 -160.3004
2.535752 94.220 -160.4760
2.554127 94.228 -160.6506
2.572635 94.233 -160.8253
2.591277 94.236 -161.0013
2.610055 94.238 -161.1798
2.628968 94.237 -161.3616
2.648019 94.235 -161.5469
2.667208 94.230 -161.7354
2.686535 94.224 -161.9265
2.706003 94.215 -162.1195
2.725612 94.205 -162.3133
2.745363 94.193 -162.5068
2.765257 94.180 -162.6988
2.785295 94.165 -162.8879
2.805478 94.149 -163.0728
2.825808 94.131 -163.2520
2.846285 94.112 -163.4243
2.866910 94.092 -163.5884
2.887685 94.071 -163.7434
2.908611 94.048 -163.8885
2.929688 94.024 -164.0236
2.950917 93.998 -164.1489
2.972301 93.971 -164.2650
2.993839 93.942 -164.3724
3.015534 93.911 -164.4713
3.037386 93.878 -164.5619
3.059396 93.843 -164.6441
3.081565 93.807 -164.7179
3.103896 93.770 -164.7829
3.126388 93.732 -164.8387
3.149043 93.694 -164.8851
3.171862 93.655 -164.9214
3.194847 93.616 -164.9470
3.217998 93.577 -164.9615
3.241317 93.539 -164.9639
3.264805 93.501 -164.9534
3.288463 93.463 -164.9289
3.312293 93.426 -164.8895
3.336295 93.389 -164.8344
3.360471 93.352 -164.7631
3.384822 93.315 -164.6756
3.409350 93.279 -164.5727
3.434056 93.242 -164.4553
3.458940 93.206 -164.3246
3.484005 93.171 -164.1822
3.509252 93.137 -164.0296
3.534681 93.104 -163.8686
3.560295 93.073 -163.7007
3.586094 93.044 -163.5272
3.612081 93.017 -163.3491
3.638255 92.993 -163.1667
3.664620 92.972 -162.9795
3.691175 92.953 -162.7866
3.717923 92.937 -162.5873
3.744864 92.924 -162.3815
3.772001 92.913 -162.1699
3.799335 92.904 -161.9542
3.826866 92.898 -161.7365
3.854597 92.894 -161.5195
3.882529 92.892 -161.3060
3.910664 92.892 -161.0990
3.939002 92.893 -160.9011
3.967546 92.897 -160.7147
3.996296 92.903 -160.5415
4.025255 92.911 -160.3825
4.054423 92.920 -160.2377
4.083804 92.933 -160.1069
4.113396 92.947 -159.9896
4.143204 92.964 -159.8859
4.173227 92.982 -159.7959
4.203468 93.002 -159.7202
4.233928 93.023 -159.6593
4.264609 93.044 -159.6142
4.295512 93.065 -159.5857
4.326639 93.087 -159.5748
4.357992 93.107 -159.5825
4.389572 93.127 -159.6097
4.421380 93.147 -159.6570
4.453419 93.166 -159.7247
4.485691 93.184 -159.8123
4.518196 93.202 -159.9186
4.550936 93.219 -160.0421
4.583914 93.235 -160.1810
4.617131 93.250 -160.3334
4.650589 93.263 -160.4975
4.684289 93.274 -160.6719
4.718233 93.284 -160.8559
4.752424 93.291 -161.0492
4.786862 93.295 -161.2524
4.821549 93.297 -161.4659
4.856488 93.296 -161.6897
4.891680 93.294 -161.9225
4.927127 93.289 -162.1624
4.962831 93.282 -162.4070
4.998794 93.272 -162.6532
5.035017 93.261 -162.8984
5.071503 93.247 -163.1401
5.108253 93.232 -163.3770
5.145270 93.214 -163.6083
5.182555 93.194 -163.8339
5.220110 93.172 -164.0540
5.257937 93.148 -164.2684
5.296038 93.122 -164.4761
5.334415 93.095 -164.6760
5.373071 93.067 -164.8664
5.412006 93.039 -165.0456
5.451224 93.010 -165.2120
5.490725 92.981 -165.3643
5.530514 92.953 -165.5017
5.570590 92.924 -165.6241
5.610957 92.896 -165.7321
5.651616 92.868 -165.8266
5.692570 92.841 -165.9090
5.733821 92.815 -165.9805
5.775370 92.791 -166.0424
5.817221 92.769 -166.0954
5.859375 92.750 -166.1399
5.901834 92.734 -166.1759
5.944602 92.720 -166.2041
5.987679 92.709 -166.2258
6.031068 92.701 -166.2433
6.074771 92.696 -166.2596
6.118792 92.693 -166.2777
6.163131 92.693 -166.3007
6.207792 92.697 -166.3307
6.252776 92.703 -166.3690
6.298086 92.712 -166.4165
6.343725 92.725 -166.4738
6.389694 92.739 -166.5421
6.435996 92.756 -166.6227
6.482634 92.775 -166.7175
6.529610 92.795 -166.8281
