* Measurement data measured by REW V5.30 beta 4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2023 12:27:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ORIOLUS SZALAYI
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.238 68.1656
0.368865 59.276 67.9086
0.371538 59.331 67.5350
0.374230 59.393 67.1080
0.376942 59.458 66.6560
0.379673 59.523 66.1896
0.382424 59.590 65.7122
0.385196 59.657 65.2249
0.387987 59.724 64.7281
0.390798 59.792 64.2223
0.393630 59.861 63.7076
0.396483 59.930 63.1841
0.399356 59.999 62.6522
0.402250 60.069 62.1122
0.405165 60.139 61.5641
0.408101 60.210 61.0085
0.411058 60.282 60.4455
0.414037 60.354 59.8754
0.417037 60.427 59.2985
0.420059 60.500 58.7151
0.423103 60.573 58.1257
0.426169 60.647 57.5304
0.429257 60.722 56.9297
0.432367 60.797 56.3239
0.435501 60.873 55.7132
0.438656 60.949 55.0982
0.441835 61.026 54.4791
0.445037 61.103 53.8562
0.448262 61.181 53.2300
0.451510 61.260 52.6008
0.454782 61.339 51.9689
0.458077 61.419 51.3347
0.461397 61.499 50.6985
0.464740 61.580 50.0607
0.468108 61.661 49.4216
0.471500 61.743 48.7814
0.474917 61.826 48.1407
0.478358 61.909 47.4995
0.481825 61.993 46.8583
0.485316 62.077 46.2173
0.488833 62.162 45.5768
0.492375 62.248 44.9370
0.495943 62.334 44.2982
0.499537 62.421 43.6607
0.503157 62.509 43.0247
0.506803 62.597 42.3903
0.510475 62.685 41.7578
0.514174 62.775 41.1274
0.517900 62.865 40.4992
0.521653 62.956 39.8733
0.525433 63.047 39.2500
0.529241 63.139 38.6293
0.533076 63.232 38.0113
0.536939 63.325 37.3962
0.540830 63.419 36.7840
0.544749 63.514 36.1748
0.548696 63.610 35.5686
0.552673 63.706 34.9655
0.556677 63.803 34.3655
0.560711 63.900 33.7686
0.564774 63.998 33.1747
0.568867 64.097 32.5840
0.572989 64.197 31.9963
0.577141 64.297 31.4117
0.581324 64.398 30.8300
0.585536 64.500 30.2512
0.589779 64.603 29.6752
0.594053 64.706 29.1019
0.598358 64.810 28.5313
0.602694 64.915 27.9633
0.607061 65.021 27.3976
0.611460 65.127 26.8343
0.615891 65.234 26.2731
0.620354 65.342 25.7139
0.624849 65.451 25.1567
0.629377 65.560 24.6011
0.633938 65.671 24.0470
0.638532 65.782 23.4943
0.643159 65.894 22.9428
0.647819 66.006 22.3923
0.652514 66.120 21.8426
0.657242 66.234 21.2935
0.662005 66.349 20.7447
0.666802 66.465 20.1961
0.671634 66.582 19.6475
0.676501 66.700 19.0985
0.681403 66.818 18.5490
0.686341 66.938 17.9987
0.691314 67.058 17.4473
0.696324 67.179 16.8947
0.701369 67.301 16.3405
0.706452 67.424 15.7844
0.711571 67.548 15.2263
0.716727 67.672 14.6658
0.721921 67.797 14.1027
0.727153 67.920 13.5370
0.732422 68.041 12.9688
0.737729 68.157 12.3989
0.743075 68.269 11.8284
0.748460 68.380 11.2579
0.753883 68.491 10.6879
0.759346 68.602 10.1189
0.764849 68.713 9.5510
0.770391 68.824 8.9846
0.775974 68.935 8.4200
0.781597 69.047 7.8573
0.787261 69.158 7.2969
0.792965 69.270 6.7387
0.798712 69.382 6.1831
0.804499 69.494 5.6302
0.810329 69.606 5.0801
0.816201 69.719 4.5330
0.822116 69.831 3.9889
0.828073 69.944 3.4478
0.834073 70.057 2.9100
0.840118 70.170 2.3753
0.846205 70.283 1.8439
0.852337 70.396 1.3157
0.858514 70.509 0.7908
0.864735 70.622 0.2691
0.871001 70.736 -0.2495
0.877313 70.850 -0.7649
0.883670 70.963 -1.2772
0.890074 71.077 -1.7866
0.896523 71.191 -2.2930
0.903020 71.305 -2.7966
0.909564 71.419 -3.2976
0.916155 71.533 -3.7960
0.922793 71.647 -4.2919
0.929480 71.761 -4.7856
0.936216 71.876 -5.2771
0.943000 71.990 -5.7667
0.949833 72.104 -6.2545
0.956716 72.219 -6.7406
0.963649 72.334 -7.2254
0.970632 72.448 -7.7089
0.977666 72.563 -8.1915
0.984750 72.677 -8.6733
0.991886 72.792 -9.1545
0.999074 72.907 -9.6354
1.006313 73.021 -10.1162
1.013605 73.136 -10.5973
1.020950 73.251 -11.0788
1.028349 73.366 -11.5610
1.035801 73.481 -12.0443
1.043306 73.595 -12.5288
1.050867 73.710 -13.0150
1.058482 73.825 -13.5030
1.066152 73.940 -13.9934
1.073878 74.055 -14.4863
1.081659 74.170 -14.9821
1.089498 74.284 -15.4813
1.097393 74.399 -15.9844
1.105345 74.513 -16.4920
1.113355 74.627 -17.0043
1.121422 74.741 -17.5214
1.129549 74.854 -18.0430
1.137734 74.966 -18.5689
1.145978 75.078 -19.0986
1.154283 75.189 -19.6317
1.162647 75.300 -20.1680
1.171072 75.410 -20.7069
1.179558 75.520 -21.2483
1.188106 75.629 -21.7918
1.196715 75.738 -22.3370
1.205387 75.846 -22.8837
1.214122 75.954 -23.4315
1.222920 76.062 -23.9801
1.231781 76.168 -24.5293
1.240708 76.275 -25.0787
1.249698 76.381 -25.6282
1.258754 76.486 -26.1775
1.267875 76.591 -26.7263
1.277063 76.696 -27.2745
1.286317 76.801 -27.8218
1.295638 76.905 -28.3680
1.305027 77.009 -28.9130
1.314484 77.112 -29.4566
1.324009 77.215 -29.9985
1.333603 77.319 -30.5388
1.343267 77.421 -31.0772
1.353001 77.524 -31.6136
1.362805 77.627 -32.1480
1.372681 77.729 -32.6801
1.382628 77.831 -33.2100
1.392647 77.934 -33.7376
1.402739 78.036 -34.2628
1.412904 78.138 -34.7855
1.423142 78.241 -35.3058
1.433455 78.343 -35.8236
1.443842 78.446 -36.3391
1.454305 78.549 -36.8526
1.464843 78.652 -37.3648
1.475458 78.754 -37.8772
1.486150 78.856 -38.3909
1.496919 78.958 -38.9067
1.507766 79.059 -39.4245
1.518692 79.159 -39.9443
1.529697 79.259 -40.4659
1.540782 79.358 -40.9891
1.551947 79.456 -41.5138
1.563193 79.554 -42.0397
1.574521 79.651 -42.5668
1.585931 79.747 -43.0949
1.597423 79.843 -43.6238
1.608998 79.938 -44.1535
1.620658 80.033 -44.6837
1.632402 80.127 -45.2144
1.644231 80.221 -45.7455
1.656146 80.314 -46.2768
1.668147 80.406 -46.8084
1.680235 80.499 -47.3401
1.692410 80.590 -47.8719
1.704674 80.682 -48.4038
1.717027 80.773 -48.9356
1.729469 80.864 -49.4674
1.742002 80.954 -49.9992
1.754625 81.044 -50.5310
1.767340 81.134 -51.0627
1.780147 81.224 -51.5945
1.793046 81.314 -52.1264
1.806040 81.404 -52.6585
1.819127 81.493 -53.1915
1.832309 81.582 -53.7264
1.845587 81.671 -54.2649
1.858961 81.759 -54.8084
1.872431 81.847 -55.3574
1.886000 81.933 -55.9117
1.899666 82.019 -56.4708
1.913432 82.104 -57.0344
1.927298 82.188 -57.6019
1.941264 82.272 -58.1727
1.955331 82.355 -58.7463
1.969500 82.437 -59.3222
1.983772 82.518 -59.8998
1.998147 82.599 -60.4788
2.012626 82.679 -61.0585
2.027211 82.758 -61.6385
2.041901 82.837 -62.2183
2.056697 82.915 -62.7975
2.071601 82.993 -63.3756
2.086613 83.071 -63.9522
2.101733 83.147 -64.5267
2.116963 83.224 -65.0989
2.132303 83.300 -65.6683
2.147755 83.375 -66.2345
2.163318 83.451 -66.7974
2.178995 83.526 -67.3572
2.194785 83.601 -67.9148
2.210689 83.675 -68.4724
2.226709 83.748 -69.0326
2.242844 83.821 -69.5964
2.259097 83.892 -70.1642
2.275467 83.963 -70.7355
2.291956 84.033 -71.3100
2.308565 84.102 -71.8871
2.325294 84.170 -72.4663
2.342144 84.237 -73.0469
2.359116 84.304 -73.6284
2.376211 84.369 -74.2103
2.393430 84.434 -74.7919
2.410774 84.499 -75.3726
2.428243 84.563 -75.9518
2.445839 84.626 -76.5289
2.463562 84.689 -77.1033
2.481415 84.751 -77.6745
2.499396 84.812 -78.2417
2.517508 84.874 -78.8045
2.535750 84.935 -79.3626
2.554126 84.995 -79.9165
2.572634 85.055 -80.4675
2.591276 85.114 -81.0181
2.610054 85.172 -81.5699
2.628967 85.230 -82.1236
2.648018 85.286 -82.6789
2.667206 85.341 -83.2355
2.686534 85.396 -83.7932
2.706002 85.450 -84.3513
2.725610 85.503 -84.9093
2.745361 85.555 -85.4668
2.765255 85.606 -86.0232
2.785294 85.657 -86.5778
2.805477 85.707 -87.1301
2.825807 85.757 -87.6795
2.846284 85.806 -88.2253
2.866909 85.855 -88.7669
2.887684 85.904 -89.3037
2.908609 85.952 -89.8356
2.929686 86.000 -90.3630
2.950916 86.047 -90.8875
2.972299 86.093 -91.4107
2.993838 86.139 -91.9334
3.015532 86.184 -92.4558
3.037384 86.228 -92.9778
3.059394 86.271 -93.4990
3.081564 86.313 -94.0191
3.103894 86.355 -94.5376
3.126386 86.396 -95.0542
3.149041 86.437 -95.5684
3.171861 86.477 -96.0797
3.194845 86.517 -96.5875
3.217996 86.557 -97.0913
3.241315 86.596 -97.5906
3.264803 86.636 -98.0850
3.288461 86.675 -98.5742
3.312291 86.713 -99.0588
3.336293 86.752 -99.5398
3.360469 86.789 -100.0178
3.384820 86.826 -100.4931
3.409348 86.863 -100.9658
3.434054 86.899 -101.4361
3.458938 86.935 -101.9039
3.484003 86.970 -102.3693
3.509250 87.005 -102.8321
3.534679 87.039 -103.2922
3.560293 87.074 -103.7497
3.586092 87.108 -104.2043
3.612079 87.142 -104.6558
3.638253 87.176 -105.1043
3.664618 87.211 -105.5495
3.691173 87.245 -105.9916
3.717921 87.279 -106.4306
3.744862 87.312 -106.8667
3.771999 87.346 -107.3001
3.799332 87.379 -107.7311
3.826864 87.412 -108.1597
3.854595 87.445 -108.5862
3.882527 87.477 -109.0106
3.910661 87.510 -109.4332
3.938999 87.542 -109.8541
3.967543 87.575 -110.2734
3.996294 87.607 -110.6911
4.025252 87.640 -111.1073
4.054421 87.672 -111.5216
4.083801 87.705 -111.9340
4.113394 87.737 -112.3444
4.143201 87.769 -112.7531
4.173225 87.802 -113.1602
4.203466 87.834 -113.5658
4.233926 87.866 -113.9703
4.264606 87.898 -114.3739
4.295509 87.929 -114.7769
4.326636 87.961 -115.1794
4.357989 87.993 -115.5816
4.389569 88.024 -115.9838
4.421378 88.055 -116.3859
4.453417 88.087 -116.7878
4.485688 88.118 -117.1896
4.518193 88.149 -117.5910
4.550934 88.180 -117.9921
4.583912 88.210 -118.3928
4.617129 88.241 -118.7931
4.650587 88.271 -119.1929
4.684287 88.301 -119.5922
4.718231 88.330 -119.9911
4.752421 88.360 -120.3897
4.786859 88.389 -120.7882
4.821547 88.417 -121.1869
4.856485 88.446 -121.5857
4.891677 88.474 -121.9847
4.927125 88.502 -122.3835
4.962829 88.529 -122.7818
4.998791 88.556 -123.1793
5.035015 88.583 -123.5757
5.071500 88.609 -123.9709
5.108251 88.635 -124.3646
5.145267 88.661 -124.7570
5.182552 88.686 -125.1486
5.220107 88.711 -125.5395
5.257934 88.736 -125.9298
5.296035 88.760 -126.3192
5.334412 88.783 -126.7073
5.373067 88.807 -127.0938
5.412003 88.830 -127.4785
5.451221 88.853 -127.8609
5.490722 88.875 -128.2410
5.530510 88.897 -128.6189
5.570587 88.919 -128.9947
5.610953 88.941 -129.3687
5.651613 88.962 -129.7408
5.692567 88.983 -130.1112
5.733818 89.004 -130.4796
5.775367 89.025 -130.8461
5.817218 89.046 -131.2105
5.859372 89.066 -131.5727
5.901831 89.087 -131.9325
5.944598 89.107 -132.2899
5.987675 89.128 -132.6452
6.031065 89.148 -132.9985
6.074768 89.168 -133.3503
6.118788 89.188 -133.7008
6.163127 89.209 -134.0503
6.207788 89.229 -134.3989
6.252772 89.250 -134.7466
6.298082 89.270 -135.0931
6.343721 89.291 -135.4383
6.389690 89.311 -135.7826
6.435992 89.332 -136.1262
6.482630 89.352 -136.4696
