* Measurement data measured by REW V5.20.4
* Source: P:\Reviews\Squig\site\data\pw_03.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 1, 2022 11:40:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from P:\Reviews\Squig\site\data\pw_03.txt Format: Comma/Tab/Space delimited data 28 values loaded, 20 Hz to 20,000 Hz
* Measurement: pw_03
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.964
20.299999	69.957
20.600000	69.933
20.900000	69.903
21.200001	69.871
21.400000	69.849
21.799999	69.806
22.000000	69.785
22.400000	69.742
22.700001	69.710
23.000000	69.678
23.299999	69.646
23.600000	69.615
24.000000	69.573
24.299999	69.542
24.700001	69.501
25.000000	69.470
25.400000	69.429
25.799999	69.389
26.200001	69.349
26.500000	69.320
26.900000	69.281
27.200001	69.252
27.600000	69.215
28.000000	69.177
28.500000	69.132
29.000000	69.088
29.500000	69.047
30.000000	69.011
30.400000	68.986
30.700001	68.970
31.100000	68.950
31.500000	68.931
32.000000	68.909
32.500000	68.887
33.000000	68.866
33.500000	68.845
34.000000	68.824
34.500000	68.802
35.000000	68.780
35.500000	68.758
36.000000	68.735
36.500000	68.710
37.000000	68.685
37.500000	68.658
38.200001	68.617
38.700001	68.585
39.500000	68.526
40.000000	68.483
40.599998	68.423
41.200001	68.356
41.799999	68.283
42.500000	68.192
43.099998	68.111
43.700001	68.027
44.400002	67.926
45.000000	67.836
45.500000	67.759
46.200001	67.649
46.799999	67.552
47.500000	67.436
48.200001	67.316
48.700001	67.229
49.400002	67.103
50.000000	66.990
50.799999	66.833
51.500000	66.691
52.200001	66.546
53.000000	66.381
53.799999	66.216
54.500000	66.075
55.200001	65.936
56.000000	65.782
57.000000	65.598
58.000000	65.427
59.000000	65.274
60.000000	65.146
60.799999	65.063
61.500000	65.002
62.200001	64.948
63.000000	64.892
64.000000	64.827
65.000000	64.766
66.000000	64.707
67.000000	64.652
68.000000	64.598
69.000000	64.546
70.000000	64.496
71.000000	64.446
72.000000	64.398
73.000000	64.350
74.000000	64.302
75.000000	64.253
76.199997	64.194
77.500000	64.126
78.800003	64.049
80.000000	63.965
81.199997	63.865
82.500000	63.742
83.800003	63.610
85.000000	63.484
86.199997	63.358
87.500000	63.220
88.500000	63.114
90.000000	62.956
91.199997	62.831
92.500000	62.698
93.800003	62.568
95.000000	62.452
96.199997	62.340
97.500000	62.225
98.800003	62.118
100.000000	62.028
101.500000	61.927
103.000000	61.835
104.400002	61.755
106.000000	61.667
107.500000	61.587
109.000000	61.509
110.599998	61.427
112.000000	61.356
113.800003	61.268
115.000000	61.211
117.199997	61.108
118.000000	61.071
120.599998	60.956
122.000000	60.896
124.099998	60.808
125.000000	60.772
126.500000	60.712
128.000000	60.654
131.500000	60.526
132.000000	60.509
134.000000	60.440
136.000000	60.375
138.000000	60.313
140.000000	60.254
143.000000	60.171
145.000000	60.120
147.500000	60.063
150.000000	60.015
152.500000	59.978
155.000000	59.949
157.500000	59.926
160.000000	59.908
162.500000	59.895
165.000000	59.885
167.500000	59.879
170.000000	59.876
172.500000	59.876
175.000000	59.878
177.500000	59.884
180.000000	59.891
182.500000	59.900
185.000000	59.911
187.500000	59.924
190.000000	59.938
192.500000	59.952
195.000000	59.966
197.500000	59.978
200.000000	59.988
203.000000	59.995
206.000000	59.998
209.000000	60.000
212.000000	60.000
214.000000	60.000
218.000000	60.000
220.000000	60.000
224.000000	60.000
227.000000	60.000
230.000000	60.000
233.000000	60.000
236.000000	60.000
240.000000	60.000
243.000000	60.000
247.000000	60.000
250.000000	60.000
254.000000	60.000
258.000000	60.000
262.000000	60.000
265.000000	60.000
269.000000	60.000
272.000000	60.000
276.000000	60.000
280.000000	60.000
285.000000	60.000
290.000000	60.000
295.000000	60.000
300.000000	60.000
304.000000	60.000
307.000000	60.000
311.000000	60.000
315.000000	60.000
320.000000	60.000
325.000000	60.000
330.000000	60.000
335.000000	60.000
340.000000	60.000
345.000000	60.000
350.000000	60.000
355.000000	60.000
360.000000	60.000
365.000000	60.000
370.000000	60.000
375.000000	60.000
382.000000	60.000
387.000000	60.000
395.000000	60.000
400.000000	60.000
406.000000	60.000
412.000000	60.000
418.000000	60.000
425.000000	60.000
431.000000	60.000
437.000000	60.000
444.000000	60.000
450.000000	60.000
455.000000	60.000
462.000000	60.000
468.000000	60.000
475.000000	60.000
482.000000	60.000
487.000000	60.000
494.000000	60.000
500.000000	60.000
508.000000	59.999
515.000000	59.998
522.000000	59.998
530.000000	59.997
538.000000	59.997
545.000000	59.996
552.000000	59.996
560.000000	59.996
570.000000	59.996
580.000000	59.997
590.000000	59.998
600.000000	59.998
608.000000	59.997
615.000000	59.996
622.000000	59.995
630.000000	59.993
640.000000	59.992
650.000000	59.991
660.000000	59.990
670.000000	59.991
680.000000	59.992
690.000000	59.994
700.000000	59.997
710.000000	60.002
720.000000	60.007
730.000000	60.014
740.000000	60.022
750.000000	60.031
762.000000	60.045
775.000000	60.062
788.000000	60.084
800.000000	60.107
812.000000	60.135
825.000000	60.170
838.000000	60.208
850.000000	60.248
862.000000	60.290
875.000000	60.339
885.000000	60.380
900.000000	60.444
912.000000	60.500
925.000000	60.564
938.000000	60.632
950.000000	60.698
962.000000	60.768
975.000000	60.848
988.000000	60.933
1000.000000	61.016
1015.000000	61.126
1030.000000	61.240
1044.000000	61.348
1060.000000	61.474
1075.000000	61.593
1090.000000	61.712
1106.000000	61.840
1120.000000	61.952
1138.000000	62.097
1150.000000	62.194
1172.000000	62.373
1180.000000	62.438
1206.000000	62.650
1220.000000	62.764
1241.000000	62.935
1250.000000	63.009
1265.000000	63.132
1280.000000	63.254
1315.000000	63.539
1320.000000	63.580
1340.000000	63.742
1360.000000	63.904
1380.000000	64.065
1400.000000	64.225
1430.000000	64.463
1450.000000	64.620
1475.000000	64.813
1500.000000	64.999
1525.000000	65.178
1550.000000	65.351
1575.000000	65.520
1600.000000	65.687
1625.000000	65.850
1650.000000	66.012
1675.000000	66.170
1700.000000	66.326
1725.000000	66.480
1750.000000	66.631
1775.000000	66.780
1800.000000	66.926
1825.000000	67.070
1850.000000	67.211
1875.000000	67.349
1900.000000	67.486
1925.000000	67.620
1950.000000	67.752
1975.000000	67.884
2000.000000	68.017
2030.000000	68.178
2060.000000	68.338
2090.000000	68.496
2120.000000	68.649
2140.000000	68.749
2180.000000	68.940
2200.000000	69.031
2240.000000	69.205
2270.000000	69.328
2300.000000	69.442
2330.000000	69.549
2360.000000	69.647
2400.000000	69.762
2430.000000	69.835
2470.000000	69.909
2500.000000	69.940
2540.000000	69.948
2580.000000	69.925
2620.000000	69.879
2650.000000	69.834
2690.000000	69.763
2720.000000	69.702
2760.000000	69.615
2800.000000	69.520
2850.000000	69.395
2900.000000	69.267
2950.000000	69.144
3000.000000	69.035
3040.000000	68.961
3070.000000	68.913
3110.000000	68.856
3150.000000	68.802
3200.000000	68.738
3250.000000	68.677
3300.000000	68.617
3350.000000	68.559
3400.000000	68.504
3450.000000	68.450
3500.000000	68.398
