* Measurement data measured by REW V5.30.4
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 14, 2024 12:45:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ROSE TECHNICS Ceramics Rock Hifi
* Measurement: ROSE TECHNICS Ceramics H
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.757 -172.7555
0.368865 71.785 -172.8334
0.371538 71.827 -172.9485
0.374230 71.878 -173.0903
0.376942 71.936 -173.2499
0.379673 71.997 -173.4207
0.382424 72.062 -173.5984
0.385196 72.127 -173.7802
0.387987 72.194 -173.9648
0.390798 72.262 -174.1512
0.393630 72.331 -174.3389
0.396483 72.400 -174.5276
0.399356 72.469 -174.7172
0.402250 72.540 -174.9077
0.405165 72.610 -175.0989
0.408101 72.681 -175.2908
0.411058 72.753 -175.4834
0.414037 72.825 -175.6766
0.417037 72.898 -175.8704
0.420059 72.971 -176.0648
0.423103 73.045 -176.2597
0.426169 73.119 -176.4552
0.429257 73.194 -176.6512
0.432367 73.269 -176.8477
0.435501 73.345 -177.0446
0.438656 73.422 -177.2421
0.441835 73.499 -177.4399
0.445037 73.576 -177.6382
0.448262 73.655 -177.8369
0.451510 73.733 -178.0360
0.454782 73.813 -178.2355
0.458077 73.893 -178.4354
0.461397 73.973 -178.6357
0.464740 74.054 -178.8364
0.468108 74.136 -179.0374
0.471500 74.218 -179.2388
0.474917 74.301 -179.4407
0.478358 74.384 -179.6429
0.481825 74.468 -179.8455
0.485316 74.553 179.9515
0.488833 74.638 179.7480
0.492375 74.724 179.5441
0.495943 74.810 179.3398
0.499537 74.897 179.1350
0.503157 74.985 178.9297
0.506803 75.074 178.7239
0.510475 75.163 178.5175
0.514174 75.252 178.3106
0.517900 75.343 178.1031
0.521653 75.434 177.8950
0.525433 75.525 177.6862
0.529241 75.617 177.4767
0.533076 75.710 177.2665
0.536939 75.804 177.0556
0.540830 75.898 176.8438
0.544749 75.993 176.6312
0.548696 76.089 176.4177
0.552673 76.186 176.2032
0.556677 76.283 175.9877
0.560711 76.380 175.7712
0.564774 76.479 175.5536
0.568867 76.578 175.3349
0.572989 76.678 175.1149
0.577141 76.779 174.8937
0.581324 76.880 174.6711
0.585536 76.982 174.4471
0.589779 77.085 174.2217
0.594053 77.189 173.9948
0.598358 77.293 173.7661
0.602694 77.398 173.5359
0.607061 77.504 173.3039
0.611460 77.611 173.0700
0.615891 77.718 172.8342
0.620354 77.826 172.5965
0.624849 77.935 172.3566
0.629377 78.045 172.1146
0.633938 78.156 171.8704
0.638532 78.267 171.6237
0.643159 78.379 171.3746
0.647819 78.492 171.1230
0.652514 78.606 170.8688
0.657242 78.721 170.6118
0.662005 78.836 170.3519
0.666802 78.953 170.0891
0.671634 79.070 169.8232
0.676501 79.188 169.5542
0.681403 79.307 169.2818
0.686341 79.426 169.0060
0.691314 79.547 168.7267
0.696324 79.668 168.4438
0.701369 79.790 168.1571
0.706452 79.912 167.8666
0.711571 80.034 167.5723
0.716727 80.156 167.2740
0.721921 80.277 166.9720
0.727153 80.396 166.6665
0.732422 80.512 166.3578
0.737729 80.624 166.0465
0.743075 80.734 165.7330
0.748460 80.842 165.4178
0.753883 80.948 165.1014
0.759346 81.052 164.7840
0.764849 81.157 164.4659
0.770391 81.260 164.1471
0.775974 81.363 163.8280
0.781597 81.466 163.5085
0.787261 81.569 163.1888
0.792965 81.671 162.8690
0.798712 81.773 162.5490
0.804499 81.875 162.2291
0.810329 81.977 161.9092
0.816201 82.078 161.5894
0.822116 82.180 161.2697
0.828073 82.281 160.9501
0.834073 82.382 160.6308
0.840118 82.482 160.3116
0.846205 82.583 159.9927
0.852337 82.683 159.6740
0.858514 82.783 159.3556
0.864735 82.883 159.0373
0.871001 82.982 158.7192
0.877313 83.082 158.4014
0.883670 83.181 158.0837
0.890074 83.280 157.7661
0.896523 83.379 157.4486
0.903020 83.478 157.1311
0.909564 83.577 156.8137
0.916155 83.676 156.4961
0.922793 83.774 156.1784
0.929480 83.873 155.8605
0.936216 83.971 155.5424
0.943000 84.069 155.2238
0.949833 84.167 154.9048
0.956716 84.265 154.5853
0.963649 84.363 154.2651
0.970632 84.461 153.9442
0.977666 84.559 153.6224
0.984750 84.657 153.2997
0.991886 84.755 152.9759
0.999074 84.854 152.6508
1.006313 84.952 152.3243
1.013605 85.050 151.9964
1.020950 85.149 151.6667
1.028349 85.247 151.3353
1.035801 85.346 151.0019
1.043306 85.445 150.6663
1.050867 85.544 150.3284
1.058482 85.643 149.9879
1.066152 85.743 149.6447
1.073878 85.843 149.2985
1.081659 85.943 148.9491
1.089498 86.043 148.5962
1.097393 86.144 148.2396
1.105345 86.244 147.8789
1.113355 86.344 147.5142
1.121422 86.444 147.1453
1.129549 86.544 146.7722
1.137734 86.643 146.3953
1.145978 86.741 146.0145
1.154283 86.840 145.6302
1.162647 86.937 145.2426
1.171072 87.035 144.8520
1.179558 87.132 144.4586
1.188106 87.228 144.0627
1.196715 87.324 143.6644
1.205387 87.420 143.2642
1.214122 87.515 142.8621
1.222920 87.610 142.4586
1.231781 87.704 142.0536
1.240708 87.798 141.6476
1.249698 87.892 141.2407
1.258754 87.985 140.8332
1.267875 88.078 140.4252
1.277063 88.170 140.0169
1.286317 88.262 139.6086
1.295638 88.354 139.2004
1.305027 88.446 138.7925
1.314484 88.537 138.3851
1.324009 88.628 137.9784
1.333603 88.719 137.5725
1.343267 88.810 137.1676
1.353001 88.900 136.7638
1.362805 88.991 136.3612
1.372681 89.081 135.9601
1.382628 89.171 135.5604
1.392647 89.261 135.1624
1.402739 89.351 134.7661
1.412904 89.440 134.3715
1.423142 89.530 133.9786
1.433455 89.620 133.5873
1.443842 89.710 133.1973
1.454305 89.799 132.8082
1.464843 89.889 132.4196
1.475458 89.978 132.0305
1.486150 90.067 131.6406
1.496919 90.155 131.2491
1.507766 90.243 130.8559
1.518692 90.330 130.4608
1.529697 90.416 130.0639
1.540782 90.502 129.6651
1.551947 90.587 129.2647
1.563193 90.671 128.8629
1.574521 90.755 128.4597
1.585931 90.839 128.0555
1.597423 90.922 127.6503
1.608998 91.004 127.2444
1.620658 91.085 126.8380
1.632402 91.167 126.4313
1.644231 91.247 126.0245
1.656146 91.327 125.6178
1.668147 91.407 125.2112
1.680235 91.486 124.8052
1.692410 91.565 124.3997
1.704674 91.644 123.9950
1.717027 91.722 123.5913
1.729469 91.800 123.1887
1.742002 91.877 122.7874
1.754625 91.954 122.3875
1.767340 92.032 121.9890
1.780147 92.108 121.5919
1.793046 92.185 121.1962
1.806040 92.261 120.8016
1.819127 92.338 120.4077
1.832309 92.413 120.0137
1.845587 92.488 119.6189
1.858961 92.563 119.2226
1.872431 92.637 118.8243
1.886000 92.710 118.4239
1.899666 92.783 118.0212
1.913432 92.855 117.6164
1.927298 92.926 117.2098
1.941264 92.996 116.8016
1.955331 93.066 116.3924
1.969500 93.135 115.9825
1.983772 93.203 115.5723
1.998147 93.271 115.1622
2.012626 93.338 114.7528
2.027211 93.405 114.3444
2.041901 93.471 113.9375
2.056697 93.537 113.5326
2.071601 93.602 113.1302
2.086613 93.667 112.7306
2.101733 93.732 112.3344
2.116963 93.796 111.9420
2.132303 93.861 111.5536
2.147755 93.925 111.1696
2.163318 93.989 110.7900
2.178995 94.052 110.4146
2.194785 94.115 110.0430
2.210689 94.178 109.6745
2.226709 94.241 109.3083
2.242844 94.302 108.9441
2.259097 94.364 108.5812
2.275467 94.424 108.2194
2.291956 94.484 107.8588
2.308565 94.543 107.4994
2.325294 94.601 107.1414
2.342144 94.659 106.7850
2.359116 94.717 106.4306
2.376211 94.774 106.0784
2.393430 94.831 105.7286
2.410774 94.887 105.3817
2.428243 94.943 105.0381
2.445839 95.000 104.6980
2.463562 95.056 104.3618
2.481415 95.112 104.0299
2.499396 95.168 103.7026
2.517508 95.224 103.3802
2.535750 95.280 103.0628
2.554126 95.336 102.7505
2.572634 95.392 102.4432
2.591276 95.448 102.1407
2.610054 95.504 101.8427
2.628967 95.560 101.5490
2.648018 95.615 101.2592
2.667206 95.670 100.9731
2.686534 95.725 100.6905
2.706002 95.780 100.4112
2.725610 95.834 100.1351
2.745361 95.889 99.8620
2.765255 95.943 99.5918
2.785294 95.998 99.3244
2.805477 96.053 99.0596
2.825807 96.108 98.7974
2.846284 96.164 98.5378
2.866909 96.219 98.2808
2.887684 96.276 98.0264
2.908609 96.332 97.7748
2.929686 96.390 97.5263
2.950916 96.447 97.2811
2.972299 96.505 97.0394
2.993838 96.564 96.8011
3.015532 96.622 96.5662
3.037384 96.681 96.3344
3.059394 96.740 96.1054
3.081564 96.800 95.8786
3.103894 96.860 95.6537
3.126386 96.920 95.4300
3.149041 96.980 95.2072
3.171861 97.041 94.9848
3.194845 97.103 94.7622
3.217996 97.164 94.5393
3.241315 97.227 94.3156
3.264803 97.290 94.0912
3.288461 97.353 93.8662
3.312291 97.417 93.6409
3.336293 97.481 93.4155
3.360469 97.546 93.1903
3.384820 97.612 92.9654
3.409348 97.678 92.7404
3.434054 97.744 92.5153
3.458938 97.811 92.2893
3.484003 97.879 92.0622
3.509250 97.946 91.8333
3.534679 98.014 91.6021
3.560293 98.082 91.3680
3.586092 98.150 91.1306
3.612079 98.218 90.8894
3.638253 98.286 90.6443
3.664618 98.355 90.3950
3.691173 98.423 90.1418
3.717921 98.492 89.8848
3.744862 98.561 89.6242
3.771999 98.630 89.3602
3.799332 98.699 89.0930
3.826864 98.768 88.8227
3.854595 98.837 88.5494
3.882527 98.906 88.2730
3.910661 98.974 87.9937
3.938999 99.043 87.7114
3.967543 99.111 87.4258
3.996294 99.178 87.1369
4.025252 99.245 86.8444
4.054421 99.311 86.5481
4.083801 99.377 86.2479
4.113394 99.443 85.9440
4.143201 99.508 85.6366
4.173225 99.572 85.3261
4.203466 99.636 85.0131
4.233926 99.700 84.6981
4.264606 99.762 84.3817
4.295509 99.824 84.0644
4.326636 99.886 83.7465
4.357989 99.946 83.4281
4.389569 100.006 83.1091
4.421378 100.065 82.7893
4.453417 100.123 82.4684
4.485688 100.180 82.1465
4.518193 100.236 81.8238
4.550934 100.292 81.5007
4.583912 100.347 81.1780
4.617129 100.401 80.8564
4.650587 100.454 80.5365
4.684287 100.507 80.2192
4.718231 100.559 79.9047
4.752421 100.610 79.5934
4.786859 100.661 79.2851
4.821547 100.711 78.9797
4.856485 100.760 78.6771
4.891677 100.808 78.3772
4.927125 100.856 78.0802
4.962829 100.903 77.7864
4.998791 100.950 77.4962
5.035015 100.997 77.2098
5.071500 101.044 76.9278
5.108251 101.090 76.6503
5.145267 101.136 76.3774
5.182552 101.182 76.1092
5.220107 101.228 75.8455
5.257934 101.274 75.5859
5.296035 101.319 75.3301
5.334412 101.365 75.0777
5.373067 101.411 74.8285
5.412003 101.456 74.5821
5.451221 101.503 74.3383
5.490722 101.549 74.0973
5.530510 101.596 73.8589
5.570587 101.644 73.6230
5.610953 101.691 73.3893
5.651613 101.739 73.1572
5.692567 101.788 72.9261
5.733818 101.836 72.6953
5.775367 101.885 72.4639
5.817218 101.935 72.2314
5.859372 101.985 71.9975
5.901831 102.035 71.7620
5.944598 102.086 71.5248
5.987675 102.137 71.2857
6.031065 102.188 71.0443
6.074768 102.239 70.8000
6.118788 102.291 70.5524
6.163127 102.342 70.3008
6.207788 102.394 70.0448
6.252772 102.445 69.7842
6.298082 102.496 69.5190
6.343721 102.547 69.2491
6.389690 102.598 68.9748
6.435992 102.649 68.6960
6.482630 102.698 68.4131
6.529606 102.748 68.1259
6.576922 102.796 67.8345
6.624581 102.844 67.5388
6.672585 102.891 67.2390
6.720938 102.937 66.9354
6.769640 102.982 66.6285
6.818696 103.026 66.3189
6.868107 103.069 66.0073
6.917876 103.111 65.6942
6.968006 103.152 65.3799
7.018499 103.192 65.0647
7.069358 103.230 64.7489
7.120586 103.268 64.4329
7.172184 103.304 64.1174
