* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 28, 2024 4:11:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Roseselsa Ceramics X TWS
* Measurement: L Roseselsa Ceramics X TWS
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.528 168.1285
0.368865 79.531 168.1076
0.371538 79.534 168.0764
0.374230 79.539 168.0376
0.376942 79.544 167.9933
0.379673 79.550 167.9451
0.382424 79.556 167.8941
0.385196 79.562 167.8409
0.387987 79.568 167.7860
0.390798 79.574 167.7294
0.393630 79.580 167.6714
0.396483 79.586 167.6119
0.399356 79.593 167.5510
0.402250 79.599 167.4887
0.405165 79.606 167.4249
0.408101 79.612 167.3598
0.411058 79.619 167.2931
0.414037 79.625 167.2251
0.417037 79.632 167.1555
0.420059 79.638 167.0845
0.423103 79.645 167.0119
0.426169 79.652 166.9379
0.429257 79.659 166.8624
0.432368 79.666 166.7852
0.435501 79.673 166.7066
0.438656 79.680 166.6264
0.441835 79.687 166.5446
0.445037 79.694 166.4612
0.448262 79.701 166.3763
0.451510 79.708 166.2897
0.454782 79.715 166.2015
0.458077 79.722 166.1117
0.461397 79.730 166.0202
0.464740 79.737 165.9271
0.468108 79.745 165.8323
0.471500 79.752 165.7358
0.474917 79.760 165.6376
0.478358 79.767 165.5378
0.481825 79.775 165.4362
0.485316 79.783 165.3329
0.488833 79.790 165.2279
0.492375 79.798 165.1212
0.495943 79.806 165.0127
0.499537 79.814 164.9024
0.503157 79.822 164.7904
0.506803 79.830 164.6766
0.510475 79.838 164.5611
0.514175 79.846 164.4437
0.517900 79.855 164.3246
0.521653 79.863 164.2036
0.525434 79.871 164.0808
0.529241 79.880 163.9563
0.533076 79.888 163.8298
0.536939 79.897 163.7016
0.540830 79.905 163.5715
0.544749 79.914 163.4396
0.548696 79.923 163.3059
0.552673 79.931 163.1703
0.556677 79.940 163.0328
0.560711 79.949 162.8935
0.564774 79.958 162.7523
0.568867 79.967 162.6092
0.572989 79.976 162.4643
0.577141 79.985 162.3174
0.581324 79.995 162.1688
0.585536 80.004 162.0182
0.589779 80.013 161.8657
0.594053 80.023 161.7114
0.598358 80.032 161.5551
0.602694 80.042 161.3970
0.607061 80.051 161.2370
0.611460 80.061 161.0751
0.615891 80.071 160.9113
0.620354 80.081 160.7456
0.624849 80.091 160.5780
0.629377 80.101 160.4085
0.633938 80.111 160.2371
0.638532 80.121 160.0638
0.643159 80.131 159.8886
0.647819 80.141 159.7115
0.652514 80.152 159.5325
0.657242 80.162 159.3516
0.662005 80.173 159.1689
0.666802 80.183 158.9842
0.671634 80.194 158.7976
0.676501 80.205 158.6091
0.681403 80.216 158.4188
0.686341 80.227 158.2265
0.691314 80.237 158.0323
0.696324 80.249 157.8362
0.701370 80.260 157.6382
0.706452 80.271 157.4383
0.711571 80.282 157.2363
0.716728 80.294 157.0323
0.721921 80.305 156.8262
0.727153 80.317 156.6177
0.732422 80.329 156.4066
0.737729 80.341 156.1928
0.743075 80.354 155.9760
0.748460 80.367 155.7559
0.753883 80.379 155.5324
0.759346 80.393 155.3054
0.764849 80.406 155.0749
0.770391 80.419 154.8409
0.775974 80.433 154.6034
0.781597 80.446 154.3623
0.787261 80.460 154.1178
0.792966 80.474 153.8698
0.798712 80.489 153.6184
0.804500 80.503 153.3635
0.810329 80.517 153.1053
0.816201 80.532 152.8438
0.822116 80.547 152.5790
0.828073 80.562 152.3109
0.834074 80.577 152.0396
0.840118 80.592 151.7652
0.846206 80.608 151.4876
0.852338 80.623 151.2069
0.858514 80.639 150.9232
0.864735 80.655 150.6365
0.871001 80.671 150.3468
0.877313 80.687 150.0543
0.883670 80.703 149.7589
0.890074 80.719 149.4607
0.896524 80.736 149.1597
0.903020 80.752 148.8561
0.909564 80.769 148.5498
0.916155 80.786 148.2409
0.922794 80.803 147.9294
0.929481 80.820 147.6155
0.936216 80.837 147.2991
0.943000 80.854 146.9803
0.949834 80.872 146.6592
0.956717 80.889 146.3358
0.963649 80.907 146.0101
0.970632 80.924 145.6822
0.977666 80.942 145.3522
0.984750 80.960 145.0201
0.991886 80.978 144.6859
0.999074 80.995 144.3497
1.006314 81.013 144.0116
1.013606 81.031 143.6715
1.020951 81.049 143.3295
1.028349 81.067 142.9857
1.035801 81.086 142.6400
1.043307 81.104 142.2926
1.050867 81.122 141.9433
1.058482 81.140 141.5922
1.066152 81.158 141.2393
1.073878 81.176 140.8844
1.081660 81.194 140.5274
1.089498 81.212 140.1680
1.097393 81.230 139.8059
1.105345 81.249 139.4406
1.113355 81.267 139.0717
1.121423 81.285 138.6988
1.129549 81.303 138.3216
1.137734 81.322 137.9401
1.145979 81.340 137.5541
1.154283 81.359 137.1636
1.162647 81.378 136.7686
1.171072 81.397 136.3693
1.179558 81.415 135.9656
1.188106 81.434 135.5577
1.196715 81.453 135.1455
1.205387 81.472 134.7293
1.214122 81.492 134.3091
1.222920 81.511 133.8850
1.231782 81.530 133.4572
1.240708 81.549 133.0256
1.249699 81.569 132.5904
1.258754 81.588 132.1517
1.267876 81.607 131.7098
1.277063 81.627 131.2645
1.286318 81.646 130.8162
1.295639 81.665 130.3649
1.305027 81.685 129.9107
1.314484 81.704 129.4539
1.324009 81.724 128.9944
1.333604 81.743 128.5326
1.343268 81.762 128.0684
1.353002 81.782 127.6021
1.362806 81.801 127.1338
1.372681 81.820 126.6637
1.382628 81.839 126.1919
1.392647 81.858 125.7185
1.402739 81.877 125.2437
1.412904 81.896 124.7675
1.423142 81.915 124.2901
1.433455 81.934 123.8112
1.443843 81.952 123.3308
1.454305 81.971 122.8484
1.464844 81.989 122.3635
1.475459 82.007 121.8753
1.486150 82.026 121.3832
1.496920 82.044 120.8866
1.507767 82.061 120.3852
1.518693 82.079 119.8788
1.529698 82.097 119.3674
1.540783 82.115 118.8510
1.551948 82.132 118.3298
1.563194 82.150 117.8040
1.574521 82.167 117.2738
1.585931 82.184 116.7394
1.597423 82.201 116.2011
1.608999 82.218 115.6592
1.620658 82.235 115.1140
1.632402 82.252 114.5657
1.644232 82.268 114.0146
1.656146 82.285 113.4610
1.668147 82.301 112.9053
1.680235 82.317 112.3478
1.692411 82.333 111.7888
1.704675 82.349 111.2287
1.717028 82.364 110.6677
1.729470 82.380 110.1063
1.742003 82.395 109.5448
1.754626 82.410 108.9835
1.767341 82.425 108.4227
1.780147 82.439 107.8625
1.793047 82.454 107.3029
1.806040 82.468 106.7438
1.819128 82.482 106.1848
1.832310 82.495 105.6249
1.845587 82.508 105.0633
1.858961 82.521 104.4989
1.872432 82.534 103.9309
1.886001 82.546 103.3590
1.899667 82.558 102.7829
1.913433 82.570 102.2026
1.927299 82.582 101.6183
1.941265 82.593 101.0303
1.955332 82.603 100.4391
1.969501 82.614 99.8449
1.983773 82.624 99.2485
1.998148 82.634 98.6502
2.012627 82.643 98.0507
2.027212 82.653 97.4505
2.041902 82.662 96.8505
2.056698 82.671 96.2512
2.071602 82.680 95.6535
2.086614 82.688 95.0580
2.101734 82.696 94.4656
2.116964 82.705 93.8770
2.132304 82.713 93.2930
2.147756 82.720 92.7141
2.163320 82.728 92.1407
2.178996 82.735 91.5728
2.194786 82.743 91.0103
2.210690 82.750 90.4523
2.226710 82.756 89.8980
2.242845 82.762 89.3466
2.259098 82.768 88.7976
2.275468 82.773 88.2507
2.291957 82.778 87.7056
2.308566 82.782 87.1625
2.325295 82.786 86.6215
2.342145 82.790 86.0831
2.359117 82.794 85.5474
2.376212 82.798 85.0150
2.393431 82.801 84.4864
2.410775 82.805 83.9622
2.428244 82.808 83.4429
2.445840 82.812 82.9293
2.463564 82.817 82.4220
2.481416 82.821 81.9220
2.499397 82.826 81.4299
2.517509 82.831 80.9465
2.535752 82.837 80.4725
2.554127 82.843 80.0085
2.572635 82.849 79.5548
2.591277 82.856 79.1117
2.610055 82.863 78.6790
2.628968 82.870 78.2565
2.648019 82.877 77.8439
2.667208 82.884 77.4408
2.686535 82.891 77.0469
2.706003 82.899 76.6617
2.725612 82.907 76.2848
2.745363 82.916 75.9160
2.765257 82.926 75.5548
2.785295 82.937 75.2010
2.805478 82.949 74.8544
2.825808 82.962 74.5147
2.846285 82.976 74.1819
2.866910 82.992 73.8561
2.887685 83.009 73.5378
2.908611 83.029 73.2276
2.929688 83.049 72.9265
2.950917 83.072 72.6357
2.972301 83.096 72.3560
2.993839 83.122 72.0880
3.015534 83.149 71.8313
3.037386 83.178 71.5855
3.059396 83.209 71.3496
3.081565 83.241 71.1222
3.103896 83.275 70.9019
3.126388 83.311 70.6872
3.149043 83.349 70.4765
3.171862 83.388 70.2684
3.194847 83.430 70.0614
3.217998 83.473 69.8544
3.241317 83.519 69.6467
3.264805 83.567 69.4381
3.288463 83.618 69.2292
3.312293 83.670 69.0209
3.336295 83.726 68.8145
3.360471 83.784 68.6108
3.384822 83.845 68.4099
3.409350 83.908 68.2114
3.434056 83.973 68.0141
3.458940 84.041 67.8166
3.484005 84.111 67.6171
3.509252 84.182 67.4139
3.534681 84.255 67.2051
3.560295 84.330 66.9890
3.586094 84.406 66.7642
3.612081 84.483 66.5296
3.638255 84.562 66.2846
3.664620 84.642 66.0293
3.691175 84.723 65.7645
3.717923 84.806 65.4909
3.744864 84.891 65.2093
3.772001 84.977 64.9202
3.799335 85.065 64.6236
3.826866 85.154 64.3194
3.854597 85.244 64.0074
3.882529 85.335 63.6870
3.910664 85.426 63.3577
3.939002 85.517 63.0189
3.967546 85.608 62.6701
3.996296 85.699 62.3107
4.025255 85.789 61.9404
4.054423 85.880 61.5592
4.083804 85.970 61.1673
4.113396 86.061 60.7651
4.143204 86.151 60.3535
4.173227 86.241 59.9333
4.203468 86.331 59.5055
4.233928 86.420 59.0710
4.264609 86.509 58.6306
4.295512 86.597 58.1849
4.326639 86.684 57.7343
4.357992 86.770 57.2789
4.389572 86.856 56.8183
4.421380 86.940 56.3523
4.453419 87.022 55.8806
4.485691 87.104 55.4031
4.518196 87.185 54.9206
4.550936 87.265 54.4338
4.583914 87.344 53.9441
4.617131 87.421 53.4528
4.650589 87.498 52.9610
4.684289 87.574 52.4699
4.718233 87.649 51.9800
4.752424 87.723 51.4917
4.786862 87.796 51.0047
4.821549 87.867 50.5187
4.856488 87.938 50.0333
4.891680 88.008 49.5487
4.927127 88.077 49.0650
4.962831 88.145 48.5828
4.998794 88.212 48.1028
5.035017 88.279 47.6256
5.071503 88.346 47.1518
5.108253 88.412 46.6819
5.145270 88.478 46.2160
5.182555 88.544 45.7539
5.220110 88.609 45.2953
5.257937 88.675 44.8395
5.296038 88.740 44.3860
5.334415 88.805 43.9340
5.373071 88.870 43.4831
5.412006 88.935 43.0328
5.451224 89.001 42.5829
5.490725 89.067 42.1334
5.530514 89.134 41.6841
5.570590 89.201 41.2348
5.610957 89.268 40.7850
5.651616 89.336 40.3337
5.692570 89.404 39.8795
5.733821 89.473 39.4213
5.775370 89.542 38.9578
5.817221 89.612 38.4880
5.859375 89.682 38.0113
5.901834 89.752 37.5274
5.944602 89.823 37.0361
5.987679 89.894 36.5372
6.031068 89.965 36.0298
6.074771 90.036 35.5130
6.118792 90.107 34.9859
6.163131 90.177 34.4473
6.207792 90.248 33.8965
6.252776 90.317 33.3330
6.298086 90.387 32.7565
6.343725 90.455 32.1672
6.389694 90.523 31.5653
6.435996 90.590 30.9507
6.482634 90.656 30.3237
6.529610 90.720 29.6839
6.576926 90.783 29.0312
6.624585 90.844 28.3652
6.672590 90.904 27.6858
6.720942 90.962 26.9935
6.769645 91.017 26.2890
6.818700 91.071 25.5733
6.868111 91.123 24.8471
6.917881 91.173 24.1110
6.968010 91.220 23.3651
7.018504 91.265 22.6095
7.069362 91.307 21.8443
7.120590 91.347 21.0702
7.172189 91.384 20.2882
7.224161 91.419 19.4994
7.276511 91.452 18.7049
7.329239 91.482 17.9050
