* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Sep 23, 2024 1:26:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Soratune YI01 R
* Measurement: R Sep 23
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	78.531	-176.0824
0.368865	78.532	-176.0904
0.371538	78.533	-176.1022
0.374230	78.535	-176.1169
0.376942	78.537	-176.1337
0.379673	78.538	-176.1518
0.382424	78.541	-176.1709
0.385196	78.543	-176.1907
0.387987	78.545	-176.2111
0.390798	78.547	-176.2319
0.393630	78.549	-176.2533
0.396483	78.551	-176.2750
0.399356	78.554	-176.2972
0.402250	78.556	-176.3198
0.405165	78.558	-176.3428
0.408101	78.560	-176.3663
0.411058	78.563	-176.3902
0.414037	78.565	-176.4146
0.417037	78.567	-176.4394
0.420059	78.570	-176.4647
0.423103	78.572	-176.4904
0.426169	78.574	-176.5167
0.429257	78.577	-176.5434
0.432368	78.579	-176.5707
0.435501	78.582	-176.5984
0.438656	78.584	-176.6267
0.441835	78.586	-176.6555
0.445037	78.589	-176.6848
0.448262	78.591	-176.7147
0.451510	78.594	-176.7451
0.454782	78.596	-176.7761
0.458077	78.599	-176.8076
0.461397	78.602	-176.8398
0.464740	78.604	-176.8725
0.468108	78.607	-176.9059
0.471500	78.609	-176.9399
0.474917	78.612	-176.9745
0.478358	78.615	-177.0097
0.481825	78.617	-177.0456
0.485316	78.620	-177.0821
0.488833	78.623	-177.1194
0.492375	78.626	-177.1573
0.495943	78.628	-177.1959
0.499537	78.631	-177.2352
0.503157	78.634	-177.2753
0.506803	78.637	-177.3161
0.510475	78.640	-177.3577
0.514175	78.642	-177.4000
0.517900	78.645	-177.4431
0.521653	78.648	-177.4870
0.525434	78.651	-177.5318
0.529241	78.654	-177.5773
0.533076	78.657	-177.6238
0.536939	78.660	-177.6711
0.540830	78.663	-177.7193
0.544749	78.666	-177.7684
0.548696	78.669	-177.8184
0.552673	78.672	-177.8693
0.556677	78.675	-177.9213
0.560711	78.678	-177.9742
0.564774	78.682	-178.0281
0.568867	78.685	-178.0831
0.572989	78.688	-178.1391
0.577141	78.691	-178.1962
0.581324	78.694	-178.2544
0.585536	78.698	-178.3137
0.589779	78.701	-178.3742
0.594053	78.704	-178.4358
0.598358	78.708	-178.4987
0.602694	78.711	-178.5628
0.607061	78.714	-178.6282
0.611460	78.718	-178.6949
0.615891	78.721	-178.7629
0.620354	78.725	-178.8323
0.624849	78.728	-178.9031
0.629377	78.732	-178.9753
0.633938	78.735	-179.0490
0.638532	78.739	-179.1242
0.643159	78.742	-179.2010
0.647819	78.746	-179.2794
0.652514	78.750	-179.3594
0.657242	78.753	-179.4412
0.662005	78.757	-179.5246
0.666802	78.761	-179.6099
0.671634	78.764	-179.6970
0.676501	78.768	-179.7860
0.681403	78.772	-179.8770
0.686341	78.776	-179.9699
0.691314	78.779	179.9350
0.696324	78.783	179.8378
0.701370	78.787	179.7383
0.706452	78.790	179.6365
0.711571	78.794	179.5323
0.716728	78.796	179.4255
0.721921	78.798	179.3159
0.727153	78.799	179.2034
0.732422	78.798	179.0876
0.737729	78.796	178.9683
0.743075	78.792	178.8452
0.748460	78.787	178.7180
0.753883	78.781	178.5865
0.759346	78.774	178.4507
0.764849	78.767	178.3104
0.770391	78.759	178.1656
0.775974	78.752	178.0164
0.781597	78.744	177.8627
0.787261	78.735	177.7045
0.792966	78.727	177.5418
0.798712	78.718	177.3746
0.804500	78.710	177.2029
0.810329	78.700	177.0268
0.816201	78.691	176.8462
0.822116	78.681	176.6611
0.828073	78.671	176.4717
0.834074	78.660	176.2778
0.840118	78.649	176.0796
0.846206	78.638	175.8770
0.852338	78.626	175.6702
0.858514	78.614	175.4590
0.864735	78.601	175.2435
0.871001	78.587	175.0238
0.877313	78.573	174.7999
0.883670	78.558	174.5718
0.890074	78.542	174.3397
0.896524	78.526	174.1033
0.903020	78.509	173.8630
0.909564	78.491	173.6187
0.916155	78.472	173.3704
0.922794	78.452	173.1181
0.929481	78.431	172.8620
0.936216	78.410	172.6021
0.943000	78.387	172.3384
0.949834	78.363	172.0709
0.956717	78.338	171.7998
0.963649	78.311	171.5251
0.970632	78.283	171.2468
0.977666	78.254	170.9650
0.984750	78.224	170.6797
0.991886	78.192	170.3910
0.999074	78.158	170.0989
1.006314	78.123	169.8035
1.013606	78.086	169.5049
1.020951	78.047	169.2031
1.028349	78.006	168.8981
1.035801	77.964	168.5900
1.043307	77.919	168.2788
1.050867	77.872	167.9645
1.058482	77.824	167.6469
1.066152	77.772	167.3259
1.073878	77.719	167.0011
1.081660	77.663	166.6719
1.089498	77.604	166.3372
1.097393	77.542	165.9957
1.105345	77.477	165.6456
1.113355	77.409	165.2850
1.121423	77.337	164.9123
1.129549	77.262	164.5261
1.137734	77.184	164.1254
1.145979	77.102	163.7096
1.154283	77.017	163.2780
1.162647	76.928	162.8301
1.171072	76.836	162.3657
1.179558	76.740	161.8843
1.188106	76.642	161.3857
1.196715	76.540	160.8696
1.205387	76.435	160.3355
1.214122	76.328	159.7832
1.222920	76.218	159.2123
1.231782	76.105	158.6226
1.240708	75.989	158.0137
1.249699	75.871	157.3851
1.258754	75.751	156.7367
1.267876	75.629	156.0679
1.277063	75.505	155.3785
1.286318	75.379	154.6682
1.295639	75.251	153.9364
1.305027	75.122	153.1829
1.314484	74.992	152.4072
1.324009	74.860	151.6089
1.333604	74.728	150.7878
1.343268	74.595	149.9432
1.353002	74.461	149.0749
1.362806	74.328	148.1823
1.372681	74.194	147.2649
1.382628	74.061	146.3221
1.392647	73.928	145.3535
1.402739	73.795	144.3579
1.412904	73.664	143.3344
1.423142	73.533	142.2812
1.433455	73.404	141.1959
1.443843	73.274	140.0747
1.454305	73.145	138.9123
1.464844	73.014	137.7009
1.475459	72.880	136.4310
1.486150	72.742	135.0916
1.496920	72.599	133.6713
1.507767	72.451	132.1589
1.518693	72.296	130.5434
1.529698	72.136	128.8135
1.540783	71.970	126.9576
1.551948	71.801	124.9638
1.563194	71.627	122.8190
1.574521	71.451	120.5099
1.585931	71.272	118.0224
1.597423	71.093	115.3421
1.608999	70.914	112.4547
1.620658	70.737	109.3469
1.632402	70.562	106.0070
1.644232	70.391	102.4262
1.656146	70.226	98.6006
1.668147	70.067	94.5321
1.680235	69.916	90.2304
1.692411	69.775	85.7148
1.704675	69.646	81.0142
1.717028	69.529	76.1675
1.729470	69.428	71.2218
1.742003	69.344	66.2296
1.754626	69.278	61.2448
1.767341	69.234	56.3192
1.780147	69.212	51.4978
1.793047	69.217	46.8170
1.806040	69.249	42.3023
1.819128	69.311	37.9694
1.832310	69.406	33.8255
1.845587	69.534	29.8727
1.858961	69.696	26.1107
1.872432	69.892	22.5388
1.886001	70.121	19.1557
1.899667	70.382	15.9591
1.913433	70.672	12.9446
1.927299	70.990	10.1062
1.941265	71.332	7.4362
1.955332	71.697	4.9257
1.969501	72.080	2.5651
1.983773	72.480	0.3440
1.998148	72.893	-1.7474
2.012627	73.316	-3.7195
2.027212	73.746	-5.5817
2.041902	74.180	-7.3434
2.056698	74.615	-9.0133
2.071602	75.046	-10.5997
2.086614	75.471	-12.1103
2.101734	75.887	-13.5524
2.116964	76.291	-14.9330
2.132304	76.680	-16.2589
2.147756	77.051	-17.5365
2.163320	77.404	-18.7726
2.178996	77.737	-19.9738
2.194786	78.052	-21.1467
2.210690	78.350	-22.2975
2.226710	78.634	-23.4310
2.242845	78.905	-24.5504
2.259098	79.166	-25.6573
2.275468	79.418	-26.7520
2.291957	79.661	-27.8337
2.308566	79.896	-28.9016
2.325295	80.124	-29.9546
2.342145	80.346	-30.9916
2.359117	80.561	-32.0116
2.376212	80.770	-33.0137
2.393431	80.974	-33.9971
2.410775	81.173	-34.9614
2.428244	81.368	-35.9060
2.445840	81.559	-36.8309
2.463564	81.746	-37.7361
2.481416	81.931	-38.6221
2.499397	82.112	-39.4897
2.517509	82.292	-40.3406
2.535752	82.469	-41.1774
2.554127	82.643	-42.0031
2.572635	82.814	-42.8219
2.591277	82.981	-43.6378
2.610055	83.143	-44.4536
2.628968	83.301	-45.2710
2.648019	83.453	-46.0903
2.667208	83.600	-46.9105
2.686535	83.742	-47.7303
2.706003	83.880	-48.5477
2.725612	84.013	-49.3607
2.745363	84.142	-50.1671
2.765257	84.266	-50.9645
2.785295	84.388	-51.7511
2.805478	84.506	-52.5248
2.825808	84.621	-53.2838
2.846285	84.734	-54.0270
2.866910	84.845	-54.7534
2.887685	84.953	-55.4631
2.908611	85.059	-56.1576
2.929688	85.162	-56.8390
2.950917	85.262	-57.5106
2.972301	85.359	-58.1754
2.993839	85.453	-58.8359
3.015534	85.542	-59.4932
3.037386	85.628	-60.1473
3.059396	85.711	-60.7975
3.081565	85.790	-61.4423
3.103896	85.866	-62.0801
3.126388	85.939	-62.7087
3.149043	86.009	-63.3260
3.171862	86.077	-63.9298
3.194847	86.143	-64.5179
3.217998	86.208	-65.0884
3.241317	86.271	-65.6400
3.264805	86.332	-66.1719
3.288463	86.391	-66.6844
3.312293	86.448	-67.1785
3.336295	86.504	-67.6561
3.360471	86.556	-68.1187
3.384822	86.606	-68.5676
3.409350	86.654	-69.0035
3.434056	86.699	-69.4266
3.458940	86.743	-69.8368
3.484005	86.785	-70.2335
3.509252	86.826	-70.6158
3.534681	86.866	-70.9829
3.560295	86.906	-71.3336
3.586094	86.946	-71.6669
3.612081	86.987	-71.9814
3.638255	87.027	-72.2763
3.664620	87.068	-72.5505
3.691175	87.109	-72.8038
3.717923	87.150	-73.0363
3.744864	87.191	-73.2485
3.772001	87.232	-73.4420
3.799335	87.273	-73.6182
3.826866	87.314	-73.7790
3.854597	87.356	-73.9264
3.882529	87.399	-74.0621
3.910664	87.444	-74.1881
3.939002	87.490	-74.3057
3.967546	87.539	-74.4157
3.996296	87.589	-74.5186
4.025255	87.643	-74.6138
4.054423	87.698	-74.7004
4.083804	87.757	-74.7780
4.113396	87.817	-74.8464
4.143204	87.880	-74.9071
4.173227	87.945	-74.9622
4.203468	88.013	-75.0145
4.233928	88.082	-75.0674
4.264609	88.153	-75.1241
4.295512	88.226	-75.1878
4.326639	88.301	-75.2609
4.357992	88.378	-75.3451
4.389572	88.456	-75.4411
4.421380	88.537	-75.5485
4.453419	88.620	-75.6666
4.485691	88.705	-75.7949
4.518196	88.792	-75.9336
4.550936	88.881	-76.0833
4.583914	88.970	-76.2452
4.617131	89.061	-76.4208
4.650589	89.151	-76.6116
4.684289	89.242	-76.8192
4.718233	89.332	-77.0449
4.752424	89.422	-77.2894
4.786862	89.512	-77.5530
4.821549	89.601	-77.8351
4.856488	89.690	-78.1351
4.891680	89.778	-78.4515
4.927127	89.865	-78.7831
4.962831	89.952	-79.1284
4.998794	90.037	-79.4865
5.035017	90.120	-79.8563
5.071503	90.202	-80.2375
5.108253	90.281	-80.6301
5.145270	90.358	-81.0344
5.182555	90.433	-81.4507
5.220110	90.506	-81.8783
5.257937	90.576	-82.3162
5.296038	90.645	-82.7623
5.334415	90.711	-83.2141
5.373071	90.775	-83.6694
5.412006	90.836	-84.1259
5.451224	90.896	-84.5820
5.490725	90.953	-85.0372
5.530514	91.007	-85.4915
5.570590	91.059	-85.9448
5.610957	91.109	-86.3970
5.651616	91.157	-86.8472
5.692570	91.203	-87.2938
5.733821	91.247	-87.7350
5.775370	91.290	-88.1689
5.817221	91.332	-88.5941
5.859375	91.373	-89.0093
5.901834	91.412	-89.4143
5.944602	91.451	-89.8094
5.987679	91.489	-90.1948
6.031068	91.526	-90.5712
6.074771	91.563	-90.9385
6.118792	91.600	-91.2969
6.163131	91.638	-91.6464
6.207792	91.676	-91.9866
6.252776	91.715	-92.3176
6.298086	91.756	-92.6395
6.343725	91.797	-92.9532
6.389694	91.839	-93.2604
6.435996	91.883	-93.5626
6.482634	91.928	-93.8618
6.529610	91.975	-94.1599
6.576926	92.023	-94.4578
6.624585	92.073	-94.7563
6.672590	92.125	-95.0562
6.720942	92.179	-95.3583
6.769645	92.235	-95.6639
6.818700	92.291	-95.9748
6.868111	92.350	-96.2928
6.917881	92.409	-96.6196
6.968010	92.469	-96.9561
7.018504	92.531	-97.3029
7.069362	92.593	-97.6600
7.120590	92.656	-98.0275
7.172189	92.719	-98.4054
7.224161	92.782	-98.7937
7.276511	92.845	-99.1927
7.329239	92.908	-99.6025
7.382350	92.970	-100.0230
7.435845	93.031	-100.4534
7.489729	93.092	-100.8928
7.544002	93.152	-101.3396
7.598669	93.210	-101.7925
7.653732	93.268	-102.2502
7.709194	93.324	-102.7118
7.765058	93.379	-103.1766
7.821327	93.432	-103.6436
7.878004	93.484	-104.1113
7.935091	93.535	-104.5783
7.992592	93.585	-105.0430
8.050510	93.634	-105.5039
8.108847	93.681	-105.9604
8.167607	93.728	-106.4119
8.226793	93.774	-106.8578
8.286408	93.820	-107.2977
8.346454	93.865	-107.7312
8.406936	93.911	-108.1576
8.467856	93.956	-108.5768
8.529218	94.002	-108.9891
8.591024	94.047	-109.3949
8.653278	94.094	-109.7949
8.715983	94.141	-110.1899
8.779143	94.189	-110.5807
8.842760	94.237	-110.9680
8.906839	94.287	-111.3523
8.971381	94.337	-111.7349
9.036392	94.388	-112.1166
9.101873	94.440	-112.4987
9.167829	94.492	-112.8821
9.234263	94.545	-113.2675
9.301178	94.599	-113.6553
9.368578	94.652	-114.0460
9.436467	94.706	-114.4398
9.504847	94.760	-114.8372
9.573723	94.813	-115.2380
9.643099	94.865	-115.6423
9.712976	94.916	-116.0496
