* Measurement data measured by REW V5.31
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 4, 2024 1:00:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanchjim 4U Pop
* Measurement: L Tanchjim 4U Pop
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.930 156.5734
0.368865 83.924 156.5491
0.371538 83.916 156.5128
0.374230 83.905 156.4671
0.376942 83.893 156.4145
0.379673 83.881 156.3567
0.382424 83.867 156.2948
0.385196 83.854 156.2294
0.387987 83.840 156.1611
0.390798 83.826 156.0900
0.393630 83.811 156.0161
0.396483 83.797 155.9397
0.399356 83.783 155.8605
0.402250 83.768 155.7788
0.405165 83.753 155.6944
0.408101 83.738 155.6072
0.411058 83.724 155.5174
0.414037 83.709 155.4248
0.417037 83.693 155.3295
0.420059 83.678 155.2313
0.423103 83.663 155.1304
0.426169 83.647 155.0266
0.429257 83.632 154.9199
0.432368 83.616 154.8103
0.435501 83.600 154.6978
0.438656 83.584 154.5824
0.441835 83.568 154.4639
0.445037 83.552 154.3426
0.448262 83.536 154.2181
0.451510 83.520 154.0907
0.454782 83.503 153.9602
0.458077 83.486 153.8266
0.461397 83.470 153.6900
0.464740 83.453 153.5502
0.468108 83.436 153.4073
0.471500 83.419 153.2612
0.474917 83.402 153.1120
0.478358 83.384 152.9595
0.481825 83.367 152.8040
0.485316 83.349 152.6451
0.488833 83.331 152.4831
0.492375 83.314 152.3178
0.495943 83.296 152.1494
0.499537 83.277 151.9776
0.503157 83.259 151.8026
0.506803 83.241 151.6244
0.510475 83.222 151.4429
0.514175 83.204 151.2582
0.517900 83.185 151.0702
0.521653 83.166 150.8789
0.525434 83.147 150.6845
0.529241 83.128 150.4868
0.533076 83.108 150.2858
0.536939 83.089 150.0817
0.540830 83.069 149.8744
0.544749 83.049 149.6639
0.548696 83.030 149.4502
0.552673 83.010 149.2335
0.556677 82.989 149.0136
0.560711 82.969 148.7907
0.564774 82.949 148.5648
0.568867 82.928 148.3359
0.572989 82.907 148.1041
0.577141 82.886 147.8693
0.581324 82.865 147.6318
0.585536 82.844 147.3914
0.589779 82.822 147.1483
0.594053 82.801 146.9026
0.598358 82.779 146.6543
0.602694 82.757 146.4035
0.607061 82.735 146.1503
0.611460 82.713 145.8948
0.615891 82.691 145.6370
0.620354 82.668 145.3771
0.624849 82.646 145.1151
0.629377 82.623 144.8513
0.633938 82.600 144.5856
0.638532 82.577 144.3183
0.643159 82.553 144.0495
0.647819 82.530 143.7793
0.652514 82.506 143.5078
0.657242 82.482 143.2353
0.662005 82.458 142.9619
0.666802 82.434 142.6878
0.671634 82.410 142.4131
0.676501 82.385 142.1381
0.681403 82.361 141.8630
0.686341 82.336 141.5879
0.691314 82.310 141.3132
0.696324 82.285 141.0390
0.701370 82.259 140.7654
0.706452 82.233 140.4928
0.711571 82.207 140.2211
0.716728 82.180 139.9503
0.721921 82.151 139.6802
0.727153 82.121 139.4104
0.732422 82.090 139.1399
0.737729 82.056 138.8678
0.743075 82.020 138.5930
0.748460 81.983 138.3146
0.753883 81.944 138.0317
0.759346 81.905 137.7440
0.764849 81.864 137.4510
0.770391 81.823 137.1524
0.775974 81.782 136.8482
0.781597 81.739 136.5382
0.787261 81.697 136.2224
0.792966 81.653 135.9006
0.798712 81.610 135.5728
0.804500 81.565 135.2389
0.810329 81.520 134.8990
0.816201 81.474 134.5530
0.822116 81.428 134.2008
0.828073 81.381 133.8424
0.834074 81.333 133.4778
0.840118 81.285 133.1069
0.846206 81.236 132.7299
0.852338 81.186 132.3466
0.858514 81.135 131.9571
0.864735 81.083 131.5614
0.871001 81.031 131.1596
0.877313 80.977 130.7517
0.883670 80.923 130.3377
0.890074 80.867 129.9177
0.896524 80.811 129.4918
0.903020 80.753 129.0602
0.909564 80.695 128.6228
0.916155 80.635 128.1799
0.922794 80.574 127.7316
0.929481 80.512 127.2782
0.936216 80.448 126.8197
0.943000 80.383 126.3564
0.949834 80.317 125.8886
0.956717 80.250 125.4166
0.963649 80.181 124.9406
0.970632 80.110 124.4611
0.977666 80.038 123.9783
0.984750 79.964 123.4927
0.991886 79.889 123.0047
0.999074 79.812 122.5149
1.006314 79.733 122.0237
1.013606 79.652 121.5317
1.020951 79.569 121.0396
1.028349 79.485 120.5479
1.035801 79.398 120.0575
1.043307 79.309 119.5691
1.050867 79.218 119.0835
1.058482 79.125 118.6015
1.066152 79.030 118.1238
1.073878 78.933 117.6513
1.081660 78.834 117.1845
1.089498 78.733 116.7238
1.097393 78.632 116.2692
1.105345 78.530 115.8205
1.113355 78.429 115.3771
1.121423 78.329 114.9383
1.129549 78.230 114.5035
1.137734 78.133 114.0723
1.145979 78.037 113.6442
1.154283 77.942 113.2188
1.162647 77.848 112.7957
1.171072 77.754 112.3747
1.179558 77.661 111.9555
1.188106 77.568 111.5378
1.196715 77.474 111.1212
1.205387 77.379 110.7056
1.214122 77.283 110.2904
1.222920 77.184 109.8755
1.231782 77.083 109.4606
1.240708 76.979 109.0452
1.249699 76.872 108.6291
1.258754 76.760 108.2118
1.267876 76.643 107.7931
1.277063 76.521 107.3725
1.286318 76.394 106.9498
1.295639 76.259 106.5244
1.305027 76.117 106.0960
1.314484 75.967 105.6642
1.324009 75.809 105.2286
1.333604 75.640 104.7887
1.343268 75.462 104.3443
1.353002 75.273 103.8949
1.362806 75.071 103.4402
1.372681 74.857 102.9798
1.382628 74.629 102.5133
1.392647 74.387 102.0407
1.402739 74.129 101.5618
1.412904 73.855 101.0765
1.423142 73.562 100.5854
1.433455 73.250 100.0889
1.443843 72.916 99.5884
1.454305 72.558 99.0857
1.464844 72.173 98.5832
1.475459 71.756 98.0841
1.486150 71.305 97.5915
1.496920 70.816 97.1080
1.507767 70.287 96.6361
1.518693 69.720 96.1774
1.529698 69.113 95.7333
1.540783 68.469 95.3053
1.551948 67.790 94.8944
1.563194 67.077 94.5021
1.574521 66.333 94.1298
1.585931 65.562 93.7792
1.597423 64.766 93.4522
1.608999 63.949 93.1512
1.620658 63.115 92.8789
1.632402 62.267 92.6389
1.644232 61.410 92.4351
1.656146 60.549 92.2726
1.668147 59.689 92.1578
1.680235 58.834 92.0985
1.692411 57.991 92.1045
1.704675 57.165 92.1888
1.717028 56.365 92.3677
1.729470 55.597 92.6635
1.742003 54.870 93.1059
1.754626 54.193 93.7366
1.767341 53.576 94.6152
1.780147 53.028 95.8301
1.793047 52.562 97.5182
1.806040 52.188 99.8990
1.819128 51.917 103.3397
1.832310 51.756 108.4718
1.845587 51.710 116.3825
1.858961 51.780 128.7578
1.872432 51.964 147.0921
1.886001 52.256 169.3299
1.899667 52.647 -170.9597
1.913433 53.129 -157.2236
1.927299 53.691 -148.4522
1.941265 54.322 -142.8660
1.955332 55.014 -139.2372
1.969501 55.754 -136.8380
1.983773 56.532 -135.2399
1.998148 57.340 -134.1822
2.012627 58.166 -133.5003
2.027212 59.001 -133.0861
2.041902 59.836 -132.8663
2.056698 60.662 -132.7897
2.071602 61.470 -132.8194
2.086614 62.251 -132.9290
2.101734 62.998 -133.0987
2.116964 63.704 -133.3148
2.132304 64.362 -133.5678
2.147756 64.967 -133.8526
2.163320 65.517 -134.1686
2.178996 66.011 -134.5195
2.194786 66.450 -134.9132
2.210690 66.840 -135.3603
2.226710 67.187 -135.8702
2.242845 67.495 -136.4488
2.259098 67.769 -137.0968
2.275468 68.012 -137.8113
2.291957 68.227 -138.5864
2.308566 68.415 -139.4149
2.325295 68.579 -140.2885
2.342145 68.720 -141.1991
2.359117 68.840 -142.1384
2.376212 68.941 -143.0984
2.393431 69.024 -144.0713
2.410775 69.092 -145.0496
2.428244 69.146 -146.0264
2.445840 69.188 -146.9950
2.463564 69.220 -147.9495
2.481416 69.245 -148.8853
2.499397 69.264 -149.7994
2.517509 69.278 -150.6914
2.535752 69.290 -151.5648
2.554127 69.298 -152.4276
2.572635 69.302 -153.2922
2.591277 69.302 -154.1733
2.610055 69.295 -155.0845
2.628968 69.279 -156.0359
2.648019 69.254 -157.0334
2.667208 69.218 -158.0794
2.686535 69.170 -159.1736
2.706003 69.109 -160.3134
2.725612 69.033 -161.4944
2.745363 68.942 -162.7113
2.765257 68.836 -163.9570
2.785295 68.711 -165.2234
2.805478 68.569 -166.5015
2.825808 68.406 -167.7816
2.846285 68.222 -169.0536
2.866910 68.016 -170.3089
2.887685 67.784 -171.5410
2.908611 67.523 -172.7480
2.929688 67.231 -173.9346
2.950917 66.903 -175.1118
2.972301 66.538 -176.2951
2.993839 66.132 -177.5010
3.015534 65.688 -178.7445
3.037386 65.207 179.9612
3.059396 64.694 178.6046
3.081565 64.155 177.1757
3.103896 63.597 175.6652
3.126388 63.026 174.0646
3.149043 62.452 172.3655
3.171862 61.884 170.5598
3.194847 61.332 168.6391
3.217998 60.807 166.5927
3.241317 60.318 164.4056
3.264805 59.875 162.0514
3.288463 59.483 159.4814
3.312293 59.145 156.6065
3.336295 58.858 153.2673
3.360471 58.622 149.1841
3.384822 58.433 143.8496
3.409350 58.288 136.2860
3.434056 58.186 124.4975
3.458940 58.125 104.7162
3.484005 58.107 74.4202
3.509252 58.131 43.9252
3.534681 58.198 23.8944
3.560295 58.311 11.9852
3.586094 58.473 4.3795
3.612081 58.687 -0.9640
3.638255 58.960 -5.0508
3.664620 59.294 -8.4056
3.691175 59.694 -11.3182
3.717923 60.157 -13.9499
3.744864 60.678 -16.3863
3.772001 61.245 -18.6692
3.799335 61.844 -20.8170
3.826866 62.460 -22.8362
3.854597 63.078 -24.7290
3.882529 63.684 -26.4968
3.910664 64.265 -28.1423
3.939002 64.810 -29.6718
3.967546 65.311 -31.0959
3.996296 65.761 -32.4306
4.025255 66.158 -33.6970
4.054423 66.505 -34.9186
4.083804 66.804 -36.1156
4.113396 67.060 -37.3002
4.143204 67.278 -38.4754
4.173227 67.462 -39.6361
4.203468 67.616 -40.7718
4.233928 67.744 -41.8692
4.264609 67.850 -42.9138
4.295512 67.938 -43.8922
4.326639 68.009 -44.7940
4.357992 68.066 -45.6138
4.389572 68.108 -46.3521
4.421380 68.136 -47.0148
4.453419 68.147 -47.6102
4.485691 68.141 -48.1441
4.518196 68.119 -48.6178
4.550936 68.081 -49.0271
4.583914 68.031 -49.3633
4.617131 67.970 -49.6140
4.650589 67.902 -49.7642
4.684289 67.827 -49.7980
4.718233 67.749 -49.6998
4.752424 67.667 -49.4558
4.786862 67.582 -49.0558
4.821549 67.492 -48.4939
4.856488 67.399 -47.7684
4.891680 67.304 -46.8817
4.927127 67.212 -45.8400
4.962831 67.128 -44.6531
4.998794 67.057 -43.3339
5.035017 67.005 -41.8972
5.071503 66.978 -40.3589
5.108253 66.979 -38.7334
5.145270 67.013 -37.0345
5.182555 67.078 -35.2770
5.220110 67.174 -33.4820
5.257937 67.297 -31.6787
5.296038 67.445 -29.9027
5.334415 67.613 -28.1920
5.373071 67.799 -26.5824
5.412006 67.999 -25.1037
5.451224 68.211 -23.7762
5.490725 68.436 -22.6098
5.530514 68.671 -21.6050
5.570590 68.917 -20.7556
5.610957 69.171 -20.0535
5.651616 69.430 -19.4905
5.692570 69.691 -19.0594
5.733821 69.949 -18.7536
5.775370 70.199 -18.5679
5.817221 70.440 -18.4976
5.859375 70.668 -18.5378
5.901834 70.884 -18.6828
5.944602 71.087 -18.9242
5.987679 71.277 -19.2505
6.031068 71.455 -19.6482
6.074771 71.620 -20.1034
6.118792 71.773 -20.6035
6.163131 71.912 -21.1390
6.207792 72.037 -21.7040
6.252776 72.148 -22.2962
6.298086 72.246 -22.9138
6.343725 72.329 -23.5531
6.389694 72.399 -24.2067
6.435996 72.457 -24.8639
6.482634 72.504 -25.5134
6.529610 72.539 -26.1443
6.576926 72.565 -26.7491
6.624585 72.580 -27.3237
6.672590 72.585 -27.8667
6.720942 72.582 -28.3773
6.769645 72.570 -28.8532
6.818700 72.553 -29.2906
