* Measurement data measured by REW V5.30.9
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Mar 9, 2024 4:11:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tigerism Helianthus R
* Measurement: R Tigerism Helianthus
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.660 158.7312
0.368865 81.653 158.7084
0.371538 81.644 158.6741
0.374230 81.632 158.6312
0.376942 81.619 158.5816
0.379673 81.604 158.5272
0.382424 81.589 158.4689
0.385196 81.574 158.4075
0.387987 81.559 158.3432
0.390798 81.543 158.2763
0.393630 81.527 158.2068
0.396483 81.511 158.1349
0.399356 81.494 158.0605
0.402250 81.478 157.9837
0.405165 81.462 157.9043
0.408101 81.445 157.8224
0.411058 81.428 157.7379
0.414037 81.411 157.6508
0.417037 81.394 157.5612
0.420059 81.377 157.4689
0.423103 81.360 157.3740
0.426169 81.343 157.2763
0.429257 81.325 157.1760
0.432367 81.308 157.0730
0.435501 81.290 156.9671
0.438656 81.272 156.8585
0.441835 81.254 156.7471
0.445037 81.236 156.6329
0.448262 81.218 156.5158
0.451510 81.199 156.3959
0.454782 81.181 156.2730
0.458077 81.162 156.1472
0.461397 81.144 156.0185
0.464740 81.125 155.8869
0.468108 81.106 155.7522
0.471500 81.086 155.6146
0.474917 81.067 155.4739
0.478358 81.048 155.3302
0.481825 81.028 155.1834
0.485316 81.008 155.0336
0.488833 80.988 154.8807
0.492375 80.968 154.7247
0.495943 80.948 154.5656
0.499537 80.928 154.4033
0.503157 80.907 154.2379
0.506803 80.887 154.0694
0.510475 80.866 153.8978
0.514174 80.845 153.7230
0.517900 80.824 153.5450
0.521653 80.803 153.3639
0.525433 80.781 153.1796
0.529241 80.760 152.9922
0.533076 80.738 152.8016
0.536939 80.716 152.6078
0.540830 80.694 152.4109
0.544749 80.672 152.2109
0.548696 80.650 152.0078
0.552673 80.627 151.8016
0.556677 80.605 151.5922
0.560711 80.582 151.3799
0.564774 80.559 151.1644
0.568867 80.536 150.9460
0.572989 80.512 150.7246
0.577141 80.489 150.5003
0.581324 80.465 150.2730
0.585536 80.442 150.0429
0.589779 80.418 149.8099
0.594053 80.393 149.5742
0.598358 80.369 149.3358
0.602694 80.345 149.0947
0.607061 80.320 148.8510
0.611460 80.295 148.6048
0.615891 80.270 148.3562
0.620354 80.245 148.1051
0.624849 80.219 147.8518
0.629377 80.194 147.5963
0.633938 80.168 147.3387
0.638532 80.142 147.0791
0.643159 80.116 146.8176
0.647819 80.089 146.5544
0.652514 80.063 146.2895
0.657242 80.036 146.0231
0.662005 80.009 145.7554
0.666802 79.982 145.4864
0.671634 79.955 145.2164
0.676501 79.927 144.9454
0.681403 79.899 144.6738
0.686341 79.871 144.4016
0.691314 79.843 144.1291
0.696324 79.815 143.8563
0.701369 79.786 143.5836
0.706452 79.757 143.3109
0.711571 79.727 143.0384
0.716727 79.696 142.7660
0.721921 79.664 142.4935
0.727153 79.630 142.2203
0.732422 79.594 141.9456
0.737729 79.556 141.6685
0.743075 79.515 141.3877
0.748460 79.472 141.1025
0.753883 79.427 140.8119
0.759346 79.381 140.5156
0.764849 79.334 140.2130
0.770391 79.287 139.9039
0.775974 79.238 139.5881
0.781597 79.189 139.2655
0.787261 79.139 138.9359
0.792965 79.088 138.5992
0.798712 79.037 138.2553
0.804499 78.984 137.9041
0.810329 78.931 137.5455
0.816201 78.878 137.1794
0.822116 78.823 136.8056
0.828073 78.767 136.4242
0.834073 78.711 136.0349
0.840118 78.654 135.6378
0.846205 78.596 135.2328
0.852337 78.536 134.8197
0.858514 78.476 134.3985
0.864735 78.415 133.9691
0.871001 78.353 133.5315
0.877313 78.290 133.0856
0.883670 78.225 132.6314
0.890074 78.160 132.1689
0.896523 78.093 131.6980
0.903020 78.025 131.2186
0.909564 77.956 130.7310
0.916155 77.886 130.2349
0.922793 77.814 129.7305
0.929480 77.741 129.2179
0.936216 77.666 128.6970
0.943000 77.590 128.1679
0.949833 77.513 127.6309
0.956716 77.434 127.0859
0.963649 77.353 126.5332
0.970632 77.271 125.9729
0.977666 77.187 125.4052
0.984750 77.101 124.8304
0.991886 77.014 124.2487
0.999074 76.925 123.6604
1.006313 76.834 123.0659
1.013605 76.741 122.4655
1.020950 76.645 121.8597
1.028349 76.548 121.2489
1.035801 76.449 120.6336
1.043306 76.348 120.0143
1.050867 76.244 119.3915
1.058482 76.138 118.7659
1.066152 76.029 118.1379
1.073878 75.918 117.5079
1.081659 75.804 116.8761
1.089498 75.686 116.2423
1.097393 75.564 115.6059
1.105345 75.438 114.9659
1.113355 75.307 114.3208
1.121422 75.170 113.6692
1.129549 75.028 113.0097
1.137734 74.879 112.3409
1.145978 74.724 111.6615
1.154283 74.563 110.9703
1.162647 74.397 110.2662
1.171072 74.225 109.5478
1.179558 74.047 108.8138
1.188106 73.865 108.0629
1.196715 73.678 107.2936
1.205387 73.487 106.5045
1.214122 73.292 105.6937
1.222920 73.093 104.8596
1.231781 72.891 104.0003
1.240708 72.687 103.1137
1.249698 72.480 102.1976
1.258754 72.271 101.2498
1.267875 72.061 100.2678
1.277063 71.850 99.2488
1.286317 71.639 98.1902
1.295638 71.428 97.0889
1.305027 71.218 95.9417
1.314484 71.009 94.7453
1.324009 70.802 93.4963
1.333603 70.598 92.1908
1.343267 70.398 90.8253
1.353001 70.202 89.3957
1.362805 70.010 87.8982
1.372681 69.824 86.3288
1.382628 69.645 84.6837
1.392647 69.473 82.9593
1.402739 69.310 81.1522
1.412904 69.155 79.2593
1.423142 69.011 77.2780
1.433455 68.877 75.2061
1.443842 68.754 73.0414
1.454305 68.643 70.7817
1.464843 68.544 68.4243
1.475458 68.456 65.9654
1.486150 68.380 63.4011
1.496919 68.314 60.7271
1.507766 68.258 57.9403
1.518692 68.212 55.0389
1.529697 68.175 52.0231
1.540782 68.148 48.8955
1.551947 68.129 45.6614
1.563193 68.120 42.3287
1.574521 68.119 38.9084
1.585931 68.126 35.4146
1.597423 68.142 31.8640
1.608998 68.165 28.2755
1.620658 68.196 24.6700
1.632402 68.235 21.0692
1.644231 68.280 17.4949
1.656146 68.333 13.9683
1.668147 68.391 10.5089
1.680235 68.456 7.1343
1.692410 68.527 3.8593
1.704674 68.603 0.6959
1.717027 68.684 -2.3469
1.729469 68.769 -5.2629
1.742002 68.859 -8.0485
1.754625 68.953 -10.7027
1.767340 69.051 -13.2265
1.780147 69.152 -15.6231
1.793046 69.257 -17.8975
1.806040 69.365 -20.0566
1.819127 69.479 -22.1094
1.832309 69.599 -24.0663
1.845587 69.726 -25.9384
1.858961 69.862 -27.7364
1.872431 70.008 -29.4688
1.886000 70.164 -31.1423
1.899666 70.330 -32.7618
1.913432 70.506 -34.3305
1.927298 70.691 -35.8508
1.941264 70.884 -37.3244
1.955331 71.084 -38.7525
1.969500 71.291 -40.1359
1.983772 71.504 -41.4751
1.998147 71.721 -42.7707
2.012626 71.941 -44.0228
2.027211 72.163 -45.2316
2.041901 72.386 -46.3972
2.056697 72.609 -47.5196
2.071601 72.830 -48.5986
2.086613 73.048 -49.6343
2.101733 73.262 -50.6264
2.116963 73.471 -51.5752
2.132303 73.673 -52.4809
2.147755 73.867 -53.3445
2.163318 74.053 -54.1675
2.178995 74.230 -54.9525
2.194785 74.399 -55.7032
2.210689 74.559 -56.4242
2.226709 74.711 -57.1202
2.242844 74.857 -57.7953
2.259097 74.996 -58.4526
2.275467 75.130 -59.0939
2.291956 75.258 -59.7203
2.308565 75.382 -60.3324
2.325294 75.501 -60.9301
2.342144 75.616 -61.5132
2.359116 75.728 -62.0812
2.376211 75.836 -62.6334
2.393430 75.942 -63.1691
2.410774 76.045 -63.6875
2.428243 76.145 -64.1875
2.445839 76.245 -64.6682
2.463562 76.342 -65.1285
2.481415 76.439 -65.5675
2.499396 76.536 -65.9842
2.517508 76.631 -66.3779
2.535750 76.727 -66.7484
2.554126 76.822 -67.0957
2.572634 76.915 -67.4205
2.591276 77.008 -67.7241
2.610054 77.098 -68.0077
2.628967 77.186 -68.2728
2.648018 77.272 -68.5208
2.667206 77.356 -68.7527
2.686534 77.438 -68.9696
2.706002 77.518 -69.1725
2.725610 77.596 -69.3623
2.745361 77.674 -69.5396
2.765255 77.750 -69.7053
2.785294 77.826 -69.8600
2.805477 77.902 -70.0042
2.825807 77.978 -70.1386
2.846284 78.055 -70.2634
2.866909 78.133 -70.3787
2.887684 78.212 -70.4846
2.908609 78.292 -70.5806
2.929686 78.373 -70.6659
2.950916 78.455 -70.7398
2.972299 78.538 -70.8017
2.993838 78.621 -70.8515
3.015532 78.705 -70.8896
3.037384 78.790 -70.9172
3.059394 78.875 -70.9357
3.081564 78.960 -70.9466
3.103894 79.046 -70.9519
3.126386 79.132 -70.9533
3.149041 79.219 -70.9527
3.171861 79.307 -70.9518
3.194845 79.396 -70.9523
3.217996 79.486 -70.9555
3.241315 79.577 -70.9622
3.264803 79.670 -70.9727
3.288461 79.764 -70.9867
3.312291 79.859 -71.0032
3.336293 79.956 -71.0210
3.360469 80.054 -71.0395
3.384820 80.154 -71.0587
3.409348 80.255 -71.0793
3.434054 80.356 -71.1025
3.458938 80.459 -71.1299
3.484003 80.562 -71.1632
3.509250 80.666 -71.2043
3.534679 80.770 -71.2550
3.560293 80.874 -71.3171
3.586092 80.978 -71.3920
3.612079 81.082 -71.4809
3.638253 81.185 -71.5845
3.664618 81.288 -71.7028
3.691173 81.392 -71.8354
3.717921 81.495 -71.9813
3.744862 81.598 -72.1398
3.771999 81.700 -72.3101
3.799332 81.803 -72.4914
3.826864 81.905 -72.6832
3.854595 82.006 -72.8852
3.882527 82.107 -73.0971
3.910661 82.207 -73.3186
3.938999 82.305 -73.5499
3.967543 82.402 -73.7910
3.996294 82.497 -74.0422
4.025252 82.591 -74.3038
4.054421 82.682 -74.5764
4.083801 82.773 -74.8600
4.113394 82.861 -75.1543
4.143201 82.948 -75.4585
4.173225 83.033 -75.7717
4.203466 83.116 -76.0924
4.233926 83.198 -76.4194
4.264606 83.278 -76.7513
4.295509 83.356 -77.0870
4.326636 83.432 -77.4257
4.357989 83.506 -77.7672
4.389569 83.579 -78.1115
4.421378 83.649 -78.4593
4.453417 83.716 -78.8109
4.485688 83.782 -79.1665
4.518193 83.845 -79.5257
4.550934 83.907 -79.8874
4.583912 83.966 -80.2503
4.617129 84.024 -80.6127
4.650587 84.080 -80.9732
4.684287 84.135 -81.3304
4.718231 84.188 -81.6832
4.752421 84.240 -82.0312
4.786859 84.290 -82.3745
4.821547 84.339 -82.7134
4.856485 84.386 -83.0484
4.891677 84.432 -83.3797
4.927125 84.476 -83.7071
4.962829 84.519 -84.0302
4.998791 84.562 -84.3486
5.035015 84.604 -84.6617
5.071500 84.646 -84.9688
5.108251 84.687 -85.2695
5.145267 84.728 -85.5635
5.182552 84.769 -85.8508
5.220107 84.810 -86.1318
5.257934 84.851 -86.4073
5.296035 84.891 -86.6781
5.334412 84.932 -86.9451
5.373067 84.973 -87.2093
5.412003 85.015 -87.4714
5.451221 85.057 -87.7318
5.490722 85.101 -87.9908
5.530510 85.145 -88.2484
5.570587 85.190 -88.5048
5.610953 85.236 -88.7606
5.651613 85.283 -89.0167
5.692567 85.330 -89.2745
5.733818 85.379 -89.5354
5.775367 85.428 -89.8007
5.817218 85.478 -90.0716
5.859372 85.529 -90.3487
5.901831 85.581 -90.6323
5.944598 85.633 -90.9226
5.987675 85.687 -91.2197
6.031065 85.741 -91.5240
6.074768 85.795 -91.8363
6.118788 85.850 -92.1572
6.163127 85.905 -92.4875
6.207788 85.960 -92.8277
6.252772 86.015 -93.1782
6.298082 86.070 -93.5389
6.343721 86.125 -93.9095
6.389690 86.179 -94.2896
6.435992 86.234 -94.6784
6.482630 86.287 -95.0753
6.529606 86.340 -95.4799
6.576922 86.392 -95.8920
6.624581 86.444 -96.3114
6.672585 86.494 -96.7378
