* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 20, 2024 12:57:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TinHifi P1 MAX 2
* Measurement: R TinHifi P1Max II
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.315 -175.7436
0.368865 79.321 -175.7552
0.371538 79.330 -175.7725
0.374230 79.342 -175.7938
0.376942 79.354 -175.8180
0.379673 79.368 -175.8440
0.382424 79.382 -175.8713
0.385196 79.396 -175.8994
0.387987 79.411 -175.9282
0.390798 79.426 -175.9575
0.393630 79.441 -175.9872
0.396483 79.456 -176.0174
0.399356 79.471 -176.0479
0.402250 79.487 -176.0789
0.405165 79.502 -176.1104
0.408101 79.518 -176.1422
0.411058 79.534 -176.1745
0.414037 79.550 -176.2072
0.417037 79.566 -176.2404
0.420059 79.582 -176.2740
0.423103 79.598 -176.3082
0.426169 79.614 -176.3428
0.429257 79.631 -176.3779
0.432368 79.647 -176.4135
0.435501 79.664 -176.4497
0.438656 79.681 -176.4864
0.441835 79.698 -176.5236
0.445037 79.715 -176.5614
0.448262 79.732 -176.5998
0.451510 79.749 -176.6387
0.454782 79.767 -176.6783
0.458077 79.784 -176.7185
0.461397 79.802 -176.7593
0.464740 79.820 -176.8007
0.468108 79.838 -176.8428
0.471500 79.856 -176.8856
0.474917 79.874 -176.9291
0.478358 79.892 -176.9733
0.481825 79.911 -177.0182
0.485316 79.930 -177.0639
0.488833 79.948 -177.1103
0.492375 79.967 -177.1575
0.495943 79.986 -177.2055
0.499537 80.005 -177.2543
0.503157 80.025 -177.3039
0.506803 80.044 -177.3544
0.510475 80.064 -177.4058
0.514175 80.083 -177.4580
0.517900 80.103 -177.5112
0.521653 80.123 -177.5653
0.525434 80.143 -177.6204
0.529241 80.164 -177.6765
0.533076 80.184 -177.7336
0.536939 80.205 -177.7917
0.540830 80.225 -177.8509
0.544749 80.246 -177.9112
0.548696 80.267 -177.9726
0.552673 80.288 -178.0351
0.556677 80.310 -178.0989
0.560711 80.331 -178.1638
0.564774 80.353 -178.2299
0.568867 80.375 -178.2973
0.572989 80.397 -178.3660
0.577141 80.419 -178.4360
0.581324 80.441 -178.5074
0.585536 80.464 -178.5802
0.589779 80.486 -178.6544
0.594053 80.509 -178.7300
0.598358 80.532 -178.8072
0.602694 80.555 -178.8859
0.607061 80.578 -178.9662
0.611460 80.602 -179.0481
0.615891 80.625 -179.1317
0.620354 80.649 -179.2170
0.624849 80.673 -179.3040
0.629377 80.697 -179.3929
0.633938 80.721 -179.4836
0.638532 80.746 -179.5761
0.643159 80.771 -179.6707
0.647819 80.795 -179.7672
0.652514 80.820 -179.8658
0.657242 80.846 -179.9664
0.662005 80.871 179.9307
0.666802 80.897 179.8257
0.671634 80.922 179.7183
0.676501 80.948 179.6086
0.681403 80.974 179.4965
0.686341 81.001 179.3819
0.691314 81.027 179.2647
0.696324 81.054 179.1450
0.701370 81.081 179.0225
0.706452 81.108 178.8972
0.711571 81.135 178.7691
0.716728 81.162 178.6380
0.721921 81.189 178.5040
0.727153 81.216 178.3668
0.732422 81.242 178.2265
0.737729 81.269 178.0829
0.743075 81.295 177.9361
0.748460 81.320 177.7860
0.753883 81.346 177.6326
0.759346 81.372 177.4760
0.764849 81.397 177.3161
0.770391 81.423 177.1530
0.775974 81.449 176.9866
0.781597 81.475 176.8171
0.787261 81.501 176.6445
0.792966 81.528 176.4688
0.798712 81.554 176.2900
0.804500 81.580 176.1081
0.810329 81.607 175.9233
0.816201 81.634 175.7355
0.822116 81.660 175.5447
0.828073 81.687 175.3511
0.834074 81.714 175.1547
0.840118 81.741 174.9554
0.846206 81.768 174.7534
0.852338 81.795 174.5487
0.858514 81.823 174.3413
0.864735 81.850 174.1312
0.871001 81.877 173.9186
0.877313 81.905 173.7034
0.883670 81.932 173.4857
0.890074 81.960 173.2656
0.896524 81.987 173.0430
0.903020 82.015 172.8181
0.909564 82.042 172.5907
0.916155 82.070 172.3611
0.922794 82.097 172.1292
0.929481 82.125 171.8951
0.936216 82.152 171.6588
0.943000 82.180 171.4204
0.949834 82.208 171.1798
0.956717 82.235 170.9372
0.963649 82.262 170.6924
0.970632 82.290 170.4457
0.977666 82.317 170.1970
0.984750 82.344 169.9463
0.991886 82.372 169.6937
0.999074 82.399 169.4391
1.006314 82.426 169.1826
1.013606 82.453 168.9243
1.020951 82.479 168.6641
1.028349 82.506 168.4019
1.035801 82.532 168.1380
1.043307 82.559 167.8721
1.050867 82.585 167.6043
1.058482 82.611 167.3346
1.066152 82.636 167.0627
1.073878 82.662 166.7887
1.081660 82.687 166.5120
1.089498 82.712 166.2324
1.097393 82.737 165.9493
1.105345 82.761 165.6620
1.113355 82.786 165.3699
1.121423 82.810 165.0724
1.129549 82.834 164.7691
1.137734 82.857 164.4600
1.145979 82.881 164.1448
1.154283 82.904 163.8237
1.162647 82.927 163.4968
1.171072 82.950 163.1642
1.179558 82.972 162.8261
1.188106 82.995 162.4826
1.196715 83.017 162.1339
1.205387 83.039 161.7803
1.214122 83.060 161.4220
1.222920 83.081 161.0592
1.231782 83.103 160.6921
1.240708 83.123 160.3210
1.249699 83.144 159.9460
1.258754 83.164 159.5677
1.267876 83.184 159.1861
1.277063 83.203 158.8015
1.286318 83.223 158.4143
1.295639 83.242 158.0248
1.305027 83.261 157.6333
1.314484 83.279 157.2401
1.324009 83.297 156.8456
1.333604 83.315 156.4500
1.343268 83.332 156.0539
1.353002 83.349 155.6575
1.362806 83.366 155.2612
1.372681 83.382 154.8655
1.382628 83.399 154.4707
1.392647 83.414 154.0771
1.402739 83.430 153.6853
1.412904 83.444 153.2955
1.423142 83.459 152.9079
1.433455 83.473 152.5225
1.443843 83.487 152.1394
1.454305 83.500 151.7580
1.464844 83.513 151.3775
1.475459 83.525 150.9969
1.486150 83.537 150.6151
1.496920 83.548 150.2313
1.507767 83.559 149.8446
1.518693 83.569 149.4549
1.529698 83.578 149.0620
1.540783 83.586 148.6658
1.551948 83.594 148.2666
1.563194 83.602 147.8644
1.574521 83.608 147.4596
1.585931 83.615 147.0523
1.597423 83.620 146.6429
1.608999 83.625 146.2318
1.620658 83.629 145.8191
1.632402 83.633 145.4054
1.644232 83.637 144.9909
1.656146 83.639 144.5762
1.668147 83.642 144.1617
1.680235 83.643 143.7477
1.692411 83.644 143.3349
1.704675 83.645 142.9238
1.717028 83.646 142.5148
1.729470 83.646 142.1085
1.742003 83.645 141.7056
1.754626 83.644 141.3066
1.767341 83.643 140.9120
1.780147 83.641 140.5224
1.793047 83.639 140.1381
1.806040 83.637 139.7592
1.819128 83.634 139.3856
1.832310 83.630 139.0170
1.845587 83.626 138.6524
1.858961 83.621 138.2913
1.872432 83.615 137.9328
1.886001 83.608 137.5765
1.899667 83.600 137.2222
1.913433 83.591 136.8698
1.927299 83.581 136.5193
1.941265 83.571 136.1710
1.955332 83.560 135.8250
1.969501 83.548 135.4818
1.983773 83.536 135.1415
1.998148 83.523 134.8047
2.012627 83.510 134.4719
2.027212 83.496 134.1434
2.041902 83.483 133.8199
2.056698 83.470 133.5019
2.071602 83.456 133.1902
2.086614 83.443 132.8853
2.101734 83.430 132.5881
2.116964 83.418 132.2994
2.132304 83.407 132.0200
2.147756 83.396 131.7507
2.163320 83.385 131.4924
2.178996 83.375 131.2460
2.194786 83.366 131.0123
2.210690 83.357 130.7917
2.226710 83.348 130.5848
2.242845 83.340 130.3917
2.259098 83.331 130.2122
2.275468 83.322 130.0461
2.291957 83.313 129.8929
2.308566 83.304 129.7523
2.325295 83.296 129.6237
2.342145 83.288 129.5065
2.359117 83.281 129.4001
2.376212 83.275 129.3038
2.393431 83.270 129.2170
2.410775 83.266 129.1389
2.428244 83.264 129.0688
2.445840 83.264 129.0061
2.463564 83.266 128.9501
2.481416 83.270 128.9002
2.499397 83.277 128.8561
2.517509 83.287 128.8180
2.535752 83.300 128.7863
2.554127 83.316 128.7623
2.572635 83.335 128.7477
2.591277 83.357 128.7441
2.610055 83.381 128.7531
2.628968 83.409 128.7750
2.648019 83.440 128.8093
2.667208 83.474 128.8549
2.686535 83.510 128.9098
2.706003 83.549 128.9720
2.725612 83.591 129.0391
2.745363 83.636 129.1083
2.765257 83.683 129.1771
2.785295 83.733 129.2426
2.805478 83.786 129.3023
2.825808 83.841 129.3536
2.846285 83.899 129.3940
2.866910 83.959 129.4219
2.887685 84.023 129.4361
2.908611 84.089 129.4364
2.929688 84.159 129.4237
2.950917 84.232 129.3997
2.972301 84.308 129.3663
2.993839 84.389 129.3248
3.015534 84.473 129.2755
3.037386 84.560 129.2181
3.059396 84.651 129.1519
3.081565 84.745 129.0753
3.103896 84.841 128.9868
3.126388 84.939 128.8848
3.149043 85.040 128.7675
3.171862 85.141 128.6331
3.194847 85.243 128.4800
3.217998 85.346 128.3068
3.241317 85.449 128.1123
3.264805 85.553 127.8958
3.288463 85.656 127.6571
3.312293 85.761 127.3967
3.336295 85.866 127.1157
3.360471 85.971 126.8152
3.384822 86.078 126.4966
3.409350 86.185 126.1609
3.434056 86.294 125.8093
3.458940 86.402 125.4424
3.484005 86.511 125.0612
3.509252 86.620 124.6661
3.534681 86.728 124.2574
3.560295 86.835 123.8354
3.586094 86.941 123.3999
3.612081 87.046 122.9505
3.638255 87.149 122.4866
3.664620 87.250 122.0074
3.691175 87.350 121.5120
3.717923 87.449 121.0004
3.744864 87.546 120.4730
3.772001 87.641 119.9311
3.799335 87.736 119.3765
3.826866 87.828 118.8115
3.854597 87.920 118.2383
3.882529 88.009 117.6591
3.910664 88.098 117.0759
3.939002 88.184 116.4903
3.967546 88.268 115.9033
3.996296 88.351 115.3150
4.025255 88.431 114.7247
4.054423 88.509 114.1313
4.083804 88.585 113.5334
4.113396 88.658 112.9307
4.143204 88.730 112.3236
4.173227 88.799 111.7135
4.203468 88.866 111.1024
4.233928 88.932 110.4927
4.264609 88.996 109.8869
4.295512 89.058 109.2872
4.326639 89.119 108.6956
4.357992 89.178 108.1131
4.389572 89.236 107.5400
4.421380 89.291 106.9758
4.453419 89.346 106.4196
4.485691 89.398 105.8704
4.518196 89.449 105.3283
4.550936 89.498 104.7936
4.583914 89.547 104.2673
4.617131 89.594 103.7507
4.650589 89.641 103.2451
4.684289 89.687 102.7522
4.718233 89.734 102.2732
4.752424 89.780 101.8088
4.786862 89.826 101.3594
4.821549 89.872 100.9247
4.856488 89.918 100.5041
4.891680 89.964 100.0967
4.927127 90.010 99.7014
4.962831 90.057 99.3174
4.998794 90.104 98.9439
5.035017 90.153 98.5803
5.071503 90.203 98.2264
5.108253 90.254 97.8823
5.145270 90.307 97.5482
5.182555 90.362 97.2242
5.220110 90.418 96.9100
5.257937 90.476 96.6041
5.296038 90.536 96.3050
5.334415 90.597 96.0103
5.373071 90.660 95.7178
5.412006 90.725 95.4255
5.451224 90.791 95.1320
5.490725 90.859 94.8363
5.530514 90.930 94.5384
5.570590 91.002 94.2381
5.610957 91.076 93.9352
5.651616 91.152 93.6286
5.692570 91.228 93.3172
5.733821 91.306 92.9994
5.775370 91.385 92.6735
5.817221 91.465 92.3382
5.859375 91.545 91.9928
5.901834 91.625 91.6370
5.944602 91.706 91.2710
5.987679 91.787 90.8953
6.031068 91.869 90.5105
6.074771 91.950 90.1169
6.118792 92.030 89.7148
6.163131 92.110 89.3043
6.207792 92.189 88.8855
6.252776 92.266 88.4582
6.298086 92.343 88.0227
6.343725 92.418 87.5799
6.389694 92.492 87.1309
6.435996 92.564 86.6774
6.482634 92.635 86.2210
6.529610 92.704 85.7632
6.576926 92.772 85.3047
6.624585 92.838 84.8463
6.672590 92.902 84.3882
6.720942 92.965 83.9311
6.769645 93.025 83.4760
6.818700 93.085 83.0244
6.868111 93.143 82.5777
6.917881 93.200 82.1373
6.968010 93.255 81.7039
7.018504 93.310 81.2779
7.069362 93.364 80.8595
