* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 1, 2024 4:27:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Truthear Gate L
* Measurement: L Truthear Gate
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.857 173.3647
0.368865 79.853 173.3544
0.371538 79.847 173.3391
0.374230 79.840 173.3198
0.376942 79.832 173.2977
0.379673 79.823 173.2735
0.382424 79.814 173.2477
0.385196 79.805 173.2206
0.387987 79.795 173.1923
0.390798 79.786 173.1630
0.393630 79.776 173.1328
0.396483 79.766 173.1015
0.399356 79.757 173.0693
0.402250 79.747 173.0362
0.405165 79.737 173.0021
0.408101 79.727 172.9669
0.411058 79.716 172.9309
0.414037 79.706 172.8938
0.417037 79.696 172.8557
0.420059 79.686 172.8166
0.423103 79.675 172.7765
0.426169 79.665 172.7354
0.429257 79.654 172.6932
0.432368 79.643 172.6500
0.435501 79.633 172.6057
0.438656 79.622 172.5603
0.441835 79.611 172.5139
0.445037 79.600 172.4664
0.448262 79.589 172.4179
0.451510 79.578 172.3682
0.454782 79.567 172.3174
0.458077 79.555 172.2655
0.461397 79.544 172.2125
0.464740 79.532 172.1583
0.468108 79.521 172.1031
0.471500 79.509 172.0467
0.474917 79.498 171.9891
0.478358 79.486 171.9304
0.481825 79.474 171.8705
0.485316 79.462 171.8094
0.488833 79.450 171.7472
0.492375 79.438 171.6839
0.495943 79.426 171.6193
0.499537 79.413 171.5535
0.503157 79.401 171.4866
0.506803 79.388 171.4184
0.510475 79.376 171.3491
0.514175 79.363 171.2785
0.517900 79.350 171.2068
0.521653 79.337 171.1338
0.525434 79.324 171.0597
0.529241 79.311 170.9843
0.533076 79.298 170.9077
0.536939 79.285 170.8299
0.540830 79.272 170.7509
0.544749 79.258 170.6706
0.548696 79.245 170.5892
0.552673 79.231 170.5065
0.556677 79.217 170.4227
0.560711 79.204 170.3376
0.564774 79.190 170.2513
0.568867 79.176 170.1638
0.572989 79.162 170.0752
0.577141 79.147 169.9853
0.581324 79.133 169.8943
0.585536 79.119 169.8021
0.589779 79.104 169.7087
0.594053 79.089 169.6141
0.598358 79.075 169.5184
0.602694 79.060 169.4216
0.607061 79.045 169.3237
0.611460 79.030 169.2246
0.615891 79.015 169.1244
0.620354 78.999 169.0231
0.624849 78.984 168.9208
0.629377 78.968 168.8174
0.633938 78.953 168.7129
0.638532 78.937 168.6075
0.643159 78.921 168.5010
0.647819 78.905 168.3936
0.652514 78.889 168.2852
0.657242 78.873 168.1759
0.662005 78.857 168.0656
0.666802 78.840 167.9545
0.671634 78.824 167.8426
0.676501 78.807 167.7298
0.681403 78.790 167.6163
0.686341 78.773 167.5020
0.691314 78.756 167.3870
0.696324 78.739 167.2713
0.701370 78.721 167.1549
0.706452 78.703 167.0379
0.711571 78.685 166.9202
0.716728 78.666 166.8016
0.721921 78.646 166.6822
0.727153 78.624 166.5616
0.732422 78.601 166.4394
0.737729 78.575 166.3152
0.743075 78.548 166.1886
0.748460 78.520 166.0592
0.753883 78.490 165.9265
0.759346 78.460 165.7905
0.764849 78.429 165.6510
0.770391 78.398 165.5079
0.775974 78.367 165.3611
0.781597 78.335 165.2106
0.787261 78.304 165.0563
0.792966 78.272 164.8982
0.798712 78.240 164.7364
0.804500 78.208 164.5707
0.810329 78.175 164.4012
0.816201 78.142 164.2278
0.822116 78.108 164.0505
0.828073 78.074 163.8693
0.834074 78.040 163.6843
0.840118 78.005 163.4953
0.846206 77.969 163.3024
0.852338 77.933 163.1056
0.858514 77.896 162.9049
0.864735 77.857 162.7003
0.871001 77.819 162.4917
0.877313 77.779 162.2792
0.883670 77.738 162.0628
0.890074 77.696 161.8425
0.896524 77.652 161.6184
0.903020 77.608 161.3904
0.909564 77.562 161.1586
0.916155 77.514 160.9229
0.922794 77.466 160.6835
0.929481 77.415 160.4404
0.936216 77.363 160.1935
0.943000 77.309 159.9431
0.949834 77.253 159.6890
0.956717 77.195 159.4314
0.963649 77.134 159.1704
0.970632 77.072 158.9060
0.977666 77.007 158.6383
0.984750 76.940 158.3674
0.991886 76.870 158.0934
0.999074 76.797 157.8164
1.006314 76.721 157.5365
1.013606 76.643 157.2539
1.020951 76.561 156.9687
1.028349 76.476 156.6810
1.035801 76.387 156.3910
1.043307 76.295 156.0989
1.050867 76.199 155.8048
1.058482 76.099 155.5087
1.066152 75.994 155.2109
1.073878 75.885 154.9111
1.081660 75.771 154.6091
1.089498 75.651 154.3043
1.097393 75.525 153.9959
1.105345 75.391 153.6826
1.113355 75.249 153.3630
1.121423 75.099 153.0358
1.129549 74.939 152.7000
1.137734 74.770 152.3545
1.145979 74.591 151.9986
1.154283 74.403 151.6316
1.162647 74.207 151.2529
1.171072 74.001 150.8618
1.179558 73.788 150.4578
1.188106 73.567 150.0403
1.196715 73.339 149.6084
1.205387 73.104 149.1615
1.214122 72.863 148.6988
1.222920 72.617 148.2194
1.231782 72.365 147.7224
1.240708 72.109 147.2068
1.249699 71.850 146.6714
1.258754 71.587 146.1151
1.267876 71.323 145.5364
1.277063 71.057 144.9340
1.286318 70.790 144.3062
1.295639 70.524 143.6512
1.305027 70.258 142.9670
1.314484 69.995 142.2514
1.324009 69.735 141.5019
1.333604 69.479 140.7157
1.343268 69.229 139.8896
1.353002 68.984 139.0201
1.362806 68.747 138.1031
1.372681 68.519 137.1339
1.382628 68.301 136.1072
1.392647 68.094 135.0167
1.402739 67.901 133.8551
1.412904 67.721 132.6135
1.423142 67.557 131.2815
1.433455 67.409 129.8458
1.443843 67.279 128.2899
1.454305 67.168 126.5927
1.464844 67.075 124.7270
1.475459 67.000 122.6586
1.486150 66.942 120.3453
1.496920 66.901 117.7365
1.507767 66.876 114.7720
1.518693 66.866 111.3809
1.529698 66.872 107.4810
1.540783 66.891 102.9802
1.551948 66.925 97.7825
1.563194 66.972 91.8016
1.574521 67.033 84.9853
1.585931 67.106 77.3530
1.597423 67.192 69.0339
1.608999 67.290 60.2841
1.620658 67.399 51.4565
1.632402 67.520 42.9215
1.644232 67.651 34.9772
1.656146 67.792 27.8000
1.668147 67.942 21.4456
1.680235 68.101 15.8837
1.692411 68.269 11.0373
1.704675 68.444 6.8120
1.717028 68.626 3.1137
1.729470 68.814 -0.1425
1.742003 69.007 -3.0303
1.754626 69.206 -5.6114
1.767341 69.409 -7.9371
1.780147 69.617 -10.0497
1.793047 69.829 -11.9838
1.806040 70.047 -13.7681
1.819128 70.271 -15.4259
1.832310 70.503 -16.9761
1.845587 70.746 -18.4339
1.858961 71.002 -19.8111
1.872432 71.271 -21.1169
1.886001 71.555 -22.3586
1.899667 71.852 -23.5421
1.913433 72.163 -24.6726
1.927299 72.487 -25.7544
1.941265 72.821 -26.7915
1.955332 73.166 -27.7874
1.969501 73.518 -28.7454
1.983773 73.878 -29.6683
1.998148 74.242 -30.5591
2.012627 74.610 -31.4200
2.027212 74.980 -32.2536
2.041902 75.350 -33.0620
2.056698 75.718 -33.8471
2.071602 76.082 -34.6110
2.086614 76.441 -35.3554
2.101734 76.792 -36.0821
2.116964 77.134 -36.7929
2.132304 77.465 -37.4896
2.147756 77.784 -38.1739
2.163320 78.090 -38.8479
2.178996 78.381 -39.5138
2.194786 78.659 -40.1738
2.210690 78.924 -40.8303
2.226710 79.176 -41.4850
2.242845 79.417 -42.1389
2.259098 79.648 -42.7925
2.275468 79.870 -43.4455
2.291957 80.083 -44.0974
2.308566 80.288 -44.7473
2.325295 80.485 -45.3944
2.342145 80.675 -46.0379
2.359117 80.859 -46.6769
2.376212 81.037 -47.3108
2.393431 81.211 -47.9387
2.410775 81.379 -48.5602
2.428244 81.544 -49.1747
2.445840 81.706 -49.7818
2.463564 81.865 -50.3812
2.481416 82.023 -50.9730
2.499397 82.179 -51.5572
2.517509 82.334 -52.1346
2.535752 82.488 -52.7061
2.554127 82.641 -53.2735
2.572635 82.793 -53.8387
2.591277 82.942 -54.4039
2.610055 83.088 -54.9706
2.628968 83.230 -55.5397
2.648019 83.369 -56.1112
2.667208 83.504 -56.6845
2.686535 83.635 -57.2589
2.706003 83.763 -57.8332
2.725612 83.887 -58.4061
2.745363 84.008 -58.9765
2.765257 84.126 -59.5429
2.785295 84.242 -60.1041
2.805478 84.355 -60.6590
2.825808 84.466 -61.2066
2.846285 84.575 -61.7459
2.866910 84.683 -62.2766
2.887685 84.789 -62.7985
2.908611 84.893 -63.3125
2.929688 84.996 -63.8197
2.950917 85.096 -64.3219
2.972301 85.194 -64.8209
2.993839 85.289 -65.3179
3.015534 85.382 -65.8136
3.037386 85.471 -66.3078
3.059396 85.558 -66.8001
3.081565 85.643 -67.2895
3.103896 85.725 -67.7751
3.126388 85.805 -68.2556
3.149043 85.884 -68.7298
3.171862 85.960 -69.1963
3.194847 86.036 -69.6539
3.217998 86.110 -70.1016
3.241317 86.182 -70.5386
3.264805 86.254 -70.9646
3.288463 86.324 -71.3797
3.312293 86.394 -71.7846
3.336295 86.461 -72.1804
3.360471 86.527 -72.5680
3.384822 86.591 -72.9482
3.409350 86.653 -73.3214
3.434056 86.714 -73.6878
3.458940 86.773 -74.0473
3.484005 86.831 -74.3999
3.509252 86.888 -74.7450
3.534681 86.945 -75.0823
3.560295 87.001 -75.4113
3.586094 87.056 -75.7315
3.612081 87.112 -76.0424
3.638255 87.168 -76.3435
3.664620 87.223 -76.6345
3.691175 87.278 -76.9154
3.717923 87.333 -77.1863
3.744864 87.388 -77.4476
3.772001 87.442 -77.7002
3.799335 87.496 -77.9447
3.826866 87.550 -78.1822
3.854597 87.604 -78.4136
3.882529 87.658 -78.6399
3.910664 87.712 -78.8618
3.939002 87.767 -79.0801
3.967546 87.822 -79.2951
3.996296 87.879 -79.5069
4.025255 87.936 -79.7154
4.054423 87.995 -79.9201
4.083804 88.054 -80.1207
4.113396 88.114 -80.3173
4.143204 88.174 -80.5104
4.173227 88.236 -80.7012
4.203468 88.298 -80.8911
4.233928 88.361 -81.0815
4.264609 88.424 -81.2742
4.295512 88.488 -81.4705
4.326639 88.553 -81.6718
4.357992 88.619 -81.8789
4.389572 88.685 -82.0920
4.421380 88.752 -82.3111
4.453419 88.820 -82.5357
4.485691 88.888 -82.7657
4.518196 88.958 -83.0012
4.550936 89.027 -83.2425
4.583914 89.097 -83.4903
4.617131 89.167 -83.7453
4.650589 89.238 -84.0084
4.684289 89.308 -84.2804
4.718233 89.377 -84.5622
4.752424 89.447 -84.8541
4.786862 89.516 -85.1564
4.821549 89.585 -85.4689
4.856488 89.653 -85.7914
4.891680 89.721 -86.1233
4.927127 89.788 -86.4638
4.962831 89.855 -86.8126
4.998794 89.921 -87.1689
5.035017 89.986 -87.5325
5.071503 90.050 -87.9033
5.108253 90.113 -88.2813
5.145270 90.174 -88.6666
5.182555 90.234 -89.0596
5.220110 90.292 -89.4601
5.257937 90.350 -89.8672
5.296038 90.406 -90.2801
5.334415 90.460 -90.6975
5.373071 90.514 -91.1180
5.412006 90.566 -91.5404
5.451224 90.616 -91.9641
5.490725 90.666 -92.3885
5.530514 90.713 -92.8138
5.570590 90.760 -93.2400
5.610957 90.804 -93.6670
5.651616 90.848 -94.0942
5.692570 90.890 -94.5207
5.733821 90.932 -94.9455
5.775370 90.972 -95.3675
5.817221 91.012 -95.7858
5.859375 91.051 -96.1998
5.901834 91.089 -96.6094
5.944602 91.126 -97.0147
5.987679 91.163 -97.4159
6.031068 91.199 -97.8131
6.074771 91.235 -98.2065
6.118792 91.272 -98.5959
6.163131 91.308 -98.9812
6.207792 91.344 -99.3622
6.252776 91.381 -99.7389
6.298086 91.418 -100.1114
6.343725 91.456 -100.4802
6.389694 91.494 -100.8459
6.435996 91.532 -101.2095
6.482634 91.572 -101.5719
6.529610 91.612 -101.9339
6.576926 91.653 -102.2961
6.624585 91.695 -102.6589
6.672590 91.737 -103.0225
6.720942 91.781 -103.3874
