* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 2, 2025 6:27:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Timeless 2 Gold Bullet L
* Measurement: L Timeless 2 Gold Bullet
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 95.287 156.7093
0.368865 95.280 156.6853
0.371538 95.269 156.6492
0.374230 95.256 156.6039
0.376942 95.241 156.5516
0.379673 95.225 156.4941
0.382424 95.209 156.4324
0.385196 95.192 156.3672
0.387987 95.174 156.2990
0.390798 95.157 156.2280
0.393630 95.139 156.1541
0.396483 95.121 156.0776
0.399356 95.103 155.9983
0.402250 95.085 155.9162
0.405165 95.067 155.8315
0.408101 95.048 155.7439
0.411058 95.030 155.6535
0.414037 95.011 155.5603
0.417037 94.992 155.4642
0.420059 94.973 155.3653
0.423103 94.954 155.2634
0.426169 94.935 155.1586
0.429257 94.915 155.0507
0.432368 94.896 154.9399
0.435501 94.876 154.8261
0.438656 94.856 154.7092
0.441835 94.836 154.5891
0.445037 94.816 154.4660
0.448262 94.796 154.3398
0.451510 94.776 154.2104
0.454782 94.755 154.0777
0.458077 94.734 153.9419
0.461397 94.713 153.8029
0.464740 94.692 153.6605
0.468108 94.671 153.5149
0.471500 94.650 153.3660
0.474917 94.629 153.2138
0.478358 94.607 153.0582
0.481825 94.585 152.8993
0.485316 94.563 152.7370
0.488833 94.541 152.5713
0.492375 94.519 152.4021
0.495943 94.496 152.2296
0.499537 94.474 152.0536
0.503157 94.451 151.8742
0.506803 94.428 151.6913
0.510475 94.405 151.5050
0.514175 94.382 151.3152
0.517900 94.359 151.1220
0.521653 94.335 150.9252
0.525434 94.311 150.7250
0.529241 94.287 150.5214
0.533076 94.263 150.3142
0.536939 94.239 150.1037
0.540830 94.215 149.8897
0.544749 94.190 149.6722
0.548696 94.165 149.4514
0.552673 94.140 149.2272
0.556677 94.115 148.9996
0.560711 94.090 148.7686
0.564774 94.064 148.5344
0.568867 94.038 148.2969
0.572989 94.013 148.0562
0.577141 93.987 147.8123
0.581324 93.960 147.5652
0.585536 93.934 147.3151
0.589779 93.907 147.0619
0.594053 93.880 146.8058
0.598358 93.853 146.5468
0.602694 93.826 146.2849
0.607061 93.799 146.0203
0.611460 93.771 145.7531
0.615891 93.743 145.4833
0.620354 93.715 145.2110
0.624849 93.687 144.9363
0.629377 93.658 144.6594
0.633938 93.630 144.3804
0.638532 93.601 144.0994
0.643159 93.572 143.8165
0.647819 93.543 143.5319
0.652514 93.513 143.2458
0.657242 93.484 142.9582
0.662005 93.454 142.6694
0.666802 93.423 142.3797
0.671634 93.393 142.0890
0.676501 93.363 141.7978
0.681403 93.332 141.5061
0.686341 93.301 141.2142
0.691314 93.269 140.9223
0.696324 93.238 140.6308
0.701370 93.206 140.3396
0.706452 93.173 140.0491
0.711571 93.140 139.7593
0.716728 93.106 139.4702
0.721921 93.070 139.1814
0.727153 93.032 138.8924
0.732422 92.991 138.6023
0.737729 92.948 138.3099
0.743075 92.901 138.0139
0.748460 92.852 137.7132
0.753883 92.802 137.4069
0.759346 92.750 137.0944
0.764849 92.697 136.7752
0.770391 92.644 136.4489
0.775974 92.589 136.1154
0.781597 92.534 135.7745
0.787261 92.479 135.4260
0.792966 92.422 135.0697
0.798712 92.365 134.7056
0.804500 92.308 134.3335
0.810329 92.249 133.9533
0.816201 92.190 133.5648
0.822116 92.130 133.1679
0.828073 92.068 132.7626
0.834074 92.006 132.3486
0.840118 91.943 131.9260
0.846206 91.879 131.4945
0.852338 91.814 131.0542
0.858514 91.748 130.6048
0.864735 91.680 130.1464
0.871001 91.611 129.6788
0.877313 91.541 129.2020
0.883670 91.469 128.7159
0.890074 91.396 128.2205
0.896524 91.322 127.7157
0.903020 91.245 127.2016
0.909564 91.168 126.6780
0.916155 91.088 126.1452
0.922794 91.006 125.6030
0.929481 90.923 125.0515
0.936216 90.838 124.4908
0.943000 90.750 123.9211
0.949834 90.660 123.3424
0.956717 90.568 122.7549
0.963649 90.474 122.1588
0.970632 90.377 121.5543
0.977666 90.278 120.9418
0.984750 90.176 120.3214
0.991886 90.072 119.6937
0.999074 89.964 119.0588
1.006314 89.854 118.4174
1.013606 89.740 117.7700
1.020951 89.623 117.1169
1.028349 89.503 116.4590
1.035801 89.379 115.7969
1.043307 89.252 115.1312
1.050867 89.121 114.4628
1.058482 88.986 113.7925
1.066152 88.847 113.1209
1.073878 88.703 112.4486
1.081660 88.554 111.7761
1.089498 88.399 111.1030
1.097393 88.237 110.4289
1.105345 88.067 109.7523
1.113355 87.889 109.0715
1.121423 87.700 108.3845
1.129549 87.501 107.6895
1.137734 87.292 106.9846
1.145979 87.071 106.2681
1.154283 86.840 105.5384
1.162647 86.599 104.7936
1.171072 86.349 104.0320
1.179558 86.089 103.2516
1.188106 85.820 102.4505
1.196715 85.543 101.6263
1.205387 85.259 100.7766
1.214122 84.968 99.8987
1.222920 84.672 98.9896
1.231782 84.369 98.0461
1.240708 84.063 97.0645
1.249699 83.752 96.0409
1.258754 83.439 94.9708
1.267876 83.125 93.8493
1.277063 82.809 92.6708
1.286318 82.493 91.4296
1.295639 82.179 90.1186
1.305027 81.867 88.7304
1.314484 81.558 87.2568
1.324009 81.255 85.6885
1.333604 80.957 84.0152
1.343268 80.667 82.2259
1.353002 80.385 80.3083
1.362806 80.114 78.2491
1.372681 79.855 76.0343
1.382628 79.610 73.6490
1.392647 79.380 71.0780
1.402739 79.167 68.3062
1.412904 78.973 65.3191
1.423142 78.800 62.1038
1.433455 78.650 58.6492
1.443843 78.524 54.9468
1.454305 78.423 50.9907
1.464844 78.350 46.7775
1.475459 78.303 42.3066
1.486150 78.283 37.5832
1.496920 78.291 32.6215
1.507767 78.324 27.4492
1.518693 78.383 22.1087
1.529698 78.466 16.6565
1.540783 78.572 11.1599
1.551948 78.701 5.6916
1.563194 78.851 0.3233
1.574521 79.020 -4.8811
1.585931 79.208 -9.8694
1.597423 79.413 -14.6041
1.608999 79.633 -19.0622
1.620658 79.868 -23.2337
1.632402 80.115 -27.1192
1.644232 80.373 -30.7273
1.656146 80.641 -34.0718
1.668147 80.916 -37.1696
1.680235 81.196 -40.0392
1.692411 81.481 -42.6993
1.704675 81.767 -45.1682
1.717028 82.054 -47.4633
1.729470 82.338 -49.6007
1.742003 82.619 -51.5956
1.754626 82.893 -53.4617
1.767341 83.160 -55.2120
1.780147 83.419 -56.8587
1.793047 83.667 -58.4137
1.806040 83.905 -59.8892
1.819128 84.133 -61.2974
1.832310 84.352 -62.6513
1.845587 84.565 -63.9629
1.858961 84.775 -65.2427
1.872432 84.982 -66.4982
1.886001 85.188 -67.7341
1.899667 85.393 -68.9528
1.913433 85.599 -70.1554
1.927299 85.805 -71.3417
1.941265 86.011 -72.5111
1.955332 86.216 -73.6627
1.969501 86.420 -74.7952
1.983773 86.624 -75.9075
1.998148 86.826 -76.9984
2.012627 87.027 -78.0667
2.027212 87.225 -79.1111
2.041902 87.421 -80.1306
2.056698 87.614 -81.1241
2.071602 87.803 -82.0904
2.086614 87.989 -83.0287
2.101734 88.170 -83.9383
2.116964 88.346 -84.8187
2.132304 88.517 -85.6698
2.147756 88.683 -86.4924
2.163320 88.842 -87.2882
2.178996 88.995 -88.0602
2.194786 89.141 -88.8129
2.210690 89.279 -89.5519
2.226710 89.411 -90.2828
2.242845 89.536 -91.0101
2.259098 89.654 -91.7366
2.275468 89.766 -92.4639
2.291957 89.871 -93.1920
2.308566 89.970 -93.9204
2.325295 90.063 -94.6479
2.342145 90.150 -95.3729
2.359117 90.233 -96.0937
2.376212 90.311 -96.8084
2.393431 90.385 -97.5149
2.410775 90.455 -98.2111
2.428244 90.521 -98.8949
2.445840 90.585 -99.5641
2.463564 90.646 -100.2168
2.481416 90.705 -100.8513
2.499397 90.762 -101.4666
2.517509 90.817 -102.0626
2.535752 90.871 -102.6403
2.554127 90.923 -103.2018
2.572635 90.972 -103.7499
2.591277 91.019 -104.2865
2.610055 91.062 -104.8124
2.628968 91.102 -105.3270
2.648019 91.137 -105.8295
2.667208 91.169 -106.3189
2.686535 91.198 -106.7944
2.706003 91.223 -107.2553
2.725612 91.245 -107.7011
2.745363 91.264 -108.1314
2.765257 91.281 -108.5458
2.785295 91.296 -108.9442
2.805478 91.309 -109.3262
2.825808 91.321 -109.6916
2.846285 91.332 -110.0402
2.866910 91.343 -110.3715
2.887685 91.353 -110.6851
2.908611 91.363 -110.9804
2.929688 91.372 -111.2567
2.950917 91.380 -111.5133
2.972301 91.386 -111.7496
2.993839 91.391 -111.9658
3.015534 91.395 -112.1620
3.037386 91.396 -112.3389
3.059396 91.397 -112.4974
3.081565 91.396 -112.6383
3.103896 91.395 -112.7627
3.126388 91.394 -112.8717
3.149043 91.392 -112.9663
3.171862 91.392 -113.0476
3.194847 91.393 -113.1163
3.217998 91.395 -113.1730
3.241317 91.400 -113.2178
3.264805 91.407 -113.2500
3.288463 91.416 -113.2686
3.312293 91.427 -113.2718
3.336295 91.441 -113.2580
3.360471 91.457 -113.2266
3.384822 91.475 -113.1778
3.409350 91.495 -113.1134
3.434056 91.517 -113.0360
3.458940 91.540 -112.9487
3.484005 91.565 -112.8554
3.509252 91.593 -112.7598
3.534681 91.622 -112.6659
3.560295 91.653 -112.5775
3.586094 91.687 -112.4979
3.612081 91.723 -112.4294
3.638255 91.762 -112.3735
3.664620 91.803 -112.3300
3.691175 91.848 -112.2979
3.717923 91.895 -112.2759
3.744864 91.945 -112.2631
3.772001 91.998 -112.2597
3.799335 92.054 -112.2665
3.826866 92.111 -112.2849
3.854597 92.170 -112.3169
3.882529 92.229 -112.3645
3.910664 92.290 -112.4300
3.939002 92.350 -112.5155
3.967546 92.410 -112.6230
3.996296 92.470 -112.7539
4.025255 92.529 -112.9094
4.054423 92.588 -113.0895
4.083804 92.646 -113.2940
4.113396 92.704 -113.5218
4.143204 92.762 -113.7716
4.173227 92.820 -114.0419
4.203468 92.877 -114.3313
4.233928 92.932 -114.6383
4.264609 92.986 -114.9616
4.295512 93.037 -115.3006
4.326639 93.086 -115.6547
4.357992 93.133 -116.0243
4.389572 93.176 -116.4103
4.421380 93.216 -116.8136
4.453419 93.254 -117.2352
4.485691 93.288 -117.6747
4.518196 93.319 -118.1307
4.550936 93.348 -118.6008
4.583914 93.373 -119.0820
4.617131 93.396 -119.5707
4.650589 93.415 -120.0638
4.684289 93.431 -120.5585
4.718233 93.444 -121.0532
4.752424 93.453 -121.5472
4.786862 93.459 -122.0411
4.821549 93.461 -122.5359
4.856488 93.459 -123.0321
4.891680 93.454 -123.5290
4.927127 93.445 -124.0249
4.962831 93.434 -124.5173
4.998794 93.420 -125.0031
5.035017 93.403 -125.4791
5.071503 93.385 -125.9425
5.108253 93.364 -126.3912
5.145270 93.341 -126.8241
5.182555 93.316 -127.2410
5.220110 93.289 -127.6425
5.257937 93.260 -128.0288
5.296038 93.230 -128.4003
5.334415 93.199 -128.7567
5.373071 93.168 -129.0977
5.412006 93.137 -129.4222
5.451224 93.107 -129.7294
5.490725 93.078 -130.0179
5.530514 93.050 -130.2869
5.570590 93.023 -130.5364
5.610957 92.998 -130.7675
5.651616 92.975 -130.9822
5.692570 92.953 -131.1834
5.733821 92.934 -131.3743
5.775370 92.918 -131.5576
5.817221 92.906 -131.7356
5.859375 92.897 -131.9095
5.901834 92.892 -132.0799
5.944602 92.891 -132.2474
5.987679 92.894 -132.4136
6.031068 92.901 -132.5812
6.074771 92.910 -132.7539
6.118792 92.924 -132.9356
6.163131 92.940 -133.1299
6.207792 92.959 -133.3397
6.252776 92.981 -133.5663
6.298086 93.007 -133.8105
6.343725 93.034 -134.0724
6.389694 93.065 -134.3522
6.435996 93.097 -134.6503
6.482634 93.130 -134.9678
6.529610 93.164 -135.3054
6.576926 93.198 -135.6640
6.624585 93.232 -136.0441
