* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 2, 2025 6:32:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7hz Timeless 2 Silver Bullet
* Measurement: L Timeless 2 Silver Bullet
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 95.184 156.9185
0.368865 95.177 156.8946
0.371538 95.166 156.8587
0.374230 95.154 156.8136
0.376942 95.139 156.7615
0.379673 95.124 156.7042
0.382424 95.108 156.6428
0.385196 95.092 156.5780
0.387987 95.075 156.5101
0.390798 95.058 156.4395
0.393630 95.041 156.3660
0.396483 95.023 156.2899
0.399356 95.006 156.2111
0.402250 94.988 156.1296
0.405165 94.971 156.0454
0.408101 94.953 155.9585
0.411058 94.935 155.8687
0.414037 94.917 155.7762
0.417037 94.899 155.6808
0.420059 94.880 155.5826
0.423103 94.862 155.4815
0.426169 94.843 155.3775
0.429257 94.825 155.2706
0.432368 94.806 155.1606
0.435501 94.787 155.0477
0.438656 94.768 154.9318
0.441835 94.748 154.8129
0.445037 94.729 154.6908
0.448262 94.709 154.5657
0.451510 94.690 154.4374
0.454782 94.670 154.3060
0.458077 94.650 154.1715
0.461397 94.630 154.0337
0.464740 94.609 153.8928
0.468108 94.589 153.7486
0.471500 94.568 153.6011
0.474917 94.548 153.4504
0.478358 94.527 153.2964
0.481825 94.506 153.1391
0.485316 94.485 152.9784
0.488833 94.463 152.8144
0.492375 94.442 152.6471
0.495943 94.420 152.4763
0.499537 94.398 152.3022
0.503157 94.376 152.1248
0.506803 94.354 151.9439
0.510475 94.332 151.7596
0.514175 94.310 151.5719
0.517900 94.287 151.3808
0.521653 94.264 151.1863
0.525434 94.241 150.9884
0.529241 94.218 150.7871
0.533076 94.195 150.5824
0.536939 94.172 150.3743
0.540830 94.148 150.1628
0.544749 94.124 149.9480
0.548696 94.100 149.7298
0.552673 94.076 149.5083
0.556677 94.052 149.2835
0.560711 94.027 149.0554
0.564774 94.003 148.8241
0.568867 93.978 148.5895
0.572989 93.953 148.3519
0.577141 93.928 148.1110
0.581324 93.902 147.8671
0.585536 93.877 147.6202
0.589779 93.851 147.3703
0.594053 93.825 147.1175
0.598358 93.799 146.8619
0.602694 93.773 146.6035
0.607061 93.746 146.3424
0.611460 93.720 146.0787
0.615891 93.693 145.8125
0.620354 93.666 145.5438
0.624849 93.638 145.2729
0.629377 93.611 144.9998
0.633938 93.583 144.7245
0.638532 93.555 144.4473
0.643159 93.527 144.1683
0.647819 93.499 143.8876
0.652514 93.471 143.6054
0.657242 93.442 143.3219
0.662005 93.413 143.0371
0.666802 93.384 142.7513
0.671634 93.355 142.4647
0.676501 93.325 142.1774
0.681403 93.295 141.8897
0.686341 93.265 141.6019
0.691314 93.235 141.3140
0.696324 93.205 141.0264
0.701370 93.174 140.7393
0.706452 93.142 140.4527
0.711571 93.110 140.1668
0.716728 93.077 139.8815
0.721921 93.043 139.5965
0.727153 93.006 139.3114
0.732422 92.967 139.0251
0.737729 92.925 138.7366
0.743075 92.881 138.4446
0.748460 92.834 138.1480
0.753883 92.786 137.8459
0.759346 92.737 137.5379
0.764849 92.686 137.2233
0.770391 92.635 136.9019
0.775974 92.583 136.5736
0.781597 92.531 136.2380
0.787261 92.478 135.8951
0.792966 92.424 135.5448
0.798712 92.370 135.1868
0.804500 92.315 134.8212
0.810329 92.260 134.4477
0.816201 92.203 134.0663
0.822116 92.146 133.6769
0.828073 92.088 133.2794
0.834074 92.029 132.8737
0.840118 91.969 132.4596
0.846206 91.908 132.0371
0.852338 91.847 131.6062
0.858514 91.784 131.1667
0.864735 91.719 130.7186
0.871001 91.654 130.2618
0.877313 91.587 129.7963
0.883670 91.520 129.3220
0.890074 91.450 128.8389
0.896524 91.379 128.3470
0.903020 91.307 127.8464
0.909564 91.233 127.3369
0.916155 91.158 126.8187
0.922794 91.080 126.2918
0.929481 91.001 125.7563
0.936216 90.920 125.2123
0.943000 90.837 124.6598
0.949834 90.752 124.0992
0.956717 90.664 123.5304
0.963649 90.575 122.9538
0.970632 90.483 122.3697
0.977666 90.389 121.7781
0.984750 90.292 121.1796
0.991886 90.192 120.5744
0.999074 90.090 119.9630
1.006314 89.985 119.3458
1.013606 89.877 118.7233
1.020951 89.765 118.0961
1.028349 89.651 117.4648
1.035801 89.533 116.8301
1.043307 89.412 116.1926
1.050867 89.287 115.5532
1.058482 89.158 114.9127
1.066152 89.026 114.2716
1.073878 88.888 113.6306
1.081660 88.746 112.9901
1.089498 88.598 112.3501
1.097393 88.444 111.7099
1.105345 88.283 111.0684
1.113355 88.113 110.4240
1.121423 87.935 109.7751
1.129549 87.747 109.1200
1.137734 87.549 108.4572
1.145979 87.341 107.7851
1.154283 87.123 107.1025
1.162647 86.897 106.4078
1.171072 86.661 105.6996
1.179558 86.418 104.9764
1.188106 86.166 104.2365
1.196715 85.906 103.4782
1.205387 85.640 102.6994
1.214122 85.368 101.8982
1.222920 85.090 101.0722
1.231782 84.806 100.2189
1.240708 84.519 99.3355
1.249699 84.228 98.4192
1.258754 83.934 97.4664
1.267876 83.639 96.4737
1.277063 83.342 95.4369
1.286318 83.045 94.3518
1.295639 82.749 93.2133
1.305027 82.454 92.0161
1.314484 82.162 90.7544
1.324009 81.874 89.4215
1.333604 81.591 88.0104
1.343268 81.314 86.5131
1.353002 81.044 84.9212
1.362806 80.783 83.2254
1.372681 80.532 81.4156
1.382628 80.293 79.4812
1.392647 80.066 77.4109
1.402739 79.854 75.1932
1.412904 79.658 72.8159
1.423142 79.480 70.2671
1.433455 79.321 67.5346
1.443843 79.182 64.6060
1.454305 79.065 61.4683
1.464844 78.970 58.1071
1.475459 78.897 54.5062
1.486150 78.846 50.6491
1.496920 78.816 46.5216
1.507767 78.808 42.1148
1.518693 78.820 37.4295
1.529698 78.851 32.4790
1.540783 78.901 27.2920
1.551948 78.970 21.9138
1.563194 79.055 16.4054
1.574521 79.156 10.8397
1.585931 79.273 5.2959
1.597423 79.405 -0.1483
1.608999 79.550 -5.4233
1.620658 79.707 -10.4726
1.632402 79.876 -15.2560
1.644232 80.055 -19.7493
1.656146 80.242 -23.9425
1.668147 80.438 -27.8372
1.680235 80.640 -31.4433
1.692411 80.848 -34.7762
1.704675 81.059 -37.8544
1.717028 81.272 -40.6980
1.729470 81.487 -43.3272
1.742003 81.701 -45.7617
1.754626 81.914 -48.0204
1.767341 82.123 -50.1208
1.780147 82.329 -52.0800
1.793047 82.530 -53.9143
1.806040 82.727 -55.6399
1.819128 82.920 -57.2731
1.832310 83.110 -58.8301
1.845587 83.300 -60.3263
1.858961 83.492 -61.7749
1.872432 83.687 -63.1855
1.886001 83.886 -64.5645
1.899667 84.090 -65.9155
1.913433 84.298 -67.2406
1.927299 84.510 -68.5404
1.941265 84.727 -69.8149
1.955332 84.946 -71.0637
1.969501 85.168 -72.2862
1.983773 85.392 -73.4817
1.998148 85.617 -74.6492
2.012627 85.842 -75.7880
2.027212 86.066 -76.8972
2.041902 86.289 -77.9760
2.056698 86.510 -79.0235
2.071602 86.727 -80.0390
2.086614 86.940 -81.0217
2.101734 87.148 -81.9713
2.116964 87.350 -82.8875
2.132304 87.544 -83.7705
2.147756 87.731 -84.6212
2.163320 87.910 -85.4417
2.178996 88.080 -86.2354
2.194786 88.240 -87.0070
2.210690 88.392 -87.7626
2.226710 88.535 -88.5081
2.242845 88.670 -89.2484
2.259098 88.797 -89.9865
2.275468 88.916 -90.7240
2.291957 89.029 -91.4611
2.308566 89.134 -92.1974
2.325295 89.234 -92.9316
2.342145 89.328 -93.6622
2.359117 89.416 -94.3876
2.376212 89.499 -95.1057
2.393431 89.578 -95.8144
2.410775 89.653 -96.5117
2.428244 89.724 -97.1954
2.445840 89.792 -97.8630
2.463564 89.858 -98.5125
2.481416 89.921 -99.1419
2.499397 89.982 -99.7494
2.517509 90.042 -100.3340
2.535752 90.100 -100.8956
2.554127 90.157 -101.4352
2.572635 90.211 -101.9551
2.591277 90.262 -102.4585
2.610055 90.310 -102.9482
2.628968 90.354 -103.4267
2.648019 90.394 -103.8956
2.667208 90.430 -104.3556
2.686535 90.462 -104.8070
2.706003 90.491 -105.2494
2.725612 90.517 -105.6823
2.745363 90.540 -106.1047
2.765257 90.561 -106.5155
2.785295 90.579 -106.9136
2.805478 90.597 -107.2973
2.825808 90.612 -107.6653
2.846285 90.627 -108.0158
2.866910 90.642 -108.3472
2.887685 90.656 -108.6581
2.908611 90.670 -108.9472
2.929688 90.684 -109.2136
2.950917 90.696 -109.4570
2.972301 90.707 -109.6776
2.993839 90.717 -109.8760
3.015534 90.725 -110.0532
3.037386 90.732 -110.2103
3.059396 90.737 -110.3483
3.081565 90.741 -110.4685
3.103896 90.745 -110.5722
3.126388 90.749 -110.6606
3.149043 90.752 -110.7350
3.171862 90.757 -110.7964
3.194847 90.763 -110.8458
3.217998 90.771 -110.8840
3.241317 90.781 -110.9111
3.264805 90.793 -110.9266
3.288463 90.808 -110.9295
3.312293 90.825 -110.9181
3.336295 90.845 -110.8907
3.360471 90.867 -110.8467
3.384822 90.891 -110.7865
3.409350 90.917 -110.7118
3.434056 90.944 -110.6253
3.458940 90.974 -110.5301
3.484005 91.005 -110.4300
3.509252 91.039 -110.3290
3.534681 91.074 -110.2309
3.560295 91.111 -110.1397
3.586094 91.151 -110.0584
3.612081 91.192 -109.9897
3.638255 91.236 -109.9347
3.664620 91.283 -109.8936
3.691175 91.332 -109.8653
3.717923 91.385 -109.8485
3.744864 91.439 -109.8423
3.772001 91.497 -109.8467
3.799335 91.556 -109.8623
3.826866 91.618 -109.8904
3.854597 91.680 -109.9327
3.882529 91.743 -109.9910
3.910664 91.807 -110.0675
3.939002 91.871 -110.1639
3.967546 91.934 -110.2822
3.996296 91.996 -110.4237
4.025255 92.058 -110.5895
4.054423 92.119 -110.7798
4.083804 92.179 -110.9942
4.113396 92.239 -111.2318
4.143204 92.299 -111.4913
4.173227 92.357 -111.7711
4.203468 92.415 -112.0696
4.233928 92.471 -112.3852
4.264609 92.526 -112.7165
4.295512 92.578 -113.0627
4.326639 92.627 -113.4231
4.357992 92.674 -113.7981
4.389572 92.717 -114.1883
4.421380 92.758 -114.5950
4.453419 92.795 -115.0189
4.485691 92.829 -115.4598
4.518196 92.860 -115.9164
4.550936 92.888 -116.3863
4.583914 92.913 -116.8663
4.617131 92.935 -117.3531
4.650589 92.954 -117.8434
4.684289 92.969 -118.3345
4.718233 92.981 -118.8245
4.752424 92.990 -119.3128
4.786862 92.995 -119.7999
4.821549 92.996 -120.2868
4.856488 92.994 -120.7739
4.891680 92.988 -121.2608
4.927127 92.979 -121.7458
4.962831 92.967 -122.2264
4.998794 92.953 -122.6999
5.035017 92.936 -123.1630
5.071503 92.917 -123.6130
5.108253 92.896 -124.0478
5.145270 92.874 -124.4663
5.182555 92.849 -124.8684
5.220110 92.822 -125.2544
5.257937 92.794 -125.6249
5.296038 92.765 -125.9802
5.334415 92.735 -126.3205
5.373071 92.704 -126.6454
5.412006 92.675 -126.9545
5.451224 92.646 -127.2468
5.490725 92.618 -127.5212
5.530514 92.592 -127.7771
5.570590 92.568 -128.0143
5.610957 92.545 -128.2341
5.651616 92.524 -128.4387
5.692570 92.505 -128.6311
5.733821 92.489 -128.8146
5.775370 92.476 -128.9923
5.817221 92.466 -129.1665
5.859375 92.460 -129.3388
5.901834 92.458 -129.5096
5.944602 92.460 -129.6797
5.987679 92.466 -129.8507
6.031068 92.475 -130.0251
6.074771 92.488 -130.2066
6.118792 92.504 -130.3990
6.163131 92.523 -130.6060
6.207792 92.544 -130.8301
6.252776 92.569 -131.0730
6.298086 92.596 -131.3352
6.343725 92.625 -131.6166
6.389694 92.657 -131.9174
6.435996 92.690 -132.2378
6.482634 92.724 -132.5784
6.529610 92.759 -132.9399
6.576926 92.793 -133.3230
6.624585 92.828 -133.7279
