* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 31, 2024 7:04:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L Timeless 2 Gold Flower
* Measurement: L Timeless 2 Gold Flower
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.955 157.0235
0.368865 94.948 156.9999
0.371538 94.937 156.9645
0.374230 94.924 156.9199
0.376942 94.909 156.8685
0.379673 94.893 156.8120
0.382424 94.876 156.7513
0.385196 94.858 156.6873
0.387987 94.841 156.6202
0.390798 94.823 156.5502
0.393630 94.805 156.4776
0.396483 94.786 156.4023
0.399356 94.768 156.3242
0.402250 94.750 156.2435
0.405165 94.731 156.1601
0.408101 94.712 156.0739
0.411058 94.693 155.9849
0.414037 94.674 155.8932
0.417037 94.655 155.7986
0.420059 94.635 155.7011
0.423103 94.616 155.6008
0.426169 94.596 155.4975
0.429257 94.577 155.3914
0.432368 94.557 155.2822
0.435501 94.537 155.1701
0.438656 94.516 155.0549
0.441835 94.496 154.9367
0.445037 94.476 154.8154
0.448262 94.455 154.6910
0.451510 94.434 154.5635
0.454782 94.413 154.4328
0.458077 94.392 154.2990
0.461397 94.371 154.1620
0.464740 94.349 154.0217
0.468108 94.328 153.8782
0.471500 94.306 153.7314
0.474917 94.284 153.5814
0.478358 94.262 153.4281
0.481825 94.240 153.2714
0.485316 94.218 153.1114
0.488833 94.195 152.9480
0.492375 94.172 152.7813
0.495943 94.150 152.6112
0.499537 94.127 152.4377
0.503157 94.103 152.2608
0.506803 94.080 152.0805
0.510475 94.057 151.8968
0.514175 94.033 151.7097
0.517900 94.009 151.5191
0.521653 93.985 151.3251
0.525434 93.961 151.1277
0.529241 93.936 150.9268
0.533076 93.912 150.7225
0.536939 93.887 150.5148
0.540830 93.862 150.3038
0.544749 93.837 150.0893
0.548696 93.812 149.8715
0.552673 93.786 149.6503
0.556677 93.761 149.4258
0.560711 93.735 149.1980
0.564774 93.709 148.9669
0.568867 93.683 148.7326
0.572989 93.656 148.4951
0.577141 93.630 148.2545
0.581324 93.603 148.0108
0.585536 93.576 147.7640
0.589779 93.549 147.5142
0.594053 93.521 147.2614
0.598358 93.494 147.0058
0.602694 93.466 146.7475
0.607061 93.438 146.4864
0.611460 93.410 146.2226
0.615891 93.382 145.9564
0.620354 93.353 145.6877
0.624849 93.324 145.4166
0.629377 93.295 145.1434
0.633938 93.266 144.8680
0.638532 93.237 144.5907
0.643159 93.207 144.3115
0.647819 93.177 144.0306
0.652514 93.147 143.7482
0.657242 93.117 143.4645
0.662005 93.086 143.1795
0.666802 93.056 142.8935
0.671634 93.025 142.6067
0.676501 92.993 142.3193
0.681403 92.962 142.0315
0.686341 92.930 141.7436
0.691314 92.898 141.4556
0.696324 92.866 141.1680
0.701370 92.834 140.8808
0.706452 92.800 140.5943
0.711571 92.767 140.3085
0.716728 92.732 140.0234
0.721921 92.695 139.7387
0.727153 92.656 139.4538
0.732422 92.615 139.1678
0.737729 92.570 138.8795
0.743075 92.522 138.5878
0.748460 92.472 138.2913
0.753883 92.420 137.9893
0.759346 92.367 137.6811
0.764849 92.313 137.3662
0.770391 92.258 137.0444
0.775974 92.202 136.7154
0.781597 92.145 136.3790
0.787261 92.088 136.0350
0.792966 92.030 135.6833
0.798712 91.972 135.3238
0.804500 91.913 134.9563
0.810329 91.853 134.5807
0.816201 91.792 134.1968
0.822116 91.730 133.8046
0.828073 91.667 133.4039
0.834074 91.603 132.9946
0.840118 91.539 132.5766
0.846206 91.473 132.1498
0.852338 91.406 131.7140
0.858514 91.338 131.2693
0.864735 91.268 130.8153
0.871001 91.197 130.3522
0.877313 91.125 129.8798
0.883670 91.051 129.3981
0.890074 90.976 128.9069
0.896524 90.900 128.4063
0.903020 90.821 127.8962
0.909564 90.741 127.3765
0.916155 90.659 126.8474
0.922794 90.575 126.3089
0.929481 90.489 125.7609
0.936216 90.401 125.2035
0.943000 90.311 124.6368
0.949834 90.218 124.0610
0.956717 90.123 123.4761
0.963649 90.026 122.8824
0.970632 89.926 122.2801
0.977666 89.824 121.6693
0.984750 89.718 121.0505
0.991886 89.610 120.4239
0.999074 89.499 119.7899
1.006314 89.385 119.1490
1.013606 89.267 118.5016
1.020951 89.146 117.8483
1.028349 89.022 117.1897
1.035801 88.893 116.5264
1.043307 88.761 115.8592
1.050867 88.626 115.1888
1.058482 88.485 114.5159
1.066152 88.341 113.8413
1.073878 88.191 113.1656
1.081660 88.036 112.4891
1.089498 87.875 111.8116
1.097393 87.707 111.1324
1.105345 87.530 110.4502
1.113355 87.343 109.7631
1.121423 87.146 109.0690
1.129549 86.938 108.3660
1.137734 86.718 107.6522
1.145979 86.486 106.9257
1.154283 86.244 106.1847
1.162647 85.990 105.4273
1.171072 85.726 104.6515
1.179558 85.452 103.8551
1.188106 85.168 103.0359
1.196715 84.876 102.1914
1.205387 84.576 101.3187
1.214122 84.269 100.4149
1.222920 83.955 99.4764
1.231782 83.636 98.4996
1.240708 83.312 97.4802
1.249699 82.985 96.4135
1.258754 82.654 95.2944
1.267876 82.321 94.1169
1.277063 81.988 92.8746
1.286318 81.655 91.5600
1.295639 81.324 90.1649
1.305027 80.995 88.6800
1.314484 80.671 87.0950
1.324009 80.352 85.3982
1.333604 80.039 83.5768
1.343268 79.736 81.6162
1.353002 79.442 79.5007
1.362806 79.159 77.2131
1.372681 78.890 74.7348
1.382628 78.637 72.0464
1.392647 78.400 69.1283
1.402739 78.183 65.9613
1.412904 77.986 62.5279
1.423142 77.813 58.8140
1.433455 77.666 54.8100
1.443843 77.545 50.5128
1.454305 77.454 45.9259
1.464844 77.392 41.0608
1.475459 77.361 35.9370
1.486150 77.361 30.5852
1.496920 77.392 25.0499
1.507767 77.453 19.3907
1.518693 77.542 13.6800
1.529698 77.660 7.9973
1.540783 77.804 2.4211
1.551948 77.973 -2.9776
1.563194 78.166 -8.1414
1.574521 78.381 -13.0299
1.585931 78.617 -17.6190
1.597423 78.872 -21.8995
1.608999 79.144 -25.8738
1.620658 79.432 -29.5531
1.632402 79.733 -32.9538
1.644232 80.045 -36.0954
1.656146 80.367 -38.9988
1.668147 80.696 -41.6848
1.680235 81.031 -44.1733
1.692411 81.368 -46.4833
1.704675 81.707 -48.6319
1.717028 82.043 -50.6349
1.729470 82.376 -52.5066
1.742003 82.703 -54.2599
1.754626 83.021 -55.9066
1.767341 83.329 -57.4574
1.780147 83.624 -58.9225
1.793047 83.906 -60.3121
1.806040 84.174 -61.6363
1.819128 84.428 -62.9056
1.832310 84.670 -64.1309
1.845587 84.902 -65.3227
1.858961 85.127 -66.4900
1.872432 85.346 -67.6391
1.886001 85.561 -68.7739
1.899667 85.773 -69.8963
1.913433 85.982 -71.0067
1.927299 86.189 -72.1049
1.941265 86.393 -73.1899
1.955332 86.595 -74.2607
1.969501 86.794 -75.3161
1.983773 86.991 -76.3547
1.998148 87.184 -77.3753
2.012627 87.375 -78.3766
2.027212 87.563 -79.3574
2.041902 87.747 -80.3166
2.056698 87.928 -81.2529
2.071602 88.106 -82.1654
2.086614 88.280 -83.0531
2.101734 88.450 -83.9151
2.116964 88.616 -84.7511
2.132304 88.777 -85.5609
2.147756 88.934 -86.3451
2.163320 89.086 -87.1052
2.178996 89.234 -87.8440
2.194786 89.375 -88.5657
2.210690 89.511 -89.2753
2.226710 89.641 -89.9781
2.242845 89.764 -90.6781
2.259098 89.881 -91.3781
2.275468 89.992 -92.0791
2.291957 90.097 -92.7815
2.308566 90.196 -93.4844
2.325295 90.290 -94.1869
2.342145 90.378 -94.8873
2.359117 90.462 -95.5841
2.376212 90.541 -96.2754
2.393431 90.616 -96.9592
2.410775 90.688 -97.6336
2.428244 90.756 -98.2964
2.445840 90.821 -98.9455
2.463564 90.884 -99.5790
2.481416 90.945 -100.1950
2.499397 91.004 -100.7918
2.517509 91.062 -101.3687
2.535752 91.118 -101.9254
2.554127 91.172 -102.4629
2.572635 91.225 -102.9835
2.591277 91.274 -103.4899
2.610055 91.320 -103.9850
2.628968 91.363 -104.4710
2.648019 91.402 -104.9492
2.667208 91.438 -105.4202
2.686535 91.470 -105.8843
2.706003 91.499 -106.3411
2.725612 91.525 -106.7899
2.745363 91.549 -107.2298
2.765257 91.570 -107.6598
2.785295 91.589 -108.0785
2.805478 91.607 -108.4846
2.825808 91.623 -108.8766
2.846285 91.639 -109.2529
2.866910 91.654 -109.6120
2.887685 91.668 -109.9525
2.908611 91.682 -110.2733
2.929688 91.695 -110.5738
2.950917 91.708 -110.8538
2.972301 91.719 -111.1136
2.993839 91.728 -111.3540
3.015534 91.736 -111.5757
3.037386 91.742 -111.7798
3.059396 91.747 -111.9672
3.081565 91.750 -112.1388
3.103896 91.753 -112.2958
3.126388 91.756 -112.4390
3.149043 91.759 -112.5693
3.171862 91.762 -112.6875
3.194847 91.766 -112.7943
3.217998 91.772 -112.8901
3.241317 91.779 -112.9748
3.264805 91.789 -113.0480
3.288463 91.800 -113.1084
3.312293 91.813 -113.1547
3.336295 91.828 -113.1854
3.360471 91.845 -113.1998
3.384822 91.863 -113.1984
3.409350 91.882 -113.1826
3.434056 91.904 -113.1548
3.458940 91.926 -113.1177
3.484005 91.950 -113.0745
3.509252 91.976 -113.0288
3.534681 92.004 -112.9839
3.560295 92.033 -112.9432
3.586094 92.065 -112.9093
3.612081 92.098 -112.8846
3.638255 92.134 -112.8700
3.664620 92.172 -112.8654
3.691175 92.213 -112.8699
3.717923 92.256 -112.8823
3.744864 92.302 -112.9019
3.772001 92.350 -112.9286
3.799335 92.400 -112.9635
3.826866 92.452 -113.0078
3.854597 92.506 -113.0634
3.882529 92.560 -113.1323
3.910664 92.614 -113.2166
3.939002 92.669 -113.3184
3.967546 92.724 -113.4394
3.996296 92.779 -113.5812
4.025255 92.833 -113.7446
4.054423 92.887 -113.9298
4.083804 92.941 -114.1365
4.113396 92.994 -114.3639
4.143204 93.048 -114.6107
4.173227 93.101 -114.8759
4.203468 93.154 -115.1581
4.233928 93.205 -115.4562
4.264609 93.256 -115.7694
4.295512 93.304 -116.0970
4.326639 93.350 -116.4388
4.357992 93.394 -116.7951
4.389572 93.435 -117.1666
4.421380 93.473 -117.5545
4.453419 93.509 -117.9593
4.485691 93.542 -118.3809
4.518196 93.573 -118.8178
4.550936 93.600 -119.2679
4.583914 93.626 -119.7285
4.617131 93.648 -120.1965
4.650589 93.668 -120.6691
4.684289 93.685 -121.1438
4.718233 93.699 -121.6191
4.752424 93.709 -122.0946
4.786862 93.717 -122.5707
4.821549 93.721 -123.0483
4.856488 93.721 -123.5278
4.891680 93.719 -124.0086
4.927127 93.714 -124.4892
4.962831 93.706 -124.9670
4.998794 93.695 -125.4395
5.035017 93.682 -125.9036
5.071503 93.668 -126.3569
5.108253 93.651 -126.7975
5.145270 93.633 -127.2244
5.182555 93.612 -127.6375
5.220110 93.590 -128.0373
5.257937 93.566 -128.4241
5.296038 93.540 -128.7981
5.334415 93.514 -129.1591
5.373071 93.488 -129.5066
5.412006 93.461 -129.8397
5.451224 93.436 -130.1575
5.490725 93.411 -130.4590
5.530514 93.387 -130.7433
5.570590 93.365 -131.0104
5.610957 93.343 -131.2614
5.651616 93.323 -131.4979
5.692570 93.305 -131.7227
5.733821 93.289 -131.9382
5.775370 93.276 -132.1471
5.817221 93.265 -132.3510
5.859375 93.258 -132.5512
5.901834 93.254 -132.7479
5.944602 93.253 -132.9418
5.987679 93.256 -133.1342
6.031068 93.262 -133.3276
6.074771 93.271 -133.5252
6.118792 93.283 -133.7303
6.163131 93.298 -133.9464
6.207792 93.316 -134.1756
6.252776 93.336 -134.4196
6.298086 93.358 -134.6786
6.343725 93.384 -134.9530
6.389694 93.411 -135.2429
6.435996 93.440 -135.5489
6.482634 93.470 -135.8718
6.529610 93.501 -136.2125
6.576926 93.532 -136.5719
6.624585 93.563 -136.9502
