* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 5, 2024 1:25:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Dec 5
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.037 162.4000
0.368865 94.031 162.3817
0.371538 94.022 162.3543
0.374230 94.011 162.3199
0.376942 93.998 162.2802
0.379673 93.985 162.2365
0.382424 93.970 162.1898
0.385196 93.956 162.1405
0.387987 93.941 162.0889
0.390798 93.926 162.0353
0.393630 93.911 161.9796
0.396483 93.895 161.9219
0.399356 93.880 161.8622
0.402250 93.864 161.8005
0.405165 93.848 161.7368
0.408101 93.833 161.6711
0.411058 93.817 161.6033
0.414037 93.801 161.5335
0.417037 93.785 161.4616
0.420059 93.768 161.3875
0.423103 93.752 161.3114
0.426169 93.735 161.2331
0.429257 93.719 161.1527
0.432368 93.702 161.0700
0.435501 93.685 160.9852
0.438656 93.668 160.8982
0.441835 93.651 160.8089
0.445037 93.634 160.7174
0.448262 93.616 160.6237
0.451510 93.599 160.5276
0.454782 93.581 160.4293
0.458077 93.563 160.3286
0.461397 93.546 160.2256
0.464740 93.528 160.1203
0.468108 93.509 160.0127
0.471500 93.491 159.9026
0.474917 93.473 159.7902
0.478358 93.454 159.6754
0.481825 93.436 159.5582
0.485316 93.417 159.4386
0.488833 93.398 159.3166
0.492375 93.379 159.1922
0.495943 93.360 159.0653
0.499537 93.340 158.9360
0.503157 93.321 158.8042
0.506803 93.301 158.6700
0.510475 93.281 158.5334
0.514175 93.261 158.3943
0.517900 93.241 158.2528
0.521653 93.221 158.1088
0.525434 93.201 157.9624
0.529241 93.180 157.8136
0.533076 93.159 157.6623
0.536939 93.139 157.5086
0.540830 93.118 157.3525
0.544749 93.097 157.1940
0.548696 93.075 157.0331
0.552673 93.054 156.8699
0.556677 93.032 156.7043
0.560711 93.011 156.5365
0.564774 92.989 156.3663
0.568867 92.967 156.1938
0.572989 92.945 156.0191
0.577141 92.922 155.8423
0.581324 92.900 155.6632
0.585536 92.877 155.4821
0.589779 92.854 155.2988
0.594053 92.831 155.1135
0.598358 92.808 154.9263
0.602694 92.785 154.7371
0.607061 92.761 154.5460
0.611460 92.737 154.3531
0.615891 92.713 154.1585
0.620354 92.689 153.9622
0.624849 92.665 153.7644
0.629377 92.641 153.5650
0.633938 92.616 153.3642
0.638532 92.591 153.1621
0.643159 92.567 152.9588
0.647819 92.541 152.7544
0.652514 92.516 152.5489
0.657242 92.491 152.3426
0.662005 92.465 152.1355
0.666802 92.439 151.9277
0.671634 92.413 151.7195
0.676501 92.387 151.5110
0.681403 92.361 151.3023
0.686341 92.334 151.0935
0.691314 92.307 150.8849
0.696324 92.280 150.6766
0.701370 92.253 150.4688
0.706452 92.225 150.2615
0.711571 92.196 150.0548
0.716728 92.167 149.8488
0.721921 92.136 149.6432
0.727153 92.104 149.4377
0.732422 92.070 149.2315
0.737729 92.033 149.0240
0.743075 91.994 148.8143
0.748460 91.954 148.6016
0.753883 91.912 148.3853
0.759346 91.869 148.1650
0.764849 91.826 147.9405
0.770391 91.781 147.7115
0.775974 91.737 147.4780
0.781597 91.692 147.2398
0.787261 91.647 146.9968
0.792966 91.601 146.7491
0.798712 91.554 146.4964
0.804500 91.507 146.2389
0.810329 91.460 145.9763
0.816201 91.412 145.7088
0.822116 91.363 145.4363
0.828073 91.314 145.1586
0.834074 91.264 144.8759
0.840118 91.213 144.5880
0.846206 91.162 144.2950
0.852338 91.109 143.9967
0.858514 91.056 143.6933
0.864735 91.001 143.3847
0.871001 90.946 143.0709
0.877313 90.889 142.7518
0.883670 90.832 142.4276
0.890074 90.773 142.0983
0.896524 90.712 141.7638
0.903020 90.651 141.4242
0.909564 90.588 141.0796
0.916155 90.523 140.7301
0.922794 90.457 140.3756
0.929481 90.389 140.0164
0.936216 90.319 139.6525
0.943000 90.248 139.2840
0.949834 90.175 138.9112
0.956717 90.099 138.5341
0.963649 90.022 138.1529
0.970632 89.942 137.7679
0.977666 89.860 137.3793
0.984750 89.776 136.9873
0.991886 89.689 136.5923
0.999074 89.599 136.1945
1.006314 89.507 135.7944
1.013606 89.412 135.3923
1.020951 89.314 134.9886
1.028349 89.212 134.5838
1.035801 89.108 134.1785
1.043307 89.000 133.7731
1.050867 88.889 133.3682
1.058482 88.774 132.9645
1.066152 88.655 132.5625
1.073878 88.532 132.1628
1.081660 88.404 131.7657
1.089498 88.272 131.3716
1.097393 88.135 130.9803
1.105345 87.991 130.5916
1.113355 87.841 130.2048
1.121423 87.684 129.8195
1.129549 87.520 129.4350
1.137734 87.349 129.0508
1.145979 87.171 128.6664
1.154283 86.985 128.2814
1.162647 86.793 127.8954
1.171072 86.594 127.5081
1.179558 86.388 127.1191
1.188106 86.176 126.7278
1.196715 85.959 126.3340
1.205387 85.735 125.9371
1.214122 85.507 125.5366
1.222920 85.273 125.1320
1.231782 85.035 124.7226
1.240708 84.793 124.3079
1.249699 84.548 123.8871
1.258754 84.299 123.4595
1.267876 84.047 123.0242
1.277063 83.793 122.5804
1.286318 83.537 122.1270
1.295639 83.280 121.6629
1.305027 83.022 121.1870
1.314484 82.764 120.6978
1.324009 82.506 120.1940
1.333604 82.250 119.6738
1.343268 81.995 119.1355
1.353002 81.743 118.5770
1.362806 81.494 117.9961
1.372681 81.249 117.3903
1.382628 81.009 116.7567
1.392647 80.774 116.0922
1.402739 80.545 115.3933
1.412904 80.324 114.6562
1.423142 80.110 113.8765
1.433455 79.905 113.0494
1.443843 79.709 112.1698
1.454305 79.520 111.2316
1.464844 79.340 110.2281
1.475459 79.166 109.1513
1.486150 78.997 107.9907
1.496920 78.833 106.7328
1.507767 78.672 105.3601
1.518693 78.515 103.8497
1.529698 78.360 102.1718
1.540783 78.209 100.2878
1.551948 78.061 98.1467
1.563194 77.916 95.6805
1.574521 77.776 92.7979
1.585931 77.641 89.3741
1.597423 77.511 85.2382
1.608999 77.387 80.1569
1.620658 77.269 73.8212
1.632402 77.159 65.8541
1.644232 77.056 55.8910
1.656146 76.962 43.8132
1.668147 76.877 30.1193
1.680235 76.802 16.0645
1.692411 76.738 3.1095
1.704675 76.685 -7.8648
1.717028 76.645 -16.7285
1.729470 76.618 -23.7695
1.742003 76.605 -29.3768
1.754626 76.608 -33.8964
1.767341 76.627 -37.5975
1.780147 76.664 -40.6805
1.793047 76.721 -43.2925
1.806040 76.799 -45.5429
1.819128 76.900 -47.5143
1.832310 77.027 -49.2700
1.845587 77.182 -50.8588
1.858961 77.367 -52.3174
1.872432 77.582 -53.6726
1.886001 77.826 -54.9431
1.899667 78.099 -56.1424
1.913433 78.398 -57.2799
1.927299 78.722 -58.3626
1.941265 79.069 -59.3958
1.955332 79.435 -60.3835
1.969501 79.817 -61.3290
1.983773 80.214 -62.2349
1.998148 80.621 -63.1033
2.012627 81.037 -63.9359
2.027212 81.457 -64.7341
2.041902 81.878 -65.4993
2.056698 82.298 -66.2324
2.071602 82.713 -66.9343
2.086614 83.120 -67.6057
2.101734 83.516 -68.2473
2.116964 83.897 -68.8602
2.132304 84.260 -69.4452
2.147756 84.605 -70.0038
2.163320 84.928 -70.5383
2.178996 85.229 -71.0515
2.194786 85.508 -71.5474
2.210690 85.767 -72.0306
2.226710 86.007 -72.5054
2.242845 86.231 -72.9753
2.259098 86.440 -73.4422
2.275468 86.636 -73.9072
2.291957 86.820 -74.3704
2.308566 86.992 -74.8312
2.325295 87.154 -75.2887
2.342145 87.307 -75.7419
2.359117 87.451 -76.1896
2.376212 87.587 -76.6306
2.393431 87.718 -77.0636
2.410775 87.842 -77.4872
2.428244 87.962 -77.9003
2.445840 88.079 -78.3014
2.463564 88.193 -78.6895
2.481416 88.306 -79.0635
2.499397 88.419 -79.4225
2.517509 88.531 -79.7663
2.535752 88.644 -80.0948
2.554127 88.757 -80.4090
2.572635 88.869 -80.7104
2.591277 88.980 -81.0010
2.610055 89.088 -81.2826
2.628968 89.192 -81.5567
2.648019 89.293 -81.8242
2.667208 89.390 -82.0856
2.686535 89.484 -82.3412
2.706003 89.574 -82.5907
2.725612 89.661 -82.8341
2.745363 89.746 -83.0710
2.765257 89.827 -83.3009
2.785295 89.907 -83.5234
2.805478 89.986 -83.7380
2.825808 90.063 -83.9442
2.846285 90.140 -84.1414
2.866910 90.216 -84.3292
2.887685 90.292 -84.5070
2.908611 90.368 -84.6747
2.929688 90.444 -84.8322
2.950917 90.518 -84.9794
2.972301 90.592 -85.1169
2.993839 90.665 -85.2450
3.015534 90.736 -85.3645
3.037386 90.806 -85.4757
3.059396 90.875 -85.5796
3.081565 90.943 -85.6765
3.103896 91.009 -85.7673
3.126388 91.075 -85.8525
3.149043 91.141 -85.9327
3.171862 91.206 -86.0084
3.194847 91.271 -86.0801
3.217998 91.337 -86.1481
3.241317 91.403 -86.2125
3.264805 91.469 -86.2733
3.288463 91.537 -86.3298
3.312293 91.604 -86.3817
3.336295 91.673 -86.4283
3.360471 91.741 -86.4696
3.384822 91.810 -86.5058
3.409350 91.879 -86.5378
3.434056 91.948 -86.5666
3.458940 92.017 -86.5938
3.484005 92.086 -86.6208
3.509252 92.156 -86.6491
3.534681 92.225 -86.6805
3.560295 92.295 -86.7162
3.586094 92.365 -86.7576
3.612081 92.436 -86.8055
3.638255 92.506 -86.8605
3.664620 92.577 -86.9226
3.691175 92.649 -86.9912
3.717923 92.720 -87.0658
3.744864 92.792 -87.1460
3.772001 92.865 -87.2317
3.799335 92.937 -87.3230
3.826866 93.009 -87.4202
3.854597 93.082 -87.5239
3.882529 93.154 -87.6346
3.910664 93.225 -87.7529
3.939002 93.296 -87.8796
3.967546 93.366 -88.0151
3.996296 93.436 -88.1599
4.025255 93.505 -88.3145
4.054423 93.573 -88.4788
4.083804 93.640 -88.6527
4.113396 93.707 -88.8361
4.143204 93.772 -89.0284
4.173227 93.837 -89.2292
4.203468 93.901 -89.4379
4.233928 93.964 -89.6540
4.264609 94.026 -89.8772
4.295512 94.086 -90.1071
4.326639 94.146 -90.3436
4.357992 94.203 -90.5867
4.389572 94.259 -90.8367
4.421380 94.313 -91.0940
4.453419 94.366 -91.3589
4.485691 94.417 -91.6312
4.518196 94.467 -91.9104
4.550936 94.514 -92.1956
4.583914 94.561 -92.4857
4.617131 94.605 -92.7794
4.650589 94.648 -93.0756
4.684289 94.690 -93.3733
4.718233 94.730 -93.6717
4.752424 94.769 -93.9707
4.786862 94.805 -94.2704
4.821549 94.841 -94.5712
4.856488 94.874 -94.8732
4.891680 94.906 -95.1762
4.927127 94.936 -95.4798
4.962831 94.965 -95.7831
4.998794 94.993 -96.0854
5.035017 95.020 -96.3856
5.071503 95.045 -96.6830
5.108253 95.070 -96.9770
5.145270 95.095 -97.2674
5.182555 95.118 -97.5543
5.220110 95.140 -97.8379
5.257937 95.162 -98.1185
5.296038 95.183 -98.3965
5.334415 95.203 -98.6719
5.373071 95.223 -98.9450
5.412006 95.244 -99.2157
5.451224 95.264 -99.4839
5.490725 95.284 -99.7494
5.530514 95.305 -100.0124
5.570590 95.326 -100.2728
5.610957 95.347 -100.5311
5.651616 95.369 -100.7881
5.692570 95.391 -101.0448
5.733821 95.414 -101.3020
5.775370 95.437 -101.5606
5.817221 95.461 -101.8215
5.859375 95.486 -102.0849
5.901834 95.512 -102.3511
5.944602 95.538 -102.6204
5.987679 95.566 -102.8930
6.031068 95.594 -103.1698
6.074771 95.623 -103.4516
6.118792 95.653 -103.7394
6.163131 95.683 -104.0341
6.207792 95.714 -104.3366
6.252776 95.746 -104.6471
6.298086 95.778 -104.9658
6.343725 95.811 -105.2927
6.389694 95.844 -105.6276
6.435996 95.878 -105.9708
6.482634 95.912 -106.3220
6.529610 95.945 -106.6816
6.576926 95.979 -107.0496
6.624585 96.013 -107.4262
6.672590 96.047 -107.8110
6.720942 96.080 -108.2039
6.769645 96.114 -108.6040
