* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Oct 17, 2024 12:23:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AFUL Cantor R
* Measurement: R AFUL Cantor
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	90.529	160.9208
0.368865	90.524	160.9036
0.371538	90.516	160.8778
0.374230	90.505	160.8453
0.376942	90.494	160.8079
0.379673	90.482	160.7667
0.382424	90.469	160.7226
0.385196	90.455	160.6760
0.387987	90.442	160.6272
0.390798	90.428	160.5764
0.393630	90.414	160.5237
0.396483	90.400	160.4690
0.399356	90.386	160.4123
0.402250	90.372	160.3538
0.405165	90.358	160.2933
0.408101	90.344	160.2309
0.411058	90.329	160.1664
0.414037	90.315	160.1000
0.417037	90.300	160.0316
0.420059	90.285	159.9612
0.423103	90.270	159.8887
0.426169	90.255	159.8142
0.429257	90.240	159.7376
0.432368	90.225	159.6589
0.435501	90.210	159.5781
0.438656	90.194	159.4952
0.441835	90.179	159.4102
0.445037	90.163	159.3230
0.448262	90.147	159.2337
0.451510	90.131	159.1422
0.454782	90.116	159.0485
0.458077	90.099	158.9526
0.461397	90.083	158.8545
0.464740	90.067	158.7542
0.468108	90.050	158.6517
0.471500	90.034	158.5470
0.474917	90.017	158.4399
0.478358	90.000	158.3307
0.481825	89.983	158.2192
0.485316	89.966	158.1055
0.488833	89.949	157.9895
0.492375	89.932	157.8712
0.495943	89.914	157.7507
0.499537	89.897	157.6279
0.503157	89.879	157.5028
0.506803	89.861	157.3755
0.510475	89.843	157.2460
0.514175	89.825	157.1142
0.517900	89.807	156.9801
0.521653	89.789	156.8439
0.525434	89.770	156.7054
0.529241	89.752	156.5647
0.533076	89.733	156.4219
0.536939	89.714	156.2769
0.540830	89.695	156.1297
0.544749	89.676	155.9804
0.548696	89.656	155.8291
0.552673	89.637	155.6757
0.556677	89.617	155.5202
0.560711	89.598	155.3628
0.564774	89.578	155.2034
0.568867	89.558	155.0421
0.572989	89.538	154.8789
