* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -1.0 dBFS with no timing reference
* Dated: Dec 21, 2023 12:18:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AFUL MagicOne 10ohm L
* Measurement: L AFUL MagicOne 10ohm
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 77.986 -51.6507
0.368865 77.986 -51.7294
0.371538 77.985 -51.8474
0.374230 77.984 -51.9955
0.376942 77.982 -52.1662
0.379673 77.981 -52.3536
0.382424 77.980 -52.5542
0.385196 77.978 -52.7656
0.387987 77.977 -52.9866
0.390798 77.976 -53.2164
0.393630 77.974 -53.4549
0.396483 77.973 -53.7018
0.399356 77.971 -53.9571
0.402250 77.970 -54.2210
0.405165 77.968 -54.4935
0.408101 77.967 -54.7747
0.411058 77.965 -55.0648
0.414037 77.964 -55.3638
0.417037 77.962 -55.6719
0.420059 77.961 -55.9891
0.423103 77.959 -56.3156
0.426169 77.958 -56.6516
0.429257 77.956 -56.9970
0.432367 77.955 -57.3521
0.435501 77.953 -57.7170
0.438656 77.951 -58.0917
0.441835 77.950 -58.4764
0.445037 77.948 -58.8711
0.448262 77.947 -59.2760
0.451510 77.945 -59.6912
0.454782 77.943 -60.1167
0.458077 77.942 -60.5527
0.461397 77.940 -60.9992
0.464740 77.938 -61.4564
0.468108 77.937 -61.9242
0.471500 77.935 -62.4028
0.474917 77.933 -62.8923
0.478358 77.931 -63.3926
0.481825 77.930 -63.9040
0.485316 77.928 -64.4263
0.488833 77.926 -64.9596
0.492375 77.924 -65.5041
0.495943 77.923 -66.0597
0.499537 77.921 -66.6264
0.503157 77.919 -67.2042
0.506803 77.917 -67.7931
0.510475 77.915 -68.3932
0.514174 77.913 -69.0044
0.517900 77.912 -69.6266
0.521653 77.910 -70.2599
0.525433 77.908 -70.9042
0.529241 77.906 -71.5594
0.533076 77.904 -72.2254
0.536939 77.902 -72.9022
0.540830 77.900 -73.5897
0.544749 77.898 -74.2878
0.548696 77.896 -74.9963
0.552673 77.894 -75.7151
0.556677 77.892 -76.4440
0.560711 77.890 -77.1830
0.564774 77.888 -77.9319
0.568867 77.886 -78.6904
0.572989 77.884 -79.4585
0.577141 77.882 -80.2359
0.581324 77.880 -81.0223
0.585536 77.877 -81.8177
0.589779 77.875 -82.6217
0.594053 77.873 -83.4342
0.598358 77.871 -84.2549
0.602694 77.869 -85.0836
0.607061 77.867 -85.9200
0.611460 77.864 -86.7639
0.615891 77.862 -87.6150
0.620354 77.860 -88.4731
0.624849 77.858 -89.3380
0.629377 77.855 -90.2093
0.633938 77.853 -91.0869
0.638532 77.851 -91.9705
0.643159 77.848 -92.8599
0.647819 77.846 -93.7548
0.652514 77.844 -94.6551
0.657242 77.841 -95.5604
0.662005 77.839 -96.4707
0.666802 77.836 -97.3857
0.671634 77.834 -98.3054
0.676501 77.832 -99.2294
0.681403 77.829 -100.1578
0.686341 77.827 -101.0904
0.691314 77.824 -102.0271
0.696324 77.822 -102.9680
0.701369 77.820 -103.9130
0.706452 77.819 -104.8624
0.711571 77.818 -105.8164
0.716727 77.820 -106.7756
0.721921 77.823 -107.7406
0.727153 77.831 -108.7127
0.732422 77.843 -109.6932
0.737729 77.861 -110.6837
0.743075 77.884 -111.6855
0.748460 77.913 -112.6998
0.753883 77.945 -113.7268
0.759346 77.980 -114.7666
0.764849 78.018 -115.8189
0.770391 78.058 -116.8830
0.775974 78.100 -117.9583
0.781597 78.145 -119.0438
0.787261 78.191 -120.1386
0.792965 78.239 -121.2419
0.798712 78.289 -122.3526
0.804499 78.342 -123.4697
0.810329 78.395 -124.5922
0.816201 78.451 -125.7191
0.822116 78.509 -126.8494
0.828073 78.568 -127.9821
0.834073 78.630 -129.1162
0.840118 78.693 -130.2506
0.846205 78.758 -131.3846
0.852337 78.824 -132.5170
0.858514 78.892 -133.6471
0.864735 78.962 -134.7740
0.871001 79.034 -135.8969
0.877313 79.107 -137.0150
0.883670 79.182 -138.1276
0.890074 79.258 -139.2341
0.896523 79.336 -140.3338
0.903020 79.415 -141.4261
0.909564 79.495 -142.5107
0.916155 79.577 -143.5870
0.922793 79.660 -144.6546
0.929480 79.745 -145.7133
0.936216 79.830 -146.7627
0.943000 79.917 -147.8026
0.949833 80.005 -148.8329
0.956716 80.094 -149.8534
0.963649 80.184 -150.8642
0.970632 80.274 -151.8650
0.977666 80.366 -152.8562
0.984750 80.458 -153.8376
0.991886 80.551 -154.8094
0.999074 80.644 -155.7719
1.006313 80.738 -156.7252
1.013605 80.832 -157.6696
1.020950 80.926 -158.6054
1.028349 81.020 -159.5329
1.035801 81.115 -160.4525
1.043306 81.209 -161.3648
1.050867 81.303 -162.2700
1.058482 81.397 -163.1689
1.066152 81.491 -164.0621
1.073878 81.584 -164.9505
1.081659 81.678 -165.8350
1.089498 81.770 -166.7168
1.097393 81.863 -167.5975
1.105345 81.956 -168.4785
1.113355 82.050 -169.3611
1.121422 82.145 -170.2462
1.129549 82.240 -171.1344
1.137734 82.337 -172.0257
1.145978 82.434 -172.9201
1.154283 82.533 -173.8171
1.162647 82.634 -174.7163
1.171072 82.735 -175.6172
1.179558 82.837 -176.5192
1.188106 82.941 -177.4218
1.196715 83.045 -178.3242
1.205387 83.151 -179.2261
1.214122 83.257 179.8733
1.222920 83.365 178.9745
1.231781 83.473 178.0781
1.240708 83.582 177.1846
1.249698 83.692 176.2947
1.258754 83.803 175.4089
1.267875 83.914 174.5276
1.277063 84.026 173.6514
1.286317 84.138 172.7808
1.295638 84.251 171.9163
1.305027 84.364 171.0584
1.314484 84.478 170.2074
1.324009 84.591 169.3639
1.333603 84.705 168.5281
1.343267 84.819 167.7005
1.353001 84.933 166.8815
1.362805 85.047 166.0714
1.372681 85.160 165.2704
1.382628 85.273 164.4788
1.392647 85.386 163.6970
1.402739 85.499 162.9249
1.412904 85.610 162.1628
1.423142 85.722 161.4106
1.433455 85.832 160.6680
1.443842 85.941 159.9344
1.454305 86.050 159.2092
1.464843 86.158 158.4910
1.475458 86.265 157.7783
1.486150 86.372 157.0699
1.496919 86.478 156.3645
1.507766 86.583 155.6614
1.518692 86.688 154.9602
1.529697 86.793 154.2606
1.540782 86.897 153.5627
1.551947 87.001 152.8664
1.563193 87.104 152.1718
1.574521 87.207 151.4792
1.585931 87.310 150.7886
1.597423 87.412 150.1002
1.608998 87.514 149.4141
1.620658 87.615 148.7305
1.632402 87.716 148.0494
1.644231 87.817 147.3712
1.656146 87.917 146.6957
1.668147 88.017 146.0233
1.680235 88.117 145.3540
1.692410 88.216 144.6879
1.704674 88.315 144.0251
1.717027 88.414 143.3657
1.729469 88.513 142.7097
1.742002 88.611 142.0573
1.754625 88.709 141.4083
1.767340 88.807 140.7629
1.780147 88.905 140.1208
1.793046 89.002 139.4818
1.806040 89.099 138.8455
1.819127 89.196 138.2111
1.832309 89.293 137.5779
1.845587 89.389 136.9448
1.858961 89.484 136.3109
1.872431 89.579 135.6757
1.886000 89.673 135.0389
1.899666 89.766 134.4004
1.913432 89.859 133.7604
1.927298 89.951 133.1192
1.941264 90.043 132.4772
1.955331 90.133 131.8349
1.969500 90.223 131.1926
1.983772 90.313 130.5509
1.998147 90.402 129.9102
2.012626 90.490 129.2711
2.027211 90.578 128.6339
2.041901 90.666 127.9992
2.056697 90.753 127.3675
2.071601 90.840 126.7392
2.086613 90.927 126.1147
2.101733 91.013 125.4946
2.116963 91.100 124.8791
2.132303 91.186 124.2686
2.147755 91.272 123.6631
2.163318 91.357 123.0627
2.178995 91.443 122.4670
2.194785 91.528 121.8755
2.210689 91.614 121.2872
2.226709 91.698 120.7014
2.242844 91.782 120.1171
2.259097 91.866 119.5339
2.275467 91.949 118.9516
2.291956 92.031 118.3701
2.308565 92.113 117.7893
2.325294 92.195 117.2095
2.342144 92.275 116.6308
2.359116 92.356 116.0535
2.376211 92.436 115.4779
2.393430 92.515 114.9042
2.410774 92.595 114.3326
2.428243 92.674 113.7635
2.445839 92.753 113.1972
2.463562 92.831 112.6340
2.481415 92.910 112.0740
2.499396 92.988 111.5175
2.517508 93.067 110.9646
2.535750 93.146 110.4153
2.554126 93.224 109.8696
2.572634 93.303 109.3270
2.591276 93.381 108.7872
2.610054 93.459 108.2498
2.628967 93.536 107.7144
2.648018 93.614 107.1807
2.667206 93.691 106.6486
2.686534 93.768 106.1177
2.706002 93.844 105.5881
2.725610 93.920 105.0596
2.745361 93.996 104.5322
2.765255 94.072 104.0057
2.785294 94.147 103.4802
2.805477 94.223 102.9555
2.825807 94.298 102.4316
2.846284 94.374 101.9085
2.866909 94.449 101.3861
2.887684 94.524 100.8643
2.908609 94.599 100.3430
2.929686 94.675 99.8221
2.950916 94.750 99.3015
2.972299 94.825 98.7810
2.993838 94.900 98.2606
3.015532 94.975 97.7402
3.037384 95.050 97.2197
3.059394 95.124 96.6991
3.081564 95.199 96.1784
3.103894 95.273 95.6575
3.126386 95.347 95.1364
3.149041 95.420 94.6149
3.171861 95.494 94.0931
3.194845 95.567 93.5708
3.217996 95.640 93.0478
3.241315 95.712 92.5240
3.264803 95.785 91.9992
3.288461 95.857 91.4730
3.312291 95.928 90.9453
3.336293 96.000 90.4159
3.360469 96.071 89.8845
3.384820 96.142 89.3513
3.409348 96.212 88.8162
3.434054 96.282 88.2796
3.458938 96.352 87.7415
3.484003 96.421 87.2021
3.509250 96.490 86.6616
3.534679 96.558 86.1200
3.560293 96.625 85.5775
3.586092 96.691 85.0339
3.612079 96.757 84.4889
3.638253 96.822 83.9422
3.664618 96.886 83.3932
3.691173 96.949 82.8413
3.717921 97.011 82.2862
3.744862 97.073 81.7278
3.771999 97.134 81.1663
3.799332 97.193 80.6025
3.826864 97.252 80.0370
3.854595 97.310 79.4707
3.882527 97.366 78.9045
3.910661 97.421 78.3392
3.938999 97.476 77.7752
3.967543 97.528 77.2130
3.996294 97.580 76.6524
4.025252 97.630 76.0929
4.054421 97.679 75.5338
4.083801 97.726 74.9745
4.113394 97.772 74.4145
4.143201 97.816 73.8541
4.173225 97.859 73.2942
4.203466 97.900 72.7357
4.233926 97.939 72.1801
4.264606 97.978 71.6286
4.295509 98.014 71.0824
4.326636 98.049 70.5426
4.357989 98.083 70.0096
4.389569 98.115 69.4835
4.421378 98.145 68.9637
4.453417 98.173 68.4496
4.485688 98.200 67.9409
4.518193 98.225 67.4379
4.550934 98.248 66.9413
4.583912 98.270 66.4521
4.617129 98.290 65.9719
4.650587 98.309 65.5020
4.684287 98.327 65.0438
4.718231 98.343 64.5984
4.752421 98.359 64.1664
4.786859 98.373 63.7480
4.821547 98.385 63.3430
4.856485 98.397 62.9513
4.891677 98.407 62.5727
4.927125 98.416 62.2075
4.962829 98.425 61.8560
4.998791 98.433 61.5188
5.035015 98.441 61.1967
5.071500 98.448 60.8905
5.108251 98.456 60.6009
5.145267 98.464 60.3286
5.182552 98.472 60.0737
5.220107 98.480 59.8362
5.257934 98.488 59.6156
5.296035 98.497 59.4109
5.334412 98.506 59.2212
5.373067 98.516 59.0455
5.412003 98.528 58.8830
5.451221 98.541 58.7334
5.490722 98.555 58.5966
5.530510 98.572 58.4726
5.570587 98.590 58.3614
5.610953 98.610 58.2621
5.651613 98.632 58.1735
5.692567 98.655 58.0934
5.733818 98.681 58.0197
5.775367 98.708 57.9502
5.817218 98.738 57.8834
5.859372 98.770 57.8182
5.901831 98.804 57.7541
5.944598 98.840 57.6906
5.987675 98.879 57.6272
6.031065 98.919 57.5623
6.074768 98.961 57.4942
6.118788 99.005 57.4212
6.163127 99.051 57.3413
6.207788 99.097 57.2534
6.252772 99.145 57.1566
6.298082 99.194 57.0508
6.343721 99.244 56.9357
6.389690 99.295 56.8115
6.435992 99.346 56.6779
6.482630 99.398 56.5345
6.529606 99.449 56.3810
6.576922 99.501 56.2172
6.624581 99.552 56.0427
6.672585 99.602 55.8580
6.720938 99.652 55.6635
