* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -1.0 dBFS with no timing reference
* Dated: Dec 21, 2023 12:17:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AFUL MagicOne L
* Measurement: L AFUL MagicOne
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.027 -130.2355
0.368865 78.049 -130.3162
0.371538 78.080 -130.4365
0.374230 78.118 -130.5863
0.376942 78.161 -130.7570
0.379673 78.208 -130.9424
0.382424 78.256 -131.1383
0.385196 78.305 -131.3422
0.387987 78.356 -131.5526
0.390798 78.407 -131.7686
0.393630 78.458 -131.9897
0.396483 78.510 -132.2157
0.399356 78.562 -132.4463
0.402250 78.615 -132.6815
0.405165 78.668 -132.9211
0.408101 78.721 -133.1651
0.411058 78.775 -133.4135
0.414037 78.829 -133.6661
0.417037 78.884 -133.9228
0.420059 78.939 -134.1835
0.423103 78.994 -134.4483
0.426169 79.050 -134.7169
0.429257 79.106 -134.9894
0.432367 79.163 -135.2656
0.435501 79.220 -135.5453
0.438656 79.278 -135.8286
0.441835 79.335 -136.1152
0.445037 79.394 -136.4052
0.448262 79.452 -136.6983
0.451510 79.512 -136.9944
0.454782 79.571 -137.2935
0.458077 79.631 -137.5954
0.461397 79.692 -137.9000
0.464740 79.752 -138.2072
0.468108 79.814 -138.5168
0.471500 79.876 -138.8287
0.474917 79.938 -139.1428
0.478358 80.000 -139.4589
0.481825 80.064 -139.7769
0.485316 80.127 -140.0967
0.488833 80.191 -140.4181
0.492375 80.256 -140.7410
0.495943 80.321 -141.0652
0.499537 80.386 -141.3906
0.503157 80.452 -141.7171
0.506803 80.518 -142.0445
0.510475 80.585 -142.3726
0.514174 80.653 -142.7014
0.517900 80.720 -143.0307
0.521653 80.789 -143.3603
0.525433 80.858 -143.6901
0.529241 80.927 -144.0200
0.533076 80.997 -144.3498
0.536939 81.067 -144.6794
0.540830 81.138 -145.0086
0.544749 81.209 -145.3373
0.548696 81.281 -145.6653
0.552673 81.354 -145.9926
0.556677 81.426 -146.3190
0.560711 81.500 -146.6444
0.564774 81.574 -146.9686
0.568867 81.648 -147.2915
0.572989 81.724 -147.6130
0.577141 81.799 -147.9330
0.581324 81.875 -148.2513
0.585536 81.952 -148.5678
0.589779 82.029 -148.8825
0.594053 82.107 -149.1951
0.598358 82.186 -149.5057
0.602694 82.264 -149.8140
0.607061 82.344 -150.1200
0.611460 82.424 -150.4236
0.615891 82.505 -150.7247
0.620354 82.586 -151.0231
0.624849 82.668 -151.3189
0.629377 82.750 -151.6118
0.633938 82.833 -151.9019
0.638532 82.917 -152.1890
0.643159 83.001 -152.4730
0.647819 83.086 -152.7540
0.652514 83.172 -153.0317
0.657242 83.258 -153.3061
0.662005 83.345 -153.5771
0.666802 83.432 -153.8448
0.671634 83.520 -154.1090
0.676501 83.609 -154.3697
0.681403 83.698 -154.6269
0.686341 83.788 -154.8807
0.691314 83.878 -155.1313
0.696324 83.969 -155.3791
0.701369 84.061 -155.6248
0.706452 84.153 -155.8699
0.711571 84.244 -156.1167
0.716727 84.336 -156.3689
0.721921 84.427 -156.6318
0.727153 84.516 -156.9120
0.732422 84.603 -157.2158
0.737729 84.688 -157.5471
0.743075 84.770 -157.9040
0.748460 84.851 -158.2818
0.753883 84.930 -158.6752
0.759346 85.009 -159.0798
0.764849 85.087 -159.4925
0.770391 85.164 -159.9109
0.775974 85.241 -160.3340
0.781597 85.318 -160.7607
0.787261 85.394 -161.1905
0.792965 85.471 -161.6231
0.798712 85.547 -162.0582
0.804499 85.623 -162.4955
0.810329 85.698 -162.9349
0.816201 85.774 -163.3762
0.822116 85.849 -163.8193
0.828073 85.924 -164.2641
0.834073 85.999 -164.7103
0.840118 86.074 -165.1579
0.846205 86.149 -165.6067
0.852337 86.223 -166.0567
0.858514 86.297 -166.5078
0.864735 86.372 -166.9598
0.871001 86.446 -167.4128
0.877313 86.519 -167.8665
0.883670 86.593 -168.3210
0.890074 86.667 -168.7762
0.896523 86.740 -169.2321
0.903020 86.814 -169.6886
0.909564 86.887 -170.1457
0.916155 86.960 -170.6034
0.922793 87.034 -171.0617
0.929480 87.107 -171.5206
0.936216 87.180 -171.9801
0.943000 87.253 -172.4402
0.949833 87.326 -172.9010
0.956716 87.399 -173.3626
0.963649 87.472 -173.8249
0.970632 87.546 -174.2881
0.977666 87.619 -174.7523
0.984750 87.692 -175.2174
0.991886 87.766 -175.6837
0.999074 87.839 -176.1512
1.006313 87.913 -176.6201
1.013605 87.987 -177.0905
1.020950 88.061 -177.5626
1.028349 88.136 -178.0365
1.035801 88.211 -178.5124
1.043306 88.286 -178.9905
1.050867 88.361 -179.4711
1.058482 88.437 -179.9543
1.066152 88.513 179.5594
1.073878 88.589 179.0698
1.081659 88.666 178.5763
1.089498 88.743 178.0784
1.097393 88.820 177.5754
1.105345 88.898 177.0668
1.113355 88.975 176.5518
1.121422 89.053 176.0302
1.129549 89.130 175.5016
1.137734 89.207 174.9663
1.145978 89.285 174.4243
1.154283 89.362 173.8758
1.162647 89.439 173.3212
1.171072 89.515 172.7608
1.179558 89.592 172.1949
1.188106 89.668 171.6240
1.196715 89.744 171.0483
1.205387 89.821 170.4683
1.214122 89.896 169.8844
1.222920 89.972 169.2968
1.231781 90.048 168.7061
1.240708 90.123 168.1125
1.249698 90.199 167.5164
1.258754 90.274 166.9182
1.267875 90.349 166.3183
1.277063 90.424 165.7169
1.286317 90.499 165.1146
1.295638 90.574 164.5115
1.305027 90.648 163.9081
1.314484 90.723 163.3048
1.324009 90.797 162.7017
1.333603 90.872 162.0993
1.343267 90.946 161.4978
1.353001 91.021 160.8976
1.362805 91.095 160.2990
1.372681 91.170 159.7022
1.382628 91.244 159.1075
1.392647 91.318 158.5151
1.402739 91.393 157.9252
1.412904 91.467 157.3381
1.423142 91.542 156.7535
1.433455 91.616 156.1716
1.443842 91.691 155.5920
1.454305 91.765 155.0141
1.464843 91.840 154.4370
1.475458 91.914 153.8596
1.486150 91.988 153.2811
1.496919 92.062 152.7006
1.507766 92.136 152.1176
1.518692 92.210 151.5317
1.529697 92.283 150.9431
1.540782 92.356 150.3517
1.551947 92.428 149.7578
1.563193 92.501 149.1613
1.574521 92.573 148.5627
1.585931 92.644 147.9621
1.597423 92.716 147.3597
1.608998 92.787 146.7558
1.620658 92.858 146.1505
1.632402 92.928 145.5442
1.644231 92.999 144.9370
1.656146 93.069 144.3291
1.668147 93.138 143.7207
1.680235 93.208 143.1121
1.692410 93.277 142.5034
1.704674 93.347 141.8948
1.717027 93.416 141.2864
1.729469 93.484 140.6785
1.742002 93.553 140.0711
1.754625 93.621 139.4644
1.767340 93.690 138.8583
1.780147 93.758 138.2527
1.793046 93.826 137.6476
1.806040 93.894 137.0424
1.819127 93.961 136.4365
1.832309 94.029 135.8289
1.845587 94.096 135.2185
1.858961 94.162 134.6045
1.872431 94.228 133.9861
1.886000 94.294 133.3632
1.899666 94.360 132.7355
1.913432 94.424 132.1034
1.927298 94.489 131.4673
1.941264 94.553 130.8275
1.955331 94.616 130.1847
1.969500 94.679 129.5393
1.983772 94.742 128.8920
1.998147 94.804 128.2433
2.012626 94.866 127.5939
2.027211 94.927 126.9443
2.041901 94.988 126.2953
2.056697 95.049 125.6474
2.071601 95.110 125.0012
2.086613 95.170 124.3573
2.101733 95.229 123.7162
2.116963 95.289 123.0786
2.132303 95.348 122.4446
2.147755 95.407 121.8147
2.163318 95.466 121.1887
2.178995 95.524 120.5661
2.194785 95.582 119.9462
2.210689 95.640 119.3279
2.226709 95.697 118.7100
2.242844 95.754 118.0916
2.259097 95.810 117.4720
2.275467 95.866 116.8509
2.291956 95.921 116.2284
2.308565 95.975 115.6047
2.325294 96.029 114.9802
2.342144 96.082 114.3553
2.359116 96.135 113.7305
2.376211 96.188 113.1065
2.393430 96.240 112.4836
2.410774 96.291 111.8627
2.428243 96.343 111.2442
2.445839 96.394 110.6288
2.463562 96.444 110.0171
2.481415 96.495 109.4097
2.499396 96.545 108.8069
2.517508 96.595 108.2091
2.535750 96.645 107.6163
2.554126 96.694 107.0281
2.572634 96.743 106.4441
2.591276 96.792 105.8633
2.610054 96.840 105.2852
2.628967 96.888 104.7089
2.648018 96.935 104.1343
2.667206 96.982 103.5610
2.686534 97.028 102.9893
2.706002 97.074 102.4192
2.725610 97.119 101.8509
2.745361 97.164 101.2847
2.765255 97.209 100.7209
2.785294 97.254 100.1599
2.805477 97.298 99.6021
2.825807 97.342 99.0479
2.846284 97.386 98.4975
2.866909 97.430 97.9513
2.887684 97.474 97.4095
2.908609 97.517 96.8722
2.929686 97.561 96.3393
2.950916 97.604 95.8103
2.972299 97.648 95.2851
2.993838 97.691 94.7632
3.015532 97.733 94.2443
3.037384 97.776 93.7284
3.059394 97.818 93.2153
3.081564 97.860 92.7050
3.103894 97.902 92.1978
3.126386 97.943 91.6935
3.149041 97.985 91.1923
3.171861 98.026 90.6944
3.194845 98.067 90.1999
3.217996 98.109 89.7090
3.241315 98.150 89.2219
3.264803 98.192 88.7386
3.288461 98.233 88.2592
3.312291 98.275 87.7837
3.336293 98.316 87.3119
3.360469 98.358 86.8439
3.384820 98.399 86.3793
3.409348 98.440 85.9181
3.434054 98.482 85.4600
3.458938 98.523 85.0049
3.484003 98.564 84.5526
3.509250 98.605 84.1030
3.534679 98.646 83.6560
3.560293 98.687 83.2113
3.586092 98.728 82.7689
3.612079 98.769 82.3286
3.638253 98.810 81.8904
3.664618 98.851 81.4541
3.691173 98.891 81.0197
3.717921 98.932 80.5872
3.744862 98.973 80.1566
3.771999 99.013 79.7281
3.799332 99.054 79.3016
3.826864 99.094 78.8774
3.854595 99.134 78.4555
3.882527 99.174 78.0360
3.910661 99.213 77.6191
3.938999 99.253 77.2048
3.967543 99.292 76.7931
3.996294 99.331 76.3840
4.025252 99.369 75.9773
4.054421 99.407 75.5729
4.083801 99.445 75.1707
4.113394 99.482 74.7706
4.143201 99.519 74.3728
4.173225 99.556 73.9776
4.203466 99.592 73.5853
4.233926 99.628 73.1963
4.264606 99.663 72.8111
4.295509 99.698 72.4300
4.326636 99.733 72.0533
4.357989 99.767 71.6812
4.389569 99.801 71.3138
4.421378 99.834 70.9509
4.453417 99.867 70.5924
4.485688 99.899 70.2383
4.518193 99.930 69.8887
4.550934 99.961 69.5440
4.583912 99.992 69.2045
4.617129 100.023 68.8709
4.650587 100.053 68.5436
4.684287 100.083 68.2232
4.718231 100.112 67.9102
4.752421 100.142 67.6047
4.786859 100.171 67.3071
4.821547 100.200 67.0172
4.856485 100.229 66.7350
4.891677 100.258 66.4603
4.927125 100.287 66.1929
4.962829 100.316 65.9328
4.998791 100.345 65.6799
5.035015 100.375 65.4342
5.071500 100.405 65.1958
5.108251 100.436 64.9651
5.145267 100.467 64.7421
5.182552 100.499 64.5270
5.220107 100.531 64.3196
5.257934 100.565 64.1193
5.296035 100.599 63.9252
5.334412 100.634 63.7362
5.373067 100.670 63.5514
5.412003 100.706 63.3698
5.451221 100.745 63.1908
5.490722 100.784 63.0141
5.530510 100.825 62.8396
5.570587 100.867 62.6671
5.610953 100.910 62.4962
5.651613 100.954 62.3256
5.692567 101.000 62.1541
5.733818 101.046 61.9802
5.775367 101.094 61.8023
5.817218 101.143 61.6193
5.859372 101.192 61.4304
5.901831 101.243 61.2353
5.944598 101.294 61.0338
5.987675 101.347 60.8256
6.031065 101.399 60.6104
6.074768 101.453 60.3872
6.118788 101.506 60.1554
6.163127 101.559 59.9140
6.207788 101.612 59.6623
6.252772 101.665 59.4000
6.298082 101.717 59.1271
6.343721 101.768 58.8440
6.389690 101.819 58.5512
6.435992 101.869 58.2497
6.482630 101.917 57.9400
6.529606 101.964 57.6228
6.576922 102.009 57.2982
6.624581 102.053 56.9665
6.672585 102.094 56.6281
6.720938 102.134 56.2839
6.769640 102.171 55.9356
6.818696 102.206 55.5851
