* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2025 7:44:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Rock Lobster L
* Measurement: L May 19
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.157 160.8151
0.368865 94.151 160.7949
0.371538 94.143 160.7646
0.374230 94.132 160.7265
0.376942 94.121 160.6826
0.379673 94.108 160.6344
0.382424 94.095 160.5829
0.385196 94.082 160.5285
0.387987 94.068 160.4716
0.390798 94.055 160.4125
0.393630 94.041 160.3512
0.396483 94.027 160.2877
0.399356 94.012 160.2220
0.402250 93.998 160.1542
0.405165 93.984 160.0841
0.408101 93.969 160.0119
0.411058 93.955 159.9375
0.414037 93.940 159.8608
0.417037 93.925 159.7819
0.420059 93.910 159.7007
0.423103 93.895 159.6171
0.426169 93.880 159.5313
0.429257 93.865 159.4431
0.432368 93.850 159.3526
0.435501 93.834 159.2596
0.438656 93.819 159.1643
0.441835 93.803 159.0665
0.445037 93.787 158.9663
0.448262 93.772 158.8637
0.451510 93.756 158.7586
0.454782 93.739 158.6510
0.458077 93.723 158.5409
0.461397 93.707 158.4282
0.464740 93.690 158.3130
0.468108 93.674 158.1953
0.471500 93.657 158.0750
0.474917 93.640 157.9522
0.478358 93.623 157.8267
0.481825 93.606 157.6986
0.485316 93.589 157.5680
0.488833 93.572 157.4347
0.492375 93.554 157.2988
0.495943 93.537 157.1602
0.499537 93.519 157.0190
0.503157 93.501 156.8751
0.506803 93.483 156.7286
0.510475 93.465 156.5795
0.514175 93.447 156.4277
0.517900 93.429 156.2732
0.521653 93.410 156.1161
0.525434 93.391 155.9564
0.529241 93.373 155.7940
0.533076 93.354 155.6290
0.536939 93.335 155.4613
0.540830 93.316 155.2911
0.544749 93.296 155.1182
0.548696 93.277 154.9428
0.552673 93.257 154.7648
0.556677 93.238 154.5843
0.560711 93.218 154.4013
0.564774 93.198 154.2158
0.568867 93.178 154.0278
0.572989 93.157 153.8374
0.577141 93.137 153.6446
0.581324 93.116 153.4495
0.585536 93.095 153.2521
0.589779 93.075 153.0524
0.594053 93.054 152.8504
0.598358 93.032 152.6464
0.602694 93.011 152.4402
0.607061 92.989 152.2320
0.611460 92.968 152.0219
0.615891 92.946 151.8098
0.620354 92.924 151.5960
0.624849 92.902 151.3804
0.629377 92.880 151.1631
0.633938 92.857 150.9443
0.638532 92.834 150.7240
0.643159 92.812 150.5024
0.647819 92.789 150.2795
0.652514 92.766 150.0556
0.657242 92.742 149.8306
0.662005 92.719 149.6047
0.666802 92.695 149.3781
0.671634 92.671 149.1510
0.676501 92.647 148.9233
0.681403 92.623 148.6955
0.686341 92.599 148.4675
0.691314 92.574 148.2396
0.696324 92.550 148.0119
0.701370 92.525 147.7846
0.706452 92.499 147.5578
0.711571 92.473 147.3315
0.716728 92.447 147.1058
0.721921 92.419 146.8804
0.727153 92.390 146.6550
0.732422 92.359 146.4289
0.737729 92.326 146.2012
0.743075 92.290 145.9712
0.748460 92.254 145.7379
0.753883 92.216 145.5008
0.759346 92.177 145.2595
0.764849 92.138 145.0137
0.770391 92.097 144.7631
0.775974 92.057 144.5078
0.781597 92.015 144.2475
0.787261 91.974 143.9822
0.792966 91.931 143.7119
0.798712 91.888 143.4364
0.804500 91.845 143.1558
0.810329 91.801 142.8700
0.816201 91.756 142.5790
0.822116 91.711 142.2827
0.828073 91.665 141.9812
0.834074 91.618 141.6743
0.840118 91.571 141.3622
0.846206 91.523 141.0447
0.852338 91.474 140.7218
0.858514 91.424 140.3937
0.864735 91.374 140.0602
0.871001 91.322 139.7213
0.877313 91.270 139.3772
0.883670 91.217 139.0278
0.890074 91.163 138.6732
0.896524 91.107 138.3134
0.903020 91.051 137.9485
0.909564 90.993 137.5786
0.916155 90.935 137.2037
0.922794 90.875 136.8240
0.929481 90.814 136.4395
0.936216 90.752 136.0505
0.943000 90.688 135.6571
0.949834 90.623 135.2593
0.956717 90.556 134.8575
0.963649 90.488 134.4519
0.970632 90.419 134.0426
0.977666 90.348 133.6300
0.984750 90.275 133.2143
0.991886 90.200 132.7958
0.999074 90.124 132.3749
1.006314 90.046 131.9520
1.013606 89.966 131.5274
1.020951 89.884 131.1017
1.028349 89.800 130.6752
1.035801 89.714 130.2487
1.043307 89.626 129.8224
1.050867 89.535 129.3972
1.058482 89.443 128.9734
1.066152 89.348 128.5519
1.073878 89.250 128.1330
1.081660 89.151 127.7171
1.089498 89.049 127.3046
1.097393 88.945 126.8953
1.105345 88.840 126.4889
1.113355 88.733 126.0850
1.121423 88.625 125.6829
1.129549 88.516 125.2821
1.137734 88.406 124.8821
1.145979 88.295 124.4825
1.154283 88.183 124.0829
1.162647 88.070 123.6830
1.171072 87.955 123.2825
1.179558 87.839 122.8809
1.188106 87.721 122.4780
1.196715 87.601 122.0735
1.205387 87.479 121.6668
1.214122 87.355 121.2577
1.222920 87.228 120.8457
1.231782 87.099 120.4304
1.240708 86.967 120.0113
1.249699 86.831 119.5879
1.258754 86.692 119.1597
1.267876 86.550 118.7261
1.277063 86.404 118.2866
1.286318 86.253 117.8405
1.295639 86.098 117.3871
1.305027 85.938 116.9257
1.314484 85.773 116.4556
1.324009 85.603 115.9760
1.333604 85.427 115.4860
1.343268 85.245 114.9847
1.353002 85.056 114.4711
1.362806 84.861 113.9442
1.372681 84.659 113.4030
1.382628 84.449 112.8463
1.392647 84.232 112.2730
1.402739 84.006 111.6820
1.412904 83.771 111.0719
1.423142 83.527 110.4418
1.433455 83.271 109.7905
1.443843 83.004 109.1173
1.454305 82.723 108.4214
1.464844 82.426 107.7025
1.475459 82.111 106.9601
1.486150 81.773 106.1935
1.496920 81.412 105.4015
1.507767 81.027 104.5818
1.518693 80.617 103.7318
1.529698 80.183 102.8480
1.540783 79.725 101.9258
1.551948 79.245 100.9602
1.563194 78.746 99.9450
1.574521 78.228 98.8728
1.585931 77.695 97.7352
1.597423 77.148 96.5219
1.608999 76.591 95.2206
1.620658 76.025 93.8167
1.632402 75.453 92.2923
1.644232 74.880 90.6258
1.656146 74.308 88.7906
1.668147 73.740 86.7539
1.680235 73.180 84.4754
1.692411 72.633 81.9045
1.704675 72.103 78.9786
1.717028 71.593 75.6204
1.729470 71.110 71.7352
1.742003 70.659 67.2108
1.754626 70.245 61.9208
1.767341 69.874 55.7380
1.780147 69.552 48.5629
1.793047 69.287 40.3733
1.806040 69.084 31.2860
1.819128 68.949 21.5948
1.832310 68.886 11.7392
1.845587 68.899 2.1897
1.858961 68.987 -6.6803
1.872432 69.150 -14.6623
1.886001 69.384 -21.7008
1.899667 69.685 -27.8415
1.913433 70.047 -33.1803
1.927299 70.466 -37.8274
1.941265 70.934 -41.8884
1.955332 71.446 -45.4562
1.969501 71.994 -48.6094
1.983773 72.573 -51.4128
1.998148 73.175 -53.9193
2.012627 73.794 -56.1717
2.027212 74.424 -58.2050
2.041902 75.058 -60.0475
2.056698 75.689 -61.7225
2.071602 76.311 -63.2490
2.086614 76.918 -64.6428
2.101734 77.504 -65.9171
2.116964 78.062 -67.0835
2.132304 78.589 -68.1521
2.147756 79.081 -69.1327
2.163320 79.534 -70.0351
2.178996 79.949 -70.8700
2.194786 80.326 -71.6489
2.210690 80.668 -72.3840
2.226710 80.981 -73.0863
2.242845 81.267 -73.7646
2.259098 81.530 -74.4246
2.275468 81.773 -75.0698
2.291957 81.997 -75.7016
2.308566 82.205 -76.3203
2.325295 82.397 -76.9252
2.342145 82.575 -77.5153
2.359117 82.740 -78.0891
2.376212 82.894 -78.6451
2.393431 83.039 -79.1814
2.410775 83.175 -79.6963
2.428244 83.304 -80.1877
2.445840 83.429 -80.6538
2.463564 83.549 -81.0926
2.481416 83.668 -81.5024
2.499397 83.785 -81.8819
2.517509 83.903 -82.2304
2.535752 84.021 -82.5479
2.554127 84.139 -82.8359
2.572635 84.255 -83.0966
2.591277 84.369 -83.3334
2.610055 84.478 -83.5493
2.628968 84.582 -83.7469
2.648019 84.681 -83.9278
2.667208 84.773 -84.0932
2.686535 84.860 -84.2437
2.706003 84.942 -84.3795
2.725612 85.020 -84.5004
2.745363 85.094 -84.6063
2.765257 85.164 -84.6968
2.785295 85.232 -84.7714
2.805478 85.299 -84.8297
2.825808 85.365 -84.8709
2.846285 85.431 -84.8945
2.866910 85.497 -84.8997
2.887685 85.565 -84.8858
2.908611 85.634 -84.8520
2.929688 85.703 -84.7976
2.950917 85.773 -84.7221
2.972301 85.843 -84.6254
2.993839 85.913 -84.5080
3.015534 85.982 -84.3707
3.037386 86.049 -84.2151
3.059396 86.117 -84.0428
3.081565 86.184 -83.8557
3.103896 86.250 -83.6559
3.126388 86.317 -83.4456
3.149043 86.385 -83.2268
3.171862 86.454 -83.0017
3.194847 86.524 -82.7722
3.217998 86.597 -82.5399
3.241317 86.671 -82.3058
3.264805 86.748 -82.0701
3.288463 86.828 -81.8323
3.312293 86.911 -81.5911
3.336295 86.996 -81.3451
3.360471 87.084 -81.0939
3.384822 87.174 -80.8379
3.409350 87.267 -80.5788
3.434056 87.361 -80.3191
3.458940 87.457 -80.0618
3.484005 87.554 -79.8103
3.509252 87.653 -79.5679
3.534681 87.753 -79.3380
3.560295 87.853 -79.1237
3.586094 87.954 -78.9277
3.612081 88.056 -78.7519
3.638255 88.158 -78.5973
3.664620 88.261 -78.4638
3.691175 88.365 -78.3506
3.717923 88.469 -78.2561
3.744864 88.575 -78.1793
3.772001 88.681 -78.1194
3.799335 88.788 -78.0758
3.826866 88.895 -78.0484
3.854597 89.002 -78.0375
3.882529 89.108 -78.0431
3.910664 89.214 -78.0657
3.939002 89.317 -78.1057
3.967546 89.420 -78.1636
3.996296 89.520 -78.2398
4.025255 89.618 -78.3346
4.054423 89.715 -78.4483
4.083804 89.809 -78.5805
4.113396 89.901 -78.7307
4.143204 89.992 -78.8977
4.173227 90.080 -79.0799
4.203468 90.167 -79.2758
4.233928 90.251 -79.4837
4.264609 90.333 -79.7021
4.295512 90.412 -79.9297
4.326639 90.489 -80.1655
4.357992 90.563 -80.4093
4.389572 90.634 -80.6613
4.421380 90.702 -80.9221
4.453419 90.767 -81.1922
4.485691 90.829 -81.4716
4.518196 90.887 -81.7593
4.550936 90.943 -82.0539
4.583914 90.996 -82.3532
4.617131 91.047 -82.6550
4.650589 91.095 -82.9570
4.684289 91.140 -83.2573
4.718233 91.184 -83.5544
4.752424 91.225 -83.8477
4.786862 91.263 -84.1374
4.821549 91.299 -84.4239
4.856488 91.332 -84.7077
4.891680 91.363 -84.9887
4.927127 91.392 -85.2666
4.962831 91.419 -85.5404
4.998794 91.444 -85.8092
5.035017 91.469 -86.0716
5.071503 91.492 -86.3267
5.108253 91.514 -86.5736
5.145270 91.536 -86.8118
5.182555 91.557 -87.0413
5.220110 91.578 -87.2626
5.257937 91.597 -87.4764
5.296038 91.617 -87.6839
5.334415 91.636 -87.8860
5.373071 91.655 -88.0837
5.412006 91.675 -88.2777
5.451224 91.696 -88.4685
5.490725 91.718 -88.6562
5.530514 91.740 -88.8409
5.570590 91.764 -89.0228
5.610957 91.789 -89.2028
5.651616 91.815 -89.3822
5.692570 91.842 -89.5631
5.733821 91.871 -89.7474
5.775370 91.901 -89.9372
5.817221 91.932 -90.1340
5.859375 91.964 -90.3389
5.901834 91.998 -90.5522
5.944602 92.034 -90.7744
5.987679 92.070 -91.0059
6.031068 92.108 -91.2475
6.074771 92.147 -91.5006
6.118792 92.187 -91.7664
6.163131 92.227 -92.0463
6.207792 92.268 -92.3413
6.252776 92.309 -92.6520
6.298086 92.351 -92.9785
6.343725 92.393 -93.3204
6.389694 92.435 -93.6771
6.435996 92.477 -94.0482
6.482634 92.519 -94.4330
6.529610 92.561 -94.8313
6.576926 92.601 -95.2427
6.624585 92.641 -95.6671
6.672590 92.681 -96.1043
6.720942 92.719 -96.5535
6.769645 92.757 -97.0134
