* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 23, 2024 12:51:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Purple
* Measurement: L Purple
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.124 163.8609
0.368865 94.118 163.8436
0.371538 94.110 163.8179
0.374230 94.100 163.7855
0.376942 94.089 163.7482
0.379673 94.077 163.7072
0.382424 94.064 163.6634
0.385196 94.051 163.6172
0.387987 94.038 163.5690
0.390798 94.025 163.5188
0.393630 94.012 163.4668
0.396483 93.998 163.4129
0.399356 93.984 163.3572
0.402250 93.971 163.2997
0.405165 93.957 163.2404
0.408101 93.943 163.1792
0.411058 93.929 163.1162
0.414037 93.915 163.0513
0.417037 93.900 162.9845
0.420059 93.886 162.9157
0.423103 93.871 162.8451
0.426169 93.857 162.7725
0.429257 93.842 162.6979
0.432368 93.827 162.6214
0.435501 93.812 162.5428
0.438656 93.797 162.4622
0.441835 93.782 162.3797
0.445037 93.767 162.2950
0.448262 93.752 162.2084
0.451510 93.736 162.1196
0.454782 93.721 162.0288
0.458077 93.705 161.9359
0.461397 93.689 161.8408
0.464740 93.673 161.7437
0.468108 93.657 161.6444
0.471500 93.641 161.5430
0.474917 93.625 161.4394
0.478358 93.609 161.3336
0.481825 93.592 161.2257
0.485316 93.576 161.1156
0.488833 93.559 161.0033
0.492375 93.542 160.8888
0.495943 93.525 160.7722
0.499537 93.508 160.6533
0.503157 93.491 160.5322
0.506803 93.473 160.4089
0.510475 93.456 160.2834
0.514175 93.438 160.1557
0.517900 93.421 160.0257
0.521653 93.403 159.8936
0.525434 93.385 159.7592
0.529241 93.367 159.6227
0.533076 93.348 159.4840
0.536939 93.330 159.3431
0.540830 93.312 159.2000
0.544749 93.293 159.0547
0.548696 93.274 158.9073
0.552673 93.255 158.7578
0.556677 93.236 158.6062
0.560711 93.217 158.4524
0.564774 93.198 158.2966
0.568867 93.178 158.1388
0.572989 93.159 157.9789
0.577141 93.139 157.8170
0.581324 93.119 157.6532
0.585536 93.099 157.4874
0.589779 93.079 157.3198
0.594053 93.059 157.1503
0.598358 93.038 156.9790
0.602694 93.017 156.8060
0.607061 92.997 156.6313
0.611460 92.976 156.4549
0.615891 92.955 156.2769
0.620354 92.933 156.0974
0.624849 92.912 155.9165
0.629377 92.891 155.7342
0.633938 92.869 155.5505
0.638532 92.847 155.3656
0.643159 92.825 155.1796
0.647819 92.803 154.9925
0.652514 92.781 154.8045
0.657242 92.758 154.6156
0.662005 92.735 154.4259
0.666802 92.713 154.2357
0.671634 92.690 154.0449
0.676501 92.666 153.8537
0.681403 92.643 153.6623
0.686341 92.620 153.4707
0.691314 92.596 153.2791
0.696324 92.572 153.0878
0.701370 92.548 152.8966
0.706452 92.523 152.7059
0.711571 92.498 152.5156
0.716728 92.472 152.3257
0.721921 92.446 152.1360
0.727153 92.417 151.9462
0.732422 92.387 151.7558
0.737729 92.355 151.5640
0.743075 92.321 151.3701
0.748460 92.286 151.1735
0.753883 92.249 150.9736
0.759346 92.211 150.7702
0.764849 92.173 150.5629
0.770391 92.134 150.3517
0.775974 92.094 150.1363
0.781597 92.054 149.9168
0.787261 92.014 149.6931
0.792966 91.973 149.4651
0.798712 91.932 149.2328
0.804500 91.890 148.9961
0.810329 91.847 148.7551
0.816201 91.804 148.5097
0.822116 91.761 148.2599
0.828073 91.717 148.0057
0.834074 91.672 147.7470
0.840118 91.626 147.4839
0.846206 91.580 147.2162
0.852338 91.533 146.9442
0.858514 91.485 146.6676
0.864735 91.436 146.3866
0.871001 91.386 146.1012
0.877313 91.336 145.8113
0.883670 91.284 145.5170
0.890074 91.232 145.2184
0.896524 91.178 144.9154
0.903020 91.124 144.6082
0.909564 91.068 144.2968
0.916155 91.011 143.9812
0.922794 90.953 143.6616
0.929481 90.893 143.3380
0.936216 90.833 143.0107
0.943000 90.771 142.6795
0.949834 90.707 142.3448
0.956717 90.642 142.0067
0.963649 90.576 141.6653
0.970632 90.507 141.3208
0.977666 90.438 140.9735
0.984750 90.366 140.6236
0.991886 90.293 140.2712
0.999074 90.217 139.9168
1.006314 90.140 139.5606
1.013606 90.061 139.2029
1.020951 89.980 138.8441
1.028349 89.896 138.4846
1.035801 89.811 138.1248
1.043307 89.723 137.7652
1.050867 89.632 137.4061
1.058482 89.539 137.0482
1.066152 89.444 136.6918
1.073878 89.346 136.3374
1.081660 89.246 135.9853
1.089498 89.143 135.6357
1.097393 89.037 135.2884
1.105345 88.930 134.9432
1.113355 88.820 134.5997
1.121423 88.708 134.2573
1.129549 88.595 133.9155
1.137734 88.479 133.5741
1.145979 88.362 133.2325
1.154283 88.243 132.8906
1.162647 88.122 132.5480
1.171072 87.999 132.2045
1.179558 87.874 131.8598
1.188106 87.746 131.5136
1.196715 87.616 131.1657
1.205387 87.484 130.8157
1.214122 87.349 130.4633
1.222920 87.211 130.1082
1.231782 87.070 129.7500
1.240708 86.926 129.3883
1.249699 86.779 129.0227
1.258754 86.629 128.6527
1.267876 86.475 128.2779
1.277063 86.317 127.8977
1.286318 86.156 127.5116
1.295639 85.990 127.1190
1.305027 85.821 126.7193
1.314484 85.647 126.3117
1.324009 85.468 125.8955
1.333604 85.285 125.4699
1.343268 85.097 125.0340
1.353002 84.904 124.5869
1.362806 84.705 124.1276
1.372681 84.501 123.6549
1.382628 84.291 123.1677
1.392647 84.075 122.6648
1.402739 83.852 122.1447
1.412904 83.623 121.6061
1.423142 83.386 121.0475
1.433455 83.141 120.4674
1.443843 82.886 119.8642
1.454305 82.621 119.2367
1.464844 82.342 118.5832
1.475459 82.048 117.9023
1.486150 81.734 117.1920
1.496920 81.400 116.4496
1.507767 81.045 115.6720
1.518693 80.668 114.8548
1.529698 80.269 113.9930
1.540783 79.850 113.0802
1.551948 79.412 112.1089
1.563194 78.957 111.0702
1.574521 78.486 109.9530
1.585931 78.003 108.7441
1.597423 77.508 107.4273
1.608999 77.005 105.9825
1.620658 76.495 104.3845
1.632402 75.983 102.6020
1.644232 75.470 100.5947
1.656146 74.961 98.3113
1.668147 74.457 95.6851
1.680235 73.964 92.6297
1.692411 73.484 89.0318
1.704675 73.022 84.7452
1.717028 72.582 79.5843
1.729470 72.170 73.3275
1.742003 71.788 65.7420
1.754626 71.445 56.6581
1.767341 71.144 46.1105
1.780147 70.892 34.4993
1.793047 70.695 22.6043
1.806040 70.559 11.3183
1.819128 70.490 1.2789
1.832310 70.491 -7.2818
1.845587 70.567 -14.4357
1.858961 70.716 -20.3894
1.872432 70.939 -25.3707
1.886001 71.232 -29.5797
1.899667 71.591 -33.1770
1.913433 72.011 -36.2871
1.927299 72.485 -39.0054
1.941265 73.008 -41.4050
1.955332 73.572 -43.5421
1.969501 74.173 -45.4606
1.983773 74.802 -47.1947
1.998148 75.454 -48.7719
2.012627 76.121 -50.2137
2.027212 76.797 -51.5377
2.041902 77.476 -52.7583
2.056698 78.151 -53.8872
2.071602 78.816 -54.9340
2.086614 79.464 -55.9070
2.101734 80.089 -56.8130
2.116964 80.687 -57.6581
2.132304 81.251 -58.4479
2.147756 81.778 -59.1877
2.163320 82.266 -59.8830
2.178996 82.714 -60.5397
2.194786 83.124 -61.1644
2.210690 83.497 -61.7638
2.226710 83.839 -62.3441
2.242845 84.154 -62.9099
2.259098 84.444 -63.4646
2.275468 84.712 -64.0098
2.291957 84.960 -64.5463
2.308566 85.190 -65.0740
2.325295 85.403 -65.5926
2.342145 85.602 -66.1015
2.359117 85.787 -66.5999
2.376212 85.961 -67.0871
2.393431 86.124 -67.5620
2.410775 86.279 -68.0239
2.428244 86.428 -68.4718
2.445840 86.572 -68.9049
2.463564 86.713 -69.3223
2.481416 86.852 -69.7234
2.499397 86.993 -70.1078
2.517509 87.134 -70.4756
2.535752 87.278 -70.8271
2.554127 87.423 -71.1635
2.572635 87.568 -71.4868
2.591277 87.713 -71.7991
2.610055 87.854 -72.1024
2.628968 87.992 -72.3983
2.648019 88.125 -72.6877
2.667208 88.253 -72.9712
2.686535 88.377 -73.2489
2.706003 88.496 -73.5209
2.725612 88.611 -73.7868
2.745363 88.722 -74.0465
2.765257 88.830 -74.2995
2.785295 88.936 -74.5453
2.805478 89.039 -74.7835
2.825808 89.141 -75.0137
2.846285 89.242 -75.2354
2.866910 89.342 -75.4481
2.887685 89.442 -75.6517
2.908611 89.541 -75.8461
2.929688 89.639 -76.0314
2.950917 89.737 -76.2079
2.972301 89.833 -76.3762
2.993839 89.928 -76.5370
3.015534 90.020 -76.6906
3.037386 90.111 -76.8378
3.059396 90.200 -76.9789
3.081565 90.286 -77.1144
3.103896 90.372 -77.2446
3.126388 90.456 -77.3700
3.149043 90.539 -77.4908
3.171862 90.622 -77.6073
3.194847 90.704 -77.7196
3.217998 90.786 -77.8279
3.241317 90.867 -77.9322
3.264805 90.949 -78.0322
3.288463 91.032 -78.1277
3.312293 91.114 -78.2182
3.336295 91.196 -78.3035
3.360471 91.277 -78.3836
3.384822 91.359 -78.4588
3.409350 91.440 -78.5300
3.434056 91.520 -78.5981
3.458940 91.600 -78.6642
3.484005 91.680 -78.7297
3.509252 91.759 -78.7959
3.534681 91.839 -78.8639
3.560295 91.918 -78.9349
3.586094 91.997 -79.0099
3.612081 92.076 -79.0897
3.638255 92.155 -79.1745
3.664620 92.234 -79.2643
3.691175 92.314 -79.3586
3.717923 92.393 -79.4571
3.744864 92.472 -79.5594
3.772001 92.551 -79.6654
3.799335 92.630 -79.7755
3.826866 92.709 -79.8900
3.854597 92.787 -80.0095
3.882529 92.865 -80.1345
3.910664 92.943 -80.2658
3.939002 93.020 -80.4039
3.967546 93.096 -80.5494
3.996296 93.172 -80.7026
4.025255 93.247 -80.8637
4.054423 93.321 -81.0329
4.083804 93.395 -81.2098
4.113396 93.468 -81.3944
4.143204 93.541 -81.5864
4.173227 93.612 -81.7855
4.203468 93.683 -81.9916
4.233928 93.753 -82.2046
4.264609 93.821 -82.4243
4.295512 93.889 -82.6509
4.326639 93.956 -82.8843
4.357992 94.021 -83.1248
4.389572 94.085 -83.3727
4.421380 94.147 -83.6283
4.453419 94.208 -83.8916
4.485691 94.268 -84.1627
4.518196 94.327 -84.4409
4.550936 94.384 -84.7258
4.583914 94.439 -85.0165
4.617131 94.493 -85.3121
4.650589 94.546 -85.6119
4.684289 94.598 -85.9152
4.718233 94.648 -86.2216
4.752424 94.697 -86.5312
4.786862 94.744 -86.8441
4.821549 94.789 -87.1605
4.856488 94.833 -87.4807
4.891680 94.876 -87.8043
4.927127 94.917 -88.1310
4.962831 94.957 -88.4601
4.998794 94.995 -88.7908
5.035017 95.033 -89.1224
5.071503 95.069 -89.4543
5.108253 95.105 -89.7860
5.145270 95.139 -90.1177
5.182555 95.172 -90.4493
5.220110 95.204 -90.7812
5.257937 95.236 -91.1134
5.296038 95.266 -91.4461
5.334415 95.295 -91.7791
5.373071 95.324 -92.1123
5.412006 95.353 -92.4454
5.451224 95.381 -92.7783
5.490725 95.409 -93.1109
5.530514 95.437 -93.4430
5.570590 95.464 -93.7749
5.610957 95.491 -94.1069
5.651616 95.519 -94.4394
5.692570 95.546 -94.7729
5.733821 95.573 -95.1079
5.775370 95.600 -95.4448
5.817221 95.627 -95.7840
5.859375 95.655 -96.1255
5.901834 95.684 -96.4697
5.944602 95.712 -96.8165
5.987679 95.741 -97.1664
6.031068 95.771 -97.5199
6.074771 95.800 -97.8777
6.118792 95.831 -98.2404
6.163131 95.861 -98.6088
6.207792 95.892 -98.9832
6.252776 95.924 -99.3641
6.298086 95.956 -99.7514
6.343725 95.988 -100.1453
6.389694 96.021 -100.5459
6.435996 96.054 -100.9532
6.482634 96.088 -101.3676
6.529610 96.121 -101.7893
6.576926 96.155 -102.2183
6.624585 96.189 -102.6550
6.672590 96.223 -103.0991
6.720942 96.257 -103.5506
6.769645 96.291 -104.0089
