* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2024 11:42:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA Hydro 0000
* Measurement: L CCA Hydro 0000
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 85.763 158.4312
0.368865 85.756 158.4088
0.371538 85.746 158.3752
0.374230 85.733 158.3330
0.376942 85.718 158.2843
0.379673 85.702 158.2307
0.382424 85.686 158.1733
0.385196 85.669 158.1127
0.387987 85.652 158.0492
0.390798 85.634 157.9831
0.393630 85.617 157.9144
0.396483 85.599 157.8433
0.399356 85.581 157.7696
0.402250 85.563 157.6934
0.405165 85.545 157.6146
0.408101 85.527 157.5333
0.411058 85.508 157.4494
0.414037 85.490 157.3629
0.417037 85.471 157.2737
0.420059 85.452 157.1819
0.423103 85.433 157.0873
0.426169 85.414 156.9901
0.429257 85.395 156.8901
0.432368 85.376 156.7874
0.435501 85.356 156.6818
0.438656 85.336 156.5734
0.441835 85.317 156.4622
0.445037 85.297 156.3481
0.448262 85.277 156.2311
0.451510 85.256 156.1112
0.454782 85.236 155.9884
0.458077 85.216 155.8626
0.461397 85.195 155.7338
0.464740 85.174 155.6020
0.468108 85.153 155.4672
0.471500 85.132 155.3294
0.474917 85.111 155.1884
0.478358 85.089 155.0444
0.481825 85.068 154.8973
0.485316 85.046 154.7471
0.488833 85.024 154.5938
0.492375 85.002 154.4373
0.495943 84.980 154.2777
0.499537 84.957 154.1149
0.503157 84.935 153.9489
0.506803 84.912 153.7797
0.510475 84.889 153.6074
0.514175 84.866 153.4318
0.517900 84.843 153.2531
0.521653 84.820 153.0711
0.525434 84.796 152.8860
0.529241 84.773 152.6976
0.533076 84.749 152.5061
0.536939 84.725 152.3113
0.540830 84.700 152.1134
0.544749 84.676 151.9124
0.548696 84.651 151.7081
0.552673 84.627 151.5008
0.556677 84.602 151.2903
0.560711 84.577 151.0768
0.564774 84.551 150.8601
0.568867 84.526 150.6405
0.572989 84.500 150.4178
0.577141 84.474 150.1922
0.581324 84.448 149.9637
0.585536 84.422 149.7323
0.589779 84.396 149.4981
0.594053 84.369 149.2611
0.598358 84.342 149.0214
0.602694 84.315 148.7791
0.607061 84.288 148.5342
0.611460 84.261 148.2868
0.615891 84.233 148.0370
0.620354 84.205 147.7849
0.624849 84.177 147.5305
0.629377 84.149 147.2740
0.633938 84.121 147.0155
0.638532 84.092 146.7551
0.643159 84.063 146.4930
0.647819 84.034 146.2291
0.652514 84.005 145.9638
0.657242 83.976 145.6971
0.662005 83.946 145.4292
0.666802 83.916 145.1602
0.671634 83.886 144.8904
0.676501 83.856 144.6200
0.681403 83.825 144.3490
0.686341 83.795 144.0778
0.691314 83.764 143.8065
0.696324 83.732 143.5353
0.701370 83.701 143.2644
0.706452 83.668 142.9940
0.711571 83.635 142.7241
0.716728 83.601 142.4547
0.721921 83.566 142.1856
0.727153 83.528 141.9161
0.732422 83.488 141.6455
0.737729 83.445 141.3727
0.743075 83.399 141.0966
0.748460 83.351 140.8160
0.753883 83.301 140.5302
0.759346 83.250 140.2386
0.764849 83.197 139.9408
0.770391 83.144 139.6365
0.775974 83.090 139.3255
0.781597 83.036 139.0076
0.787261 82.981 138.6826
0.792966 82.925 138.3505
0.798712 82.868 138.0111
0.804500 82.811 137.6643
0.810329 82.753 137.3099
0.816201 82.694 136.9479
0.822116 82.634 136.5782
0.828073 82.574 136.2005
0.834074 82.512 135.8149
0.840118 82.450 135.4212
0.846206 82.386 135.0194
0.852338 82.321 134.6092
0.858514 82.255 134.1907
0.864735 82.188 133.7637
0.871001 82.120 133.3282
0.877313 82.050 132.8841
0.883670 81.979 132.4313
0.890074 81.907 131.9698
0.896524 81.833 131.4996
0.903020 81.758 131.0205
0.909564 81.680 130.5327
0.916155 81.602 130.0360
0.922794 81.521 129.5306
0.929481 81.439 129.0163
0.936216 81.354 128.4934
0.943000 81.268 127.9618
0.949834 81.179 127.4217
0.956717 81.089 126.8731
0.963649 80.996 126.3163
0.970632 80.901 125.7514
0.977666 80.803 125.1786
0.984750 80.703 124.5981
0.991886 80.600 124.0103
0.999074 80.494 123.4155
1.006314 80.386 122.8139
1.013606 80.274 122.2062
1.020951 80.160 121.5927
1.028349 80.042 120.9739
1.035801 79.921 120.3504
1.043307 79.797 119.7229
1.050867 79.669 119.0920
1.058482 79.537 118.4582
1.066152 79.401 117.8224
1.073878 79.261 117.1848
1.081660 79.116 116.5460
1.089498 78.966 115.9056
1.097393 78.808 115.2633
1.105345 78.644 114.6177
1.113355 78.471 113.9673
1.121423 78.288 113.3106
1.129549 78.096 112.6456
1.137734 77.893 111.9709
1.145979 77.681 111.2850
1.154283 77.458 110.5861
1.162647 77.226 109.8728
1.171072 76.985 109.1435
1.179558 76.735 108.3963
1.188106 76.477 107.6293
1.196715 76.211 106.8406
1.205387 75.938 106.0278
1.214122 75.658 105.1886
1.222920 75.373 104.3201
1.231782 75.083 103.4194
1.240708 74.789 102.4832
1.249699 74.491 101.5079
1.258754 74.191 100.4896
1.267876 73.889 99.4238
1.277063 73.585 98.3055
1.286318 73.283 97.1295
1.295639 72.981 95.8896
1.305027 72.681 94.5793
1.314484 72.385 93.1912
1.324009 72.093 91.7171
1.333604 71.806 90.1483
1.343268 71.527 88.4748
1.353002 71.256 86.6862
1.362806 70.995 84.7708
1.372681 70.744 82.7165
1.382628 70.507 80.5105
1.392647 70.284 78.1393
1.402739 70.077 75.5898
1.412904 69.887 72.8492
1.423142 69.718 69.9054
1.433455 69.569 66.7482
1.443843 69.443 63.3688
1.454305 69.340 59.7606
1.464844 69.263 55.9187
1.475459 69.210 51.8405
1.486150 69.182 47.5274
1.496920 69.180 42.9875
1.507767 69.201 38.2391
1.518693 69.245 33.3123
1.529698 69.312 28.2491
1.540783 69.401 23.1026
1.551948 69.510 17.9328
1.563194 69.638 12.8031
1.574521 69.785 7.7741
1.585931 69.949 2.8997
1.597423 70.128 -1.7766
1.608999 70.323 -6.2229
1.620658 70.531 -10.4196
1.632402 70.751 -14.3575
1.644232 70.982 -18.0363
1.656146 71.221 -21.4623
1.668147 71.468 -24.6467
1.680235 71.721 -27.6032
1.692411 71.979 -30.3474
1.704675 72.238 -32.8951
1.717028 72.499 -35.2624
1.729470 72.759 -37.4643
1.742003 73.015 -39.5154
1.754626 73.268 -41.4291
1.767341 73.515 -43.2183
1.780147 73.754 -44.8952
1.793047 73.985 -46.4715
1.806040 74.208 -47.9593
1.819128 74.423 -49.3709
1.832310 74.632 -50.7186
1.845587 74.836 -52.0144
1.858961 75.038 -53.2689
1.872432 75.239 -54.4897
1.886001 75.441 -55.6821
1.899667 75.644 -56.8493
1.913433 75.849 -57.9930
1.927299 76.054 -59.1138
1.941265 76.261 -60.2119
1.955332 76.469 -61.2871
1.969501 76.677 -62.3388
1.983773 76.885 -63.3665
1.998148 77.092 -64.3695
2.012627 77.299 -65.3470
2.027212 77.504 -66.2982
2.041902 77.707 -67.2224
2.056698 77.907 -68.1188
2.071602 78.104 -68.9864
2.086614 78.298 -69.8246
2.101734 78.487 -70.6328
2.116964 78.672 -71.4105
2.132304 78.851 -72.1576
2.147756 79.024 -72.8746
2.163320 79.191 -73.5629
2.178996 79.350 -74.2248
2.194786 79.503 -74.8643
2.210690 79.649 -75.4858
2.226710 79.787 -76.0942
2.242845 79.918 -76.6934
2.259098 80.043 -77.2861
2.275468 80.161 -77.8735
2.291957 80.272 -78.4561
2.308566 80.378 -79.0337
2.325295 80.479 -79.6054
2.342145 80.574 -80.1702
2.359117 80.664 -80.7268
2.376212 80.751 -81.2738
2.393431 80.833 -81.8097
2.410775 80.912 -82.3328
2.428244 80.988 -82.8416
2.445840 81.062 -83.3342
2.463564 81.134 -83.8090
2.481416 81.204 -84.2643
2.499397 81.273 -84.6988
2.517509 81.341 -85.1114
2.535752 81.408 -85.5018
2.554127 81.474 -85.8705
2.572635 81.539 -86.2185
2.591277 81.601 -86.5478
2.610055 81.661 -86.8604
2.628968 81.718 -87.1579
2.648019 81.772 -87.4415
2.667208 81.822 -87.7120
2.686535 81.870 -87.9698
2.706003 81.915 -88.2152
2.725612 81.958 -88.4482
2.745363 81.999 -88.6685
2.765257 82.039 -88.8761
2.785295 82.077 -89.0705
2.805478 82.115 -89.2515
2.825808 82.152 -89.4184
2.846285 82.190 -89.5707
2.866910 82.228 -89.7079
2.887685 82.267 -89.8290
2.908611 82.306 -89.9333
2.929688 82.346 -90.0200
2.950917 82.387 -90.0884
2.972301 82.427 -90.1383
2.993839 82.468 -90.1696
3.015534 82.508 -90.1831
3.037386 82.547 -90.1799
3.059396 82.587 -90.1612
3.081565 82.627 -90.1286
3.103896 82.667 -90.0838
3.126388 82.707 -90.0285
3.149043 82.748 -89.9644
3.171862 82.791 -89.8933
3.194847 82.835 -89.8167
3.217998 82.880 -89.7359
3.241317 82.928 -89.6517
3.264805 82.977 -89.5644
3.288463 83.030 -89.4732
3.312293 83.084 -89.3772
3.336295 83.141 -89.2750
3.360471 83.200 -89.1661
3.384822 83.261 -89.0507
3.409350 83.324 -88.9302
3.434056 83.389 -88.8063
3.458940 83.456 -88.6817
3.484005 83.524 -88.5591
3.509252 83.594 -88.4413
3.534681 83.664 -88.3312
3.560295 83.736 -88.2315
3.586094 83.808 -88.1445
3.612081 83.882 -88.0721
3.638255 83.956 -88.0153
3.664620 84.031 -87.9741
3.691175 84.108 -87.9479
3.717923 84.185 -87.9357
3.744864 84.264 -87.9366
3.772001 84.344 -87.9501
3.799335 84.425 -87.9758
3.826866 84.506 -88.0138
3.854597 84.587 -88.0643
3.882529 84.668 -88.1277
3.910664 84.749 -88.2046
3.939002 84.829 -88.2954
3.967546 84.907 -88.4008
3.996296 84.984 -88.5215
4.025255 85.060 -88.6578
4.054423 85.134 -88.8103
4.083804 85.207 -88.9788
4.113396 85.278 -89.1628
4.143204 85.348 -89.3613
4.173227 85.416 -89.5727
4.203468 85.483 -89.7957
4.233928 85.548 -90.0284
4.264609 85.612 -90.2694
4.295512 85.673 -90.5173
4.326639 85.731 -90.7713
4.357992 85.788 -91.0310
4.389572 85.841 -91.2967
4.421380 85.892 -91.5689
4.453419 85.940 -91.8484
4.485691 85.985 -92.1349
4.518196 86.028 -92.4277
4.550936 86.068 -92.7252
4.583914 86.106 -93.0251
4.617131 86.141 -93.3252
4.650589 86.174 -93.6230
4.684289 86.205 -93.9165
4.718233 86.234 -94.2042
4.752424 86.260 -94.4852
4.786862 86.285 -94.7596
4.821549 86.306 -95.0278
4.856488 86.326 -95.2900
4.891680 86.343 -95.5464
4.927127 86.358 -95.7961
4.962831 86.372 -96.0383
4.998794 86.384 -96.2717
5.035017 86.396 -96.4949
5.071503 86.407 -96.7065
5.108253 86.417 -96.9056
5.145270 86.427 -97.0915
5.182555 86.436 -97.2640
5.220110 86.445 -97.4236
5.257937 86.454 -97.5709
5.296038 86.462 -97.7070
5.334415 86.471 -97.8330
5.373071 86.480 -97.9499
5.412006 86.491 -98.0585
5.451224 86.503 -98.1593
5.490725 86.516 -98.2524
5.530514 86.531 -98.3378
5.570590 86.548 -98.4158
5.610957 86.566 -98.4873
5.651616 86.586 -98.5539
5.692570 86.607 -98.6179
5.733821 86.631 -98.6818
5.775370 86.656 -98.7479
5.817221 86.683 -98.8181
5.859375 86.713 -98.8936
5.901834 86.744 -98.9751
5.944602 86.777 -99.0628
5.987679 86.812 -99.1574
6.031068 86.849 -99.2599
6.074771 86.887 -99.3717
6.118792 86.927 -99.4945
6.163131 86.967 -99.6298
6.207792 87.008 -99.7786
6.252776 87.050 -99.9417
6.298086 87.092 -100.1192
6.343725 87.134 -100.3105
6.389694 87.177 -100.5151
6.435996 87.220 -100.7322
6.482634 87.262 -100.9610
6.529610 87.304 -101.2011
6.576926 87.345 -101.4521
6.624585 87.385 -101.7137
6.672590 87.424 -101.9854
