* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 31, 2023 1:25:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CVJ Assasin Silver
* Measurement: CVJ Assasin Silver 00
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.171 165.5522
0.368865 74.166 165.5437
0.371538 74.160 165.5309
0.374230 74.151 165.5148
0.376942 74.142 165.4960
0.379673 74.132 165.4752
0.382424 74.121 165.4527
0.385196 74.111 165.4288
0.387987 74.100 165.4036
0.390798 74.089 165.3772
0.393630 74.078 165.3496
0.396483 74.066 165.3208
0.399356 74.055 165.2908
0.402250 74.043 165.2596
0.405165 74.032 165.2273
0.408101 74.020 165.1937
0.411058 74.009 165.1590
0.414037 73.997 165.1231
0.417037 73.985 165.0860
0.420059 73.973 165.0476
0.423103 73.961 165.0081
0.426169 73.949 164.9673
0.429257 73.937 164.9254
0.432367 73.924 164.8822
0.435501 73.912 164.8379
0.438656 73.899 164.7923
0.441835 73.887 164.7455
0.445037 73.874 164.6974
0.448262 73.861 164.6482
0.451510 73.849 164.5978
0.454782 73.836 164.5461
0.458077 73.823 164.4932
0.461397 73.809 164.4392
0.464740 73.796 164.3839
0.468108 73.783 164.3275
0.471500 73.769 164.2699
0.474917 73.756 164.2111
0.478358 73.742 164.1511
0.481825 73.729 164.0900
0.485316 73.715 164.0278
0.488833 73.701 163.9644
0.492375 73.687 163.8999
0.495943 73.673 163.8344
0.499537 73.659 163.7677
0.503157 73.644 163.7000
0.506803 73.630 163.6313
0.510475 73.615 163.5615
0.514174 73.601 163.4908
0.517900 73.586 163.4191
0.521653 73.571 163.3465
0.525433 73.556 163.2729
0.529241 73.541 163.1985
0.533076 73.526 163.1232
0.536939 73.511 163.0472
0.540830 73.495 162.9704
0.544749 73.480 162.8928
0.548696 73.464 162.8146
0.552673 73.448 162.7358
0.556677 73.432 162.6564
0.560711 73.416 162.5764
0.564774 73.400 162.4960
0.568867 73.384 162.4152
0.572989 73.368 162.3340
0.577141 73.351 162.2526
0.581324 73.335 162.1709
0.585536 73.318 162.0892
0.589779 73.301 162.0073
0.594053 73.285 161.9255
0.598358 73.267 161.8438
0.602694 73.250 161.7623
0.607061 73.233 161.6811
0.611460 73.216 161.6003
0.615891 73.198 161.5200
0.620354 73.180 161.4403
0.624849 73.163 161.3613
0.629377 73.145 161.2832
0.633938 73.127 161.2060
0.638532 73.109 161.1300
0.643159 73.090 161.0552
0.647819 73.072 160.9818
0.652514 73.053 160.9100
0.657242 73.035 160.8398
0.662005 73.016 160.7715
0.666802 72.997 160.7053
0.671634 72.978 160.6413
0.676501 72.958 160.5797
0.681403 72.939 160.5208
0.686341 72.919 160.4646
0.691314 72.900 160.4115
0.696324 72.880 160.3615
0.701369 72.860 160.3150
0.706452 72.840 160.2722
0.711571 72.819 160.2331
0.716727 72.799 160.1978
0.721921 72.778 160.1665
0.727153 72.757 160.1391
0.732422 72.736 160.1152
0.737729 72.714 160.0946
0.743075 72.692 160.0769
0.748460 72.669 160.0618
0.753883 72.646 160.0491
0.759346 72.622 160.0386
0.764849 72.597 160.0303
0.770391 72.572 160.0241
0.775974 72.546 160.0202
0.781597 72.520 160.0186
0.787261 72.493 160.0193
0.792965 72.466 160.0225
0.798712 72.438 160.0281
0.804499 72.410 160.0363
0.810329 72.381 160.0473
0.816201 72.351 160.0609
0.822116 72.322 160.0775
0.828073 72.291 160.0970
0.834073 72.261 160.1195
0.840118 72.230 160.1453
0.846205 72.199 160.1743
0.852337 72.167 160.2068
0.858514 72.136 160.2427
0.864735 72.104 160.2823
0.871001 72.072 160.3257
0.877313 72.040 160.3730
0.883670 72.007 160.4243
0.890074 71.975 160.4798
0.896523 71.943 160.5395
0.903020 71.911 160.6037
0.909564 71.878 160.6725
0.916155 71.846 160.7460
0.922793 71.815 160.8244
0.929480 71.783 160.9078
0.936216 71.752 160.9963
0.943000 71.721 161.0903
0.949833 71.691 161.1896
0.956716 71.661 161.2946
0.963649 71.631 161.4054
0.970632 71.603 161.5222
0.977666 71.575 161.6450
0.984750 71.547 161.7741
0.991886 71.521 161.9095
0.999074 71.496 162.0515
1.006313 71.471 162.2001
1.013605 71.448 162.3556
1.020950 71.426 162.5180
1.028349 71.405 162.6874
1.035801 71.386 162.8641
1.043306 71.368 163.0480
1.050867 71.351 163.2394
1.058482 71.337 163.4383
1.066152 71.324 163.6451
1.073878 71.313 163.8599
1.081659 71.304 164.0833
1.089498 71.296 164.3159
1.097393 71.291 164.5585
1.105345 71.287 164.8121
1.113355 71.286 165.0777
1.121422 71.285 165.3560
1.129549 71.287 165.6475
1.137734 71.290 165.9523
1.145978 71.295 166.2704
1.154283 71.301 166.6015
1.162647 71.309 166.9450
1.171072 71.319 167.3006
1.179558 71.330 167.6676
1.188106 71.343 168.0454
1.196715 71.357 168.4334
1.205387 71.373 168.8307
1.214122 71.391 169.2365
1.222920 71.410 169.6501
1.231781 71.431 170.0706
1.240708 71.453 170.4970
1.249698 71.478 170.9284
1.258754 71.504 171.3637
1.267875 71.531 171.8020
1.277063 71.560 172.2422
1.286317 71.591 172.6833
1.295638 71.624 173.1239
1.305027 71.658 173.5632
1.314484 71.694 173.9998
1.324009 71.732 174.4326
1.333603 71.772 174.8604
1.343267 71.813 175.2820
1.353001 71.855 175.6961
1.362805 71.900 176.1017
1.372681 71.946 176.4973
1.382628 71.994 176.8820
1.392647 72.043 177.2545
1.402739 72.094 177.6137
1.412904 72.147 177.9587
1.423142 72.202 178.2887
1.433455 72.258 178.6033
1.443842 72.317 178.9025
1.454305 72.378 179.1869
1.464843 72.441 179.4575
1.475458 72.506 179.7162
1.486150 72.575 179.9646
1.496919 72.647 -179.7960
1.507766 72.722 -179.5646
1.518692 72.801 -179.3410
1.529697 72.883 -179.1252
1.540782 72.969 -178.9174
1.551947 73.057 -178.7181
1.563193 73.149 -178.5276
1.574521 73.243 -178.3466
1.585931 73.340 -178.1756
1.597423 73.440 -178.0150
1.608998 73.542 -177.8654
1.620658 73.647 -177.7271
1.632402 73.754 -177.6009
1.644231 73.862 -177.4870
1.656146 73.972 -177.3859
1.668147 74.084 -177.2981
1.680235 74.196 -177.2239
1.692410 74.310 -177.1639
1.704674 74.424 -177.1183
1.717027 74.539 -177.0876
1.729469 74.655 -177.0721
1.742002 74.770 -177.0722
1.754625 74.885 -177.0883
1.767340 74.999 -177.1205
1.780147 75.112 -177.1693
1.793046 75.225 -177.2346
1.806040 75.337 -177.3164
1.819127 75.447 -177.4146
1.832309 75.558 -177.5287
1.845587 75.667 -177.6580
1.858961 75.777 -177.8017
1.872431 75.887 -177.9591
1.886000 75.997 -178.1295
1.899666 76.108 -178.3123
1.913432 76.219 -178.5070
1.927298 76.331 -178.7130
1.941264 76.443 -178.9302
1.955331 76.555 -179.1579
1.969500 76.668 -179.3959
1.983772 76.781 -179.6439
1.998147 76.894 -179.9016
2.012626 77.007 179.8314
2.027211 77.120 179.5552
2.041901 77.233 179.2701
2.056697 77.346 178.9763
2.071601 77.459 178.6739
2.086613 77.571 178.3630
2.101733 77.683 178.0438
2.116963 77.794 177.7162
2.132303 77.904 177.3801
2.147755 78.014 177.0354
2.163318 78.122 176.6818
2.178995 78.230 176.3187
2.194785 78.337 175.9458
2.210689 78.443 175.5623
2.226709 78.547 175.1679
2.242844 78.651 174.7624
2.259097 78.754 174.3460
2.275467 78.857 173.9193
2.291956 78.958 173.4830
2.308565 79.059 173.0377
2.325294 79.158 172.5844
2.342144 79.257 172.1239
2.359116 79.356 171.6572
2.376211 79.453 171.1852
2.393430 79.550 170.7086
2.410774 79.646 170.2282
2.428243 79.741 169.7448
2.445839 79.836 169.2592
2.463562 79.931 168.7719
2.481415 80.024 168.2835
2.499396 80.117 167.7941
2.517508 80.210 167.3039
2.535750 80.301 166.8125
2.554126 80.392 166.3192
2.572634 80.482 165.8229
2.591276 80.572 165.3224
2.610054 80.660 164.8168
2.628967 80.747 164.3057
2.648018 80.833 163.7891
2.667206 80.919 163.2675
2.686534 81.003 162.7415
2.706002 81.086 162.2120
2.725610 81.168 161.6802
2.745361 81.250 161.1469
2.765255 81.331 160.6133
2.785294 81.411 160.0805
2.805477 81.491 159.5496
2.825807 81.571 159.0215
2.846284 81.650 158.4972
2.866909 81.729 157.9773
2.887684 81.808 157.4623
2.908609 81.886 156.9522
2.929686 81.964 156.4464
2.950916 82.041 155.9442
2.972299 82.118 155.4446
2.993838 82.194 154.9469
3.015532 82.270 154.4506
3.037384 82.345 153.9556
3.059394 82.419 153.4620
3.081564 82.493 152.9701
3.103894 82.567 152.4802
3.126386 82.640 151.9929
3.149041 82.713 151.5088
3.171861 82.786 151.0284
3.194845 82.860 150.5523
3.217996 82.934 150.0812
3.241315 83.008 149.6156
3.264803 83.083 149.1560
3.288461 83.158 148.7024
3.312291 83.234 148.2551
3.336293 83.310 147.8137
3.360469 83.386 147.3780
3.384820 83.463 146.9474
3.409348 83.539 146.5215
3.434054 83.616 146.0997
3.458938 83.694 145.6816
3.484003 83.772 145.2667
3.509250 83.851 144.8547
3.534679 83.930 144.4451
3.560293 84.010 144.0379
3.586092 84.092 143.6328
3.612079 84.174 143.2301
3.638253 84.258 142.8300
3.664618 84.343 142.4330
3.691173 84.429 142.0395
3.717921 84.516 141.6499
3.744862 84.604 141.2640
3.771999 84.694 140.8813
3.799332 84.785 140.5008
3.826864 84.876 140.1216
3.854595 84.969 139.7423
3.882527 85.063 139.3617
3.910661 85.158 138.9786
3.938999 85.254 138.5920
3.967543 85.351 138.2013
3.996294 85.449 137.8060
4.025252 85.549 137.4064
4.054421 85.649 137.0028
4.083801 85.751 136.5959
4.113394 85.854 136.1861
4.143201 85.958 135.7731
4.173225 86.063 135.3567
4.203466 86.169 134.9361
4.233926 86.276 134.5104
4.264606 86.383 134.0788
4.295509 86.491 133.6404
4.326636 86.600 133.1942
4.357989 86.708 132.7398
4.389569 86.817 132.2770
4.421378 86.926 131.8058
4.453417 87.035 131.3266
4.485688 87.145 130.8400
4.518193 87.255 130.3464
4.550934 87.365 129.8462
4.583912 87.474 129.3396
4.617129 87.584 128.8266
4.650587 87.693 128.3074
4.684287 87.802 127.7818
4.718231 87.910 127.2494
4.752421 88.017 126.7100
4.786859 88.124 126.1634
4.821547 88.230 125.6095
4.856485 88.335 125.0487
4.891677 88.439 124.4819
4.927125 88.542 123.9099
4.962829 88.644 123.3338
4.998791 88.746 122.7547
5.035015 88.846 122.1734
5.071500 88.945 121.5903
5.108251 89.042 121.0055
5.145267 89.138 120.4188
5.182552 89.233 119.8299
5.220107 89.327 119.2389
5.257934 89.419 118.6463
5.296035 89.509 118.0530
5.334412 89.599 117.4604
5.373067 89.687 116.8697
5.412003 89.774 116.2820
5.451221 89.859 115.6980
5.490722 89.944 115.1182
5.530510 90.027 114.5423
5.570587 90.108 113.9700
5.610953 90.189 113.4015
5.651613 90.268 112.8371
5.692567 90.346 112.2774
5.733818 90.423 111.7234
5.775367 90.499 111.1759
5.817218 90.574 110.6355
5.859372 90.648 110.1027
5.901831 90.722 109.5773
5.944598 90.795 109.0592
5.987675 90.867 108.5481
6.031065 90.939 108.0441
6.074768 91.010 107.5471
6.118788 91.080 107.0573
6.163127 91.151 106.5747
6.207788 91.221 106.0996
6.252772 91.291 105.6319
6.298082 91.361 105.1715
6.343721 91.430 104.7181
6.389690 91.500 104.2713
6.435992 91.569 103.8306
6.482630 91.639 103.3957
6.529606 91.708 102.9661
6.576922 91.778 102.5416
6.624581 91.847 102.1220
6.672585 91.917 101.7071
6.720938 91.987 101.2967
6.769640 92.057 100.8904
6.818696 92.127 100.4881
6.868107 92.197 100.0892
6.917876 92.267 99.6934
6.968006 92.337 99.3005
7.018499 92.406 98.9104
7.069358 92.476 98.5229
7.120586 92.546 98.1383
7.172184 92.616 97.7563
7.224157 92.685 97.3771
