* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Oct 26, 2024 2:40:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Clavelon Delta L
* Measurement: L Clavelon Delta
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	84.134	158.1207
0.368865	84.128	158.0974
0.371538	84.119	158.0625
0.374230	84.107	158.0186
0.376942	84.095	157.9681
0.379673	84.082	157.9125
0.382424	84.068	157.8531
0.385196	84.053	157.7904
0.387987	84.039	157.7248
0.390798	84.024	157.6566
0.393630	84.009	157.5858
0.396483	83.994	157.5125
0.399356	83.978	157.4366
0.402250	83.963	157.3583
0.405165	83.948	157.2774
0.408101	83.932	157.1939
0.411058	83.916	157.1078
0.414037	83.901	157.0191
0.417037	83.885	156.9278
0.420059	83.869	156.8339
0.423103	83.853	156.7372
0.426169	83.836	156.6378
0.429257	83.820	156.5357
0.432368	83.803	156.4308
0.435501	83.787	156.3231
0.438656	83.770	156.2126
0.441835	83.753	156.0993
0.445037	83.736	155.9831
0.448262	83.719	155.8640
0.451510	83.702	155.7420
0.454782	83.685	155.6171
0.458077	83.667	155.4892
0.461397	83.650	155.3584
0.464740	83.632	155.2246
0.468108	83.614	155.0877
0.471500	83.596	154.9479
0.474917	83.578	154.8050
0.478358	83.560	154.6590
0.481825	83.541	154.5100
0.485316	83.523	154.3578
0.488833	83.504	154.2026
0.492375	83.485	154.0443
0.495943	83.467	153.8828
0.499537	83.448	153.7182
0.503157	83.428	153.5504
0.506803	83.409	153.3795
0.510475	83.390	153.2055
0.514175	83.370	153.0283
0.517900	83.350	152.8479
0.521653	83.330	152.6644
0.525434	83.310	152.4776
0.529241	83.290	152.2878
0.533076	83.270	152.0948
0.536939	83.249	151.8987
0.540830	83.229	151.6994
0.544749	83.208	151.4970
0.548696	83.187	151.2915
0.552673	83.166	151.0829
0.556677	83.145	150.8713
0.560711	83.123	150.6566
0.564774	83.102	150.4389
0.568867	83.080	150.2183
0.572989	83.058	149.9947
0.577141	83.036	149.7682
0.581324	83.014	149.5389
0.585536	82.992	149.3067
0.589779	82.969	149.0718
0.594053	82.947	148.8342
0.598358	82.924	148.5939
0.602694	82.901	148.3510
0.607061	82.878	148.1056
0.611460	82.854	147.8578
0.615891	82.831	147.6076
0.620354	82.807	147.3551
0.624849	82.783	147.1004
0.629377	82.759	146.8437
0.633938	82.735	146.5850
0.638532	82.711	146.3244
0.643159	82.686	146.0620
0.647819	82.662	145.7980
0.652514	82.637	145.5325
0.657242	82.612	145.2657
0.662005	82.587	144.9976
0.666802	82.561	144.7285
0.671634	82.535	144.4585
0.676501	82.510	144.1877
0.681403	82.484	143.9164
0.686341	82.458	143.6448
0.691314	82.431	143.3730
0.696324	82.404	143.1012
0.701370	82.377	142.8296
0.706452	82.350	142.5583
0.711571	82.322	142.2874
0.716728	82.293	142.0169
0.721921	82.264	141.7464
0.727153	82.232	141.4756
0.732422	82.199	141.2035
0.737729	82.163	140.9293
0.743075	82.125	140.6519
0.748460	82.086	140.3702
0.753883	82.045	140.0836
0.759346	82.003	139.7916
0.764849	81.960	139.4938
0.770391	81.916	139.1900
0.775974	81.872	138.8799
0.781597	81.827	138.5634
0.787261	81.781	138.2405
0.792966	81.735	137.9109
0.798712	81.688	137.5748
0.804500	81.641	137.2319
0.810329	81.592	136.8822
0.816201	81.544	136.5256
0.822116	81.494	136.1620
0.828073	81.444	135.7915
0.834074	81.393	135.4138
0.840118	81.341	135.0291
0.846206	81.288	134.6372
0.852338	81.235	134.2381
0.858514	81.180	133.8317
0.864735	81.125	133.4181
0.871001	81.069	132.9972
0.877313	81.011	132.5690
0.883670	80.953	132.1335
0.890074	80.894	131.6908
0.896524	80.833	131.2408
0.903020	80.772	130.7835
0.909564	80.709	130.3192
0.916155	80.645	129.8477
0.922794	80.580	129.3692
0.929481	80.514	128.8839
0.936216	80.446	128.3917
0.943000	80.377	127.8929
0.949834	80.307	127.3877
0.956717	80.235	126.8761
0.963649	80.161	126.3585
0.970632	80.086	125.8351
0.977666	80.010	125.3061
0.984750	79.932	124.7719
0.991886	79.852	124.2327
0.999074	79.770	123.6890
1.006314	79.687	123.1412
1.013606	79.601	122.5897
1.020951	79.514	122.0349
1.028349	79.425	121.4775
1.035801	79.333	120.9180
1.043307	79.240	120.3570
1.050867	79.144	119.7951
1.058482	79.046	119.2330
1.066152	78.946	118.6713
1.073878	78.843	118.1104
1.081660	78.738	117.5508
1.089498	78.629	116.9924
1.097393	78.518	116.4350
1.105345	78.403	115.8779
1.113355	78.284	115.3201
1.121423	78.162	114.7603
1.129549	78.036	114.1978
1.137734	77.905	113.6314
1.145979	77.771	113.0604
1.154283	77.632	112.4839
1.162647	77.489	111.9012
1.171072	77.343	111.3115
1.179558	77.193	110.7141
1.188106	77.039	110.1080
1.196715	76.882	109.4924
1.205387	76.721	108.8664
1.214122	76.557	108.2291
1.222920	76.390	107.5795
1.231782	76.221	106.9164
1.240708	76.048	106.2387
1.249699	75.873	105.5453
1.258754	75.696	104.8348
1.267876	75.516	104.1058
1.277063	75.335	103.3569
1.286318	75.152	102.5867
1.295639	74.967	101.7934
1.305027	74.781	100.9755
1.314484	74.595	100.1310
1.324009	74.407	99.2581
1.333604	74.220	98.3550
1.343268	74.032	97.4195
1.353002	73.844	96.4495
1.362806	73.657	95.4429
1.372681	73.471	94.3975
1.382628	73.286	93.3111
1.392647	73.102	92.1815
1.402739	72.920	91.0066
1.412904	72.741	89.7842
1.423142	72.564	88.5125
1.433455	72.389	87.1894
1.443843	72.217	85.8131
1.454305	72.046	84.3814
1.464844	71.877	82.8919
1.475459	71.708	81.3410
1.486150	71.539	79.7244
1.496920	71.367	78.0366
1.507767	71.194	76.2714
1.518693	71.018	74.4218
1.529698	70.839	72.4802
1.540783	70.659	70.4385
1.551948	70.477	68.2881
1.563194	70.294	66.0204
1.574521	70.110	63.6262
1.585931	69.926	61.0969
1.597423	69.744	58.4243
1.608999	69.562	55.6007
1.620658	69.383	52.6204
1.632402	69.207	49.4794
1.644232	69.035	46.1769
1.656146	68.867	42.7156
1.668147	68.705	39.1028
1.680235	68.550	35.3512
1.692411	68.402	31.4789
1.704675	68.263	27.5095
1.717028	68.133	23.4720
1.729470	68.015	19.3991
1.742003	67.908	15.3260
1.754626	67.815	11.2884
1.767341	67.737	7.3202
1.780147	67.675	3.4512
1.793047	67.630	-0.2942
1.806040	67.605	-3.8993
1.819128	67.600	-7.3550
1.832310	67.618	-10.6606
1.845587	67.660	-13.8217
1.858961	67.726	-16.8470
1.872432	67.817	-19.7461
1.886001	67.932	-22.5273
1.899667	68.071	-25.1970
1.913433	68.231	-27.7606
1.927299	68.412	-30.2221
1.941265	68.611	-32.5845
1.955332	68.828	-34.8506
1.969501	69.059	-37.0225
1.983773	69.303	-39.1022
1.998148	69.557	-41.0914
2.012627	69.820	-42.9917
2.027212	70.088	-44.8045
2.041902	70.360	-46.5309
2.056698	70.633	-48.1720
2.071602	70.905	-49.7290
2.086614	71.172	-51.2029
2.101734	71.434	-52.5946
2.116964	71.686	-53.9056
2.132304	71.928	-55.1374
2.147756	72.157	-56.2925
2.163320	72.372	-57.3745
2.178996	72.572	-58.3887
2.194786	72.758	-59.3421
2.210690	72.931	-60.2433
2.226710	73.092	-61.1008
2.242845	73.243	-61.9224
2.259098	73.386	-62.7133
2.275468	73.522	-63.4775
2.291957	73.650	-64.2171
2.308566	73.773	-64.9332
2.325295	73.890	-65.6259
2.342145	74.002	-66.2950
2.359117	74.109	-66.9399
2.376212	74.212	-67.5593
2.393431	74.312	-68.1520
2.410775	74.408	-68.7165
2.428244	74.501	-69.2510
2.445840	74.592	-69.7537
2.463564	74.681	-70.2227
2.481416	74.769	-70.6560
2.499397	74.856	-71.0518
2.517509	74.941	-71.4087
2.535752	75.026	-71.7259
2.554127	75.109	-72.0031
2.572635	75.190	-72.2412
2.591277	75.268	-72.4419
2.610055	75.344	-72.6071
2.628968	75.416	-72.7391
2.648019	75.484	-72.8396
2.667208	75.550	-72.9105
2.686535	75.612	-72.9535
2.706003	75.672	-72.9699
2.725612	75.730	-72.9611
2.745363	75.787	-72.9285
2.765257	75.843	-72.8734
2.785295	75.899	-72.7970
2.805478	75.957	-72.7004
2.825808	76.015	-72.5849
2.846285	76.076	-72.4513
2.866910	76.140	-72.3002
2.887685	76.207	-72.1317
2.908611	76.278	-71.9450
2.929688	76.352	-71.7390
2.950917	76.429	-71.5119
2.972301	76.510	-71.2626
2.993839	76.593	-70.9908
3.015534	76.678	-70.6977
3.037386	76.766	-70.3856
3.059396	76.855	-70.0575
3.081565	76.948	-69.7171
3.103896	77.042	-69.3685
3.126388	77.138	-69.0157
3.149043	77.237	-68.6630
3.171862	77.339	-68.3145
3.194847	77.443	-67.9738
3.217998	77.549	-67.6440
3.241317	77.659	-67.3274
3.264805	77.771	-67.0249
3.288463	77.887	-66.7361
3.312293	78.006	-66.4593
3.336295	78.129	-66.1925
3.360471	78.256	-65.9344
3.384822	78.386	-65.6848
3.409350	78.520	-65.4450
3.434056	78.656	-65.2169
3.458940	78.794	-65.0029
3.484005	78.934	-64.8060
3.509252	79.075	-64.6289
3.534681	79.217	-64.4746
3.560295	79.358	-64.3455
3.586094	79.499	-64.2438
3.612081	79.639	-64.1710
3.638255	79.778	-64.1279
3.664620	79.916	-64.1143
3.691175	80.053	-64.1293
