* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jul 3, 2025 12:20:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: DUNU Vulkan L
* Measurement: Dunu Vulkan L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.736 179.6286
0.368865 88.734 179.6257
0.371538 88.731 179.6214
0.374230 88.727 179.6160
0.376942 88.723 179.6098
0.379673 88.719 179.6030
0.382424 88.714 179.5957
0.385196 88.709 179.5881
0.387987 88.704 179.5802
0.390798 88.699 179.5720
0.393630 88.694 179.5635
0.396483 88.689 179.5548
0.399356 88.684 179.5458
0.402250 88.679 179.5365
0.405165 88.674 179.5270
0.408101 88.669 179.5172
0.411058 88.664 179.5071
0.414037 88.658 179.4968
0.417037 88.653 179.4862
0.420059 88.648 179.4753
0.423103 88.642 179.4642
0.426169 88.637 179.4528
0.429257 88.631 179.4411
0.432368 88.626 179.4291
0.435501 88.620 179.4168
0.438656 88.615 179.4043
0.441835 88.609 179.3914
0.445037 88.603 179.3783
0.448262 88.598 179.3649
0.451510 88.592 179.3512
0.454782 88.586 179.3371
0.458077 88.580 179.3228
0.461397 88.574 179.3083
0.464740 88.569 179.2934
0.468108 88.563 179.2782
0.471500 88.557 179.2627
0.474917 88.550 179.2469
0.478358 88.544 179.2308
0.481825 88.538 179.2144
0.485316 88.532 179.1978
0.488833 88.526 179.1808
0.492375 88.520 179.1635
0.495943 88.513 179.1459
0.499537 88.507 179.1280
0.503157 88.501 179.1098
0.506803 88.494 179.0913
0.510475 88.488 179.0725
0.514175 88.481 179.0534
0.517900 88.474 179.0339
0.521653 88.468 179.0142
0.525434 88.461 178.9942
0.529241 88.454 178.9739
0.533076 88.448 178.9533
0.536939 88.441 178.9323
0.540830 88.434 178.9111
0.544749 88.427 178.8896
0.548696 88.420 178.8678
0.552673 88.413 178.8457
0.556677 88.406 178.8233
0.560711 88.399 178.8006
0.564774 88.391 178.7777
0.568867 88.384 178.7544
0.572989 88.377 178.7309
0.577141 88.370 178.7071
0.581324 88.362 178.6830
0.585536 88.355 178.6587
0.589779 88.347 178.6341
0.594053 88.340 178.6092
0.598358 88.332 178.5841
0.602694 88.324 178.5587
0.607061 88.317 178.5331
0.611460 88.309 178.5072
0.615891 88.301 178.4811
0.620354 88.293 178.4548
0.624849 88.285 178.4282
0.629377 88.277 178.4015
0.633938 88.269 178.3745
0.638532 88.261 178.3473
0.643159 88.253 178.3199
0.647819 88.245 178.2924
0.652514 88.236 178.2646
0.657242 88.228 178.2367
0.662005 88.219 178.2086
0.666802 88.211 178.1804
0.671634 88.202 178.1521
0.676501 88.194 178.1236
0.681403 88.185 178.0950
0.686341 88.176 178.0663
0.691314 88.167 178.0375
0.696324 88.159 178.0086
0.701370 88.149 177.9797
0.706452 88.140 177.9506
0.711571 88.131 177.9214
0.716728 88.120 177.8922
0.721921 88.110 177.8626
0.727153 88.098 177.8328
0.732422 88.085 177.8025
0.737729 88.071 177.7715
0.743075 88.055 177.7397
0.748460 88.038 177.7068
0.753883 88.021 177.6727
0.759346 88.003 177.6375
0.764849 87.984 177.6010
0.770391 87.965 177.5632
0.775974 87.946 177.5242
0.781597 87.927 177.4839
0.787261 87.907 177.4423
0.792966 87.888 177.3996
0.798712 87.867 177.3557
0.804500 87.847 177.3105
0.810329 87.826 177.2643
0.816201 87.805 177.2170
0.822116 87.784 177.1686
0.828073 87.762 177.1192
0.834074 87.740 177.0688
0.840118 87.717 177.0174
0.846206 87.694 176.9652
0.852338 87.671 176.9121
0.858514 87.647 176.8583
0.864735 87.622 176.8037
0.871001 87.597 176.7484
0.877313 87.571 176.6926
0.883670 87.545 176.6362
0.890074 87.518 176.5793
0.896524 87.490 176.5221
0.903020 87.462 176.4645
0.909564 87.432 176.4068
0.916155 87.402 176.3489
0.922794 87.372 176.2909
0.929481 87.340 176.2331
0.936216 87.307 176.1754
0.943000 87.274 176.1180
0.949834 87.239 176.0611
0.956717 87.204 176.0047
0.963649 87.167 175.9490
0.970632 87.129 175.8941
0.977666 87.090 175.8402
0.984750 87.050 175.7875
0.991886 87.009 175.7360
0.999074 86.966 175.6861
1.006314 86.922 175.6379
1.013606 86.876 175.5916
1.020951 86.829 175.5473
1.028349 86.780 175.5055
1.035801 86.730 175.4662
1.043307 86.678 175.4296
1.050867 86.624 175.3962
1.058482 86.568 175.3660
1.066152 86.511 175.3393
1.073878 86.451 175.3161
1.081660 86.390 175.2966
1.089498 86.326 175.2805
1.097393 86.261 175.2676
1.105345 86.193 175.2574
1.113355 86.123 175.2494
1.121423 86.051 175.2431
1.129549 85.976 175.2383
1.137734 85.900 175.2348
1.145979 85.821 175.2327
1.154283 85.740 175.2322
1.162647 85.657 175.2333
1.171072 85.571 175.2364
1.179558 85.484 175.2417
1.188106 85.394 175.2496
1.196715 85.302 175.2604
1.205387 85.208 175.2744
1.214122 85.111 175.2922
1.222920 85.013 175.3142
1.231782 84.912 175.3408
1.240708 84.809 175.3725
1.249699 84.704 175.4100
1.258754 84.597 175.4539
1.267876 84.488 175.5048
1.277063 84.376 175.5634
1.286318 84.263 175.6306
1.295639 84.147 175.7071
1.305027 84.029 175.7939
1.314484 83.910 175.8920
1.324009 83.788 176.0025
1.333604 83.665 176.1265
1.343268 83.539 176.2653
1.353002 83.412 176.4202
1.362806 83.282 176.5929
1.372681 83.151 176.7848
1.382628 83.018 176.9978
1.392647 82.883 177.2338
1.402739 82.747 177.4948
1.412904 82.608 177.7829
1.423142 82.467 178.1005
1.433455 82.324 178.4498
1.443843 82.178 178.8333
1.454305 82.028 179.2532
1.464844 81.873 179.7116
1.475459 81.711 -179.7892
1.486150 81.540 -179.2469
1.496920 81.361 -178.6586
1.507767 81.171 -178.0208
1.518693 80.972 -177.3293
1.529698 80.763 -176.5793
1.540783 80.545 -175.7655
1.551948 80.318 -174.8817
1.563194 80.085 -173.9211
1.574521 79.845 -172.8764
1.585931 79.600 -171.7395
1.597423 79.352 -170.5015
1.608999 79.101 -169.1530
1.620658 78.849 -167.6838
1.632402 78.598 -166.0833
1.644232 78.349 -164.3407
1.656146 78.104 -162.4449
1.668147 77.865 -160.3853
1.680235 77.633 -158.1523
1.692411 77.411 -155.7378
1.704675 77.200 -153.1365
1.717028 77.003 -150.3468
1.729470 76.822 -147.3719
1.742003 76.659 -144.2208
1.754626 76.518 -140.9095
1.767341 76.400 -137.4614
1.780147 76.308 -133.9062
1.793047 76.246 -130.2795
1.806040 76.216 -126.6198
1.819128 76.219 -122.9664
1.832310 76.259 -119.3560
1.845587 76.336 -115.8220
1.858961 76.450 -112.3936
1.872432 76.602 -109.0963
1.886001 76.790 -105.9512
1.899667 77.013 -102.9749
1.913433 77.267 -100.1788
1.927299 77.552 -97.5691
1.941265 77.863 -95.1474
1.955332 78.199 -92.9116
1.969501 78.556 -90.8567
1.983773 78.932 -88.9752
1.998148 79.323 -87.2587
2.012627 79.726 -85.6976
2.027212 80.138 -84.2823
2.041902 80.555 -83.0031
2.056698 80.975 -81.8505
2.071602 81.393 -80.8156
2.086614 81.807 -79.8901
2.101734 82.213 -79.0660
2.116964 82.608 -78.3361
2.132304 82.990 -77.6937
2.147756 83.355 -77.1324
2.163320 83.704 -76.6461
2.178996 84.035 -76.2291
2.194786 84.349 -75.8755
2.210690 84.649 -75.5797
2.226710 84.937 -75.3364
2.242845 85.215 -75.1408
2.259098 85.485 -74.9886
2.275468 85.749 -74.8762
2.291957 86.006 -74.8002
2.308566 86.258 -74.7577
2.325295 86.505 -74.7461
2.342145 86.747 -74.7630
2.359117 86.984 -74.8064
2.376212 87.217 -74.8743
2.393431 87.445 -74.9650
2.410775 87.669 -75.0768
2.428244 87.890 -75.2086
2.445840 88.106 -75.3589
2.463564 88.319 -75.5269
2.481416 88.529 -75.7119
2.499397 88.735 -75.9130
2.517509 88.938 -76.1303
2.535752 89.137 -76.3638
2.554127 89.332 -76.6138
2.572635 89.523 -76.8810
2.591277 89.709 -77.1658
2.610055 89.889 -77.4683
2.628968 90.065 -77.7879
2.648019 90.235 -78.1235
2.667208 90.399 -78.4739
2.686535 90.559 -78.8372
2.706003 90.713 -79.2119
2.725612 90.863 -79.5962
2.745363 91.009 -79.9884
2.765257 91.151 -80.3870
2.785295 91.289 -80.7906
2.805478 91.424 -81.1978
2.825808 91.556 -81.6075
2.846285 91.686 -82.0190
2.866910 91.813 -82.4318
2.887685 91.938 -82.8461
2.908611 92.061 -83.2626
2.929688 92.182 -83.6827
2.950917 92.299 -84.1083
2.972301 92.414 -84.5409
2.993839 92.525 -84.9815
3.015534 92.632 -85.4302
3.037386 92.736 -85.8864
3.059396 92.836 -86.3488
3.081565 92.933 -86.8162
3.103896 93.026 -87.2868
3.126388 93.116 -87.7588
3.149043 93.204 -88.2304
3.171862 93.289 -88.7000
3.194847 93.371 -89.1661
3.217998 93.452 -89.6275
3.241317 93.530 -90.0833
3.264805 93.606 -90.5337
3.288463 93.680 -90.9792
3.312293 93.752 -91.4211
3.336295 93.820 -91.8613
3.360471 93.887 -92.3009
3.384822 93.950 -92.7406
3.409350 94.010 -93.1806
3.434056 94.068 -93.6202
3.458940 94.123 -94.0584
3.484005 94.175 -94.4942
3.509252 94.226 -94.9261
3.534681 94.274 -95.3526
3.560295 94.321 -95.7725
3.586094 94.366 -96.1843
3.612081 94.410 -96.5872
3.638255 94.453 -96.9807
3.664620 94.494 -97.3648
3.691175 94.533 -97.7402
3.717923 94.571 -98.1077
3.744864 94.607 -98.4681
3.772001 94.641 -98.8218
3.799335 94.673 -99.1693
3.826866 94.703 -99.5107
3.854597 94.733 -99.8456
3.882529 94.761 -100.1741
3.910664 94.789 -100.4955
3.939002 94.816 -100.8096
3.967546 94.842 -101.1157
3.996296 94.869 -101.4133
4.025255 94.895 -101.7020
4.054423 94.922 -101.9815
4.083804 94.947 -102.2517
4.113396 94.973 -102.5131
4.143204 94.998 -102.7664
4.173227 95.023 -103.0125
4.203468 95.047 -103.2524
4.233928 95.072 -103.4876
4.264609 95.097 -103.7190
4.295512 95.122 -103.9476
4.326639 95.148 -104.1742
4.357992 95.174 -104.3992
4.389572 95.202 -104.6227
4.421380 95.230 -104.8441
4.453419 95.259 -105.0635
4.485691 95.288 -105.2807
4.518196 95.319 -105.4965
4.550936 95.350 -105.7119
4.583914 95.381 -105.9282
4.617131 95.413 -106.1471
4.650589 95.446 -106.3702
4.684289 95.479 -106.5989
4.718233 95.513 -106.8342
4.752424 95.547 -107.0769
4.786862 95.581 -107.3271
4.821549 95.617 -107.5845
4.856488 95.653 -107.8492
4.891680 95.689 -108.1210
4.927127 95.725 -108.4004
4.962831 95.762 -108.6876
4.998794 95.799 -108.9833
5.035017 95.835 -109.2883
5.071503 95.871 -109.6031
5.108253 95.906 -109.9285
5.145270 95.941 -110.2649
5.182555 95.975 -110.6124
5.220110 96.008 -110.9708
5.257937 96.041 -111.3394
5.296038 96.073 -111.7177
5.334415 96.105 -112.1045
5.373071 96.135 -112.4992
5.412006 96.164 -112.9011
5.451224 96.191 -113.3098
5.490725 96.218 -113.7254
5.530514 96.242 -114.1480
5.570590 96.266 -114.5776
5.610957 96.287 -115.0139
5.651616 96.308 -115.4558
5.692570 96.327 -115.9022
5.733821 96.344 -116.3513
5.775370 96.360 -116.8019
5.817221 96.375 -117.2527
5.859375 96.388 -117.7033
5.901834 96.400 -118.1534
5.944602 96.411 -118.6030
5.987679 96.420 -119.0518
6.031068 96.428 -119.4993
6.074771 96.435 -119.9446
6.118792 96.441 -120.3867
6.163131 96.447 -120.8246
6.207792 96.452 -121.2574
6.252776 96.457 -121.6847
6.298086 96.461 -122.1063
6.343725 96.465 -122.5225
6.389694 96.469 -122.9335
6.435996 96.473 -123.3396
6.482634 96.477 -123.7411
6.529610 96.481 -124.1381
6.576926 96.487 -124.5305
6.624585 96.493 -124.9183
