* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 22, 2025 11:46:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EPZ G20 L
* Measurement: L EPZ G20
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 92.282 120.8320
1.030000 91.917 118.6193
1.060000 91.525 116.4717
1.090000 91.103 114.4303
1.120000 90.652 112.5020
1.150000 90.178 110.6457
1.180000 89.681 108.8244
1.220000 88.984 106.4046
1.250000 88.434 104.5637
1.280000 87.861 102.6716
1.320000 87.060 100.0212
1.360000 86.215 97.1619
1.400000 85.324 94.0254
1.450000 84.135 89.6376
1.500000 82.769 84.7031
1.550000 81.110 79.0339
1.600000 79.239 71.9673
1.650000 77.318 62.0857
1.700000 75.530 46.3489
1.750000 74.073 19.6811
1.800000 73.165 -15.4635
1.850000 73.011 -43.0761
1.900000 73.662 -60.7342
1.950000 74.941 -72.7924
2.000000 76.587 -81.5970
2.060000 78.695 -89.4037
2.120000 80.598 -95.1083
2.180000 82.027 -99.3189
2.240000 82.952 -102.7448
2.300000 83.540 -106.0311
2.360000 83.901 -109.2645
2.430000 84.121 -112.7607
2.500000 84.210 -115.6744
2.580000 84.216 -118.0826
2.650000 84.106 -119.6248
2.720000 83.870 -120.8509
2.800000 83.499 -121.7516
2.900000 82.987 -121.6367
3.000000 82.439 -119.5034
3.070000 82.003 -116.6455
3.150000 81.533 -112.0923
3.250000 81.189 -105.0089
3.350000 81.318 -97.2246
3.450000 81.893 -89.5083
3.550000 82.700 -83.1190
3.650000 83.546 -78.8741
3.750000 84.391 -76.6358
3.870000 85.411 -75.7559
4.000000 86.384 -76.1891
4.120000 87.069 -77.5433
4.250000 87.613 -79.7360
4.370000 87.964 -81.9328
4.500000 88.192 -84.3400
4.620000 88.270 -86.5866
4.750000 88.249 -88.7195
4.870000 88.143 -90.2474
5.000000 87.957 -91.4620
5.150000 87.716 -92.1726
5.300000 87.485 -92.0296
5.450000 87.311 -91.2929
5.600000 87.259 -90.2652
5.800000 87.367 -88.9357
6.000000 87.634 -88.5162
6.150000 87.893 -88.9473
6.300000 88.144 -90.0636
6.500000 88.430 -92.4484
6.700000 88.620 -95.4523
6.900000 88.707 -98.7644
7.100000 88.707 -101.9885
7.300000 88.653 -104.9193
7.500000 88.589 -107.3660
7.750000 88.560 -109.7720
8.000000 88.644 -111.6536
8.250000 88.855 -113.4185
8.500000 89.157 -115.3643
8.750000 89.494 -117.5999
9.000000 89.813 -120.0198
9.250000 90.091 -122.4158
9.500000 90.324 -124.5914
9.750000 90.528 -126.4159
10.000000 90.721 -127.8740
10.300000 90.960 -129.2399
10.600000 91.207 -130.3715
10.900000 91.448 -131.4211
11.200000 91.664 -132.4392
11.500000 91.843 -133.4030
11.800000 91.989 -134.2804
12.200000 92.145 -135.3301
12.500000 92.239 -136.0872
12.800000 92.315 -136.8706
13.200000 92.382 -137.9796
13.600000 92.416 -139.1381
14.000000 92.434 -140.3407
14.500000 92.456 -141.9987
15.000000 92.478 -143.9182
15.500000 92.491 -146.0058
16.000000 92.512 -148.0769
16.500000 92.565 -150.0695
17.000000 92.651 -152.0213
17.500000 92.751 -153.9033
18.000000 92.852 -155.6095
18.500000 92.953 -157.0853
19.000000 93.054 -158.3660
19.500000 93.142 -159.5014
20.000000 93.211 -160.5150
20.600000 93.266 -161.6147
21.200001 93.292 -162.6660
21.799999 93.290 -163.7230
22.400000 93.270 -164.8218
23.000000 93.243 -166.0118
23.600000 93.212 -167.3037
24.299999 93.181 -168.8796
25.000000 93.166 -170.4712
25.799999 93.170 -172.2394
26.500000 93.186 -173.6597
27.200001 93.209 -174.9296
28.000000 93.229 -176.2038
29.000000 93.234 -177.5798
30.000000 93.208 -178.8422
30.700001 93.174 -179.7258
31.500000 93.125 179.2175
32.500000 93.059 177.8277
33.500000 93.002 176.3967
34.500000 92.956 174.9869
35.500000 92.918 173.6833
36.500000 92.881 172.5189
37.500000 92.836 171.4786
38.700001 92.770 170.3334
40.000000 92.687 169.1021
41.200001 92.603 167.9667
42.500000 92.517 166.7584
43.700001 92.443 165.6831
45.000000 92.364 164.6031
46.200001 92.290 163.6763
47.500000 92.207 162.7036
48.700001 92.126 161.8438
50.000000 92.039 160.9647
51.500000 91.938 160.0122
53.000000 91.836 159.1381
54.500000 91.735 158.3195
56.000000 91.641 157.5191
58.000000 91.524 156.4227
60.000000 91.397 155.3900
61.500000 91.295 154.7174
63.000000 91.190 154.0967
65.000000 91.052 153.3341
67.000000 90.930 152.6645
69.000000 90.825 152.0456
71.000000 90.726 151.4090
73.000000 90.625 150.7358
75.000000 90.522 150.0543
77.500000 90.393 149.2681
80.000000 90.266 148.5073
82.500000 90.131 147.7226
85.000000 89.976 147.0167
87.500000 89.814 146.5291
90.000000 89.678 146.2064
92.500000 89.573 145.9116
95.000000 89.481 145.5357
97.500000 89.386 145.0519
100.000000 89.281 144.5321
103.000000 89.147 143.9819
106.000000 89.015 143.4831
109.000000 88.885 142.9787
112.000000 88.752 142.4764
115.000000 88.603 141.9817
118.000000 88.439 141.5912
122.000000 88.250 141.4230
125.000000 88.140 141.3641
128.000000 88.027 141.2191
132.000000 87.879 141.0065
136.000000 87.731 140.8262
140.000000 87.576 140.7157
145.000000 87.398 140.8016
150.000000 87.236 140.7875
155.000000 87.118 141.0583
160.000000 86.983 141.3406
165.000000 86.874 141.4916
170.000000 86.742 141.3850
175.000000 86.611 141.4635
180.000000 86.504 141.8907
185.000000 86.451 142.5138
190.000000 86.477 143.0116
195.000000 86.539 142.9286
200.000000 86.560 142.3426
206.000000 86.511 141.5234
212.000000 86.409 140.8267
218.000000 86.275 140.4059
224.000000 86.156 140.2570
230.000000 86.058 140.1556
236.000000 85.964 140.0659
243.000000 85.855 139.9632
250.000000 85.741 139.9397
258.000000 85.637 140.1142
265.000000 85.573 140.1528
272.000000 85.498 140.1404
280.000000 85.422 140.2471
290.000000 85.364 140.3147
300.000000 85.293 140.0934
307.000000 85.228 140.0245
315.000000 85.159 139.9770
325.000000 85.069 139.9875
335.000000 84.998 140.0887
345.000000 84.939 140.1243
355.000000 84.879 140.1674
365.000000 84.823 140.2306
375.000000 84.772 140.2921
387.000000 84.717 140.3766
400.000000 84.668 140.4769
412.000000 84.629 140.5386
425.000000 84.586 140.6397
437.000000 84.564 140.7941
450.000000 84.561 140.8622
462.000000 84.557 140.7187
475.000000 84.520 140.5923
487.000000 84.487 140.5560
500.000000 84.450 140.5913
515.000000 84.424 140.6865
530.000000 84.397 140.7565
545.000000 84.380 140.9082
560.000000 84.374 141.0385
580.000000 84.369 141.1484
600.000000 84.360 141.3298
615.000000 84.363 141.4970
630.000000 84.365 141.7052
650.000000 84.395 142.1136
670.000000 84.464 142.4128
690.000000 84.525 142.4378
710.000000 84.567 142.5312
730.000000 84.618 142.7036
750.000000 84.677 142.9142
775.000000 84.764 143.2426
800.000000 84.872 143.6064
825.000000 85.023 143.9741
850.000000 85.194 143.9927
875.000000 85.342 143.9429
900.000000 85.495 143.9418
925.000000 85.661 143.9359
950.000000 85.844 143.8545
975.000000 86.028 143.6655
1000.000000 86.212 143.4433
1030.000000 86.452 143.2028
1060.000000 86.730 142.6882
1090.000000 86.984 141.8348
1120.000000 87.212 140.9134
1150.000000 87.424 139.9792
1180.000000 87.632 139.0756
1220.000000 87.933 137.7483
1250.000000 88.136 136.4784
1280.000000 88.305 135.1999
1320.000000 88.501 133.5859
1360.000000 88.662 132.1245
1400.000000 88.817 131.0695
1450.000000 89.092 129.9118
1500.000000 89.385 128.4755
1550.000000 89.685 127.0164
1600.000000 90.021 125.4255
1650.000000 90.343 123.3854
1700.000000 90.618 121.2807
1750.000000 90.868 119.2519
1800.000000 91.125 117.4548
1850.000000 91.427 115.5388
1900.000000 91.718 113.3319
1950.000000 91.991 111.0945
2000.000000 92.280 108.7449
2060.000000 92.602 105.5393
2120.000000 92.870 102.1366
2180.000000 93.085 98.7835
2240.000000 93.288 95.4400
2300.000000 93.443 91.9936
2360.000000 93.553 88.7318
2430.000000 93.650 85.1108
2500.000000 93.716 81.9190
2580.000000 93.869 78.8052
2650.000000 94.083 75.4758
2720.000000 94.195 71.5428
2800.000000 94.211 67.4131
2900.000000 94.195 62.9688
3000.000000 94.214 58.9158
3070.000000 94.219 55.9160
3150.000000 94.168 52.6351
3250.000000 94.076 48.9909
3350.000000 93.962 45.8037
3450.000000 93.868 43.1747
3550.000000 93.811 40.9312
3650.000000 93.816 38.8389
3750.000000 93.847 36.7145
3870.000000 93.916 34.2298
4000.000000 94.048 31.6269
4120.000000 94.232 28.8643
4250.000000 94.430 25.3665
4370.000000 94.589 21.9025
4500.000000 94.760 17.7493
4620.000000 94.860 13.3926
4750.000000 94.856 8.4575
4870.000000 94.770 3.9688
5000.000000 94.578 -0.8394
5150.000000 94.197 -5.8956
5300.000000 93.711 -9.9129
5450.000000 93.173 -13.0061
5600.000000 92.593 -15.0305
5800.000000 91.868 -16.1102
6000.000000 91.227 -15.8208
6150.000000 90.838 -14.7051
6300.000000 90.554 -13.1135
6500.000000 90.341 -10.3785
6700.000000 90.357 -7.3213
6900.000000 90.618 -4.2706
7100.000000 91.185 -1.8556
7300.000000 92.050 -1.0507
7500.000000 93.173 -3.1909
7750.000000 94.560 -12.3149
8000.000000 95.071 -28.6597
8250.000000 93.988 -45.9618
8500.000000 91.630 -56.7147
8750.000000 88.850 -58.6090
9000.000000 86.263 -53.1031
9250.000000 84.190 -41.3675
9500.000000 83.054 -23.7438
9750.000000 83.487 -4.3917
10000.000000 85.198 7.6038
10300.000000 87.239 9.5496
10600.000000 88.398 5.7837
10900.000000 89.013 2.0272
11200.000000 89.539 -1.9258
11500.000000 89.929 -8.2620
11800.000000 89.776 -17.1940
12200.000000 88.250 -28.2844
12500.000000 86.312 -31.6182
12800.000000 84.204 -29.1898
13200.000000 81.821 -19.1754
13600.000000 80.232 -5.3461
14000.000000 79.456 9.6334
14500.000000 79.720 26.5931
15000.000000 81.156 33.9189
15500.000000 82.048 25.9103
16000.000000 80.482 13.1844
16500.000000 77.026 11.7382
17000.000000 73.592 23.8929
17500.000000 71.324 42.1342
18000.000000 70.417 56.7645
18500.000000 69.776 58.4406
19000.000000 67.313 52.4156
19500.000000 62.503 56.0092
20000.000000 57.827 74.9776
