* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 22, 2025 11:47:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EPZ G20 R
* Measurement: R EPZ G20
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 92.178 119.2227
1.030000 91.811 116.9088
1.060000 91.416 114.6572
1.090000 90.992 112.5094
1.120000 90.534 110.4696
1.150000 90.045 108.4913
1.180000 89.524 106.5333
1.220000 88.789 103.9023
1.250000 88.210 101.8765
1.280000 87.611 99.7720
1.320000 86.787 96.7872
1.360000 85.941 93.5238
1.400000 85.080 89.9022
1.450000 83.985 84.7813
1.500000 82.801 78.9327
1.550000 81.428 72.0368
1.600000 79.925 63.2460
1.650000 78.415 50.9937
1.700000 77.034 32.8079
1.750000 75.929 7.3553
1.800000 75.257 -19.7066
1.850000 75.167 -40.8100
1.900000 75.702 -56.0635
1.950000 76.734 -67.5874
2.000000 78.065 -76.5461
2.060000 79.781 -84.8119
2.120000 81.344 -91.0068
2.180000 82.530 -95.6423
2.240000 83.309 -99.4009
2.300000 83.819 -102.9397
2.360000 84.145 -106.3738
2.430000 84.358 -110.0647
2.500000 84.448 -113.1433
2.580000 84.445 -115.7017
2.650000 84.319 -117.3306
2.720000 84.070 -118.6035
2.800000 83.691 -119.5243
2.900000 83.180 -119.4102
3.000000 82.647 -117.2598
3.070000 82.233 -114.3776
3.150000 81.791 -109.8097
3.250000 81.484 -102.7901
3.350000 81.643 -95.2026
3.450000 82.242 -87.7854
3.550000 83.067 -81.7165
3.650000 83.924 -77.7483
3.750000 84.769 -75.7296
3.870000 85.781 -75.0527
4.000000 86.745 -75.6536
4.120000 87.427 -77.1318
4.250000 87.971 -79.4390
4.370000 88.326 -81.7345
4.500000 88.559 -84.2488
4.620000 88.645 -86.5973
4.750000 88.633 -88.8491
4.870000 88.537 -90.5013
5.000000 88.360 -91.8681
5.150000 88.127 -92.7722
5.300000 87.897 -92.8393
5.450000 87.720 -92.3100
5.600000 87.655 -91.4563
5.800000 87.740 -90.2793
6.000000 87.986 -89.9040
6.150000 88.233 -90.3118
6.300000 88.479 -91.3767
6.500000 88.765 -93.6677
6.700000 88.964 -96.5770
6.900000 89.066 -99.8043
7.100000 89.083 -102.9651
7.300000 89.047 -105.8572
7.500000 88.999 -108.2922
7.750000 88.983 -110.7115
8.000000 89.070 -112.6167
8.250000 89.276 -114.3879
8.500000 89.566 -116.3090
8.750000 89.890 -118.4915
9.000000 90.198 -120.8469
9.250000 90.467 -123.1858
9.500000 90.694 -125.3067
9.750000 90.892 -127.0978
10.000000 91.079 -128.5484
10.300000 91.309 -129.9263
10.600000 91.545 -131.0779
10.900000 91.774 -132.1440
11.200000 91.979 -133.1720
11.500000 92.150 -134.1431
11.800000 92.290 -135.0324
12.200000 92.440 -136.1123
12.500000 92.530 -136.9012
12.800000 92.600 -137.7167
13.200000 92.660 -138.8552
13.600000 92.688 -140.0182
14.000000 92.703 -141.2056
14.500000 92.727 -142.8437
15.000000 92.753 -144.7672
15.500000 92.767 -146.8743
16.000000 92.781 -148.9475
16.500000 92.826 -150.9032
17.000000 92.906 -152.7913
17.500000 93.004 -154.6149
18.000000 93.104 -156.2892
18.500000 93.204 -157.7570
19.000000 93.299 -159.0363
19.500000 93.381 -160.1624
20.000000 93.445 -161.1583
20.600000 93.499 -162.2408
21.200001 93.524 -163.2907
21.799999 93.521 -164.3527
22.400000 93.500 -165.4497
23.000000 93.473 -166.6355
23.600000 93.441 -167.9284
24.299999 93.406 -169.4990
25.000000 93.386 -171.0645
25.799999 93.386 -172.8018
26.500000 93.398 -174.2056
27.200001 93.416 -175.4553
28.000000 93.434 -176.7124
29.000000 93.435 -178.0956
30.000000 93.401 -179.3327
30.700001 93.366 179.8248
31.500000 93.319 178.8019
32.500000 93.251 177.4529
33.500000 93.193 176.1093
34.500000 93.157 174.7688
35.500000 93.127 173.4573
36.500000 93.089 172.2664
37.500000 93.042 171.2407
38.700001 92.982 170.1217
40.000000 92.903 168.8946
41.200001 92.822 167.7750
42.500000 92.738 166.5611
43.700001 92.660 165.5026
45.000000 92.582 164.4466
46.200001 92.508 163.5145
47.500000 92.425 162.5615
48.700001 92.348 161.7086
50.000000 92.265 160.8333
51.500000 92.171 159.8757
53.000000 92.069 158.9882
54.500000 91.968 158.1844
56.000000 91.875 157.3832
58.000000 91.762 156.2970
60.000000 91.646 155.2592
61.500000 91.554 154.5538
63.000000 91.458 153.8877
65.000000 91.330 153.0238
67.000000 91.207 152.2167
69.000000 91.091 151.4902
71.000000 90.977 150.8065
73.000000 90.862 150.1415
75.000000 90.749 149.5042
77.500000 90.618 148.7588
80.000000 90.497 148.0054
82.500000 90.373 147.2004
85.000000 90.225 146.4161
87.500000 90.063 145.7761
90.000000 89.910 145.2751
92.500000 89.770 144.8552
95.000000 89.635 144.4636
97.500000 89.502 144.0856
100.000000 89.372 143.7683
103.000000 89.225 143.5000
106.000000 89.098 143.2662
109.000000 88.983 142.9906
112.000000 88.867 142.6351
115.000000 88.743 142.2449
118.000000 88.614 142.0179
122.000000 88.448 141.9024
125.000000 88.329 141.8349
128.000000 88.222 141.7408
132.000000 88.090 141.6862
136.000000 87.978 141.7025
140.000000 87.898 141.7180
145.000000 87.826 141.4803
150.000000 87.726 140.9090
155.000000 87.582 140.4564
160.000000 87.453 140.1761
165.000000 87.324 139.8548
170.000000 87.178 139.6285
175.000000 87.045 139.5696
180.000000 86.929 139.5052
185.000000 86.823 139.4310
190.000000 86.722 139.3455
195.000000 86.614 139.2846
200.000000 86.506 139.2792
206.000000 86.397 139.3054
212.000000 86.296 139.2726
218.000000 86.184 139.2876
224.000000 86.090 139.4183
230.000000 86.013 139.4975
236.000000 85.939 139.5352
243.000000 85.851 139.5207
250.000000 85.751 139.5576
258.000000 85.655 139.7770
265.000000 85.598 139.8560
272.000000 85.529 139.8979
280.000000 85.459 140.0518
290.000000 85.411 140.1515
300.000000 85.345 139.9554
307.000000 85.284 139.9018
315.000000 85.218 139.8776
325.000000 85.132 139.9194
335.000000 85.064 140.0371
345.000000 85.005 140.0841
355.000000 84.945 140.1372
365.000000 84.892 140.2168
375.000000 84.844 140.2903
387.000000 84.792 140.3869
400.000000 84.742 140.5112
412.000000 84.704 140.5944
425.000000 84.661 140.7211
437.000000 84.640 140.8946
450.000000 84.637 140.9801
462.000000 84.632 140.8530
475.000000 84.595 140.7404
487.000000 84.563 140.7278
500.000000 84.526 140.7884
515.000000 84.502 140.9084
530.000000 84.476 140.9968
545.000000 84.459 141.1563
560.000000 84.454 141.3191
580.000000 84.449 141.4571
600.000000 84.443 141.6622
615.000000 84.448 141.8547
630.000000 84.450 142.0865
650.000000 84.480 142.5201
670.000000 84.551 142.8620
690.000000 84.615 142.9214
710.000000 84.659 143.0620
730.000000 84.711 143.2662
750.000000 84.770 143.5053
775.000000 84.862 143.8457
800.000000 84.974 144.2343
825.000000 85.131 144.6388
850.000000 85.306 144.6836
875.000000 85.457 144.6392
900.000000 85.615 144.6558
925.000000 85.786 144.6699
950.000000 85.974 144.5844
975.000000 86.162 144.3817
1000.000000 86.349 144.1427
1030.000000 86.593 143.9081
1060.000000 86.875 143.3918
1090.000000 87.130 142.5304
1120.000000 87.359 141.5883
1150.000000 87.570 140.6434
1180.000000 87.776 139.7373
1220.000000 88.072 138.4146
1250.000000 88.271 137.1669
1280.000000 88.438 135.9324
1320.000000 88.640 134.4038
1360.000000 88.821 132.8957
1400.000000 88.965 131.6289
1450.000000 89.184 130.5061
1500.000000 89.444 129.5156
1550.000000 89.792 128.6525
1600.000000 90.233 127.1180
1650.000000 90.609 124.6677
1700.000000 90.886 122.1865
1750.000000 91.116 119.9080
1800.000000 91.335 117.9849
1850.000000 91.592 116.1736
1900.000000 91.869 114.3046
1950.000000 92.176 112.3683
2000.000000 92.514 110.0524
2060.000000 92.867 106.6789
2120.000000 93.139 103.1538
2180.000000 93.359 99.7788
2240.000000 93.571 96.4277
2300.000000 93.735 93.0178
2360.000000 93.875 89.9193
2430.000000 94.084 86.3599
2500.000000 94.295 82.2735
2580.000000 94.401 77.1632
2650.000000 94.374 72.9701
2720.000000 94.266 69.5056
2800.000000 94.185 66.6458
2900.000000 94.271 63.3170
3000.000000 94.401 58.9759
3070.000000 94.404 55.5631
3150.000000 94.312 52.0212
3250.000000 94.165 48.3321
3350.000000 94.008 45.2433
3450.000000 93.871 42.7643
3550.000000 93.781 40.8349
3650.000000 93.788 39.0814
3750.000000 93.842 37.1076
3870.000000 93.922 34.6060
4000.000000 94.039 32.0002
4120.000000 94.202 29.3245
4250.000000 94.385 26.0357
4370.000000 94.547 22.7932
4500.000000 94.732 18.8076
4620.000000 94.848 14.5338
4750.000000 94.861 9.6129
4870.000000 94.784 5.0675
5000.000000 94.589 0.1886
5150.000000 94.195 -4.8965
5300.000000 93.696 -8.9220
5450.000000 93.139 -12.0205
5600.000000 92.535 -14.0109
5800.000000 91.777 -14.9563
6000.000000 91.115 -14.5135
6150.000000 90.710 -13.3267
6300.000000 90.400 -11.6968
6500.000000 90.129 -8.8608
6700.000000 90.070 -5.5109
6900.000000 90.257 -1.9635
7100.000000 90.735 1.0625
7300.000000 91.488 2.9677
7500.000000 92.547 2.7126
7750.000000 94.072 -3.2839
8000.000000 95.057 -17.2866
8250.000000 94.569 -34.9625
8500.000000 92.587 -48.0206
8750.000000 89.931 -52.1908
9000.000000 87.341 -48.3656
9250.000000 85.201 -37.7722
9500.000000 83.973 -20.5294
9750.000000 84.406 -0.7263
10000.000000 86.244 11.4695
10300.000000 88.452 12.8127
10600.000000 89.785 8.1134
10900.000000 90.650 2.7191
11200.000000 91.400 -4.5846
11500.000000 91.689 -15.7547
11800.000000 90.947 -28.5529
12200.000000 88.354 -39.6060
12500.000000 85.905 -40.2349
12800.000000 83.602 -35.2317
13200.000000 81.167 -23.1761
13600.000000 79.550 -8.2775
14000.000000 78.705 7.3148
14500.000000 78.745 25.1664
15000.000000 79.892 35.3027
15500.000000 80.879 31.8042
16000.000000 79.920 21.6882
16500.000000 77.169 19.4735
17000.000000 74.389 29.1927
17500.000000 72.995 40.7590
18000.000000 72.302 40.1984
18500.000000 69.958 29.9782
19000.000000 65.065 26.4479
19500.000000 58.632 42.2900
20000.000000 53.240 72.1108
