* Measurement data measured by REW V5.30.9
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: Mar 24, 2024 3:55:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EPZ Q1 Pro L
* Measurement: L EPZ Q1 Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.152 172.8888
0.368865 78.147 172.8786
0.371538 78.139 172.8633
0.374230 78.130 172.8442
0.376942 78.119 172.8222
0.379673 78.107 172.7981
0.382424 78.095 172.7723
0.385196 78.083 172.7451
0.387987 78.070 172.7168
0.390798 78.057 172.6873
0.393630 78.045 172.6569
0.396483 78.032 172.6254
0.399356 78.018 172.5928
0.402250 78.005 172.5592
0.405165 77.992 172.5246
0.408101 77.978 172.4890
0.411058 77.965 172.4523
0.414037 77.951 172.4146
0.417037 77.938 172.3757
0.420059 77.924 172.3358
0.423103 77.910 172.2948
0.426169 77.896 172.2527
0.429257 77.882 172.2095
0.432367 77.868 172.1652
0.435501 77.853 172.1198
0.438656 77.839 172.0732
0.441835 77.824 172.0255
0.445037 77.810 171.9766
0.448262 77.795 171.9266
0.451510 77.780 171.8754
0.454782 77.765 171.8230
0.458077 77.750 171.7695
0.461397 77.735 171.7148
0.464740 77.720 171.6588
0.468108 77.704 171.6017
0.471500 77.689 171.5433
0.474917 77.673 171.4838
0.478358 77.657 171.4230
0.481825 77.642 171.3610
0.485316 77.626 171.2977
0.488833 77.610 171.2332
0.492375 77.593 171.1675
0.495943 77.577 171.1005
0.499537 77.561 171.0323
0.503157 77.544 170.9628
0.506803 77.527 170.8920
0.510475 77.511 170.8200
0.514174 77.494 170.7467
0.517900 77.477 170.6722
0.521653 77.460 170.5964
0.525433 77.442 170.5193
0.529241 77.425 170.4409
0.533076 77.407 170.3613
0.536939 77.390 170.2805
0.540830 77.372 170.1983
0.544749 77.354 170.1149
0.548696 77.336 170.0302
0.552673 77.318 169.9443
0.556677 77.300 169.8572
0.560711 77.281 169.7687
0.564774 77.263 169.6791
0.568867 77.244 169.5882
0.572989 77.225 169.4961
0.577141 77.206 169.4028
0.581324 77.187 169.3082
0.585536 77.168 169.2125
0.589779 77.148 169.1156
0.594053 77.129 169.0176
0.598358 77.109 168.9183
0.602694 77.089 168.8180
0.607061 77.069 168.7165
0.611460 77.049 168.6139
0.615891 77.029 168.5103
0.620354 77.009 168.4056
0.624849 76.988 168.2998
0.629377 76.967 168.1930
0.633938 76.947 168.0853
0.638532 76.926 167.9766
0.643159 76.905 167.8670
0.647819 76.883 167.7564
0.652514 76.862 167.6451
0.657242 76.840 167.5329
0.662005 76.818 167.4198
0.666802 76.796 167.3061
0.671634 76.774 167.1917
0.676501 76.752 167.0766
0.681403 76.730 166.9609
0.686341 76.707 166.8446
0.691314 76.684 166.7278
0.696324 76.661 166.6106
0.701369 76.638 166.4929
0.706452 76.614 166.3748
0.711571 76.590 166.2562
0.716727 76.564 166.1372
0.721921 76.537 166.0174
0.727153 76.509 165.8966
0.732422 76.477 165.7745
0.737729 76.443 165.6503
0.743075 76.407 165.5237
0.748460 76.369 165.3941
0.753883 76.330 165.2612
0.759346 76.291 165.1246
0.764849 76.252 164.9842
0.770391 76.212 164.8400
0.775974 76.173 164.6917
0.781597 76.134 164.5394
0.787261 76.095 164.3829
0.792965 76.056 164.2223
0.798712 76.017 164.0574
0.804499 75.978 163.8884
0.810329 75.939 163.7151
0.816201 75.899 163.5375
0.822116 75.859 163.3556
0.828073 75.819 163.1693
0.834073 75.778 162.9786
0.840118 75.737 162.7835
0.846205 75.695 162.5840
0.852337 75.651 162.3799
0.858514 75.607 162.1714
0.864735 75.562 161.9584
0.871001 75.515 161.7409
0.877313 75.467 161.5189
0.883670 75.418 161.2923
0.890074 75.366 161.0611
0.896523 75.313 160.8254
0.903020 75.258 160.5851
0.909564 75.200 160.3402
0.916155 75.140 160.0908
0.922793 75.078 159.8369
0.929480 75.012 159.5784
0.936216 74.944 159.3155
0.943000 74.873 159.0481
0.949833 74.798 158.7762
0.956716 74.720 158.5000
0.963649 74.638 158.2194
0.970632 74.552 157.9345
0.977666 74.462 157.6455
0.984750 74.367 157.3523
0.991886 74.267 157.0550
0.999074 74.163 156.7539
1.006313 74.053 156.4489
1.013605 73.937 156.1402
1.020950 73.816 155.8279
1.028349 73.689 155.5123
1.035801 73.555 155.1934
1.043306 73.414 154.8714
1.050867 73.266 154.5465
1.058482 73.111 154.2188
1.066152 72.947 153.8883
1.073878 72.774 153.5548
1.081659 72.592 153.2180
1.089498 72.398 152.8771
1.097393 72.192 152.5308
1.105345 71.971 152.1773
1.113355 71.733 151.8146
1.121422 71.476 151.4407
1.129549 71.200 151.0539
1.137734 70.905 150.6523
1.145978 70.589 150.2345
1.154283 70.254 149.7990
1.162647 69.900 149.3444
1.171072 69.528 148.8689
1.179558 69.139 148.3709
1.188106 68.734 147.8485
1.196715 68.313 147.2995
1.205387 67.879 146.7214
1.214122 67.432 146.1116
1.222920 66.973 145.4669
1.231781 66.505 144.7837
1.240708 66.028 144.0578
1.249698 65.544 143.2844
1.258754 65.055 142.4579
1.267875 64.562 141.5717
1.277063 64.067 140.6179
1.286317 63.573 139.5874
1.295638 63.081 138.4690
1.305027 62.594 137.2494
1.314484 62.113 135.9122
1.324009 61.642 134.4376
1.333603 61.182 132.8008
1.343267 60.736 130.9710
1.353001 60.308 128.9095
1.362805 59.901 126.5673
1.372681 59.517 123.8815
1.382628 59.160 120.7716
1.392647 58.834 117.1346
1.402739 58.543 112.8391
1.412904 58.290 107.7227
1.423142 58.081 101.5958
1.433455 57.918 94.2636
1.443842 57.806 85.5857
1.454305 57.749 75.5853
1.464843 57.750 64.5778
1.475458 57.810 53.2015
1.486150 57.930 42.2429
1.496919 58.109 32.3354
1.507766 58.347 23.7847
1.518692 58.640 16.6015
1.529697 58.986 10.6337
1.540782 59.383 5.6774
1.551947 59.826 1.5363
1.563193 60.312 -1.9559
1.574521 60.837 -4.9333
1.585931 61.399 -7.5003
1.597423 61.992 -9.7383
1.608998 62.613 -11.7105
1.620658 63.258 -13.4662
1.632402 63.923 -15.0443
1.644231 64.603 -16.4755
1.656146 65.294 -17.7844
1.668147 65.991 -18.9911
1.680235 66.691 -20.1117
1.692410 67.388 -21.1596
1.704674 68.079 -22.1460
1.717027 68.758 -23.0802
1.729469 69.422 -23.9699
1.742002 70.065 -24.8220
1.754625 70.685 -25.6420
1.767340 71.277 -26.4349
1.780147 71.838 -27.2051
1.793046 72.366 -27.9560
1.806040 72.860 -28.6908
1.819127 73.320 -29.4120
1.832309 73.749 -30.1214
1.845587 74.150 -30.8204
1.858961 74.527 -31.5099
1.872431 74.882 -32.1900
1.886000 75.220 -32.8611
1.899666 75.540 -33.5232
1.913432 75.845 -34.1762
1.927298 76.135 -34.8203
1.941264 76.412 -35.4555
1.955331 76.677 -36.0820
1.969500 76.930 -36.6999
1.983772 77.172 -37.3094
1.998147 77.405 -37.9108
2.012626 77.629 -38.5044
2.027211 77.845 -39.0905
2.041901 78.054 -39.6695
2.056697 78.258 -40.2417
2.071601 78.458 -40.8076
2.086613 78.654 -41.3676
2.101733 78.849 -41.9223
2.116963 79.043 -42.4721
2.132303 79.237 -43.0178
2.147755 79.432 -43.5602
2.163318 79.628 -44.1003
2.178995 79.826 -44.6392
2.194785 80.024 -45.1784
2.210689 80.222 -45.7192
2.226709 80.417 -46.2627
2.242844 80.608 -46.8095
2.259097 80.796 -47.3596
2.275467 80.979 -47.9127
2.291956 81.157 -48.4683
2.308565 81.330 -49.0254
2.325294 81.498 -49.5832
2.342144 81.662 -50.1410
2.359116 81.822 -50.6978
2.376211 81.978 -51.2530
2.393430 82.130 -51.8058
2.410774 82.280 -52.3555
2.428243 82.427 -52.9016
2.445839 82.571 -53.4436
2.463562 82.713 -53.9810
2.481415 82.854 -54.5138
2.499396 82.994 -55.0419
2.517508 83.132 -55.5658
2.535750 83.269 -56.0862
2.554126 83.405 -56.6043
2.572634 83.539 -57.1218
2.591276 83.671 -57.6404
2.610054 83.801 -58.1612
2.628967 83.928 -58.6851
2.648018 84.052 -59.2120
2.667206 84.173 -59.7414
2.686534 84.290 -60.2725
2.706002 84.406 -60.8044
2.725610 84.518 -61.3360
2.745361 84.628 -61.8661
2.765255 84.735 -62.3936
2.785294 84.841 -62.9174
2.805477 84.944 -63.4364
2.825807 85.046 -63.9497
2.846284 85.147 -64.4564
2.866909 85.245 -64.9562
2.887684 85.343 -65.4490
2.908609 85.439 -65.9352
2.929686 85.533 -66.4160
2.950916 85.626 -66.8929
2.972299 85.716 -67.3672
2.993838 85.804 -67.8402
3.015532 85.890 -68.3121
3.037384 85.974 -68.7831
3.059394 86.055 -69.2526
3.081564 86.134 -69.7198
3.103894 86.212 -70.1839
3.126386 86.287 -70.6437
3.149041 86.361 -71.0980
3.171861 86.434 -71.5459
3.194845 86.505 -71.9861
3.217996 86.576 -72.4178
3.241315 86.645 -72.8403
3.264803 86.714 -73.2532
3.288461 86.781 -73.6566
3.312291 86.847 -74.0512
3.336293 86.912 -74.4378
3.360469 86.976 -74.8173
3.384820 87.037 -75.1903
3.409348 87.098 -75.5571
3.434054 87.157 -75.9180
3.458938 87.215 -76.2728
3.484003 87.272 -76.6215
3.509250 87.328 -76.9637
3.534679 87.383 -77.2990
3.560293 87.439 -77.6269
3.586092 87.493 -77.9472
3.612079 87.548 -78.2593
3.638253 87.603 -78.5628
3.664618 87.658 -78.8574
3.691173 87.713 -79.1432
3.717921 87.767 -79.4202
3.744862 87.821 -79.6888
3.771999 87.875 -79.9496
3.799332 87.929 -80.2034
3.826864 87.982 -80.4510
3.854595 88.036 -80.6932
3.882527 88.090 -80.9307
3.910661 88.144 -81.1644
3.938999 88.198 -81.3947
3.967543 88.254 -81.6221
3.996294 88.310 -81.8466
4.025252 88.367 -82.0679
4.054421 88.424 -82.2859
4.083801 88.483 -82.5000
4.113394 88.542 -82.7106
4.143201 88.602 -82.9180
4.173225 88.662 -83.1231
4.203466 88.723 -83.3273
4.233926 88.785 -83.5319
4.264606 88.847 -83.7381
4.295509 88.910 -83.9474
4.326636 88.974 -84.1609
4.357989 89.038 -84.3791
4.389569 89.103 -84.6024
4.421378 89.168 -84.8307
4.453417 89.235 -85.0637
4.485688 89.301 -85.3011
4.518193 89.369 -85.5431
4.550934 89.437 -85.7900
4.583912 89.505 -86.0424
4.617129 89.574 -86.3009
4.650587 89.642 -86.5664
4.684287 89.711 -86.8395
4.718231 89.779 -87.1209
4.752421 89.847 -87.4111
4.786859 89.915 -87.7102
4.821547 89.982 -88.0182
4.856485 90.049 -88.3347
4.891677 90.116 -88.6592
4.927125 90.182 -88.9913
4.962829 90.248 -89.3304
4.998791 90.313 -89.6761
5.035015 90.378 -90.0282
5.071500 90.441 -90.3864
5.108251 90.503 -90.7508
5.145267 90.564 -91.1217
5.182552 90.624 -91.4992
5.220107 90.683 -91.8832
5.257934 90.741 -92.2730
5.296035 90.797 -92.6677
5.334412 90.853 -93.0663
5.373067 90.907 -93.4675
5.412003 90.960 -93.8704
5.451221 91.012 -94.2743
5.490722 91.062 -94.6788
5.530510 91.111 -95.0841
5.570587 91.159 -95.4900
5.610953 91.206 -95.8966
5.651613 91.252 -96.3033
5.692567 91.296 -96.7093
5.733818 91.340 -97.1136
5.775367 91.383 -97.5154
5.817218 91.425 -97.9139
5.859372 91.466 -98.3085
5.901831 91.507 -98.6993
5.944598 91.547 -99.0861
5.987675 91.586 -99.4693
6.031065 91.626 -99.8489
6.074768 91.664 -100.2251
6.118788 91.703 -100.5976
6.163127 91.742 -100.9665
6.207788 91.781 -101.3315
6.252772 91.820 -101.6926
6.298082 91.860 -102.0500
6.343721 91.899 -102.4040
6.389690 91.940 -102.7552
6.435992 91.980 -103.1045
6.482630 92.021 -103.4527
6.529606 92.063 -103.8003
6.576922 92.106 -104.1480
6.624581 92.149 -104.4960
6.672585 92.193 -104.8447
