* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Oct 26, 2024 2:31:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EPZ Q5 Pro R
* Measurement: R EPZ Q5 Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	77.599	-168.3225
0.368865	77.600	-168.3229
0.371538	77.602	-168.3236
0.374230	77.604	-168.3244
0.376942	77.607	-168.3253
0.379673	77.609	-168.3263
0.382424	77.612	-168.3274
0.385196	77.615	-168.3284
0.387987	77.618	-168.3296
0.390798	77.621	-168.3307
0.393630	77.624	-168.3318
0.396483	77.627	-168.3330
0.399356	77.630	-168.3342
0.402250	77.633	-168.3354
0.405165	77.636	-168.3366
0.408101	77.639	-168.3379
0.411058	77.642	-168.3391
0.414037	77.645	-168.3403
0.417037	77.648	-168.3416
0.420059	77.651	-168.3429
0.423103	77.654	-168.3441
0.426169	77.658	-168.3454
0.429257	77.661	-168.3466
0.432368	77.664	-168.3479
0.435501	77.667	-168.3492
0.438656	77.671	-168.3504
0.441835	77.674	-168.3517
0.445037	77.677	-168.3529
0.448262	77.681	-168.3541
0.451510	77.684	-168.3553
0.454782	77.688	-168.3565
0.458077	77.691	-168.3577
0.461397	77.694	-168.3588
0.464740	77.698	-168.3600
0.468108	77.701	-168.3611
0.471500	77.705	-168.3621
0.474917	77.709	-168.3632
0.478358	77.712	-168.3642
0.481825	77.716	-168.3651
0.485316	77.719	-168.3660
0.488833	77.723	-168.3669
0.492375	77.727	-168.3677
0.495943	77.730	-168.3685
0.499537	77.734	-168.3692
0.503157	77.738	-168.3698
0.506803	77.742	-168.3704
0.510475	77.746	-168.3709
0.514175	77.749	-168.3714
0.517900	77.753	-168.3717
0.521653	77.757	-168.3720
0.525434	77.761	-168.3722
0.529241	77.765	-168.3723
0.533076	77.769	-168.3723
0.536939	77.773	-168.3722
0.540830	77.777	-168.3720
0.544749	77.781	-168.3717
0.548696	77.785	-168.3712
0.552673	77.790	-168.3707
0.556677	77.794	-168.3700
0.560711	77.798	-168.3692
0.564774	77.802	-168.3682
0.568867	77.806	-168.3671
0.572989	77.811	-168.3658
0.577141	77.815	-168.3644
0.581324	77.819	-168.3628
0.585536	77.824	-168.3610
0.589779	77.828	-168.3590
0.594053	77.833	-168.3568
0.598358	77.837	-168.3545
0.602694	77.842	-168.3519
0.607061	77.846	-168.3491
0.611460	77.851	-168.3461
0.615891	77.856	-168.3428
0.620354	77.860	-168.3393
0.624849	77.865	-168.3355
0.629377	77.870	-168.3315
0.633938	77.874	-168.3272
0.638532	77.879	-168.3226
0.643159	77.884	-168.3177
0.647819	77.889	-168.3124
0.652514	77.894	-168.3069
0.657242	77.899	-168.3010
0.662005	77.904	-168.2947
0.666802	77.909	-168.2881
0.671634	77.914	-168.2811
0.676501	77.919	-168.2738
0.681403	77.924	-168.2660
0.686341	77.929	-168.2578
0.691314	77.934	-168.2493
0.696324	77.939	-168.2405
0.701370	77.944	-168.2315
0.706452	77.949	-168.2226
0.711571	77.953	-168.2142
0.716728	77.957	-168.2070
0.721921	77.959	-168.2019
0.727153	77.960	-168.2003
0.732422	77.959	-168.2035
0.737729	77.956	-168.2124
0.743075	77.950	-168.2272
0.748460	77.943	-168.2472
0.753883	77.935	-168.2717
0.759346	77.927	-168.3002
0.764849	77.918	-168.3321
0.770391	77.908	-168.3672
0.775974	77.899	-168.4051
0.781597	77.890	-168.4459
0.787261	77.880	-168.4893
0.792966	77.871	-168.5353
0.798712	77.861	-168.5838
0.804500	77.851	-168.6347
0.810329	77.841	-168.6880
0.816201	77.831	-168.7436
0.822116	77.820	-168.8015
0.828073	77.809	-168.8615
0.834074	77.798	-168.9236
0.840118	77.786	-168.9877
0.846206	77.773	-169.0536
0.852338	77.760	-169.1215
0.858514	77.746	-169.1910
0.864735	77.731	-169.2621
0.871001	77.716	-169.3347
0.877313	77.699	-169.4087
0.883670	77.682	-169.4839
0.890074	77.663	-169.5603
0.896524	77.643	-169.6376
0.903020	77.622	-169.7157
0.909564	77.600	-169.7945
0.916155	77.576	-169.8739
0.922794	77.550	-169.9536
0.929481	77.523	-170.0334
0.936216	77.494	-170.1131
0.943000	77.463	-170.1927
0.949834	77.430	-170.2718
0.956717	77.395	-170.3501
0.963649	77.358	-170.4276
0.970632	77.318	-170.5039
0.977666	77.276	-170.5787
0.984750	77.231	-170.6517
0.991886	77.183	-170.7228
0.999074	77.133	-170.7914
1.006314	77.079	-170.8573
1.013606	77.022	-170.9202
1.020951	76.962	-170.9796
1.028349	76.898	-171.0351
1.035801	76.830	-171.0863
1.043307	76.759	-171.1328
1.050867	76.683	-171.1742
1.058482	76.603	-171.2100
1.066152	76.518	-171.2400
1.073878	76.429	-171.2640
1.081660	76.333	-171.2822
1.089498	76.232	-171.2949
1.097393	76.123	-171.3031
1.105345	76.006	-171.3082
1.113355	75.880	-171.3115
1.121423	75.745	-171.3142
1.129549	75.599	-171.3170
1.137734	75.443	-171.3205
1.145979	75.277	-171.3245
1.154283	75.100	-171.3289
1.162647	74.914	-171.3334
1.171072	74.718	-171.3373
1.179558	74.514	-171.3401
1.188106	74.301	-171.3409
1.196715	74.080	-171.3391
1.205387	73.852	-171.3335
1.214122	73.617	-171.3232
1.222920	73.376	-171.3071
1.231782	73.129	-171.2838
1.240708	72.878	-171.2518
1.249699	72.623	-171.2096
1.258754	72.365	-171.1554
1.267876	72.105	-171.0870
1.277063	71.843	-171.0022
1.286318	71.581	-170.8985
1.295639	71.319	-170.7727
1.305027	71.059	-170.6217
1.314484	70.801	-170.4417
1.324009	70.547	-170.2282
1.333604	70.297	-169.9764
1.343268	70.054	-169.6808
1.353002	69.818	-169.3347
1.362806	69.591	-168.9307
1.372681	69.374	-168.4603
1.382628	69.168	-167.9137
1.392647	68.976	-167.2793
1.402739	68.798	-166.5442
1.412904	68.636	-165.6931
1.423142	68.493	-164.7088
1.433455	68.368	-163.5717
1.443843	68.264	-162.2596
1.454305	68.181	-160.7474
1.464844	68.119	-159.0067
1.475459	68.079	-157.0049
1.486150	68.059	-154.7034
1.496920	68.059	-152.0571
1.507767	68.079	-149.0133
1.518693	68.117	-145.5142
1.529698	68.173	-141.5000
1.540783	68.246	-136.9172
1.551948	68.336	-131.7304
1.563194	68.442	-125.9402
1.574521	68.564	-119.6019
1.585931	68.700	-112.8406
1.597423	68.850	-105.8486
1.608999	69.014	-98.8616
1.620658	69.191	-92.1159
1.632402	69.379	-85.8066
1.644232	69.578	-80.0616
1.656146	69.788	-74.9394
1.668147	70.007	-70.4421
1.680235	70.234	-66.5356
1.692411	70.469	-63.1663
1.704675	70.710	-60.2738
1.717028	70.956	-57.7984
1.729470	71.207	-55.6855
1.742003	71.461	-53.8861
1.754626	71.717	-52.3582
1.767341	71.975	-51.0653
1.780147	72.234	-49.9764
1.793047	72.494	-49.0643
1.806040	72.756	-48.3052
1.819128	73.020	-47.6777
1.832310	73.289	-47.1622
1.845587	73.564	-46.7413
1.858961	73.848	-46.4003
1.872432	74.142	-46.1273
1.886001	74.447	-45.9130
1.899667	74.763	-45.7503
1.913433	75.089	-45.6337
1.927299	75.425	-45.5588
1.941265	75.769	-45.5218
1.955332	76.120	-45.5196
1.969501	76.478	-45.5497
1.983773	76.841	-45.6096
1.998148	77.208	-45.6976
2.012627	77.576	-45.8119
2.027212	77.946	-45.9510
2.041902	78.314	-46.1138
2.056698	78.680	-46.2992
2.071602	79.043	-46.5063
2.086614	79.400	-46.7344
2.101734	79.750	-46.9831
2.116964	80.092	-47.2520
2.132304	80.424	-47.5406
2.147756	80.744	-47.8489
2.163320	81.053	-48.1766
2.178996	81.349	-48.5237
2.194786	81.632	-48.8897
2.210690	81.903	-49.2742
2.226710	82.163	-49.6764
2.242845	82.412	-50.0949
2.259098	82.652	-50.5284
2.275468	82.882	-50.9753
2.291957	83.104	-51.4340
2.308566	83.318	-51.9029
2.325295	83.525	-52.3807
2.342145	83.725	-52.8659
2.359117	83.918	-53.3575
2.376212	84.106	-53.8544
2.393431	84.288	-54.3556
2.410775	84.466	-54.8604
2.428244	84.640	-55.3682
2.445840	84.811	-55.8784
2.463564	84.980	-56.3907
2.481416	85.146	-56.9051
2.499397	85.311	-57.4218
2.517509	85.475	-57.9413
2.535752	85.637	-58.4647
2.554127	85.798	-58.9935
2.572635	85.958	-59.5294
2.591277	86.114	-60.0741
2.610055	86.268	-60.6287
2.628968	86.418	-61.1933
2.648019	86.563	-61.7675
2.667208	86.705	-62.3501
2.686535	86.843	-62.9397
2.706003	86.977	-63.5347
2.725612	87.108	-64.1332
2.745363	87.235	-64.7337
2.765257	87.359	-65.3346
2.785295	87.480	-65.9341
2.805478	87.598	-66.5310
2.825808	87.714	-67.1241
2.846285	87.828	-67.7124
2.866910	87.940	-68.2955
2.887685	88.050	-68.8737
2.908611	88.158	-69.4478
2.929688	88.263	-70.0196
2.950917	88.366	-70.5913
2.972301	88.467	-71.1650
2.993839	88.564	-71.7421
3.015534	88.658	-72.3230
3.037386	88.749	-72.9074
3.059396	88.837	-73.4944
3.081565	88.922	-74.0825
3.103896	89.004	-74.6702
3.126388	89.084	-75.2557
3.149043	89.162	-75.8370
3.171862	89.237	-76.4126
3.194847	89.310	-76.9807
3.217998	89.381	-77.5400
3.241317	89.451	-78.0896
3.264805	89.519	-78.6292
3.288463	89.585	-79.1595
3.312293	89.649	-79.6818
3.336295	89.711	-80.1978
3.360471	89.770	-80.7088
3.384822	89.827	-81.2159
3.409350	89.881	-81.7191
3.434056	89.933	-82.2182
3.458940	89.984	-82.7125
3.484005	90.032	-83.2010
3.509252	90.078	-83.6824
3.534681	90.124	-84.1555
3.560295	90.168	-84.6189
3.586094	90.211	-85.0715
3.612081	90.254	-85.5121
3.638255	90.295	-85.9401
3.664620	90.336	-86.3553
3.691175	90.376	-86.7579
3.717923	90.415	-87.1487
3.744864	90.453	-87.5284
3.772001	90.489	-87.8978
3.799335	90.525	-88.2576
3.826866	90.559	-88.6083
3.854597	90.593	-88.9504
3.882529	90.627	-89.2842
3.910664	90.661	-89.6099
3.939002	90.695	-89.9276
3.967546	90.730	-90.2371
3.996296	90.765	-90.5380
4.025255	90.801	-90.8298
4.054423	90.837	-91.1120
4.083804	90.875	-91.3843
4.113396	90.912	-91.6470
4.143204	90.951	-91.9010
4.173227	90.989	-92.1476
4.203468	91.029	-92.3884
4.233928	91.069	-92.6253
4.264609	91.110	-92.8599
4.295512	91.152	-93.0939
4.326639	91.196	-93.3286
4.357992	91.240	-93.5648
4.389572	91.286	-93.8026
4.421380	91.333	-94.0418
4.453419	91.382	-94.2819
4.485691	91.432	-94.5230
4.518196	91.483	-94.7654
4.550936	91.535	-95.0102
4.583914	91.588	-95.2590
4.617131	91.642	-95.5133
4.650589	91.697	-95.7749
4.684289	91.752	-96.0453
4.718233	91.808	-96.3258
4.752424	91.864	-96.6171
4.786862	91.920	-96.9195
4.821549	91.977	-97.2326
4.856488	92.035	-97.5561
4.891680	92.092	-97.8897
4.927127	92.150	-98.2331
4.962831	92.208	-98.5863
4.998794	92.265	-98.9494
5.035017	92.322	-99.3227
5.071503	92.378	-99.7065
5.108253	92.432	-100.1013
5.145270	92.486	-100.5075
5.182555	92.539	-100.9254
5.220110	92.591	-101.3545
5.257937	92.641	-101.7939
5.296038	92.691	-102.2426
5.334415	92.739	-102.6989
5.373071	92.786	-103.1616
5.412006	92.831	-103.6295
5.451224	92.874	-104.1018
5.490725	92.916	-104.5783
5.530514	92.956	-105.0592
5.570590	92.994	-105.5445
5.610957	93.030	-106.0338
5.651616	93.064	-106.5260
5.692570	93.097	-107.0197
5.733821	93.128	-107.5131
5.775370	93.158	-108.0045
5.817221	93.186	-108.4926
5.859375	93.213	-108.9766
5.901834	93.238	-109.4562
5.944602	93.262	-109.9315
5.987679	93.285	-110.4024
6.031068	93.306	-110.8686
6.074771	93.327	-111.3295
6.118792	93.347	-111.7841
6.163131	93.366	-112.2316
6.207792	93.386	-112.6712
6.252776	93.405	-113.1027
6.298086	93.424	-113.5259
6.343725	93.443	-113.9412
6.389694	93.462	-114.3493
6.435996	93.482	-114.7510
6.482634	93.502	-115.1469
