* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Apr 18, 2025 6:24:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: STA Hi End Max
* Measurement: L Apr 18
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.537 157.1659
0.368865 94.531 157.1421
0.371538 94.523 157.1064
0.374230 94.512 157.0616
0.376942 94.500 157.0100
0.379673 94.487 156.9532
0.382424 94.474 156.8924
0.385196 94.460 156.8283
0.387987 94.446 156.7613
0.390798 94.432 156.6915
0.393630 94.417 156.6191
0.396483 94.403 156.5441
0.399356 94.388 156.4665
0.402250 94.374 156.3863
0.405165 94.359 156.3035
0.408101 94.344 156.2181
0.411058 94.329 156.1300
0.414037 94.314 156.0392
0.417037 94.299 155.9458
0.420059 94.283 155.8495
0.423103 94.268 155.7506
0.426169 94.252 155.6488
0.429257 94.236 155.5443
0.432368 94.221 155.4369
0.435501 94.205 155.3266
0.438656 94.189 155.2135
0.441835 94.173 155.0974
0.445037 94.156 154.9785
0.448262 94.140 154.8566
0.451510 94.123 154.7317
0.454782 94.107 154.6038
0.458077 94.090 154.4729
0.461397 94.073 154.3390
0.464740 94.056 154.2020
0.468108 94.039 154.0620
0.471500 94.022 153.9189
0.474917 94.005 153.7726
0.478358 93.987 153.6233
0.481825 93.970 153.4708
0.485316 93.952 153.3152
0.488833 93.934 153.1564
0.492375 93.916 152.9945
0.495943 93.898 152.8294
0.499537 93.880 152.6611
0.503157 93.861 152.4896
0.506803 93.843 152.3150
0.510475 93.824 152.1371
0.514175 93.805 151.9561
0.517900 93.786 151.7718
0.521653 93.767 151.5844
0.525434 93.748 151.3938
0.529241 93.729 151.2000
0.533076 93.709 151.0030
0.536939 93.690 150.8029
0.540830 93.670 150.5997
0.544749 93.650 150.3933
0.548696 93.630 150.1838
0.552673 93.610 149.9713
0.556677 93.589 149.7557
0.560711 93.569 149.5371
0.564774 93.548 149.3155
0.568867 93.527 149.0910
0.572989 93.507 148.8635
0.577141 93.485 148.6333
0.581324 93.464 148.4001
0.585536 93.443 148.1643
0.589779 93.421 147.9257
0.594053 93.400 147.6846
0.598358 93.378 147.4408
0.602694 93.356 147.1945
0.607061 93.334 146.9459
0.611460 93.311 146.6949
0.615891 93.289 146.4417
0.620354 93.266 146.1863
0.624849 93.243 145.9289
0.629377 93.220 145.6696
0.633938 93.197 145.4084
0.638532 93.174 145.1456
0.643159 93.150 144.8812
0.647819 93.127 144.6153
0.652514 93.103 144.3482
0.657242 93.079 144.0800
0.662005 93.055 143.8108
0.666802 93.030 143.5408
0.671634 93.006 143.2702
0.676501 92.981 142.9991
0.681403 92.956 142.7279
0.686341 92.931 142.4566
0.691314 92.906 142.1855
0.696324 92.880 141.9148
0.701370 92.854 141.6447
0.706452 92.828 141.3753
0.711571 92.801 141.1068
0.716728 92.774 140.8390
0.721921 92.745 140.5717
0.727153 92.715 140.3045
0.732422 92.683 140.0366
0.737729 92.649 139.7670
0.743075 92.613 139.4945
0.748460 92.576 139.2183
0.753883 92.537 138.9377
0.759346 92.497 138.6521
0.764849 92.456 138.3612
0.770391 92.415 138.0647
0.775974 92.373 137.7625
0.781597 92.330 137.4544
0.787261 92.287 137.1404
0.792966 92.243 136.8204
0.798712 92.199 136.4944
0.804500 92.154 136.1622
0.810329 92.109 135.8238
0.816201 92.063 135.4793
0.822116 92.016 135.1285
0.828073 91.969 134.7714
0.834074 91.921 134.4080
0.840118 91.872 134.0382
0.846206 91.822 133.6621
0.852338 91.772 133.2797
0.858514 91.721 132.8909
0.864735 91.669 132.4958
0.871001 91.616 132.0944
0.877313 91.562 131.6866
0.883670 91.507 131.2727
0.890074 91.451 130.8525
0.896524 91.394 130.4263
0.903020 91.336 129.9940
0.909564 91.277 129.5559
0.916155 91.217 129.1119
0.922794 91.155 128.6622
0.929481 91.093 128.2071
0.936216 91.029 127.7467
0.943000 90.963 127.2811
0.949834 90.896 126.8107
0.956717 90.828 126.3357
0.963649 90.759 125.8563
0.970632 90.688 125.3729
0.977666 90.615 124.8858
0.984750 90.540 124.3954
0.991886 90.464 123.9021
0.999074 90.386 123.4064
1.006314 90.307 122.9088
1.013606 90.225 122.4098
1.020951 90.142 121.9100
1.028349 90.056 121.4100
1.035801 89.969 120.9105
1.043307 89.879 120.4121
1.050867 89.787 119.9158
1.058482 89.693 119.4221
1.066152 89.597 118.9320
1.073878 89.499 118.4459
1.081660 89.399 117.9646
1.089498 89.297 117.4882
1.097393 89.193 117.0168
1.105345 89.089 116.5500
1.113355 88.985 116.0870
1.121423 88.881 115.6273
1.129549 88.777 115.1702
1.137734 88.674 114.7150
1.145979 88.571 114.2612
1.154283 88.469 113.8084
1.162647 88.367 113.3562
1.171072 88.265 112.9041
1.179558 88.162 112.4519
1.188106 88.058 111.9990
1.196715 87.954 111.5451
1.205387 87.848 111.0899
1.214122 87.740 110.6327
1.222920 87.630 110.1733
1.231782 87.518 109.7111
1.240708 87.402 109.2456
1.249699 87.283 108.7764
1.258754 87.160 108.3028
1.267876 87.033 107.8245
1.277063 86.901 107.3407
1.286318 86.763 106.8509
1.295639 86.620 106.3544
1.305027 86.470 105.8507
1.314484 86.314 105.3390
1.324009 86.150 104.8187
1.333604 85.977 104.2890
1.343268 85.796 103.7492
1.353002 85.606 103.1986
1.362806 85.405 102.6365
1.372681 85.194 102.0621
1.382628 84.972 101.4747
1.392647 84.737 100.8736
1.402739 84.489 100.2584
1.412904 84.228 99.6284
1.423142 83.951 98.9836
1.433455 83.658 98.3238
1.443843 83.347 97.6496
1.454305 83.016 96.9616
1.464844 82.661 96.2612
1.475459 82.280 95.5498
1.486150 81.869 94.8286
1.496920 81.425 94.0982
1.507767 80.948 93.3586
1.518693 80.437 92.6090
1.529698 79.893 91.8482
1.540783 79.317 91.0743
1.551948 78.711 90.2853
1.563194 78.076 89.4783
1.574521 77.416 88.6501
1.585931 76.732 87.7970
1.597423 76.028 86.9145
1.608999 75.306 85.9974
1.620658 74.571 85.0392
1.632402 73.826 84.0324
1.644232 73.073 82.9678
1.656146 72.319 81.8341
1.668147 71.566 80.6174
1.680235 70.819 79.3002
1.692411 70.085 77.8607
1.704675 69.367 76.2708
1.717028 68.672 74.4943
1.729470 68.007 72.4836
1.742003 67.379 70.1757
1.754626 66.794 67.4852
1.767341 66.262 64.2957
1.780147 65.791 60.4458
1.793047 65.389 55.7097
1.806040 65.066 49.7715
1.819128 64.830 42.1992
1.832310 64.686 32.4503
1.845587 64.640 20.0098
1.858961 64.691 4.8417
1.872432 64.837 -11.9474
1.886001 65.075 -28.2256
1.899667 65.398 -42.2208
1.913433 65.798 -53.4259
1.927299 66.268 -62.1903
1.941265 66.799 -69.0825
1.955332 67.383 -74.5993
1.969501 68.011 -79.1088
1.983773 68.675 -82.8702
1.998148 69.365 -86.0643
2.012627 70.074 -88.8184
2.027212 70.793 -91.2232
2.041902 71.514 -93.3447
2.056698 72.229 -95.2316
2.071602 72.930 -96.9206
2.086614 73.610 -98.4400
2.101734 74.262 -99.8117
2.116964 74.878 -101.0539
2.132304 75.454 -102.1824
2.147756 75.985 -103.2121
2.163320 76.467 -104.1583
2.178996 76.900 -105.0384
2.194786 77.286 -105.8717
2.210690 77.630 -106.6787
2.226710 77.935 -107.4782
2.242845 78.207 -108.2840
2.259098 78.450 -109.1039
2.275468 78.666 -109.9413
2.291957 78.858 -110.7955
2.308566 79.028 -111.6640
2.325295 79.177 -112.5424
2.342145 79.306 -113.4257
2.359117 79.417 -114.3085
2.376212 79.511 -115.1847
2.393431 79.589 -116.0482
2.410775 79.654 -116.8927
2.428244 79.706 -117.7118
2.445840 79.748 -118.4989
2.463564 79.780 -119.2477
2.481416 79.804 -119.9525
2.499397 79.821 -120.6085
2.517509 79.832 -121.2127
2.535752 79.838 -121.7650
2.554127 79.837 -122.2689
2.572635 79.828 -122.7314
2.591277 79.809 -123.1619
2.610055 79.778 -123.5690
2.628968 79.734 -123.9590
2.648019 79.677 -124.3352
2.667208 79.606 -124.6983
2.686535 79.523 -125.0464
2.706003 79.427 -125.3762
2.725612 79.319 -125.6825
2.745363 79.202 -125.9591
2.765257 79.076 -126.1984
2.785295 78.942 -126.3918
2.805478 78.803 -126.5293
2.825808 78.658 -126.5999
2.846285 78.509 -126.5914
2.866910 78.357 -126.4913
2.887685 78.202 -126.2866
2.908611 78.043 -125.9649
2.929688 77.878 -125.5145
2.950917 77.705 -124.9250
2.972301 77.521 -124.1868
2.993839 77.325 -123.2904
3.015534 77.118 -122.2264
3.037386 76.900 -120.9852
3.059396 76.676 -119.5579
3.081565 76.450 -117.9365
3.103896 76.224 -116.1155
3.126388 76.006 -114.0929
3.149043 75.801 -111.8719
3.171862 75.616 -109.4615
3.194847 75.456 -106.8780
3.217998 75.330 -104.1445
3.241317 75.243 -101.2892
3.264805 75.201 -98.3433
3.288463 75.210 -95.3370
3.312293 75.272 -92.2992
3.336295 75.387 -89.2587
3.360471 75.551 -86.2484
3.384822 75.763 -83.3054
3.409350 76.014 -80.4688
3.434056 76.299 -77.7753
3.458940 76.611 -75.2564
3.484005 76.943 -72.9357
3.509252 77.287 -70.8290
3.534681 77.636 -68.9445
3.560295 77.985 -67.2839
3.586094 78.329 -65.8438
3.612081 78.664 -64.6162
3.638255 78.989 -63.5899
3.664620 79.305 -62.7507
3.691175 79.612 -62.0822
3.717923 79.913 -61.5669
3.744864 80.211 -61.1875
3.772001 80.505 -60.9269
3.799335 80.795 -60.7692
3.826866 81.081 -60.7001
3.854597 81.360 -60.7065
3.882529 81.632 -60.7772
3.910664 81.894 -60.9029
3.939002 82.146 -61.0766
3.967546 82.385 -61.2936
3.996296 82.611 -61.5520
4.025255 82.822 -61.8523
4.054423 83.019 -62.1960
4.083804 83.202 -62.5841
4.113396 83.370 -63.0149
4.143204 83.526 -63.4837
4.173227 83.669 -63.9833
4.203468 83.801 -64.5052
4.233928 83.922 -65.0400
4.264609 84.032 -65.5791
4.295512 84.133 -66.1146
4.326639 84.224 -66.6411
4.357992 84.307 -67.1558
4.389572 84.380 -67.6589
4.421380 84.443 -68.1535
4.453419 84.497 -68.6432
4.485691 84.540 -69.1300
4.518196 84.573 -69.6127
4.550936 84.596 -70.0876
4.583914 84.612 -70.5487
4.617131 84.619 -70.9883
4.650589 84.619 -71.3985
4.684289 84.614 -71.7714
4.718233 84.602 -72.1006
4.752424 84.585 -72.3817
4.786862 84.561 -72.6129
4.821549 84.532 -72.7944
4.856488 84.497 -72.9275
4.891680 84.456 -73.0129
4.927127 84.411 -73.0512
4.962831 84.364 -73.0419
4.998794 84.316 -72.9839
5.035017 84.269 -72.8755
5.071503 84.225 -72.7143
5.108253 84.184 -72.4974
5.145270 84.147 -72.2224
5.182555 84.114 -71.8879
5.220110 84.085 -71.4957
5.257937 84.060 -71.0510
5.296038 84.041 -70.5620
5.334415 84.029 -70.0393
5.373071 84.023 -69.4942
5.412006 84.027 -68.9376
5.451224 84.040 -68.3786
5.490725 84.064 -67.8234
5.530514 84.100 -67.2757
5.570590 84.146 -66.7389
5.610957 84.203 -66.2181
5.651616 84.269 -65.7208
5.692570 84.343 -65.2567
5.733821 84.423 -64.8360
5.775370 84.509 -64.4683
5.817221 84.599 -64.1613
5.859375 84.692 -63.9198
5.901834 84.789 -63.7452
5.944602 84.889 -63.6365
5.987679 84.992 -63.5919
6.031068 85.095 -63.6088
6.074771 85.198 -63.6854
6.118792 85.299 -63.8202
6.163131 85.397 -64.0124
6.207792 85.491 -64.2617
6.252776 85.579 -64.5676
6.298086 85.663 -64.9283
6.343725 85.740 -65.3399
6.389694 85.813 -65.7960
6.435996 85.879 -66.2893
6.482634 85.939 -66.8121
6.529610 85.993 -67.3581
6.576926 86.040 -67.9230
6.624585 86.079 -68.5047
6.672590 86.112 -69.1015
6.720942 86.138 -69.7108
6.769645 86.157 -70.3279
