* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jun 18, 2025 11:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EarAcoustic VSA Max L
* Measurement: L EarAcoustic VSA Max
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.899 158.8134
0.368865 93.893 158.7912
0.371538 93.885 158.7579
0.374230 93.874 158.7161
0.376942 93.862 158.6679
0.379673 93.850 158.6150
0.382424 93.836 158.5583
0.385196 93.823 158.4986
0.387987 93.809 158.4361
0.390798 93.795 158.3711
0.393630 93.781 158.3036
0.396483 93.766 158.2338
0.399356 93.752 158.1616
0.402250 93.737 158.0869
0.405165 93.723 158.0099
0.408101 93.708 157.9304
0.411058 93.693 157.8484
0.414037 93.678 157.7640
0.417037 93.663 157.6771
0.420059 93.648 157.5876
0.423103 93.633 157.4956
0.426169 93.617 157.4010
0.429257 93.602 157.3038
0.432368 93.586 157.2040
0.435501 93.570 157.1015
0.438656 93.555 156.9964
0.441835 93.539 156.8886
0.445037 93.523 156.7781
0.448262 93.506 156.6649
0.451510 93.490 156.5489
0.454782 93.474 156.4302
0.458077 93.457 156.3087
0.461397 93.440 156.1844
0.464740 93.424 156.0572
0.468108 93.407 155.9272
0.471500 93.390 155.7944
0.474917 93.373 155.6587
0.478358 93.355 155.5202
0.481825 93.338 155.3787
0.485316 93.320 155.2343
0.488833 93.303 155.0871
0.492375 93.285 154.9369
0.495943 93.267 154.7838
0.499537 93.249 154.6277
0.503157 93.231 154.4687
0.506803 93.213 154.3067
0.510475 93.194 154.1418
0.514175 93.176 153.9740
0.517900 93.157 153.8031
0.521653 93.138 153.6294
0.525434 93.119 153.4527
0.529241 93.100 153.2731
0.533076 93.081 153.0905
0.536939 93.061 152.9051
0.540830 93.042 152.7167
0.544749 93.022 152.5254
0.548696 93.002 152.3313
0.552673 92.982 152.1343
0.556677 92.962 151.9346
0.560711 92.942 151.7320
0.564774 92.922 151.5266
0.568867 92.901 151.3186
0.572989 92.880 151.1078
0.577141 92.859 150.8944
0.581324 92.838 150.6783
0.585536 92.817 150.4598
0.589779 92.796 150.2387
0.594053 92.775 150.0151
0.598358 92.753 149.7892
0.602694 92.731 149.5610
0.607061 92.709 149.3305
0.611460 92.687 149.0978
0.615891 92.665 148.8630
0.620354 92.643 148.6263
0.624849 92.620 148.3876
0.629377 92.597 148.1471
0.633938 92.574 147.9049
0.638532 92.551 147.6610
0.643159 92.528 147.4158
0.647819 92.505 147.1691
0.652514 92.481 146.9212
0.657242 92.457 146.6723
0.662005 92.433 146.4224
0.666802 92.409 146.1717
0.671634 92.385 145.9204
0.676501 92.361 145.6686
0.681403 92.336 145.4166
0.686341 92.311 145.1646
0.691314 92.286 144.9126
0.696324 92.261 144.6609
0.701370 92.235 144.4097
0.706452 92.209 144.1591
0.711571 92.183 143.9091
0.716728 92.156 143.6599
0.721921 92.128 143.4110
0.727153 92.098 143.1621
0.732422 92.066 142.9125
0.737729 92.033 142.6613
0.743075 91.997 142.4074
0.748460 91.960 142.1500
0.753883 91.921 141.8884
0.759346 91.882 141.6222
0.764849 91.842 141.3510
0.770391 91.801 141.0746
0.775974 91.759 140.7929
0.781597 91.717 140.5057
0.787261 91.675 140.2130
0.792966 91.631 139.9148
0.798712 91.588 139.6109
0.804500 91.543 139.3013
0.810329 91.498 138.9859
0.816201 91.453 138.6648
0.822116 91.407 138.3378
0.828073 91.360 138.0050
0.834074 91.312 137.6664
0.840118 91.264 137.3218
0.846206 91.215 136.9713
0.852338 91.165 136.6149
0.858514 91.114 136.2525
0.864735 91.063 135.8843
0.871001 91.010 135.5101
0.877313 90.957 135.1301
0.883670 90.903 134.7443
0.890074 90.848 134.3526
0.896524 90.791 133.9553
0.903020 90.734 133.5523
0.909564 90.675 133.1437
0.916155 90.616 132.7296
0.922794 90.555 132.3103
0.929481 90.493 131.8857
0.936216 90.430 131.4561
0.943000 90.365 131.0216
0.949834 90.299 130.5824
0.956717 90.232 130.1388
0.963649 90.163 129.6909
0.970632 90.092 129.2392
0.977666 90.020 128.7838
0.984750 89.947 128.3252
0.991886 89.872 127.8636
0.999074 89.795 127.3995
1.006314 89.716 126.9333
1.013606 89.635 126.4654
1.020951 89.553 125.9965
1.028349 89.468 125.5270
1.035801 89.382 125.0576
1.043307 89.293 124.5889
1.050867 89.202 124.1215
1.058482 89.109 123.6561
1.066152 89.014 123.1934
1.073878 88.917 122.7340
1.081660 88.817 122.2784
1.089498 88.715 121.8269
1.097393 88.612 121.3793
1.105345 88.508 120.9354
1.113355 88.402 120.4946
1.121423 88.296 120.0562
1.129549 88.189 119.6197
1.137734 88.082 119.1844
1.145979 87.974 118.7499
1.154283 87.865 118.3158
1.162647 87.755 117.8816
1.171072 87.645 117.4471
1.179558 87.533 117.0118
1.188106 87.420 116.5754
1.196715 87.306 116.1374
1.205387 87.189 115.6974
1.214122 87.071 115.2551
1.222920 86.950 114.8098
1.231782 86.826 114.3613
1.240708 86.700 113.9089
1.249699 86.571 113.4522
1.258754 86.437 112.9906
1.267876 86.301 112.5234
1.277063 86.160 112.0502
1.286318 86.014 111.5701
1.295639 85.864 111.0827
1.305027 85.709 110.5871
1.314484 85.548 110.0825
1.324009 85.381 109.5683
1.333604 85.208 109.0435
1.343268 85.028 108.5073
1.353002 84.842 107.9588
1.362806 84.647 107.3971
1.372681 84.445 106.8213
1.382628 84.234 106.2302
1.392647 84.014 105.6231
1.402739 83.784 104.9990
1.412904 83.545 104.3569
1.423142 83.294 103.6963
1.433455 83.031 103.0164
1.443843 82.755 102.3171
1.454305 82.463 101.5985
1.464844 82.154 100.8608
1.475459 81.824 100.1046
1.486150 81.471 99.3301
1.496920 81.093 98.5368
1.507767 80.689 97.7237
1.518693 80.258 96.8889
1.529698 79.802 96.0300
1.540783 79.320 95.1438
1.551948 78.816 94.2265
1.563194 78.289 93.2737
1.574521 77.743 92.2800
1.585931 77.180 91.2395
1.597423 76.601 90.1448
1.608999 76.011 88.9874
1.620658 75.410 87.7572
1.632402 74.803 86.4420
1.644232 74.192 85.0273
1.656146 73.582 83.4956
1.668147 72.974 81.8254
1.680235 72.374 79.9906
1.692411 71.784 77.9590
1.704675 71.211 75.6910
1.717028 70.657 73.1373
1.729470 70.129 70.2372
1.742003 69.632 66.9157
1.754626 69.171 63.0819
1.767341 68.753 58.6284
1.780147 68.384 53.4344
1.793047 68.071 47.3767
1.806040 67.820 40.3533
1.819128 67.637 32.3225
1.832310 67.525 23.3546
1.845587 67.489 13.6726
1.858961 67.528 3.6495
1.872432 67.642 -6.2628
1.886001 67.826 -15.6485
1.899667 68.077 -24.2229
1.913433 68.390 -31.8592
1.927299 68.758 -38.5562
1.941265 69.177 -44.3875
1.955332 69.639 -49.4577
1.969501 70.138 -53.8760
1.983773 70.668 -57.7423
1.998148 71.222 -61.1428
2.012627 71.794 -64.1494
2.027212 72.377 -66.8209
2.041902 72.965 -69.2051
2.056698 73.551 -71.3408
2.071602 74.129 -73.2593
2.086614 74.693 -74.9864
2.101734 75.237 -76.5434
2.116964 75.755 -77.9483
2.132304 76.243 -79.2169
2.147756 76.696 -80.3640
2.163320 77.111 -81.4045
2.178996 77.489 -82.3541
2.194786 77.831 -83.2305
2.210690 78.139 -84.0514
2.226710 78.419 -84.8336
2.242845 78.673 -85.5900
2.259098 78.905 -86.3289
2.275468 79.118 -87.0551
2.291957 79.314 -87.7701
2.308566 79.493 -88.4738
2.325295 79.658 -89.1648
2.342145 79.809 -89.8406
2.359117 79.947 -90.4984
2.376212 80.074 -91.1351
2.393431 80.191 -91.7471
2.410775 80.300 -92.3308
2.428244 80.400 -92.8821
2.445840 80.494 -93.3972
2.463564 80.584 -93.8721
2.481416 80.669 -94.3030
2.499397 80.751 -94.6869
2.517509 80.831 -95.0214
2.535752 80.908 -95.3059
2.554127 80.983 -95.5415
2.572635 81.053 -95.7316
2.591277 81.117 -95.8804
2.610055 81.173 -95.9925
2.628968 81.222 -96.0714
2.648019 81.262 -96.1190
2.667208 81.294 -96.1366
2.686535 81.318 -96.1241
2.706003 81.336 -96.0810
2.725612 81.348 -96.0063
2.745363 81.356 -95.8988
2.765257 81.361 -95.7569
2.785295 81.364 -95.5790
2.805478 81.367 -95.3636
2.825808 81.371 -95.1088
2.846285 81.377 -94.8128
2.866910 81.387 -94.4739
2.887685 81.401 -94.0901
2.908611 81.420 -93.6591
2.929688 81.443 -93.1787
2.950917 81.470 -92.6468
2.972301 81.501 -92.0624
2.993839 81.533 -91.4255
3.015534 81.568 -90.7382
3.037386 81.604 -90.0037
3.059396 81.643 -89.2266
3.081565 81.684 -88.4125
3.103896 81.728 -87.5679
3.126388 81.777 -86.6996
3.149043 81.830 -85.8152
3.171862 81.889 -84.9221
3.194847 81.953 -84.0277
3.217998 82.026 -83.1386
3.241317 82.106 -82.2599
3.264805 82.195 -81.3949
3.288463 82.293 -80.5442
3.312293 82.401 -79.7067
3.336295 82.520 -78.8805
3.360471 82.648 -78.0651
3.384822 82.786 -77.2623
3.409350 82.932 -76.4762
3.434056 83.085 -75.7121
3.458940 83.245 -74.9765
3.484005 83.409 -74.2758
3.509252 83.577 -73.6164
3.534681 83.747 -73.0040
3.560295 83.918 -72.4437
3.586094 84.088 -71.9394
3.612081 84.258 -71.4937
3.638255 84.427 -71.1072
3.664620 84.595 -70.7792
3.691175 84.762 -70.5067
3.717923 84.929 -70.2863
3.744864 85.096 -70.1140
3.772001 85.263 -69.9861
3.799335 85.430 -69.8993
3.826866 85.595 -69.8506
3.854597 85.760 -69.8373
3.882529 85.921 -69.8570
3.910664 86.080 -69.9080
3.939002 86.234 -69.9886
3.967546 86.384 -70.0983
3.996296 86.529 -70.2367
4.025255 86.668 -70.4043
4.054423 86.802 -70.6015
4.083804 86.930 -70.8285
4.113396 87.053 -71.0839
4.143204 87.171 -71.3653
4.173227 87.283 -71.6692
4.203468 87.391 -71.9915
4.233928 87.494 -72.3278
4.264609 87.592 -72.6741
4.295512 87.686 -73.0268
4.326639 87.774 -73.3834
4.357992 87.857 -73.7426
4.389572 87.935 -74.1047
4.421380 88.008 -74.4709
4.453419 88.075 -74.8426
4.485691 88.136 -75.2205
4.518196 88.192 -75.6033
4.550936 88.243 -75.9886
4.583914 88.289 -76.3730
4.617131 88.330 -76.7525
4.650589 88.368 -77.1227
4.684289 88.402 -77.4801
4.718233 88.433 -77.8217
4.752424 88.460 -78.1459
4.786862 88.483 -78.4525
4.821549 88.503 -78.7422
4.856488 88.520 -79.0161
4.891680 88.533 -79.2745
4.927127 88.543 -79.5175
4.962831 88.551 -79.7445
4.998794 88.558 -79.9545
5.035017 88.564 -80.1460
5.071503 88.569 -80.3176
5.108253 88.575 -80.4678
5.145270 88.581 -80.5956
5.182555 88.588 -80.7007
5.220110 88.594 -80.7839
5.257937 88.602 -80.8472
5.296038 88.610 -80.8935
5.334415 88.619 -80.9261
5.373071 88.631 -80.9484
5.412006 88.645 -80.9635
5.451224 88.662 -80.9735
5.490725 88.683 -80.9796
5.530514 88.707 -80.9823
5.570590 88.735 -80.9822
5.610957 88.766 -80.9813
5.651616 88.801 -80.9825
5.692570 88.838 -80.9901
5.733821 88.879 -81.0087
5.775370 88.922 -81.0429
5.817221 88.968 -81.0963
5.859375 89.017 -81.1713
5.901834 89.068 -81.2690
5.944602 89.122 -81.3896
5.987679 89.178 -81.5334
6.031068 89.236 -81.7013
6.074771 89.295 -81.8944
6.118792 89.355 -82.1141
6.163131 89.414 -82.3620
6.207792 89.474 -82.6394
6.252776 89.532 -82.9469
6.298086 89.590 -83.2842
6.343725 89.647 -83.6500
6.389694 89.703 -84.0423
6.435996 89.757 -84.4584
6.482634 89.809 -84.8960
6.529610 89.860 -85.3530
6.576926 89.907 -85.8283
6.624585 89.952 -86.3210
6.672590 89.994 -86.8305
6.720942 90.034 -87.3549
