* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 12:14:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EarAcoustic STA Pro L
* Measurement: L EarAcoustic STA Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.095 158.5872
0.368865 94.089 158.5648
0.371538 94.081 158.5312
0.374230 94.070 158.4890
0.376942 94.059 158.4404
0.379673 94.046 158.3870
0.382424 94.033 158.3298
0.385196 94.019 158.2695
0.387987 94.006 158.2065
0.390798 93.992 158.1409
0.393630 93.978 158.0729
0.396483 93.963 158.0024
0.399356 93.949 157.9296
0.402250 93.935 157.8542
0.405165 93.920 157.7765
0.408101 93.906 157.6963
0.411058 93.891 157.6136
0.414037 93.876 157.5285
0.417037 93.861 157.4408
0.420059 93.846 157.3505
0.423103 93.831 157.2577
0.426169 93.816 157.1622
0.429257 93.800 157.0642
0.432368 93.785 156.9635
0.435501 93.769 156.8602
0.438656 93.754 156.7541
0.441835 93.738 156.6454
0.445037 93.722 156.5339
0.448262 93.706 156.4197
0.451510 93.690 156.3027
0.454782 93.673 156.1829
0.458077 93.657 156.0603
0.461397 93.640 155.9350
0.464740 93.624 155.8067
0.468108 93.607 155.6756
0.471500 93.590 155.5416
0.474917 93.573 155.4048
0.478358 93.556 155.2650
0.481825 93.539 155.1223
0.485316 93.521 154.9767
0.488833 93.504 154.8282
0.492375 93.486 154.6767
0.495943 93.469 154.5223
0.499537 93.451 154.3649
0.503157 93.433 154.2045
0.506803 93.414 154.0412
0.510475 93.396 153.8749
0.514175 93.378 153.7056
0.517900 93.359 153.5333
0.521653 93.341 153.3581
0.525434 93.322 153.1800
0.529241 93.303 152.9988
0.533076 93.284 152.8148
0.536939 93.265 152.6277
0.540830 93.245 152.4378
0.544749 93.226 152.2450
0.548696 93.206 152.0493
0.552673 93.186 151.8507
0.556677 93.166 151.6493
0.560711 93.146 151.4451
0.564774 93.126 151.2381
0.568867 93.106 151.0283
0.572989 93.085 150.8159
0.577141 93.064 150.6008
0.581324 93.044 150.3831
0.585536 93.023 150.1628
0.589779 93.002 149.9400
0.594053 92.980 149.7147
0.598358 92.959 149.4870
0.602694 92.937 149.2570
0.607061 92.916 149.0248
0.611460 92.894 148.7904
0.615891 92.872 148.5539
0.620354 92.849 148.3154
0.624849 92.827 148.0749
0.629377 92.805 147.8327
0.633938 92.782 147.5887
0.638532 92.759 147.3432
0.643159 92.736 147.0962
0.647819 92.713 146.8478
0.652514 92.689 146.5983
0.657242 92.666 146.3476
0.662005 92.642 146.0961
0.666802 92.618 145.8437
0.671634 92.594 145.5908
0.676501 92.570 145.3375
0.681403 92.546 145.0839
0.686341 92.521 144.8303
0.691314 92.496 144.5768
0.696324 92.471 144.3236
0.701370 92.446 144.0710
0.706452 92.420 143.8189
0.711571 92.394 143.5676
0.716728 92.367 143.3170
0.721921 92.339 143.0669
0.727153 92.310 142.8168
0.732422 92.278 142.5660
0.737729 92.245 142.3136
0.743075 92.210 142.0585
0.748460 92.173 141.8000
0.753883 92.135 141.5373
0.759346 92.096 141.2700
0.764849 92.056 140.9978
0.770391 92.016 140.7204
0.775974 91.974 140.4377
0.781597 91.933 140.1496
0.787261 91.891 139.8560
0.792966 91.848 139.5569
0.798712 91.805 139.2521
0.804500 91.761 138.9417
0.810329 91.716 138.6256
0.816201 91.671 138.3038
0.822116 91.625 137.9762
0.828073 91.579 137.6427
0.834074 91.532 137.3035
0.840118 91.484 136.9584
0.846206 91.435 136.6075
0.852338 91.386 136.2507
0.858514 91.336 135.8880
0.864735 91.285 135.5195
0.871001 91.233 135.1452
0.877313 91.180 134.7652
0.883670 91.126 134.3793
0.890074 91.071 133.9878
0.896524 91.016 133.5907
0.903020 90.959 133.1880
0.909564 90.901 132.7798
0.916155 90.842 132.3663
0.922794 90.782 131.9476
0.929481 90.721 131.5238
0.936216 90.658 131.0952
0.943000 90.594 130.6618
0.949834 90.529 130.2238
0.956717 90.463 129.7816
0.963649 90.395 129.3354
0.970632 90.325 128.8854
0.977666 90.254 128.4320
0.984750 90.182 127.9755
0.991886 90.108 127.5163
0.999074 90.032 127.0548
1.006314 89.954 126.5914
1.013606 89.875 126.1266
1.020951 89.794 125.6610
1.028349 89.711 125.1951
1.035801 89.626 124.7295
1.043307 89.538 124.2649
1.050867 89.449 123.8020
1.058482 89.358 123.3414
1.066152 89.265 122.8838
1.073878 89.169 122.4298
1.081660 89.072 121.9800
1.089498 88.973 121.5346
1.097393 88.873 121.0936
1.105345 88.771 120.6567
1.113355 88.670 120.2234
1.121423 88.568 119.7930
1.129549 88.466 119.3650
1.137734 88.364 118.9388
1.145979 88.262 118.5141
1.154283 88.161 118.0904
1.162647 88.059 117.6673
1.171072 87.957 117.2446
1.179558 87.854 116.8219
1.188106 87.750 116.3988
1.196715 87.645 115.9750
1.205387 87.538 115.5500
1.214122 87.430 115.1237
1.222920 87.319 114.6954
1.231782 87.206 114.2649
1.240708 87.090 113.8317
1.249699 86.971 113.3952
1.258754 86.848 112.9551
1.267876 86.721 112.5108
1.277063 86.590 112.0619
1.286318 86.454 111.6077
1.295639 86.313 111.1476
1.305027 86.166 110.6811
1.314484 86.013 110.2075
1.324009 85.854 109.7262
1.333604 85.687 109.2365
1.343268 85.512 108.7376
1.353002 85.330 108.2289
1.362806 85.138 107.7095
1.372681 84.937 107.1787
1.382628 84.727 106.6358
1.392647 84.505 106.0799
1.402739 84.273 105.5105
1.412904 84.028 104.9269
1.423142 83.770 104.3286
1.433455 83.498 103.7154
1.443843 83.211 103.0874
1.454305 82.905 102.4452
1.464844 82.580 101.7896
1.475459 82.231 101.1218
1.486150 81.856 100.4428
1.496920 81.453 99.7531
1.507767 81.021 99.0527
1.518693 80.559 98.3406
1.529698 80.069 97.6158
1.540783 79.550 96.8765
1.551948 79.006 96.1205
1.563194 78.437 95.3452
1.574521 77.846 94.5476
1.585931 77.236 93.7241
1.597423 76.607 92.8705
1.608999 75.965 91.9819
1.620658 75.310 91.0525
1.632402 74.647 90.0755
1.644232 73.979 89.0425
1.656146 73.309 87.9438
1.668147 72.641 86.7672
1.680235 71.979 85.4982
1.692411 71.328 84.1187
1.704675 70.692 82.6063
1.717028 70.077 80.9329
1.729470 69.487 79.0629
1.742003 68.928 76.9511
1.754626 68.408 74.5393
1.767341 67.932 71.7522
1.780147 67.508 68.4919
1.793047 67.142 64.6309
1.806040 66.842 60.0032
1.819128 66.614 54.3954
1.832310 66.462 47.5413
1.845587 66.390 39.1372
1.858961 66.397 28.9157
1.872432 66.483 16.8345
1.886001 66.644 3.3520
1.899667 66.875 -10.4840
1.913433 67.171 -23.4409
1.927299 67.526 -34.7007
1.941265 67.934 -44.0526
1.955332 68.387 -51.6785
1.969501 68.880 -57.8920
1.983773 69.405 -62.9974
1.998148 69.956 -67.2434
2.012627 70.527 -70.8204
2.027212 71.109 -73.8702
2.041902 71.697 -76.4983
2.056698 72.284 -78.7832
2.071602 72.863 -80.7842
2.086614 73.429 -82.5462
2.101734 73.974 -84.1043
2.116964 74.493 -85.4864
2.132304 74.981 -86.7155
2.147756 75.434 -87.8121
2.163320 75.850 -88.7956
2.178996 76.228 -89.6859
2.194786 76.570 -90.5042
2.210690 76.879 -91.2718
2.226710 77.159 -92.0082
2.242845 77.415 -92.7277
2.259098 77.650 -93.4393
2.275468 77.866 -94.1475
2.291957 78.066 -94.8533
2.308566 78.250 -95.5552
2.325295 78.420 -96.2508
2.342145 78.576 -96.9365
2.359117 78.720 -97.6081
2.376212 78.853 -98.2613
2.393431 78.974 -98.8913
2.410775 79.086 -99.4932
2.428244 79.189 -100.0618
2.445840 79.284 -100.5919
2.463564 79.372 -101.0784
2.481416 79.452 -101.5165
2.499397 79.525 -101.9021
2.517509 79.591 -102.2323
2.535752 79.647 -102.5062
2.554127 79.692 -102.7253
2.572635 79.724 -102.8938
2.591277 79.744 -103.0173
2.610055 79.754 -103.1012
2.628968 79.754 -103.1495
2.648019 79.749 -103.1642
2.667208 79.738 -103.1457
2.686535 79.725 -103.0930
2.706003 79.709 -103.0045
2.725612 79.692 -102.8774
2.745363 79.674 -102.7088
2.765257 79.655 -102.4954
2.785295 79.637 -102.2335
2.805478 79.620 -101.9193
2.825808 79.604 -101.5491
2.846285 79.590 -101.1190
2.866910 79.579 -100.6250
2.887685 79.570 -100.0634
2.908611 79.564 -99.4303
2.929688 79.561 -98.7222
2.950917 79.561 -97.9358
2.972301 79.563 -97.0692
2.993839 79.568 -96.1222
3.015534 79.574 -95.0967
3.037386 79.583 -93.9968
3.059396 79.595 -92.8286
3.081565 79.611 -91.5996
3.103896 79.631 -90.3193
3.126388 79.658 -88.9981
3.149043 79.692 -87.6479
3.171862 79.735 -86.2810
3.194847 79.788 -84.9098
3.217998 79.853 -83.5458
3.241317 79.930 -82.1988
3.264805 80.022 -80.8758
3.288463 80.129 -79.5803
3.312293 80.252 -78.3125
3.336295 80.392 -77.0717
3.360471 80.548 -75.8589
3.384822 80.718 -74.6776
3.409350 80.903 -73.5340
3.434056 81.099 -72.4356
3.458940 81.304 -71.3906
3.484005 81.516 -70.4070
3.509252 81.733 -69.4921
3.534681 81.953 -68.6520
3.560295 82.172 -67.8916
3.586094 82.391 -67.2142
3.612081 82.606 -66.6213
3.638255 82.818 -66.1124
3.664620 83.027 -65.6851
3.691175 83.233 -65.3347
3.717923 83.437 -65.0557
3.744864 83.639 -64.8420
3.772001 83.841 -64.6878
3.799335 84.041 -64.5873
3.826866 84.238 -64.5354
3.854597 84.433 -64.5274
3.882529 84.624 -64.5591
3.910664 84.810 -64.6271
3.939002 84.991 -64.7287
3.967546 85.165 -64.8621
3.996296 85.332 -65.0267
4.025255 85.492 -65.2228
4.054423 85.645 -65.4512
4.083804 85.790 -65.7120
4.113396 85.928 -66.0039
4.143204 86.059 -66.3239
4.173227 86.183 -66.6676
4.203468 86.301 -67.0301
4.233928 86.412 -67.4058
4.264609 86.518 -67.7896
4.295512 86.618 -68.1770
4.326639 86.711 -68.5648
4.357992 86.799 -68.9512
4.389572 86.881 -69.3365
4.421380 86.956 -69.7221
4.453419 87.024 -70.1100
4.485691 87.087 -70.5009
4.518196 87.142 -70.8939
4.550936 87.192 -71.2862
4.583914 87.236 -71.6741
4.617131 87.275 -72.0528
4.650589 87.310 -72.4175
4.684289 87.341 -72.7640
4.718233 87.369 -73.0885
4.752424 87.392 -73.3892
4.786862 87.412 -73.6656
4.821549 87.428 -73.9184
4.856488 87.441 -74.1486
4.891680 87.449 -74.3572
4.927127 87.455 -74.5444
4.962831 87.459 -74.7101
4.998794 87.462 -74.8536
5.035017 87.465 -74.9739
5.071503 87.468 -75.0695
5.108253 87.472 -75.1390
5.145270 87.477 -75.1812
5.182555 87.483 -75.1958
5.220110 87.491 -75.1839
5.257937 87.500 -75.1480
5.296038 87.511 -75.0923
5.334415 87.524 -75.0212
5.373071 87.540 -74.9397
5.412006 87.560 -74.8522
5.451224 87.584 -74.7619
5.490725 87.613 -74.6710
5.530514 87.646 -74.5802
5.570590 87.684 -74.4905
5.610957 87.727 -74.4041
5.651616 87.774 -74.3247
5.692570 87.824 -74.2572
5.733821 87.878 -74.2072
5.775370 87.936 -74.1799
5.817221 87.996 -74.1796
5.859375 88.059 -74.2091
5.901834 88.124 -74.2696
5.944602 88.192 -74.3610
5.987679 88.262 -74.4833
6.031068 88.334 -74.6366
6.074771 88.407 -74.8214
6.118792 88.479 -75.0388
6.163131 88.551 -75.2897
6.207792 88.622 -75.5751
6.252776 88.692 -75.8954
6.298086 88.760 -76.2500
6.343725 88.826 -76.6371
6.389694 88.889 -77.0538
6.435996 88.951 -77.4966
6.482634 89.010 -77.9620
6.529610 89.066 -78.4471
6.576926 89.119 -78.9502
6.624585 89.168 -79.4701
6.672590 89.214 -80.0059
6.720942 89.256 -80.5558
6.769645 89.295 -81.1166
