* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Mar 27, 2025 12:50:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EarAcoustics STA Pro Max L
* Measurement: L EarAcoustics STA Pro Max
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 91.677 124.3084
1.030000 91.334 122.2697
1.060000 90.966 120.2942
1.090000 90.575 118.4194
1.120000 90.169 116.6531
1.150000 89.763 114.9620
1.180000 89.356 113.3155
1.220000 88.799 111.1526
1.250000 88.359 109.5289
1.280000 87.891 107.8815
1.320000 87.207 105.6119
1.360000 86.436 103.2122
1.400000 85.559 100.6330
1.450000 84.271 97.1044
1.500000 82.642 93.2583
1.550000 80.538 89.0790
1.600000 78.073 84.2881
1.650000 75.468 78.2970
1.700000 72.971 69.9036
1.750000 70.858 56.4528
1.800000 69.441 32.6022
1.850000 69.017 -3.9224
1.900000 69.646 -37.5987
1.950000 71.077 -58.8205
2.000000 72.973 -71.7804
2.060000 75.420 -81.6237
2.120000 77.628 -87.9962
2.180000 79.283 -92.2785
2.240000 80.360 -95.5125
2.300000 81.062 -98.4894
2.360000 81.516 -101.3336
2.430000 81.830 -104.2865
2.500000 82.007 -106.5674
2.580000 82.113 -108.1389
2.650000 82.077 -108.8198
2.720000 81.905 -109.0409
2.800000 81.621 -108.6333
2.900000 81.291 -106.7617
3.000000 81.057 -102.9310
3.070000 80.920 -99.0339
3.150000 80.825 -93.6770
3.250000 80.916 -86.5360
3.350000 81.362 -79.8386
3.450000 82.145 -73.9768
3.550000 83.079 -69.4860
3.650000 83.985 -66.6629
3.750000 84.820 -65.3091
3.870000 85.757 -64.9792
4.000000 86.635 -65.5589
4.120000 87.270 -66.7178
4.250000 87.791 -68.4502
4.370000 88.147 -70.1111
4.500000 88.406 -71.8344
4.620000 88.540 -73.3509
4.750000 88.609 -74.6700
4.870000 88.615 -75.4744
5.000000 88.579 -75.9902
5.150000 88.537 -76.0892
5.300000 88.526 -75.6162
5.450000 88.568 -74.8409
5.600000 88.692 -74.0416
5.800000 88.967 -73.2415
6.000000 89.314 -73.2107
6.150000 89.589 -73.7258
6.300000 89.843 -74.6835
6.500000 90.128 -76.5137
6.700000 90.334 -78.6781
6.900000 90.464 -80.9622
7.100000 90.539 -83.1183
7.300000 90.585 -85.0404
7.500000 90.637 -86.6592
7.750000 90.745 -88.3513
8.000000 90.931 -89.8672
8.250000 91.188 -91.4563
8.500000 91.488 -93.2458
8.750000 91.796 -95.2380
9.000000 92.088 -97.3200
9.250000 92.354 -99.3450
9.500000 92.598 -101.1933
9.750000 92.826 -102.8017
10.000000 93.034 -104.1778
10.300000 93.260 -105.5937
10.600000 93.474 -106.8541
10.900000 93.678 -108.0285
11.200000 93.866 -109.1320
11.500000 94.031 -110.1526
11.800000 94.179 -111.0839
12.200000 94.357 -112.2153
12.500000 94.475 -113.0194
12.800000 94.577 -113.8107
13.200000 94.687 -114.8555
13.600000 94.778 -115.8906
14.000000 94.858 -116.9441
14.500000 94.946 -118.3665
15.000000 95.020 -119.9467
15.500000 95.081 -121.6185
16.000000 95.142 -123.3010
16.500000 95.218 -124.9880
17.000000 95.311 -126.6951
17.500000 95.413 -128.3788
18.000000 95.517 -129.9616
18.500000 95.626 -131.4057
19.000000 95.738 -132.7221
19.500000 95.849 -133.9289
20.000000 95.951 -135.0355
20.600000 96.056 -136.2516
21.200001 96.142 -137.3836
21.799999 96.211 -138.4704
22.400000 96.266 -139.5533
23.000000 96.307 -140.6658
23.600000 96.337 -141.8119
24.299999 96.365 -143.1775
25.000000 96.397 -144.5712
25.799999 96.438 -146.1641
26.500000 96.478 -147.4993
27.200001 96.523 -148.7470
28.000000 96.574 -150.0546
29.000000 96.629 -151.5304
30.000000 96.667 -152.8825
30.700001 96.683 -153.7866
31.500000 96.695 -154.8153
32.500000 96.701 -156.1266
33.500000 96.705 -157.4652
34.500000 96.709 -158.7975
35.500000 96.716 -160.0760
36.500000 96.722 -161.2737
37.500000 96.724 -162.3891
38.700001 96.718 -163.6312
40.000000 96.703 -164.9120
41.200001 96.683 -166.0731
42.500000 96.659 -167.3015
43.700001 96.636 -168.4011
45.000000 96.609 -169.5330
46.200001 96.582 -170.5217
47.500000 96.551 -171.5482
48.700001 96.521 -172.4574
50.000000 96.490 -173.4090
51.500000 96.453 -174.4657
53.000000 96.414 -175.4615
54.500000 96.377 -176.4031
56.000000 96.342 -177.3254
58.000000 96.297 -178.5678
60.000000 96.242 -179.7820
61.500000 96.194 179.3606
63.000000 96.141 178.5493
65.000000 96.069 177.5273
67.000000 95.998 176.5576
69.000000 95.929 175.6416
71.000000 95.859 174.7665
73.000000 95.789 173.9229
75.000000 95.720 173.1136
77.500000 95.640 172.1439
80.000000 95.562 171.1631
82.500000 95.477 170.1218
85.000000 95.368 169.1109
87.500000 95.244 168.2660
90.000000 95.124 167.5918
92.500000 95.017 167.0291
95.000000 94.918 166.5398
97.500000 94.824 166.0950
100.000000 94.740 165.6660
103.000000 94.652 165.1873
106.000000 94.575 164.7196
109.000000 94.506 164.1788
112.000000 94.432 163.4948
115.000000 94.329 162.7607
118.000000 94.192 162.1815
122.000000 94.043 161.6850
125.000000 93.960 161.2612
128.000000 93.870 160.8693
132.000000 93.743 160.3810
136.000000 93.613 159.9258
140.000000 93.480 159.5416
145.000000 93.318 159.1518
150.000000 93.160 158.8166
155.000000 93.001 158.6494
160.000000 92.870 158.5233
165.000000 92.744 158.2135
170.000000 92.600 157.9261
175.000000 92.456 157.7701
180.000000 92.327 157.6074
185.000000 92.201 157.4102
190.000000 92.074 157.2028
195.000000 91.944 157.0441
200.000000 91.812 156.9628
206.000000 91.668 156.9601
212.000000 91.530 156.9282
218.000000 91.370 156.9478
224.000000 91.216 157.0793
230.000000 91.076 157.2119
236.000000 90.939 157.3322
243.000000 90.780 157.4679
250.000000 90.610 157.6911
258.000000 90.435 158.1686
265.000000 90.309 158.4915
272.000000 90.173 158.7902
280.000000 90.030 159.2646
290.000000 89.889 159.8170
300.000000 89.733 160.1017
307.000000 89.608 160.4008
315.000000 89.467 160.7974
325.000000 89.289 161.3932
335.000000 89.129 162.0985
345.000000 88.979 162.7564
355.000000 88.827 163.4409
365.000000 88.681 164.1684
375.000000 88.542 164.9166
387.000000 88.384 165.8432
400.000000 88.224 166.8734
412.000000 88.086 167.8268
425.000000 87.937 168.9138
437.000000 87.820 169.9959
450.000000 87.719 171.0840
462.000000 87.627 171.8912
475.000000 87.500 172.7899
487.000000 87.384 173.7252
500.000000 87.259 174.8191
515.000000 87.136 176.1470
530.000000 87.015 177.4574
545.000000 86.907 178.8381
560.000000 86.816 -179.7790
580.000000 86.703 -177.9933
600.000000 86.594 -176.1327
615.000000 86.525 -174.7069
630.000000 86.459 -173.2434
650.000000 86.401 -171.1724
670.000000 86.389 -169.2066
690.000000 86.372 -167.5254
710.000000 86.338 -165.7709
730.000000 86.317 -163.9502
750.000000 86.305 -162.1000
775.000000 86.311 -159.7500
800.000000 86.339 -157.3765
825.000000 86.413 -155.0090
850.000000 86.510 -153.0071
875.000000 86.584 -151.0678
900.000000 86.666 -149.0229
925.000000 86.780 -146.9630
950.000000 86.926 -145.0496
975.000000 87.081 -143.3412
1000.000000 87.234 -141.7229
1030.000000 87.437 -139.7368
1060.000000 87.683 -138.0158
1090.000000 87.914 -136.6239
1120.000000 88.136 -135.2960
1150.000000 88.362 -134.0474
1180.000000 88.594 -132.8877
1220.000000 88.931 -131.6091
1250.000000 89.163 -130.9688
1280.000000 89.366 -130.3296
1320.000000 89.633 -129.4028
1360.000000 89.908 -128.5532
1400.000000 90.203 -127.5962
1450.000000 90.640 -126.4456
1500.000000 91.063 -125.7248
1550.000000 91.418 -125.0936
1600.000000 91.758 -124.5792
1650.000000 92.093 -124.6302
1700.000000 92.396 -124.9869
1750.000000 92.663 -125.5762
1800.000000 92.896 -126.2069
1850.000000 93.129 -127.0941
1900.000000 93.327 -128.2885
1950.000000 93.517 -129.4763
2000.000000 93.727 -130.7109
2060.000000 93.925 -132.3827
2120.000000 94.053 -133.8066
2180.000000 94.173 -134.8207
2240.000000 94.329 -136.0753
2300.000000 94.408 -137.8625
2360.000000 94.382 -139.4345
2430.000000 94.294 -140.6571
2500.000000 94.201 -141.1498
2580.000000 94.176 -141.1217
2650.000000 94.234 -141.2594
2720.000000 94.291 -141.6369
2800.000000 94.372 -142.1042
2900.000000 94.470 -143.1555
3000.000000 94.493 -144.2789
3070.000000 94.493 -144.9068
3150.000000 94.500 -145.3983
3250.000000 94.534 -146.0064
3350.000000 94.555 -146.4178
3450.000000 94.670 -146.4456
3550.000000 94.910 -146.8053
3650.000000 95.229 -148.0515
3750.000000 95.527 -150.4281
3870.000000 95.755 -154.4910
4000.000000 95.773 -159.7472
4120.000000 95.565 -165.0567
4250.000000 95.050 -170.4942
4370.000000 94.344 -174.3776
4500.000000 93.448 -177.1026
4620.000000 92.552 -178.3251
4750.000000 91.555 -178.1364
4870.000000 90.693 -176.6760
5000.000000 89.853 -174.1835
5150.000000 88.982 -170.2252
5300.000000 88.278 -164.9825
5450.000000 87.802 -159.2989
5600.000000 87.456 -153.6473
5800.000000 87.219 -145.8741
6000.000000 87.210 -138.3203
6150.000000 87.362 -132.6544
6300.000000 87.663 -127.2154
6500.000000 88.296 -120.4166
6700.000000 89.214 -114.6692
6900.000000 90.378 -110.4359
7100.000000 91.753 -108.2689
7300.000000 93.298 -108.8162
7500.000000 94.927 -113.0426
7750.000000 96.729 -124.5673
8000.000000 97.756 -142.6016
8250.000000 97.503 -163.6279
8500.000000 95.865 178.5818
8750.000000 93.379 168.9660
9000.000000 90.839 167.6377
9250.000000 88.791 171.9857
9500.000000 87.409 179.2826
9750.000000 86.685 -172.2604
10000.000000 86.606 -163.4614
10300.000000 87.459 -153.5448
10600.000000 89.625 -147.3747
10900.000000 92.855 -151.9026
11200.000000 95.380 -172.9268
11500.000000 95.075 157.0967
11800.000000 92.063 136.5246
12200.000000 87.140 131.9590
12500.000000 84.471 138.4891
12800.000000 82.943 147.5562
13200.000000 82.317 159.6108
13600.000000 83.205 168.8447
14000.000000 85.470 169.0573
14500.000000 88.081 148.4876
15000.000000 87.172 117.5718
15500.000000 84.188 100.3710
16000.000000 83.351 87.6029
16500.000000 83.020 58.9094
17000.000000 79.103 28.5728
17500.000000 72.656 16.9614
18000.000000 66.182 23.0753
18500.000000 61.172 38.1874
19000.000000 57.816 55.0841
19500.000000 55.580 70.1983
20000.000000 54.398 79.1057
