* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 24, 2024 12:56:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Effect Audio Pilgrim Noir R
* Measurement: R Pilgrim Noir
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.475 160.0139
0.368865 83.470 159.9922
0.371538 83.462 159.9596
0.374230 83.452 159.9188
0.376942 83.441 159.8717
0.379673 83.429 159.8201
0.382424 83.417 159.7648
0.385196 83.404 159.7066
0.387987 83.391 159.6458
0.390798 83.378 159.5826
0.393630 83.365 159.5170
0.396483 83.351 159.4492
0.399356 83.338 159.3791
0.402250 83.324 159.3067
0.405165 83.311 159.2320
0.408101 83.297 159.1550
0.411058 83.283 159.0757
0.414037 83.269 158.9940
0.417037 83.255 158.9099
0.420059 83.241 158.8234
0.423103 83.226 158.7345
0.426169 83.212 158.6431
0.429257 83.198 158.5493
0.432368 83.183 158.4530
0.435501 83.168 158.3542
0.438656 83.153 158.2528
0.441835 83.139 158.1489
0.445037 83.124 158.0424
0.448262 83.108 157.9333
0.451510 83.093 157.8216
0.454782 83.078 157.7073
0.458077 83.062 157.5903
0.461397 83.047 157.4707
0.464740 83.031 157.3484
0.468108 83.015 157.2233
0.471500 82.999 157.0956
0.474917 82.983 156.9651
0.478358 82.967 156.8319
0.481825 82.951 156.6960
0.485316 82.935 156.5572
0.488833 82.918 156.4157
0.492375 82.902 156.2714
0.495943 82.885 156.1243
0.499537 82.868 155.9744
0.503157 82.851 155.8217
0.506803 82.834 155.6662
0.510475 82.817 155.5078
0.514175 82.799 155.3467
0.517900 82.782 155.1827
0.521653 82.764 155.0159
0.525434 82.747 154.8462
0.529241 82.729 154.6738
0.533076 82.711 154.4985
0.536939 82.693 154.3204
0.540830 82.674 154.1396
0.544749 82.656 153.9560
0.548696 82.638 153.7696
0.552673 82.619 153.5804
0.556677 82.600 153.3886
0.560711 82.581 153.1940
0.564774 82.562 152.9967
0.568867 82.543 152.7968
0.572989 82.524 152.5943
0.577141 82.504 152.3892
0.581324 82.485 152.1815
0.585536 82.465 151.9713
0.589779 82.445 151.7587
0.594053 82.425 151.5436
0.598358 82.405 151.3262
0.602694 82.384 151.1064
0.607061 82.364 150.8844
0.611460 82.343 150.6602
0.615891 82.322 150.4339
0.620354 82.302 150.2056
0.624849 82.280 149.9753
0.629377 82.259 149.7431
0.633938 82.238 149.5091
0.638532 82.216 149.2734
0.643159 82.195 149.0361
0.647819 82.173 148.7973
0.652514 82.151 148.5572
0.657242 82.129 148.3158
0.662005 82.106 148.0732
0.666802 82.084 147.8297
0.671634 82.061 147.5852
0.676501 82.038 147.3401
0.681403 82.015 147.0944
0.686341 81.992 146.8483
0.691314 81.969 146.6020
0.696324 81.945 146.3555
0.701370 81.921 146.1092
0.706452 81.897 145.8629
0.711571 81.872 145.6170
0.716728 81.847 145.3711
0.721921 81.821 145.1253
0.727153 81.793 144.8790
0.732422 81.764 144.6315
0.737729 81.733 144.3820
0.743075 81.700 144.1297
0.748460 81.665 143.8736
0.753883 81.629 143.6131
0.759346 81.592 143.3479
0.764849 81.555 143.0777
0.770391 81.517 142.8021
0.775974 81.478 142.5212
0.781597 81.439 142.2347
0.787261 81.399 141.9426
0.792966 81.358 141.6448
0.798712 81.317 141.3414
0.804500 81.276 141.0321
0.810329 81.234 140.7170
0.816201 81.191 140.3960
0.822116 81.147 140.0691
0.828073 81.103 139.7363
0.834074 81.059 139.3975
0.840118 81.013 139.0527
0.846206 80.967 138.7018
0.852338 80.920 138.3449
0.858514 80.873 137.9820
0.864735 80.824 137.6130
0.871001 80.775 137.2379
0.877313 80.725 136.8569
0.883670 80.674 136.4697
0.890074 80.622 136.0766
0.896524 80.570 135.6776
0.903020 80.516 135.2727
0.909564 80.462 134.8619
0.916155 80.406 134.4454
0.922794 80.350 134.0232
0.929481 80.292 133.5955
0.936216 80.234 133.1623
0.943000 80.174 132.7239
0.949834 80.113 132.2803
0.956717 80.051 131.8317
0.963649 79.988 131.3783
0.970632 79.924 130.9204
0.977666 79.858 130.4582
0.984750 79.791 129.9919
0.991886 79.723 129.5218
0.999074 79.653 129.0482
1.006314 79.582 128.5716
1.013606 79.510 128.0922
1.020951 79.436 127.6105
1.028349 79.360 127.1269
1.035801 79.283 126.6418
1.043307 79.204 126.1558
1.050867 79.124 125.6694
1.058482 79.042 125.1830
1.066152 78.958 124.6973
1.073878 78.872 124.2125
1.081660 78.784 123.7290
1.089498 78.695 123.2469
1.097393 78.603 122.7659
1.105345 78.510 122.2854
1.113355 78.414 121.8048
1.121423 78.316 121.3233
1.129549 78.216 120.8402
1.137734 78.114 120.3547
1.145979 78.010 119.8663
1.154283 77.904 119.3744
1.162647 77.795 118.8786
1.171072 77.685 118.3784
1.179558 77.572 117.8732
1.188106 77.456 117.3625
1.196715 77.339 116.8459
1.205387 77.220 116.3226
1.214122 77.098 115.7923
1.222920 76.974 115.2541
1.231782 76.848 114.7076
1.240708 76.720 114.1520
1.249699 76.590 113.5865
1.258754 76.457 113.0106
1.267876 76.323 112.4233
1.277063 76.186 111.8238
1.286318 76.047 111.2114
1.295639 75.906 110.5851
1.305027 75.763 109.9440
1.314484 75.618 109.2871
1.324009 75.471 108.6133
1.333604 75.322 107.9218
1.343268 75.171 107.2113
1.353002 75.018 106.4808
1.362806 74.863 105.7291
1.372681 74.706 104.9552
1.382628 74.548 104.1579
1.392647 74.387 103.3360
1.402739 74.224 102.4885
1.412904 74.060 101.6143
1.423142 73.893 100.7124
1.433455 73.724 99.7819
1.443843 73.552 98.8219
1.454305 73.377 97.8315
1.464844 73.197 96.8099
1.475459 73.012 95.7559
1.486150 72.820 94.6679
1.496920 72.620 93.5438
1.507767 72.413 92.3811
1.518693 72.197 91.1770
1.529698 71.973 89.9282
1.540783 71.742 88.6309
1.551948 71.504 87.2813
1.563194 71.260 85.8751
1.574521 71.011 84.4078
1.585931 70.757 82.8745
1.597423 70.499 81.2700
1.608999 70.239 79.5888
1.620658 69.978 77.8254
1.632402 69.717 75.9737
1.644232 69.456 74.0279
1.656146 69.198 71.9820
1.668147 68.943 69.8301
1.680235 68.693 67.5668
1.692411 68.449 65.1873
1.704675 68.213 62.6877
1.717028 67.986 60.0654
1.729470 67.770 57.3195
1.742003 67.567 54.4513
1.754626 67.379 51.4645
1.767341 67.207 48.3656
1.780147 67.054 45.1643
1.793047 66.921 41.8728
1.806040 66.810 38.5057
1.819128 66.722 35.0788
1.832310 66.659 31.6078
1.845587 66.622 28.1076
1.858961 66.610 24.5919
1.872432 66.622 21.0740
1.886001 66.659 17.5670
1.899667 66.720 14.0843
1.913433 66.802 10.6394
1.927299 66.906 7.2460
1.941265 67.028 3.9171
1.955332 67.168 0.6652
1.969501 67.325 -2.4987
1.983773 67.495 -5.5646
1.998148 67.678 -8.5241
2.012627 67.872 -11.3704
2.027212 68.074 -14.0981
2.041902 68.283 -16.7034
2.056698 68.497 -19.1838
2.071602 68.714 -21.5380
2.086614 68.931 -23.7658
2.101734 69.147 -25.8678
2.116964 69.359 -27.8460
2.132304 69.566 -29.7028
2.147756 69.766 -31.4422
2.163320 69.960 -33.0692
2.178996 70.145 -34.5908
2.194786 70.324 -36.0155
2.210690 70.498 -37.3533
2.226710 70.668 -38.6146
2.242845 70.837 -39.8086
2.259098 71.005 -40.9429
2.275468 71.173 -42.0236
2.291957 71.342 -43.0550
2.308566 71.511 -44.0405
2.325295 71.681 -44.9827
2.342145 71.850 -45.8832
2.359117 72.020 -46.7434
2.376212 72.190 -47.5643
2.393431 72.359 -48.3464
2.410775 72.527 -49.0899
2.428244 72.694 -49.7950
2.445840 72.859 -50.4616
2.463564 73.022 -51.0893
2.481416 73.182 -51.6779
2.499397 73.340 -52.2270
2.517509 73.495 -52.7365
2.535752 73.646 -53.2064
2.554127 73.793 -53.6374
2.572635 73.936 -54.0306
2.591277 74.075 -54.3877
2.610055 74.210 -54.7108
2.628968 74.341 -55.0024
2.648019 74.468 -55.2647
2.667208 74.593 -55.5002
2.686535 74.714 -55.7110
2.706003 74.833 -55.8992
2.725612 74.949 -56.0669
2.745363 75.064 -56.2159
2.765257 75.178 -56.3481
2.785295 75.292 -56.4651
2.805478 75.405 -56.5685
2.825808 75.518 -56.6597
2.846285 75.633 -56.7399
2.866910 75.748 -56.8098
2.887685 75.865 -56.8698
2.908611 75.984 -56.9195
2.929688 76.104 -56.9581
2.950917 76.226 -56.9843
2.972301 76.349 -56.9972
2.993839 76.472 -56.9966
3.015534 76.596 -56.9831
3.037386 76.721 -56.9582
3.059396 76.846 -56.9240
3.081565 76.972 -56.8826
3.103896 77.098 -56.8367
3.126388 77.225 -56.7887
3.149043 77.352 -56.7412
3.171862 77.480 -56.6966
3.194847 77.609 -56.6569
3.217998 77.739 -56.6238
3.241317 77.869 -56.5986
3.264805 78.001 -56.5814
3.288463 78.133 -56.5718
3.312293 78.267 -56.5685
3.336295 78.402 -56.5699
3.360471 78.538 -56.5751
3.384822 78.675 -56.5840
3.409350 78.814 -56.5971
3.434056 78.952 -56.6158
3.458940 79.092 -56.6416
3.484005 79.231 -56.6765
3.509252 79.370 -56.7224
3.534681 79.509 -56.7812
3.560295 79.648 -56.8546
3.586094 79.786 -56.9443
3.612081 79.922 -57.0513
3.638255 80.058 -57.1762
3.664620 80.193 -57.3190
3.691175 80.327 -57.4790
3.717923 80.460 -57.6551
3.744864 80.592 -57.8462
3.772001 80.723 -58.0510
3.799335 80.853 -58.2686
3.826866 80.982 -58.4980
3.854597 81.110 -58.7385
3.882529 81.236 -58.9894
3.910664 81.360 -59.2503
3.939002 81.483 -59.5209
3.967546 81.603 -59.8012
3.996296 81.722 -60.0914
4.025255 81.838 -60.3917
4.054423 81.952 -60.7027
4.083804 82.064 -61.0245
4.113396 82.173 -61.3568
4.143204 82.280 -61.6988
4.173227 82.385 -62.0494
4.203468 82.487 -62.4073
4.233928 82.588 -62.7710
4.264609 82.686 -63.1390
4.295512 82.782 -63.5102
4.326639 82.876 -63.8837
4.357992 82.967 -64.2593
4.389572 83.056 -64.6371
4.421380 83.143 -65.0176
4.453419 83.228 -65.4015
4.485691 83.310 -65.7888
4.518196 83.389 -66.1793
4.550936 83.466 -66.5720
4.583914 83.541 -66.9656
4.617131 83.614 -67.3586
4.650589 83.686 -67.7496
4.684289 83.755 -68.1372
4.718233 83.824 -68.5205
4.752424 83.890 -68.8992
4.786862 83.955 -69.2734
4.821549 84.019 -69.6435
4.856488 84.081 -70.0099
4.891680 84.141 -70.3731
4.927127 84.200 -70.7330
4.962831 84.258 -71.0896
4.998794 84.315 -71.4424
5.035017 84.371 -71.7911
5.071503 84.427 -72.1353
5.108253 84.482 -72.4745
5.145270 84.538 -72.8087
5.182555 84.593 -73.1379
5.220110 84.648 -73.4626
5.257937 84.702 -73.7835
5.296038 84.756 -74.1016
5.334415 84.811 -74.4178
5.373071 84.865 -74.7332
5.412006 84.920 -75.0486
5.451224 84.976 -75.3645
5.490725 85.032 -75.6811
5.530514 85.089 -75.9987
5.570590 85.146 -76.3173
5.610957 85.204 -76.6375
5.651616 85.262 -76.9601
5.692570 85.321 -77.2863
5.733821 85.381 -77.6174
5.775370 85.441 -77.9547
5.817221 85.502 -78.2991
5.859375 85.563 -78.6512
5.901834 85.625 -79.0113
5.944602 85.687 -79.3795
5.987679 85.750 -79.7559
6.031068 85.812 -80.1408
6.074771 85.876 -80.5346
6.118792 85.939 -80.9380
6.163131 86.002 -81.3515
6.207792 86.065 -81.7756
6.252776 86.127 -82.2105
6.298086 86.189 -82.6563
6.343725 86.251 -83.1126
6.389694 86.313 -83.5789
6.435996 86.374 -84.0544
6.482634 86.434 -84.5386
6.529610 86.494 -85.0310
6.576926 86.552 -85.5312
6.624585 86.610 -86.0392
6.672590 86.667 -86.5547
6.720942 86.723 -87.0773
6.769645 86.778 -87.6060
