* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jul 7, 2025 12:07:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: FATFreq Scarlet Mini L
* Measurement: FATfreq Scarlet Mini L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.857 -146.1533
0.368865 84.872 -146.1919
0.371538 84.896 -146.2495
0.374230 84.924 -146.3217
0.376942 84.957 -146.4045
0.379673 84.992 -146.4951
0.382424 85.028 -146.5916
0.385196 85.065 -146.6928
0.387987 85.103 -146.7981
0.390798 85.141 -146.9071
0.393630 85.179 -147.0195
0.396483 85.218 -147.1352
0.399356 85.258 -147.2541
0.402250 85.297 -147.3763
0.405165 85.337 -147.5015
0.408101 85.377 -147.6299
0.411058 85.417 -147.7614
0.414037 85.458 -147.8959
0.417037 85.499 -148.0334
0.420059 85.540 -148.1738
0.423103 85.582 -148.3172
0.426169 85.624 -148.4634
0.429257 85.666 -148.6124
0.432368 85.709 -148.7642
0.435501 85.751 -148.9187
0.438656 85.794 -149.0759
0.441835 85.838 -149.2357
0.445037 85.882 -149.3981
0.448262 85.926 -149.5629
0.451510 85.970 -149.7302
0.454782 86.015 -149.8998
0.458077 86.060 -150.0718
0.461397 86.105 -150.2459
0.464740 86.151 -150.4222
0.468108 86.197 -150.6006
0.471500 86.243 -150.7810
0.474917 86.290 -150.9633
0.478358 86.337 -151.1475
0.481825 86.384 -151.3334
0.485316 86.432 -151.5210
0.488833 86.480 -151.7102
0.492375 86.528 -151.9009
0.495943 86.577 -152.0931
0.499537 86.626 -152.2866
0.503157 86.676 -152.4813
0.506803 86.725 -152.6772
0.510475 86.776 -152.8741
0.514175 86.826 -153.0720
0.517900 86.877 -153.2708
0.521653 86.928 -153.4704
0.525434 86.980 -153.6706
0.529241 87.032 -153.8714
0.533076 87.084 -154.0726
0.536939 87.137 -154.2743
0.540830 87.190 -154.4762
0.544749 87.244 -154.6783
0.548696 87.298 -154.8805
0.552673 87.352 -155.0826
0.556677 87.407 -155.2846
0.560711 87.462 -155.4864
0.564774 87.518 -155.6878
0.568867 87.574 -155.8887
0.572989 87.630 -156.0891
0.577141 87.687 -156.2889
0.581324 87.744 -156.4878
0.585536 87.801 -156.6859
0.589779 87.859 -156.8830
0.594053 87.918 -157.0791
0.598358 87.976 -157.2739
0.602694 88.036 -157.4674
0.607061 88.095 -157.6596
0.611460 88.156 -157.8502
0.615891 88.216 -158.0392
0.620354 88.277 -158.2265
0.624849 88.338 -158.4119
0.629377 88.400 -158.5955
0.633938 88.463 -158.7770
0.638532 88.525 -158.9563
0.643159 88.589 -159.1334
0.647819 88.652 -159.3081
0.652514 88.717 -159.4804
0.657242 88.781 -159.6501
0.662005 88.846 -159.8172
0.666802 88.912 -159.9814
0.671634 88.978 -160.1429
0.676501 89.044 -160.3014
0.681403 89.111 -160.4569
0.686341 89.179 -160.6095
0.691314 89.247 -160.7592
0.696324 89.315 -160.9065
0.701370 89.383 -161.0520
0.706452 89.452 -161.1971
0.711571 89.521 -161.3441
0.716728 89.590 -161.4965
0.721921 89.657 -161.6596
0.727153 89.724 -161.8399
0.732422 89.788 -162.0439
0.737729 89.850 -162.2755
0.743075 89.910 -162.5333
0.748460 89.969 -162.8127
0.753883 90.026 -163.1089
0.759346 90.082 -163.4175
0.764849 90.138 -163.7356
0.770391 90.193 -164.0612
0.775974 90.248 -164.3930
0.781597 90.303 -164.7301
0.787261 90.357 -165.0722
0.792966 90.411 -165.4189
0.798712 90.464 -165.7699
0.804500 90.518 -166.1251
0.810329 90.571 -166.4843
0.816201 90.624 -166.8474
0.822116 90.677 -167.2143
0.828073 90.729 -167.5848
0.834074 90.781 -167.9588
0.840118 90.833 -168.3362
0.846206 90.885 -168.7169
0.852338 90.936 -169.1007
0.858514 90.987 -169.4877
0.864735 91.038 -169.8776
0.871001 91.089 -170.2704
0.877313 91.139 -170.6660
0.883670 91.190 -171.0643
0.890074 91.240 -171.4653
0.896524 91.290 -171.8688
0.903020 91.339 -172.2748
0.909564 91.389 -172.6833
0.916155 91.438 -173.0942
0.922794 91.487 -173.5075
0.929481 91.536 -173.9231
0.936216 91.585 -174.3410
0.943000 91.634 -174.7612
0.949834 91.682 -175.1837
0.956717 91.731 -175.6085
0.963649 91.779 -176.0356
0.970632 91.827 -176.4650
0.977666 91.876 -176.8968
0.984750 91.924 -177.3309
0.991886 91.972 -177.7676
0.999074 92.020 -178.2067
1.006314 92.068 -178.6484
1.013606 92.116 -179.0928
1.020951 92.164 -179.5401
1.028349 92.212 -179.9902
1.035801 92.261 179.5566
1.043307 92.309 179.1002
1.050867 92.358 178.6404
1.058482 92.406 178.1768
1.066152 92.455 177.7092
1.073878 92.504 177.2372
1.081660 92.553 176.7601
1.089498 92.602 176.2771
1.097393 92.651 175.7873
1.105345 92.701 175.2896
1.113355 92.750 174.7830
1.121423 92.799 174.2668
1.129549 92.847 173.7403
1.137734 92.895 173.2036
1.145979 92.943 172.6564
1.154283 92.991 172.0991
1.162647 93.038 171.5319
1.171072 93.085 170.9550
1.179558 93.132 170.3688
1.188106 93.178 169.7737
1.196715 93.224 169.1702
1.205387 93.270 168.5585
1.214122 93.315 167.9390
1.222920 93.361 167.3123
1.231782 93.405 166.6788
1.240708 93.450 166.0389
1.249699 93.494 165.3930
1.258754 93.538 164.7416
1.267876 93.581 164.0853
1.277063 93.625 163.4244
1.286318 93.668 162.7594
1.295639 93.710 162.0909
1.305027 93.753 161.4193
1.314484 93.795 160.7451
1.324009 93.837 160.0687
1.333604 93.879 159.3908
1.343268 93.921 158.7117
1.353002 93.962 158.0320
1.362806 94.004 157.3522
1.372681 94.045 156.6727
1.382628 94.086 155.9939
1.392647 94.127 155.3163
1.402739 94.168 154.6404
1.412904 94.209 153.9662
1.423142 94.249 153.2939
1.433455 94.290 152.6235
1.443843 94.330 151.9543
1.454305 94.371 151.2856
1.464844 94.411 150.6160
1.475459 94.451 149.9435
1.486150 94.491 149.2667
1.496920 94.530 148.5839
1.507767 94.569 147.8943
1.518693 94.608 147.1975
1.529698 94.646 146.4931
1.540783 94.684 145.7814
1.551948 94.721 145.0625
1.563194 94.758 144.3366
1.574521 94.795 143.6042
1.585931 94.831 142.8657
1.597423 94.866 142.1214
1.608999 94.902 141.3719
1.620658 94.937 140.6174
1.632402 94.971 139.8585
1.644232 95.005 139.0957
1.656146 95.039 138.3293
1.668147 95.072 137.5600
1.680235 95.105 136.7881
1.692411 95.138 136.0141
1.704675 95.170 135.2385
1.717028 95.202 134.4617
1.729470 95.234 133.6843
1.742003 95.265 132.9065
1.754626 95.296 132.1288
1.767341 95.326 131.3514
1.780147 95.357 130.5743
1.793047 95.387 129.7974
1.806040 95.417 129.0200
1.819128 95.446 128.2408
1.832310 95.475 127.4583
1.845587 95.504 126.6703
1.858961 95.532 125.8750
1.872432 95.560 125.0707
1.886001 95.587 124.2567
1.899667 95.614 123.4326
1.913433 95.640 122.5984
1.927299 95.665 121.7546
1.941265 95.690 120.9019
1.955332 95.714 120.0409
1.969501 95.738 119.1725
1.983773 95.761 118.2978
1.998148 95.784 117.4177
2.012627 95.806 116.5332
2.027212 95.828 115.6456
2.041902 95.849 114.7559
2.056698 95.870 113.8655
2.071602 95.890 112.9755
2.086614 95.909 112.0872
2.101734 95.928 111.2019
2.116964 95.947 110.3207
2.132304 95.965 109.4445
2.147756 95.983 108.5739
2.163320 96.000 107.7092
2.178996 96.017 106.8498
2.194786 96.033 105.9943
2.210690 96.048 105.1406
2.226710 96.063 104.2864
2.242845 96.077 103.4298
2.259098 96.091 102.5693
2.275468 96.103 101.7042
2.291957 96.115 100.8342
2.308566 96.127 99.9597
2.325295 96.137 99.0812
2.342145 96.147 98.1995
2.359117 96.156 97.3154
2.376212 96.164 96.4300
2.393431 96.172 95.5446
2.410775 96.179 94.6603
2.428244 96.186 93.7787
2.445840 96.192 92.9012
2.463564 96.198 92.0293
2.481416 96.203 91.1643
2.499397 96.208 90.3076
2.517509 96.212 89.4603
2.535752 96.216 88.6227
2.554127 96.219 87.7948
2.572635 96.221 86.9755
2.591277 96.223 86.1635
2.610055 96.224 85.3572
2.628968 96.225 84.5553
2.648019 96.224 83.7569
2.667208 96.223 82.9615
2.686535 96.221 82.1691
2.706003 96.218 81.3796
2.725612 96.215 80.5936
2.745363 96.212 79.8115
2.765257 96.207 79.0341
2.785295 96.203 78.2622
2.805478 96.199 77.4969
2.825808 96.194 76.7392
2.846285 96.189 75.9904
2.866910 96.184 75.2516
2.887685 96.180 74.5240
2.908611 96.175 73.8084
2.929688 96.170 73.1055
2.950917 96.166 72.4154
2.972301 96.161 71.7379
2.993839 96.155 71.0724
3.015534 96.150 70.4185
3.037386 96.144 69.7756
3.059396 96.138 69.1432
3.081565 96.133 68.5206
3.103896 96.127 67.9077
3.126388 96.122 67.3040
3.149043 96.117 66.7094
3.171862 96.113 66.1237
3.194847 96.109 65.5472
3.217998 96.107 64.9800
3.241317 96.105 64.4227
3.264805 96.105 63.8762
3.288463 96.106 63.3415
3.312293 96.108 62.8198
3.336295 96.111 62.3121
3.360471 96.115 61.8189
3.384822 96.120 61.3401
3.409350 96.127 60.8749
3.434056 96.134 60.4222
3.458940 96.143 59.9805
3.484005 96.153 59.5480
3.509252 96.164 59.1231
3.534681 96.176 58.7041
3.560295 96.190 58.2894
3.586094 96.206 57.8777
3.612081 96.223 57.4684
3.638255 96.242 57.0614
3.664620 96.263 56.6572
3.691175 96.286 56.2570
3.717923 96.311 55.8618
3.744864 96.338 55.4723
3.772001 96.367 55.0883
3.799335 96.397 54.7090
3.826866 96.429 54.3333
3.854597 96.463 53.9595
3.882529 96.498 53.5858
3.910664 96.534 53.2105
3.939002 96.571 52.8318
3.967546 96.609 52.4483
3.996296 96.648 52.0590
4.025255 96.688 51.6635
4.054423 96.729 51.2620
4.083804 96.771 50.8551
4.113396 96.814 50.4435
4.143204 96.859 50.0276
4.173227 96.904 49.6077
4.203468 96.949 49.1837
4.233928 96.995 48.7555
4.264609 97.042 48.3225
4.295512 97.087 47.8845
4.326639 97.133 47.4406
4.357992 97.177 46.9902
4.389572 97.221 46.5327
4.421380 97.265 46.0675
4.453419 97.307 45.5948
4.485691 97.349 45.1147
4.518196 97.391 44.6282
4.550936 97.431 44.1365
4.583914 97.471 43.6409
4.617131 97.509 43.1428
4.650589 97.546 42.6433
4.684289 97.582 42.1435
4.718233 97.615 41.6436
4.752424 97.647 41.1438
4.786862 97.678 40.6435
4.821549 97.706 40.1423
4.856488 97.732 39.6401
4.891680 97.757 39.1378
4.927127 97.780 38.6364
4.962831 97.801 38.1378
4.998794 97.820 37.6438
5.035017 97.838 37.1561
5.071503 97.854 36.6763
5.108253 97.868 36.2052
5.145270 97.880 35.7432
5.182555 97.891 35.2901
5.220110 97.899 34.8457
5.257937 97.906 34.4101
5.296038 97.912 33.9836
5.334415 97.916 33.5670
5.373071 97.919 33.1614
5.412006 97.921 32.7678
5.451224 97.922 32.3873
5.490725 97.923 32.0208
5.530514 97.923 31.6685
5.570590 97.922 31.3307
5.610957 97.921 31.0066
5.651616 97.920 30.6957
5.692570 97.918 30.3972
5.733821 97.917 30.1100
5.775370 97.916 29.8337
5.817221 97.915 29.5678
5.859375 97.915 29.3123
5.901834 97.916 29.0672
5.944602 97.918 28.8322
5.987679 97.921 28.6064
6.031068 97.925 28.3883
6.074771 97.930 28.1760
6.118792 97.935 27.9674
6.163131 97.942 27.7607
6.207792 97.950 27.5544
6.252776 97.959 27.3479
6.298086 97.969 27.1406
6.343725 97.981 26.9321
6.389694 97.993 26.7213
6.435996 98.006 26.5070
6.482634 98.019 26.2876
6.529610 98.033 26.0616
6.576926 98.046 25.8278
6.624585 98.060 25.5855
6.672590 98.074 25.3345
6.720942 98.087 25.0748
6.769645 98.100 24.8068
6.818700 98.113 24.5305
