* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jun 25, 2025 11:55:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Flipears Legion
* Measurement: L Flipears Legion
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.613 161.6438
0.368865 93.608 161.6252
0.371538 93.602 161.5975
0.374230 93.594 161.5626
0.376942 93.584 161.5224
0.379673 93.575 161.4782
0.382424 93.564 161.4310
0.385196 93.554 161.3812
0.387987 93.543 161.3292
0.390798 93.532 161.2751
0.393630 93.521 161.2191
0.396483 93.510 161.1611
0.399356 93.499 161.1011
0.402250 93.487 161.0391
0.405165 93.476 160.9752
0.408101 93.465 160.9093
0.411058 93.453 160.8415
0.414037 93.442 160.7716
0.417037 93.430 160.6996
0.420059 93.418 160.6257
0.423103 93.406 160.5497
0.426169 93.394 160.4715
0.429257 93.382 160.3913
0.432368 93.370 160.3090
0.435501 93.358 160.2246
0.438656 93.346 160.1380
0.441835 93.333 160.0492
0.445037 93.321 159.9583
0.448262 93.308 159.8652
0.451510 93.296 159.7699
0.454782 93.283 159.6724
0.458077 93.270 159.5727
0.461397 93.257 159.4708
0.464740 93.244 159.3666
0.468108 93.231 159.2602
0.471500 93.218 159.1515
0.474917 93.204 159.0406
0.478358 93.191 158.9273
0.481825 93.177 158.8118
0.485316 93.164 158.6941
0.488833 93.150 158.5740
0.492375 93.136 158.4517
0.495943 93.122 158.3270
0.499537 93.108 158.2001
0.503157 93.094 158.0709
0.506803 93.080 157.9394
0.510475 93.066 157.8056
0.514175 93.051 157.6695
0.517900 93.037 157.5312
0.521653 93.022 157.3906
0.525434 93.007 157.2478
0.529241 92.993 157.1027
0.533076 92.978 156.9554
0.536939 92.963 156.8059
0.540830 92.947 156.6542
0.544749 92.932 156.5003
0.548696 92.917 156.3443
0.552673 92.901 156.1861
0.556677 92.886 156.0259
0.560711 92.870 155.8636
0.564774 92.854 155.6992
0.568867 92.838 155.5329
0.572989 92.822 155.3646
0.577141 92.806 155.1944
0.581324 92.790 155.0223
0.585536 92.773 154.8484
0.589779 92.757 154.6728
0.594053 92.740 154.4954
0.598358 92.723 154.3163
0.602694 92.706 154.1357
0.607061 92.689 153.9535
0.611460 92.672 153.7699
0.615891 92.655 153.5849
0.620354 92.638 153.3986
0.624849 92.620 153.2111
0.629377 92.602 153.0224
0.633938 92.585 152.8328
0.638532 92.567 152.6422
0.643159 92.549 152.4508
0.647819 92.531 152.2587
0.652514 92.512 152.0660
0.657242 92.494 151.8728
0.662005 92.475 151.6793
0.666802 92.457 151.4857
0.671634 92.438 151.2919
0.676501 92.419 151.0983
0.681403 92.400 150.9050
0.686341 92.380 150.7120
0.691314 92.361 150.5197
0.696324 92.341 150.3281
0.701370 92.322 150.1375
0.706452 92.302 149.9478
0.711571 92.281 149.7593
0.716728 92.260 149.5719
0.721921 92.238 149.3855
0.727153 92.216 149.1998
0.732422 92.192 149.0142
0.737729 92.167 148.8281
0.743075 92.140 148.6408
0.748460 92.112 148.4516
0.753883 92.083 148.2601
0.759346 92.053 148.0660
0.764849 92.023 147.8690
0.770391 91.992 147.6691
0.775974 91.961 147.4661
0.781597 91.929 147.2601
0.787261 91.896 147.0509
0.792966 91.863 146.8386
0.798712 91.829 146.6232
0.804500 91.795 146.4048
0.810329 91.761 146.1832
0.816201 91.726 145.9586
0.822116 91.690 145.7309
0.828073 91.654 145.5002
0.834074 91.617 145.2665
0.840118 91.580 145.0299
0.846206 91.542 144.7904
0.852338 91.504 144.5480
0.858514 91.465 144.3029
0.864735 91.425 144.0550
0.871001 91.385 143.8045
0.877313 91.344 143.5514
0.883670 91.303 143.2958
0.890074 91.261 143.0378
0.896524 91.219 142.7776
0.903020 91.176 142.5152
0.909564 91.132 142.2508
0.916155 91.087 141.9845
0.922794 91.042 141.7166
0.929481 90.997 141.4470
0.936216 90.950 141.1761
0.943000 90.903 140.9041
0.949834 90.856 140.6310
0.956717 90.807 140.3573
0.963649 90.758 140.0831
0.970632 90.708 139.8087
0.977666 90.658 139.5344
0.984750 90.607 139.2605
0.991886 90.555 138.9874
0.999074 90.502 138.7153
1.006314 90.449 138.4447
1.013606 90.395 138.1760
1.020951 90.340 137.9097
1.028349 90.284 137.6460
1.035801 90.228 137.3857
1.043307 90.171 137.1291
1.050867 90.113 136.8769
1.058482 90.054 136.6295
1.066152 89.994 136.3876
1.073878 89.934 136.1517
1.081660 89.872 135.9223
1.089498 89.810 135.6999
1.097393 89.747 135.4848
1.105345 89.682 135.2773
1.113355 89.616 135.0774
1.121423 89.549 134.8851
1.129549 89.480 134.7006
1.137734 89.410 134.5237
1.145979 89.339 134.3546
1.154283 89.266 134.1931
1.162647 89.192 134.0395
1.171072 89.116 133.8936
1.179558 89.039 133.7555
1.188106 88.960 133.6252
1.196715 88.880 133.5028
1.205387 88.799 133.3883
1.214122 88.717 133.2816
1.222920 88.634 133.1830
1.231782 88.549 133.0922
1.240708 88.464 133.0095
1.249699 88.377 132.9346
1.258754 88.289 132.8678
1.267876 88.201 132.8089
1.277063 88.111 132.7578
1.286318 88.021 132.7147
1.295639 87.930 132.6793
1.305027 87.839 132.6517
1.314484 87.746 132.6317
1.324009 87.654 132.6193
1.333604 87.561 132.6142
1.343268 87.467 132.6164
1.353002 87.373 132.6255
1.362806 87.279 132.6415
1.372681 87.186 132.6640
1.382628 87.092 132.6927
1.392647 86.998 132.7273
1.402739 86.904 132.7676
1.412904 86.811 132.8133
1.423142 86.718 132.8642
1.433455 86.625 132.9205
1.443843 86.532 132.9828
1.454305 86.440 133.0520
1.464844 86.348 133.1298
1.475459 86.255 133.2186
1.486150 86.161 133.3208
1.496920 86.066 133.4385
1.507767 85.969 133.5734
1.518693 85.872 133.7268
1.529698 85.773 133.8995
1.540783 85.673 134.0920
1.551948 85.572 134.3047
1.563194 85.470 134.5377
1.574521 85.368 134.7913
1.585931 85.265 135.0653
1.597423 85.162 135.3597
1.608999 85.059 135.6743
1.620658 84.956 136.0089
1.632402 84.854 136.3631
1.644232 84.752 136.7363
1.656146 84.652 137.1281
1.668147 84.553 137.5378
1.680235 84.456 137.9644
1.692411 84.362 138.4072
1.704675 84.269 138.8648
1.717028 84.180 139.3361
1.729470 84.093 139.8197
1.742003 84.011 140.3142
1.754626 83.932 140.8179
1.767341 83.857 141.3293
1.780147 83.788 141.8471
1.793047 83.723 142.3704
1.806040 83.664 142.8988
1.819128 83.611 143.4330
1.832310 83.564 143.9745
1.845587 83.523 144.5258
1.858961 83.488 145.0891
1.872432 83.459 145.6658
1.886001 83.436 146.2560
1.899667 83.419 146.8590
1.913433 83.408 147.4729
1.927299 83.402 148.0956
1.941265 83.401 148.7243
1.955332 83.405 149.3559
1.969501 83.414 149.9872
1.983773 83.427 150.6151
1.998148 83.445 151.2362
2.012627 83.466 151.8471
2.027212 83.490 152.4446
2.041902 83.518 153.0255
2.056698 83.549 153.5864
2.071602 83.582 154.1244
2.086614 83.617 154.6364
2.101734 83.654 155.1196
2.116964 83.693 155.5713
2.132304 83.732 155.9891
2.147756 83.773 156.3709
2.163320 83.815 156.7151
2.178996 83.857 157.0208
2.194786 83.902 157.2878
2.210690 83.948 157.5167
2.226710 83.997 157.7084
2.242845 84.050 157.8643
2.259098 84.106 157.9854
2.275468 84.165 158.0726
2.291957 84.228 158.1271
2.308566 84.294 158.1495
2.325295 84.363 158.1408
2.342145 84.434 158.1019
2.359117 84.508 158.0334
2.376212 84.582 157.9364
2.393431 84.658 157.8117
2.410775 84.735 157.6599
2.428244 84.811 157.4819
2.445840 84.886 157.2783
2.463564 84.961 157.0495
2.481416 85.034 156.7956
2.499397 85.105 156.5167
2.517509 85.173 156.2121
2.535752 85.239 155.8805
2.554127 85.301 155.5200
2.572635 85.361 155.1285
2.591277 85.419 154.7036
2.610055 85.475 154.2440
2.628968 85.529 153.7494
2.648019 85.581 153.2207
2.667208 85.631 152.6596
2.686535 85.680 152.0685
2.706003 85.728 151.4501
2.725612 85.774 150.8074
2.745363 85.819 150.1434
2.765257 85.862 149.4610
2.785295 85.904 148.7634
2.805478 85.943 148.0532
2.825808 85.982 147.3331
2.846285 86.018 146.6051
2.866910 86.053 145.8705
2.887685 86.085 145.1297
2.908611 86.116 144.3816
2.929688 86.144 143.6239
2.950917 86.171 142.8529
2.972301 86.194 142.0653
2.993839 86.216 141.2585
3.015534 86.235 140.4314
3.037386 86.252 139.5843
3.059396 86.266 138.7184
3.081565 86.279 137.8357
3.103896 86.289 136.9389
3.126388 86.298 136.0309
3.149043 86.305 135.1147
3.171862 86.311 134.1936
3.194847 86.315 133.2705
3.217998 86.318 132.3479
3.241317 86.320 131.4277
3.264805 86.321 130.5106
3.288463 86.320 129.5956
3.312293 86.318 128.6807
3.336295 86.314 127.7628
3.360471 86.309 126.8396
3.384822 86.302 125.9097
3.409350 86.293 124.9728
3.434056 86.283 124.0300
3.458940 86.272 123.0833
3.484005 86.259 122.1352
3.509252 86.246 121.1890
3.534681 86.233 120.2481
3.560295 86.219 119.3163
3.586094 86.206 118.3972
3.612081 86.193 117.4940
3.638255 86.181 116.6090
3.664620 86.168 115.7435
3.691175 86.156 114.8972
3.717923 86.144 114.0693
3.744864 86.132 113.2584
3.772001 86.120 112.4631
3.799335 86.109 111.6825
3.826866 86.098 110.9159
3.854597 86.088 110.1629
3.882529 86.080 109.4239
3.910664 86.074 108.6992
3.939002 86.070 107.9900
3.967546 86.069 107.2976
3.996296 86.072 106.6238
4.025255 86.077 105.9707
4.054423 86.086 105.3402
4.083804 86.098 104.7334
4.113396 86.113 104.1505
4.143204 86.131 103.5902
4.173227 86.152 103.0506
4.203468 86.177 102.5291
4.233928 86.206 102.0227
4.264609 86.238 101.5287
4.295512 86.275 101.0445
4.326639 86.316 100.5684
4.357992 86.362 100.0998
4.389572 86.413 99.6393
4.421380 86.469 99.1880
4.453419 86.530 98.7475
4.485691 86.597 98.3179
4.518196 86.668 97.8982
4.550936 86.744 97.4856
4.583914 86.824 97.0769
4.617131 86.908 96.6680
4.650589 86.995 96.2551
4.684289 87.086 95.8346
4.718233 87.179 95.4043
4.752424 87.276 94.9629
4.786862 87.375 94.5108
4.821549 87.478 94.0489
4.856488 87.583 93.5785
4.891680 87.692 93.1002
4.927127 87.802 92.6141
4.962831 87.915 92.1196
4.998794 88.028 91.6159
5.035017 88.142 91.1019
5.071503 88.255 90.5762
5.108253 88.368 90.0379
5.145270 88.481 89.4865
5.182555 88.593 88.9224
5.220110 88.704 88.3465
5.257937 88.815 87.7608
5.296038 88.925 87.1674
5.334415 89.033 86.5687
5.373071 89.140 85.9667
5.412006 89.244 85.3628
5.451224 89.347 84.7579
5.490725 89.446 84.1519
5.530514 89.543 83.5445
5.570590 89.637 82.9359
5.610957 89.728 82.3269
5.651616 89.817 81.7195
5.692570 89.903 81.1164
5.733821 89.986 80.5205
5.775370 90.066 79.9346
5.817221 90.144 79.3605
5.859375 90.219 78.7992
5.901834 90.291 78.2509
5.944602 90.360 77.7154
5.987679 90.427 77.1930
6.031068 90.491 76.6846
6.074771 90.553 76.1917
6.118792 90.613 75.7163
6.163131 90.671 75.2601
6.207792 90.728 74.8243
6.252776 90.783 74.4097
6.298086 90.837 74.0161
6.343725 90.890 73.6428
6.389694 90.943 73.2890
6.435996 90.994 72.9539
6.482634 91.046 72.6367
6.529610 91.097 72.3370
6.576926 91.149 72.0546
6.624585 91.201 71.7891
6.672590 91.255 71.5398
6.720942 91.308 71.3053
6.769645 91.363 71.0836
6.818700 91.419 70.8723
6.868111 91.475 70.6687
6.917881 91.533 70.4708
6.968010 91.592 70.2772
7.018504 91.652 70.0866
7.069362 91.713 69.8981
7.120590 91.775 69.7100
7.172189 91.837 69.5204
7.224161 91.901 69.3271
7.276511 91.964 69.1281
7.329239 92.028 68.9219
7.382350 92.091 68.7077
7.435845 92.154 68.4852
