* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Oct 7, 2024 11:38:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: INAWAKEN DAWN Ms R
* Measurement: R INAWAKEN DAWN Ms
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	90.210	-58.5999
0.368865	90.213	-58.6620
0.371538	90.219	-58.7550
0.374230	90.225	-58.8717
0.376942	90.232	-59.0059
0.379673	90.240	-59.1531
0.382424	90.248	-59.3104
0.385196	90.257	-59.4759
0.387987	90.265	-59.6486
0.390798	90.274	-59.8279
0.393630	90.282	-60.0136
0.396483	90.291	-60.2054
0.399356	90.300	-60.4034
0.402250	90.309	-60.6076
0.405165	90.318	-60.8178
0.408101	90.327	-61.0343
0.411058	90.336	-61.2569
0.414037	90.345	-61.4857
0.417037	90.354	-61.7208
0.420059	90.364	-61.9621
0.423103	90.373	-62.2098
0.426169	90.383	-62.4637
0.429257	90.392	-62.7239
0.432368	90.402	-62.9905
0.435501	90.411	-63.2634
0.438656	90.421	-63.5426
0.441835	90.431	-63.8281
0.445037	90.441	-64.1200
0.448262	90.451	-64.4182
0.451510	90.461	-64.7227
0.454782	90.471	-65.0335
0.458077	90.481	-65.3505
0.461397	90.491	-65.6739
0.464740	90.501	-66.0034
0.468108	90.512	-66.3391
0.471500	90.522	-66.6809
0.474917	90.533	-67.0289
0.478358	90.543	-67.3829
0.481825	90.554	-67.7429
0.485316	90.565	-68.1088
0.488833	90.576	-68.4806
0.492375	90.586	-68.8582
0.495943	90.597	-69.2416
0.499537	90.608	-69.6306
0.503157	90.620	-70.0251
0.506803	90.631	-70.4251
0.510475	90.642	-70.8305
0.514175	90.654	-71.2412
0.517900	90.665	-71.6570
0.521653	90.677	-72.0779
0.525434	90.688	-72.5037
0.529241	90.700	-72.9343
0.533076	90.712	-73.3696
0.536939	90.724	-73.8095
0.540830	90.736	-74.2537
0.544749	90.748	-74.7022
0.548696	90.760	-75.1548
0.552673	90.772	-75.6113
0.556677	90.784	-76.0717
0.560711	90.797	-76.5356
0.564774	90.809	-77.0030
0.568867	90.822	-77.4738
0.572989	90.835	-77.9476
0.577141	90.847	-78.4243
0.581324	90.860	-78.9039
0.585536	90.873	-79.3859
0.589779	90.886	-79.8704
0.594053	90.899	-80.3570
0.598358	90.913	-80.8457
0.602694	90.926	-81.3361
0.607061	90.940	-81.8282
0.611460	90.953	-82.3216
0.615891	90.967	-82.8163
0.620354	90.980	-83.3120
0.624849	90.994	-83.8085
0.629377	91.008	-84.3056
0.633938	91.022	-84.8031
0.638532	91.036	-85.3009
0.643159	91.051	-85.7987
0.647819	91.065	-86.2963
0.652514	91.079	-86.7935
0.657242	91.094	-87.2902
0.662005	91.109	-87.7862
0.666802	91.123	-88.2812
0.671634	91.138	-88.7752
0.676501	91.153	-89.2678
