* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jul 2, 2025 11:53:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ISN Neo 3 L
* Measurement: ISN Audio Neo 3
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.235 158.8870
0.368865 94.229 158.8651
0.371538 94.220 158.8322
0.374230 94.209 158.7909
0.376942 94.196 158.7433
0.379673 94.183 158.6909
0.382424 94.169 158.6348
0.385196 94.155 158.5757
0.387987 94.140 158.5139
0.390798 94.125 158.4495
0.393630 94.110 158.3827
0.396483 94.095 158.3135
0.399356 94.080 158.2419
0.402250 94.065 158.1679
0.405165 94.049 158.0915
0.408101 94.034 158.0126
0.411058 94.018 157.9313
0.414037 94.003 157.8475
0.417037 93.987 157.7612
0.420059 93.971 157.6724
0.423103 93.955 157.5811
0.426169 93.938 157.4871
0.429257 93.922 157.3906
0.432368 93.906 157.2914
0.435501 93.889 157.1896
0.438656 93.873 157.0851
0.441835 93.856 156.9780
0.445037 93.839 156.8681
0.448262 93.822 156.7555
0.451510 93.805 156.6402
0.454782 93.787 156.5220
0.458077 93.770 156.4012
0.461397 93.752 156.2775
0.464740 93.735 156.1510
0.468108 93.717 156.0216
0.471500 93.699 155.8894
0.474917 93.681 155.7543
0.478358 93.663 155.6164
0.481825 93.644 155.4755
0.485316 93.626 155.3318
0.488833 93.607 155.1851
0.492375 93.589 155.0355
0.495943 93.570 154.8829
0.499537 93.551 154.7274
0.503157 93.532 154.5690
0.506803 93.513 154.4076
0.510475 93.493 154.2433
0.514175 93.474 154.0760
0.517900 93.454 153.9057
0.521653 93.434 153.7325
0.525434 93.414 153.5563
0.529241 93.394 153.3772
0.533076 93.374 153.1951
0.536939 93.353 153.0102
0.540830 93.333 152.8223
0.544749 93.312 152.6315
0.548696 93.291 152.4379
0.552673 93.270 152.2414
0.556677 93.249 152.0420
0.560711 93.228 151.8399
0.564774 93.206 151.6350
0.568867 93.185 151.4273
0.572989 93.163 151.2170
0.577141 93.141 151.0040
0.581324 93.119 150.7883
0.585536 93.097 150.5701
0.589779 93.074 150.3494
0.594053 93.052 150.1263
0.598358 93.029 149.9007
0.602694 93.006 149.6728
0.607061 92.983 149.4427
0.611460 92.960 149.2103
0.615891 92.936 148.9759
0.620354 92.913 148.7395
0.624849 92.889 148.5011
0.629377 92.865 148.2610
0.633938 92.841 148.0191
0.638532 92.817 147.7756
0.643159 92.792 147.5307
0.647819 92.768 147.2844
0.652514 92.743 147.0369
0.657242 92.718 146.7883
0.662005 92.693 146.5388
0.666802 92.667 146.2886
0.671634 92.642 146.0378
0.676501 92.616 145.7865
0.681403 92.590 145.5350
0.686341 92.564 145.2835
0.691314 92.538 145.0322
0.696324 92.511 144.7812
0.701370 92.484 144.5307
0.706452 92.457 144.2808
0.711571 92.429 144.0318
0.716728 92.401 143.7834
0.721921 92.371 143.5355
0.727153 92.339 143.2877
0.732422 92.306 143.0392
0.737729 92.270 142.7890
0.743075 92.233 142.5363
0.748460 92.193 142.2799
0.753883 92.152 142.0194
0.759346 92.111 141.7542
0.764849 92.068 141.4839
0.770391 92.025 141.2084
0.775974 91.981 140.9275
0.781597 91.937 140.6410
0.787261 91.892 140.3490
0.792966 91.846 140.0512
0.798712 91.800 139.7477
0.804500 91.754 139.4384
0.810329 91.707 139.1232
0.816201 91.659 138.8021
0.822116 91.611 138.4750
0.828073 91.561 138.1419
0.834074 91.512 137.8028
0.840118 91.461 137.4577
0.846206 91.409 137.1064
0.852338 91.357 136.7490
0.858514 91.304 136.3856
0.864735 91.250 136.0160
0.871001 91.195 135.6403
0.877313 91.139 135.2585
0.883670 91.081 134.8706
0.890074 91.023 134.4767
0.896524 90.964 134.0768
0.903020 90.903 133.6711
0.909564 90.841 133.2594
0.916155 90.778 132.8421
0.922794 90.714 132.4191
0.929481 90.648 131.9906
0.936216 90.580 131.5567
0.943000 90.512 131.1177
0.949834 90.441 130.6737
0.956717 90.369 130.2249
0.963649 90.295 129.7716
0.970632 90.220 129.3141
0.977666 90.142 128.8526
0.984750 90.063 128.3875
0.991886 89.981 127.9191
0.999074 89.898 127.4479
1.006314 89.812 126.9742
1.013606 89.725 126.4987
1.020951 89.635 126.0218
1.028349 89.542 125.5441
1.035801 89.447 125.0662
1.043307 89.350 124.5888
1.050867 89.250 124.1125
1.058482 89.147 123.6381
1.066152 89.041 123.1663
1.073878 88.932 122.6977
1.081660 88.821 122.2329
1.089498 88.706 121.7720
1.097393 88.589 121.3152
1.105345 88.468 120.8619
1.113355 88.345 120.4117
1.121423 88.218 119.9637
1.129549 88.088 119.5173
1.137734 87.956 119.0720
1.145979 87.820 118.6272
1.154283 87.682 118.1824
1.162647 87.540 117.7372
1.171072 87.396 117.2912
1.179558 87.248 116.8440
1.188106 87.097 116.3950
1.196715 86.943 115.9438
1.205387 86.786 115.4899
1.214122 86.626 115.0328
1.222920 86.463 114.5720
1.231782 86.296 114.1069
1.240708 86.126 113.6368
1.249699 85.952 113.1612
1.258754 85.775 112.6793
1.267876 85.595 112.1903
1.277063 85.411 111.6935
1.286318 85.224 111.1880
1.295639 85.033 110.6729
1.305027 84.839 110.1473
1.314484 84.642 109.6102
1.324009 84.440 109.0603
1.333604 84.235 108.4966
1.343268 84.026 107.9178
1.353002 83.814 107.3226
1.362806 83.598 106.7095
1.372681 83.378 106.0771
1.382628 83.154 105.4239
1.392647 82.927 104.7482
1.402739 82.695 104.0483
1.412904 82.459 103.3227
1.423142 82.219 102.5698
1.433455 81.974 101.7880
1.443843 81.723 100.9761
1.454305 81.464 100.1331
1.464844 81.197 99.2580
1.475459 80.918 98.3498
1.486150 80.625 97.4069
1.496920 80.317 96.4264
1.507767 79.993 95.4046
1.518693 79.652 94.3359
1.529698 79.295 93.2137
1.540783 78.923 92.0294
1.551948 78.536 90.7728
1.563194 78.137 89.4313
1.574521 77.726 87.9896
1.585931 77.306 86.4289
1.597423 76.878 84.7260
1.608999 76.445 82.8518
1.620658 76.008 80.7700
1.632402 75.570 78.4344
1.644232 75.133 75.7861
1.656146 74.700 72.7498
1.668147 74.274 69.2288
1.680235 73.857 65.1006
1.692411 73.452 60.2125
1.704675 73.063 54.3847
1.717028 72.694 47.4272
1.729470 72.347 39.1895
1.742003 72.027 29.6538
1.754626 71.738 19.0568
1.767341 71.484 7.9443
1.780147 71.271 -2.9540
1.793047 71.102 -12.9927
1.806040 70.983 -21.8134
1.819128 70.918 -29.3537
1.832310 70.910 -35.7361
1.845587 70.962 -41.1535
1.858961 71.076 -45.7980
1.872432 71.250 -49.8311
1.886001 71.482 -53.3786
1.899667 71.769 -56.5351
1.913433 72.107 -59.3720
1.927299 72.492 -61.9430
1.941265 72.917 -64.2892
1.955332 73.378 -66.4427
1.969501 73.870 -68.4284
1.983773 74.387 -70.2665
1.998148 74.923 -71.9729
2.012627 75.474 -73.5607
2.027212 76.032 -75.0406
2.041902 76.594 -76.4212
2.056698 77.152 -77.7097
2.071602 77.702 -78.9122
2.086614 78.237 -80.0339
2.101734 78.754 -81.0790
2.116964 79.246 -82.0520
2.132304 79.709 -82.9570
2.147756 80.140 -83.7988
2.163320 80.536 -84.5833
2.178996 80.896 -85.3182
2.194786 81.221 -86.0129
2.210690 81.514 -86.6780
2.226710 81.777 -87.3237
2.242845 82.015 -87.9580
2.259098 82.231 -88.5858
2.275468 82.426 -89.2098
2.291957 82.602 -89.8304
2.308566 82.761 -90.4470
2.325295 82.905 -91.0579
2.342145 83.034 -91.6609
2.359117 83.151 -92.2536
2.376212 83.256 -92.8333
2.393431 83.351 -93.3970
2.410775 83.437 -93.9417
2.428244 83.517 -94.4643
2.445840 83.591 -94.9615
2.463564 83.662 -95.4304
2.481416 83.730 -95.8680
2.499397 83.798 -96.2719
2.517509 83.865 -96.6402
2.535752 83.932 -96.9727
2.554127 84.000 -97.2702
2.572635 84.066 -97.5353
2.591277 84.129 -97.7716
2.610055 84.188 -97.9827
2.628968 84.241 -98.1714
2.648019 84.289 -98.3395
2.667208 84.331 -98.4881
2.686535 84.367 -98.6174
2.706003 84.398 -98.7272
2.725612 84.425 -98.8168
2.745363 84.448 -98.8855
2.765257 84.469 -98.9322
2.785295 84.487 -98.9557
2.805478 84.505 -98.9547
2.825808 84.522 -98.9278
2.846285 84.540 -98.8736
2.866910 84.560 -98.7904
2.887685 84.582 -98.6765
2.908611 84.605 -98.5302
2.929688 84.631 -98.3499
2.950917 84.658 -98.1341
2.972301 84.685 -97.8822
2.993839 84.713 -97.5943
3.015534 84.741 -97.2716
3.037386 84.769 -96.9162
3.059396 84.798 -96.5308
3.081565 84.827 -96.1185
3.103896 84.857 -95.6831
3.126388 84.890 -95.2284
3.149043 84.925 -94.7586
3.171862 84.963 -94.2776
3.194847 85.005 -93.7896
3.217998 85.051 -93.2978
3.241317 85.102 -92.8048
3.264805 85.160 -92.3120
3.288463 85.223 -91.8188
3.312293 85.293 -91.3238
3.336295 85.368 -90.8250
3.360471 85.451 -90.3216
3.384822 85.538 -89.8149
3.409350 85.631 -89.3078
3.434056 85.729 -88.8046
3.458940 85.831 -88.3106
3.484005 85.937 -87.8313
3.509252 86.045 -87.3726
3.534681 86.156 -86.9398
3.560295 86.268 -86.5382
3.586094 86.382 -86.1720
3.612081 86.497 -85.8443
3.638255 86.613 -85.5567
3.664620 86.729 -85.3092
3.691175 86.847 -85.1003
3.717923 86.967 -84.9276
3.744864 87.089 -84.7890
3.772001 87.212 -84.6824
3.799335 87.336 -84.6066
3.826866 87.461 -84.5604
3.854597 87.585 -84.5432
3.882529 87.708 -84.5544
3.910664 87.830 -84.5938
3.939002 87.949 -84.6614
3.967546 88.065 -84.7574
3.996296 88.178 -84.8824
4.025255 88.287 -85.0369
4.054423 88.392 -85.2215
4.083804 88.494 -85.4360
4.113396 88.592 -85.6793
4.143204 88.687 -85.9492
4.173227 88.778 -86.2429
4.203468 88.866 -86.5569
4.233928 88.950 -86.8879
4.264609 89.030 -87.2326
4.295512 89.106 -87.5883
4.326639 89.178 -87.9530
4.357992 89.245 -88.3261
4.389572 89.308 -88.7080
4.421380 89.366 -89.0999
4.453419 89.418 -89.5032
4.485691 89.466 -89.9181
4.518196 89.509 -90.3434
4.550936 89.547 -90.7765
4.583914 89.581 -91.2139
4.617131 89.611 -91.6517
4.650589 89.637 -92.0857
4.684289 89.659 -92.5125
4.718233 89.677 -92.9293
4.752424 89.692 -93.3350
4.786862 89.702 -93.7295
4.821549 89.709 -94.1138
4.856488 89.711 -94.4886
4.891680 89.710 -94.8540
4.927127 89.706 -95.2094
4.962831 89.699 -95.5533
4.998794 89.689 -95.8837
5.035017 89.678 -96.1984
5.071503 89.666 -96.4951
5.108253 89.653 -96.7718
5.145270 89.639 -97.0274
5.182555 89.624 -97.2615
5.220110 89.608 -97.4746
5.257937 89.592 -97.6682
5.296038 89.576 -97.8442
5.334415 89.560 -98.0046
5.373071 89.545 -98.1516
5.412006 89.532 -98.2868
5.451224 89.522 -98.4111
5.490725 89.514 -98.5250
5.530514 89.509 -98.6283
5.570590 89.507 -98.7215
5.610957 89.508 -98.8064
5.651616 89.512 -98.8859
5.692570 89.519 -98.9642
5.733821 89.529 -99.0460
5.775370 89.542 -99.1358
5.817221 89.558 -99.2371
5.859375 89.578 -99.3523
5.901834 89.602 -99.4826
5.944602 89.628 -99.6287
5.987679 89.658 -99.7915
6.031068 89.691 -99.9726
6.074771 89.726 -100.1746
6.118792 89.763 -100.3999
6.163131 89.801 -100.6514
6.207792 89.840 -100.9309
6.252776 89.880 -101.2398
6.298086 89.920 -101.5779
6.343725 89.961 -101.9445
6.389694 90.002 -102.3380
6.435996 90.042 -102.7567
6.482634 90.081 -103.1992
6.529610 90.120 -103.6642
6.576926 90.156 -104.1512
6.624585 90.191 -104.6598
6.672590 90.223 -105.1892
6.720942 90.254 -105.7377
